week_start	sub-BAYLORCD12/sub-BAYLORCD12_ses-20180125T191601.nwb	sub-BAYLORCD12/sub-BAYLORCD12_ses-20180126T122506.nwb	sub-BAYLORCD12/sub-BAYLORCD12_ses-20180128T220037.nwb	sub-BAYLORCD12/sub-BAYLORCD12_ses-20180129T160551.nwb	sub-BAYLORCD12/sub-BAYLORCD12_ses-20180130T153224.nwb	sub-BAYLORCD13/sub-BAYLORCD13_ses-20171211T135437.nwb	sub-BAYLORCD13/sub-BAYLORCD13_ses-20171212T131814.nwb	sub-BAYLORCD13/sub-BAYLORCD13_ses-20171213T135007.nwb	sub-BAYLORCD13/sub-BAYLORCD13_ses-20171214T103426.nwb	sub-BAYLORCD13/sub-BAYLORCD13_ses-20171215T133939.nwb	sub-BAYLORCD14/sub-BAYLORCD14_ses-20171024T112103.nwb	sub-BAYLORCD14/sub-BAYLORCD14_ses-20171025T114022.nwb	sub-BAYLORCD14/sub-BAYLORCD14_ses-20171026T150956.nwb	sub-BAYLORCD14/sub-BAYLORCD14_ses-20171027T115804.nwb	sub-BAYLORCD14/sub-BAYLORCD14_ses-20171028T165746.nwb	sub-BAYLORCD6/sub-BAYLORCD6_ses-20170610T135720.nwb	sub-BAYLORCD6/sub-BAYLORCD6_ses-20170611T140007.nwb	sub-BAYLORCD6/sub-BAYLORCD6_ses-20170612T125622.nwb	sub-BAYLORCD6/sub-BAYLORCD6_ses-20170614T111143.nwb	sub-BAYLORCD8/sub-BAYLORCD8_ses-20171016T121417.nwb	sub-BAYLORCD8/sub-BAYLORCD8_ses-20171017T114425.nwb	sub-BAYLORCD8/sub-BAYLORCD8_ses-20171018T123550.nwb	sub-BAYLORCD8/sub-BAYLORCD8_ses-20171019T123347.nwb	sub-BAYLORCD8/sub-BAYLORCD8_ses-20171020T124659.nwb	sub-BAYLORNL12/sub-BAYLORNL12_ses-20170610T122530.nwb	sub-BAYLORNL12/sub-BAYLORNL12_ses-20170611T124136.nwb	sub-BAYLORNL12/sub-BAYLORNL12_ses-20170612T115219.nwb	sub-BAYLORNL12/sub-BAYLORNL12_ses-20170613T123812.nwb	sub-BAYLORNL12/sub-BAYLORNL12_ses-20170614T094441.nwb	sub-BAYLORNL14/sub-BAYLORNL14_ses-20170602T114550.nwb	sub-BAYLORNL14/sub-BAYLORNL14_ses-20170603T153540.nwb	sub-BAYLORNL14/sub-BAYLORNL14_ses-20170604T150059.nwb	sub-BAYLORNL14/sub-BAYLORNL14_ses-20170605T123139.nwb	sub-BAYLORNL14/sub-BAYLORNL14_ses-20170606T094050.nwb	sub-BAYLORNL14/sub-BAYLORNL14_ses-20170607T130355.nwb	sub-BAYLORNL15/sub-BAYLORNL15_ses-20170602T095359.nwb	sub-BAYLORNL15/sub-BAYLORNL15_ses-20170603T122807.nwb	sub-BAYLORNL15/sub-BAYLORNL15_ses-20170604T121032.nwb	sub-BAYLORNL15/sub-BAYLORNL15_ses-20170605T093327.nwb	sub-BAYLORNL15/sub-BAYLORNL15_ses-20170607T094337.nwb	sub-anm00314746/sub-anm00314746_ses-20151020T093604.nwb	sub-anm00314746/sub-anm00314746_ses-20151021T112541.nwb	sub-anm00314746/sub-anm00314746_ses-20151022T151738.nwb	sub-anm00314756/sub-anm00314756_ses-20151020T194211.nwb	sub-anm00314756/sub-anm00314756_ses-20151023T141029.nwb	sub-anm00314757/sub-anm00314757_ses-20151020T173731.nwb	sub-anm00314757/sub-anm00314757_ses-20151021T180248.nwb	sub-anm00314758/sub-anm00314758_ses-20151020T104930.nwb	sub-anm00314758/sub-anm00314758_ses-20151021T101014.nwb	sub-anm00314758/sub-anm00314758_ses-20151022T112047.nwb	sub-anm00314758/sub-anm00314758_ses-20151023T094901.nwb	sub-anm00314760/sub-anm00314760_ses-20151020T155230.nwb	sub-anm00314760/sub-anm00314760_ses-20151021T164427.nwb	sub-anm00314760/sub-anm00314760_ses-20151022T163913.nwb
2021-04-19	1478776	0	1869880	4785840	3556656	2006936	0	803008	1864480	1073776	4210488	3119304	3953216	0	3807792	6946024	4992296	3399096	1851568	3997472	5702256	10249872	8388608	0	6972776	4256760	6050296	6007928	4073656	12439808	7932496	12967832	4919496	0	0	2539912	0	2611720	0	3501520	0	1269480	1140792	1099088	408768	925096	0	0	0	835592	785736	1831368	2083376	839904
2021-04-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408768	0	0	0	0	0	0	0	0	0
2021-05-03	1478776	1900008	0	0	2720924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817536	0	0	0	0	0	0	0	0	839904
2021-05-10	4436328	0	1869880	4785840	3556656	4013872	0	0	0	0	4210488	0	0	0	0	0	0	3399096	1851568	0	0	0	9522224	0	6972776	0	0	0	0	0	0	0	4919496	0	2220336	0	0	0	3098832	0	0	0	0	1099088	408768	1850192	0	1299592	0	0	0	0	0	0
2021-05-31	0	3800016	3739760	4785840	3556656	0	1442104	1606016	1864480	1073776	4210488	3119304	7906432	7240624	3807792	6946024	0	3399096	3703136	3997472	5702256	10249872	0	8820632	6972776	0	6050296	6007928	4073656	12439808	0	12967832	4919496	0	0	0	0	0	0	3501520	0	1269480	0	1099088	817536	1850192	1762224	1299592	0	835592	1571472	1831368	0	839904
2021-06-07	4436328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1831368	0	0
2021-08-30	0	1900008	0	0	0	0	1442104	803008	0	1073776	0	3119304	0	0	3807792	6946024	4992296	0	3703136	0	5702256	0	0	0	13945552	0	0	12015856	4073656	0	0	0	4919496	5258784	0	0	0	0	0	3501520	1388640	0	1140792	0	0	0	881112	0	0	0	0	0	0	839904
2021-10-11	1478776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6915896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-08	5915104	7600032	11219280	4785840	12859980	8027744	4326312	2409024	7457920	2147552	16841952	21835128	19766080	14481248	11423376	27474472	9984592	16995480	3703136	15989888	17106768	60971217	47611120	35282528	13945552	17027040	12100592	24031712	20368280	22630124	47594976	69509022	19677984	15776352	6661008	5079824	20747688	10446880	9296496	14006080	5554560	6347400	4563168	5495440	1635072	2775288	4405560	6497960	538256	2506776	4714416	7325472	6250128	1679808
2021-11-15	1478776	3800016	0	0	3556656	4013872	1442104	1606016	3728960	1073776	6400500	7499328	3953216	7240624	7615584	20838072	0	6798192	1851568	0	0	20499744	9522224	8820632	13945552	4256760	0	6007928	0	12439808	7932496	0	4919496	0	4440672	7619736	6915896	0	3098832	0	1388640	3808440	1140792	1099088	408768	0	1762224	2599184	1076512	835592	785736	0	0	839904
2022-02-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7799496	0	0	0	0	0	0	0	0	0	0
