	date	bytes_sent
0	2021-05-08	732291
1	2021-07-30	1555273
2	2022-02-16	42800
3	2022-04-13	10361536
4	2022-07-06	42800
5	2022-07-12	3860490
6	2022-07-13	608105
7	2022-07-14	7414377
8	2022-07-15	990084
9	2022-07-21	799641
10	2022-08-01	4708360
11	2022-08-02	3058671
12	2022-08-08	3480343
13	2022-08-09	849950
14	2022-08-10	3926409
15	2022-08-13	1516812
16	2022-08-14	1009008
17	2022-08-16	250521
18	2022-08-23	1631073
19	2022-08-24	2344844
20	2022-08-25	2711660
21	2022-08-26	2345616
22	2022-08-28	2302692
23	2022-08-29	3736138
24	2022-08-30	257445
25	2022-09-01	2120904
26	2022-10-03	27875511
27	2022-10-04	25838198
28	2022-10-06	846679
29	2022-11-28	4236833
30	2023-04-12	3051673
31	2023-05-25	50760
32	2023-05-26	45960
33	2023-06-05	45960
34	2023-06-10	42800
35	2023-06-17	4800
36	2023-06-25	799641
37	2023-07-04	42800
38	2023-07-17	47600
39	2023-07-24	45960
40	2023-07-31	42800
41	2023-08-01	42800
42	2023-08-09	4800
43	2023-08-10	42800
44	2023-08-13	91648
45	2023-08-17	42800
46	2023-08-21	469868
47	2023-08-22	469868
48	2023-08-23	42800
49	2023-08-31	727313
50	2023-09-03	139248
51	2023-09-13	42800
52	2023-09-27	45960
53	2023-09-28	45960
54	2023-10-03	1492597
55	2023-11-21	102400
56	2023-12-04	42800
57	2023-12-07	1492597
58	2023-12-12	42800
59	2024-01-01	469868
60	2024-01-22	799066
61	2024-01-23	3892081
62	2024-01-24	3662550
63	2024-01-25	1769054
64	2024-01-26	12644405
65	2024-01-27	7456591
66	2024-01-28	2545251
67	2024-01-29	1152202
68	2024-01-30	6419106
69	2024-01-31	4811610
70	2024-03-12	35507091
71	2024-03-19	33066282
72	2024-03-26	33315943
73	2024-03-27	4999130
74	2024-03-28	28668169
75	2024-04-04	3701637
76	2024-04-05	21503735
77	2024-04-06	862769
78	2024-04-19	14542308
79	2024-04-20	7750695
80	2024-04-22	6209897
81	2024-04-23	3054478
82	2024-05-04	791188
83	2024-07-11	6225336
84	2024-07-13	11220612
85	2024-07-14	13854281
86	2024-07-15	9876909
87	2024-07-31	27263816
88	2024-08-02	2555903
89	2024-08-28	1563438
90	2024-08-30	3419451
91	2024-09-05	797848
92	2024-09-06	1045997
93	2024-09-07	2544127
94	2024-09-08	791188
95	2024-09-10	923997
96	2024-09-11	796728
97	2024-09-13	3049047
98	2024-09-14	796180
99	2024-09-21	27842861
100	2024-09-26	84501477
101	2024-09-30	72370165
102	2024-11-02	776430
103	2024-11-07	8308806
104	2024-11-26	787269
105	2024-11-27	3168854
106	2024-11-28	3481365
107	2024-12-24	2910879
108	2025-03-02	1499279
109	2025-04-29	36134848
110	2025-05-09	2711368
