week_start	001_140709EXP_A1.nwb
2022-02-21	54659256
2022-03-07	13664814
2022-03-21	27329628
2022-03-28	13664814
2022-04-11	5527816
2022-04-25	2906656
2022-05-16	3368472
2022-06-06	13664814
2022-06-13	13664814
2022-07-04	2575480
2022-07-11	13664814
2022-08-01	286961094
2022-08-08	136648140
2022-08-15	68324070
2022-08-22	68324070
2022-08-29	109318512
2022-09-05	95653698
2022-09-26	27329628
2022-10-03	13664814
2022-10-17	13664814
2022-10-31	13664814
2023-01-02	27329628
2023-02-06	13664814
2023-02-13	54659256
2023-04-17	13664814
2023-04-24	13664814
2023-05-22	18172352
2023-05-29	30903374
2023-06-05	13055352
2023-06-12	35194886
2023-06-19	3797322438
2023-06-26	129531789
2023-07-03	17570952
2023-07-10	16594616
2023-07-17	13948344
2023-07-24	175008500
2023-07-31	101232988
2023-08-07	128185056
2023-08-14	84477046
2023-08-21	55849482
2023-08-28	51198524
2023-09-04	20135960
2023-09-11	20501672
2023-09-18	39633912
2023-09-25	18246536
2023-10-02	16883558
2023-10-09	2051664
2023-10-23	40994442
2023-10-30	4010912
2023-11-06	2220680
2023-11-13	19454795263
2023-11-20	23853706328
2023-11-27	4148768
2023-12-04	3559008
2023-12-11	3049680
2024-01-01	13664814
2024-01-22	53620726
2024-02-19	13664814
2024-03-04	40994442
2024-03-11	54176476
2024-03-18	425502458
2024-03-25	1844017554
2024-04-01	678624814
2024-04-08	2899657480
2024-04-15	3818534302
2024-04-22	3772684482
2024-04-29	4588577265
2024-05-06	4115457984
2024-05-13	2855367806
2024-05-20	2979025328
2024-05-27	4325965012
2024-06-03	3526266028
2024-06-10	1641027524
2024-07-08	63820800
2024-07-22	11547336
2024-08-26	17520096
2024-09-09	13664814
2024-09-16	6437308
2024-09-23	95653698
2024-09-30	27567469
2024-10-14	47312
2024-10-21	13664814
2024-10-28	13664814
2024-11-11	9224596
2024-11-18	27329628
2024-11-25	13664814
2025-04-21	13664814
2025-07-28	4554938
2025-08-18	13664814
2025-09-01	13664814
2025-09-08	40994442
2025-09-15	74136024
2025-09-22	52549274
2025-09-29	204073904
2025-10-06	57154996
2025-10-13	55558780
2025-10-20	4486788
2025-10-27	30829796
2025-11-03	22515846
2025-12-01	13664814
2025-12-08	35674368
2025-12-15	107927580
2025-12-29	13357614
2026-01-05	75921682
2026-01-12	27501752
2026-01-19	44965328
2026-01-26	65973252
2026-02-02	22383118
2026-02-09	45116506
2026-02-16	28660828
2026-02-23	25834046
2026-03-16	27432028
2026-03-23	13357614
