week_start	sub-RAT123/sub-RAT123.nwb
2021-04-19	34445736
2021-04-26	148945392
2021-05-03	70733088
2021-05-10	135490320
2021-05-17	97211016
2021-05-24	52410888
2021-05-31	41173272
2021-06-07	130153392
2021-06-14	43541064
2021-06-21	54776460
2021-06-28	88876764
2021-07-05	137132400
2021-07-12	76182768
2021-07-19	179491788
2021-07-26	101598948
2021-08-02	46106172
2021-08-09	44240948
2021-08-16	50287392
2021-08-23	51969276
2021-08-30	82487484
2021-09-06	63573336
2021-09-13	104201640
2021-09-20	89111664
2021-09-27	157138704
2021-10-04	200153592
2021-10-11	143899740
2021-10-18	86311656
2021-10-25	129890304
2021-11-01	70582752
2021-11-08	61055208
2021-11-15	53275320
2021-11-22	58142448
2021-11-29	110957364
2021-12-06	104107680
2021-12-13	135950724
2021-12-20	65161260
2021-12-27	74735784
2022-01-03	225466416
2022-01-10	301085424
2022-01-17	215957664
2022-01-24	246635604
2022-01-31	274973940
2022-02-07	148156128
2022-02-14	188477100
2022-02-21	204889176
2022-02-28	150129288
2022-03-07	155278296
2022-03-14	168038064
2022-03-21	209314692
2022-03-28	103111704
2022-04-04	162447444
2022-04-11	155464152
2022-04-18	278722944
2022-04-25	192756720
2022-05-02	189677052
2022-05-09	188371008
2022-05-16	117626304
2022-05-23	119338596
2022-05-30	158820588
2022-06-06	116284896
2022-06-13	106052652
2022-06-20	76351896
2022-06-27	191443500
2022-07-04	262050000
2022-07-11	171354852
2022-07-18	240988608
2022-07-25	202803264
2022-08-01	194929416
2022-08-08	114499656
2022-08-15	130228560
2022-08-22	112413744
2022-08-29	132399036
2022-09-05	146051424
2022-09-12	160727976
2022-09-19	107020440
2022-09-26	139643352
2022-10-03	194290488
2022-10-10	190776384
2022-10-17	135809784
2022-10-24	162494424
2022-10-31	102078144
2022-11-07	75374712
2022-11-14	56545128
2022-11-21	84714336
2022-11-28	186698520
2022-12-05	139549392
2022-12-12	118051344
2022-12-19	106080840
2022-12-26	44724960
2023-01-02	63911592
2023-01-09	56479356
2023-01-16	95707656
2023-01-23	84695544
2023-01-30	112789584
2023-02-06	174023316
2023-02-13	131995008
2023-02-20	309992832
2023-02-27	268199424
2023-03-06	198048888
2023-03-13	136617840
2023-03-20	89431128
2023-03-27	84319704
2023-04-03	245348352
2023-04-10	100555992
2023-04-17	151200432
2023-04-24	109162728
2023-05-01	56545128
2023-05-08	123557400
2023-05-15	178401852
2023-05-22	156256512
2023-05-29	62157792
2023-06-05	71760504
2023-06-12	68892504
2023-06-19	65237256
2023-06-26	61969872
2023-07-03	49398024
2023-07-10	61471884
2023-07-17	71816880
2023-07-24	54678576
2023-07-31	52498704
2023-08-07	96885408
2023-08-14	50224872
2023-08-21	50262456
2023-08-28	49607472
2023-09-04	49433388
2023-09-11	87094776
2023-09-18	51934944
2023-09-25	101571792
2023-10-02	62429760
2023-10-09	55943784
2023-10-16	111516684
2023-10-23	88930920
2023-10-30	117289207
2023-11-06	197294988
2023-11-13	116350668
2023-11-20	83234724
2023-11-27	123282696
2023-12-04	72130872
2023-12-11	152210760
2023-12-18	113343948
2023-12-25	54628344
2024-01-01	78757272
2024-01-08	78982776
2024-01-15	47959592
2024-01-22	101272496
2024-01-29	129495672
2024-02-05	104464728
2024-02-12	96496920
2024-02-19	75731760
2024-02-26	133103736
2024-03-04	80692848
2024-03-11	79057944
2024-03-18	126545328
2024-03-25	42394752
2024-04-01	22155768
2024-04-08	53068608
2024-04-15	80561304
2024-04-22	141268860
2024-04-29	155146752
2024-05-06	59495472
2024-05-13	69661944
2024-05-20	153286344
2024-05-27	67256568
2024-06-03	70282080
2024-06-10	89637840
2024-06-17	75092832
2024-06-24	63253872
2024-07-01	56883384
2024-07-08	88641864
2024-07-15	78400224
2024-07-22	115608384
2024-07-29	79565328
2024-08-05	104652648
2024-08-12	138948048
2024-08-19	83135808
2024-08-26	70056576
2024-09-02	90164016
2024-09-09	130905072
2024-09-16	86161320
2024-09-23	141484968
2024-09-30	90464688
2024-10-07	80373384
2024-10-14	87514344
2024-10-21	65189448
2024-10-28	72969336
2024-11-04	133348032
2024-11-11	157289040
2024-11-18	171326115
2024-11-25	262171182
2024-12-02	147861264
2024-12-09	149383347
2024-12-16	181263216
2024-12-23	86478660
2024-12-30	100158900
2025-01-06	136539336
2025-01-13	116770620
2025-01-20	162001860
2025-01-27	202685544
2025-02-03	267920391
2025-02-10	277936368
2025-02-17	203117820
2025-02-24	194191776
2025-03-03	328842543
2025-03-10	273266688
2025-03-17	320828061
2025-03-24	358204476
2025-03-31	457170237
2025-04-07	294651498
2025-04-14	380096916
2025-04-21	298626204
2025-04-28	360036576
2025-05-05	368540016
2025-05-12	347653716
2025-05-19	460327371
2025-05-26	368127132
2025-06-02	239649672
2025-06-09	190020786
2025-06-16	366210225
2025-06-23	260911725
2025-06-30	206181192
2025-07-07	229444992
2025-07-14	187183104
2025-07-21	423881124
2025-07-28	466342368
2025-08-04	504798297
2025-08-11	395261898
2025-08-18	844003524
2025-08-25	1273897254
2025-09-01	355283418
2025-09-08	444336480
2025-09-15	653929401
2025-09-22	485070039
2025-09-29	518126130
2025-10-06	762612235
2025-10-13	522932388
2025-10-20	414328272
2025-10-27	609111948
2025-11-03	447664929
2025-11-10	641531241
2025-11-17	782907659
2025-11-24	861552525
2025-12-01	677279322
2025-12-08	1234822881
2025-12-15	1577391336
2025-12-22	1499381919
2025-12-29	2241571911
2026-01-05	1269103875
2026-01-12	1134476898
2026-01-19	1355538036
2026-01-26	931965642
2026-02-02	648395901
2026-02-09	1044642603
2026-02-16	566046222
2026-02-23	701890902
2026-03-02	778949700
2026-03-09	888863040
2026-03-16	457492767
2026-03-23	482824821
2026-03-30	1237300788
2026-04-06	804685173
2026-04-13	515685135
2026-04-20	709221390
2026-04-27	665788461
2026-05-04	317335224
2026-05-11	241040736
2026-05-18	518454009
2026-05-25	373588440
2026-06-01	540542949
2026-06-08	294955248
2026-06-15	315975649
2026-06-22	538775448
2026-06-29	306953280
2026-07-06	515133600
2026-07-13	259071180
2026-07-20	275410905
2026-07-27	226166916
