week_start	sub-661968859/sub-661968859_ses-681698752_behavior+ophys.nwb	sub-664605504/sub-664605504_ses-686708257_behavior+ophys.nwb	sub-664605504/sub-664605504_ses-687293842_behavior+ophys.nwb	sub-664605504/sub-664605504_ses-691741646_behavior+ophys.nwb	sub-664605504/sub-664605504_ses-692799916_behavior+ophys.nwb	sub-664605504/sub-664605504_ses-696130311_behavior+ophys.nwb	sub-664744816/sub-664744816_ses-689705421_behavior+ophys.nwb	sub-664744816/sub-664744816_ses-690759629_behavior+ophys.nwb	sub-664744816/sub-664744816_ses-693163510_behavior+ophys.nwb	sub-664744816/sub-664744816_ses-698999602_behavior+ophys.nwb	sub-666788991/sub-666788991_ses-695169813_behavior+ophys.nwb	sub-666788991/sub-666788991_ses-695746063_behavior+ophys.nwb	sub-666839638/sub-666839638_ses-692308988_behavior+ophys.nwb	sub-671540231/sub-671540231_ses-693163207_behavior+ophys.nwb	sub-673580710/sub-673580710_ses-694862252_behavior+ophys.nwb	sub-673580710/sub-673580710_ses-696247907_behavior+ophys.nwb	sub-673728456/sub-673728456_ses-697392152_behavior+ophys.nwb	sub-673728456/sub-673728456_ses-698783733_behavior+ophys.nwb	sub-675861517/sub-675861517_ses-697608599_behavior+ophys.nwb	sub-675881553/sub-675881553_ses-695633877_behavior+ophys.nwb	sub-675881553/sub-675881553_ses-700599622_behavior+ophys.nwb	sub-699590236/sub-699590236_ses-718204062_behavior+ophys.nwb	sub-699590236/sub-699590236_ses-718651940_behavior+ophys.nwb	sub-699590236/sub-699590236_ses-718830277_behavior+ophys.nwb	sub-699590236/sub-699590236_ses-719893937_behavior+ophys.nwb	sub-699590236/sub-699590236_ses-720757419_behavior+ophys.nwb	sub-746910369/sub-746910369_ses-766321179_behavior+ophys.nwb	sub-746910369/sub-746910369_ses-766830331_behavior+ophys.nwb	sub-746910369/sub-746910369_ses-767441755_behavior+ophys.nwb	sub-746910369/sub-746910369_ses-768253493_behavior+ophys.nwb	sub-746910369/sub-746910369_ses-768939823_behavior+ophys.nwb	sub-746910369/sub-746910369_ses-769667208_behavior+ophys.nwb	sub-746926904/sub-746926904_ses-769667739_behavior+ophys.nwb	sub-746926904/sub-746926904_ses-770127462_behavior+ophys.nwb	sub-746926904/sub-746926904_ses-770687839_behavior+ophys.nwb	sub-746926904/sub-746926904_ses-771835340_behavior+ophys.nwb	sub-753852001/sub-753852001_ses-771658602_behavior+ophys.nwb	sub-753852001/sub-753852001_ses-772172502_behavior+ophys.nwb	sub-753852001/sub-753852001_ses-775065195_behavior+ophys.nwb	sub-754469470/sub-754469470_ses-777309974_behavior+ophys.nwb	sub-754469470/sub-754469470_ses-778292916_behavior+ophys.nwb	sub-759066288/sub-759066288_ses-778165960_behavior+ophys.nwb	sub-759066288/sub-759066288_ses-779940237_behavior+ophys.nwb	sub-759066288/sub-759066288_ses-782420243_behavior+ophys.nwb	sub-759066288/sub-759066288_ses-786264766_behavior+ophys.nwb	sub-759066288/sub-759066288_ses-787347373_behavior+ophys.nwb	sub-760696809/sub-760696809_ses-777331050_behavior+ophys.nwb	sub-760696809/sub-760696809_ses-778299488_behavior+ophys.nwb	sub-760933183/sub-760933183_ses-799095423_behavior+ophys.nwb	sub-760933183/sub-760933183_ses-799890062_behavior+ophys.nwb	sub-760933183/sub-760933183_ses-800151868_behavior+ophys.nwb	sub-760933183/sub-760933183_ses-803063130_behavior+ophys.nwb	sub-760940732/sub-760940732_ses-794590232_behavior+ophys.nwb	sub-760940732/sub-760940732_ses-795204547_behavior+ophys.nwb	sub-760940732/sub-760940732_ses-797356052_behavior+ophys.nwb	sub-760940732/sub-760940732_ses-798500537_behavior+ophys.nwb	sub-760940732/sub-760940732_ses-799645540_behavior+ophys.nwb	sub-760940732/sub-760940732_ses-803237009_behavior+ophys.nwb	sub-760984688/sub-760984688_ses-788822860_behavior+ophys.nwb	sub-760984688/sub-760984688_ses-789848743_behavior+ophys.nwb	sub-763247322/sub-763247322_ses-790856463_behavior+ophys.nwb	sub-763248171/sub-763248171_ses-802548622_behavior+ophys.nwb	sub-763832038/sub-763832038_ses-796527576_behavior+ophys.nwb	sub-763832038/sub-763832038_ses-797559679_behavior+ophys.nwb	sub-763832038/sub-763832038_ses-798725363_behavior+ophys.nwb	sub-765991985/sub-765991985_ses-791540398_behavior+ophys.nwb	sub-765991985/sub-765991985_ses-792316062_behavior+ophys.nwb	sub-765991985/sub-765991985_ses-793855640_behavior+ophys.nwb	sub-769316535/sub-769316535_ses-804919130_behavior+ophys.nwb	sub-769316535/sub-769316535_ses-805615556_behavior+ophys.nwb	sub-769316535/sub-769316535_ses-806172153_behavior+ophys.nwb	sub-769316535/sub-769316535_ses-806835465_behavior+ophys.nwb	sub-772622312/sub-772622312_ses-797729073_behavior+ophys.nwb	sub-772622312/sub-772622312_ses-798938968_behavior+ophys.nwb	sub-772622312/sub-772622312_ses-799774167_behavior+ophys.nwb	sub-772656187/sub-772656187_ses-797612122_behavior+ophys.nwb	sub-772656187/sub-772656187_ses-798920347_behavior+ophys.nwb	sub-772656187/sub-772656187_ses-799787572_behavior+ophys.nwb
2021-04-19	64185768	25297480	50331648	58336904	50331648	50331648	16777216	33554432	50331648	39098760	109051904	46847072	234881024	568555000	28180744	41943040	125829120	67108864	196921144	274622576	411041792	189723808	58720256	101399856	327155712	301989888	348871736	155212800	310378496	238428368	275407600	436754272	302951552	226492416	8388608	428444456	125829120	166713392	0	88476080	159383552	36386504	0	0	58681160	69712872	25165824	58720256	25165824	33727048	25165824	25165824	0	25165824	33554432	0	64267656	16777216	16777216	25165824	25165824	25165824	16777216	25165824	25165824	150994944	159383552	58720256	336420960	109051904	72132936	83886080	347718696	186149792	403988456	212368056	177282448	209296792
2021-04-26	0	0	0	0	0	0	0	0	0	0	2986380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12940980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7698224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-03	139683240	0	0	0	144914632	9091868	21070101	72781272	0	0	0	9158232	0	0	6039124	0	0	6702764	0	0	0	0	0	7266389	0	0	0	0	0	0	0	0	14467352	0	0	0	0	0	0	0	0	7730937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9721857	0	8925489	0	0	0	0	0	5110028	0	0	0	0	0	0	0	0
2021-05-10	0	0	0	0	0	0	50594504	0	100529096	0	0	0	0	0	78512392	0	0	0	389859128	0	805143456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-07	139683240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344669488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-07-05	698416200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-07-26	15330084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-16	1117465920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-23	47881157	0	0	0	0	0	0	0	0	0	289127312	266370336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-09-20	22331017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-09-27	172267964	67240520	0	0	261531040	0	0	72781272	0	0	0	44164773	1412524256	1306752504	0	123008040	0	178196224	0	0	0	0	339074160	0	0	538845880	516643896	0	0	0	610951920	638080864	0	378182032	400142520	621382440	199770328	217045040	0	205916592	222558720	0	0	72786824	117401416	0	0	150443320	84054376	84058696	89434952	117420568	33385624	0	84064456	0	0	0	55507712	0	95180760	89434952	55624296	0	0	0	533306784	0	205959216	0	156019016	0	901366824	689466272	0	0	294722960	410623384
2021-10-04	10451861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-01	419049720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
