week_start	sub-F1/sub-F1_ses-20190407T210000_behavior+ophys.nwb	sub-F1/sub-F1_ses-20190409T210000_behavior+ophys.nwb	sub-F1/sub-F1_ses-20190411T210000_behavior+ophys.nwb	sub-F1/sub-F1_ses-20190413T210000_behavior+ophys.nwb	sub-F1/sub-F1_ses-20190414T210000_behavior+ophys.nwb	sub-F1/sub-F1_ses-20190415T210000_behavior+ophys.nwb	sub-F1/sub-F1_ses-20190416T210000_behavior+ophys.nwb	sub-F2/sub-F2_ses-20190407T210000_behavior+ophys.nwb	sub-F2/sub-F2_ses-20190409T210000_behavior+ophys.nwb	sub-F2/sub-F2_ses-20190411T210000_behavior+ophys.nwb	sub-F2/sub-F2_ses-20190413T210000_behavior+ophys.nwb	sub-F2/sub-F2_ses-20190414T210000_behavior+ophys.nwb	sub-F2/sub-F2_ses-20190415T210000_behavior+ophys.nwb	sub-F2/sub-F2_ses-20190416T210000_behavior+ophys.nwb	sub-F2/sub-F2_ses-20190417T210000_behavior+ophys.nwb	sub-F3/sub-F3_ses-20190407T210000_behavior+ophys.nwb	sub-F3/sub-F3_ses-20190409T210000_behavior+ophys.nwb	sub-F3/sub-F3_ses-20190411T210000_behavior+ophys.nwb	sub-F3/sub-F3_ses-20190413T210000_behavior+ophys.nwb	sub-F3/sub-F3_ses-20190414T210000_obj-7vehp4_behavior+ophys.nwb	sub-F3/sub-F3_ses-20190414T210000_obj-n4e7d4_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190407T210000_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190409T210000_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190411T210000_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190413T210000_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190414T210000_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190415T210000_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190416T210000_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190417T210000_behavior+ophys.nwb	sub-F5/sub-F5_ses-20190418T210000_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190209T210000_obj-bxnk6r_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190209T210000_obj-ecljfx_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190211T210000_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190214T210000_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190216T210000_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190218T210000_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190220T210000_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190221T210000_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190222T210000_behavior+ophys.nwb	sub-R1/sub-R1_ses-20190223T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190206T210000_obj-16d9pmi_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190206T210000_obj-1m6ibdg_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190206T210000_ophys.nwb	sub-R2/sub-R2_ses-20190209T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190211T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190214T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190216T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190217T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190218T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190219T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190220T210000_behavior+ophys.nwb	sub-R2/sub-R2_ses-20190221T210000_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190209T210000_obj-1m489i9_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190209T210000_obj-1uiqbl9_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190211T210000_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190214T210000_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190216T210000_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190218T210000_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190220T210000_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190221T210000_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190222T210000_behavior+ophys.nwb	sub-R3/sub-R3_ses-20190223T210000_behavior+ophys.nwb	sub-R4/sub-R4_ses-20190824T210000_behavior+ophys.nwb	sub-R4/sub-R4_ses-20190827T210000_behavior+ophys.nwb	sub-R4/sub-R4_ses-20190829T210000_behavior+ophys.nwb	sub-R4/sub-R4_ses-20190901T210000_behavior+ophys.nwb	sub-R4/sub-R4_ses-20190901T210000_ophys.nwb	sub-R4/sub-R4_ses-20190902T210000_behavior+ophys.nwb	sub-R4/sub-R4_ses-20190903T210000_behavior+ophys.nwb	sub-R4/sub-R4_ses-20190904T210000_behavior+ophys.nwb	sub-R4/sub-R4_ses-20190905T210000_behavior+ophys.nwb	sub-R5/sub-R5_ses-20200313T210000_ophys.nwb	sub-R5/sub-R5_ses-20200317T210000_behavior+ophys.nwb	sub-R5/sub-R5_ses-20200319T210000_behavior+ophys.nwb	sub-R5/sub-R5_ses-20200320T210000_behavior+ophys.nwb	sub-R5/sub-R5_ses-20200321T210000_behavior+ophys.nwb	sub-R6/sub-R6_ses-20200207T210000_ophys.nwb	sub-R6/sub-R6_ses-20200208T210000_behavior+ophys.nwb	sub-R6/sub-R6_ses-20200209T210000_obj-1ouyda4_behavior+ophys.nwb	sub-R6/sub-R6_ses-20200209T210000_obj-1plurd8_behavior+ophys.nwb	sub-R6/sub-R6_ses-20200210T210000_obj-10qdhbr_behavior+ophys.nwb	sub-R6/sub-R6_ses-20200210T210000_obj-1t1rfdq_behavior+ophys.nwb	sub-R6/sub-R6_ses-20200210T210000_obj-qb15q4_ophys.nwb	sub-R6/sub-R6_ses-20200210T210000_obj-r0awni_ophys.nwb
2021-04-19	13385204298	12007519865	12700352512	11383341056	13467732966	12591954386	12733906944	14260633600	12892399242	12166478181	16098683524	12633243648	1417674752	13061062656	13319886513	10309599232	9169196774	13127261249	11579404009	5670699008	9395240960	9839837184	5947523072	13329552194	12524191744	11555439917	10661920768	9558091379	11525947392	14822670336	7365197824	5855248384	7499835127	10963910656	9034530816	14889062842	12557270835	14569095481	11542724608	8908701696	5821693952	5972688896	8717373	5268045824	6660554752	7784628224	10044272238	11025016833	9727608844	11710496768	10359930880	11106516992	6744440832	6948146500	24145994174	28432044473	11291066368	12180258816	10868173545	11606693304	11050046460	11593056256	11819548672	9042919424	6685720576	11484004352	1241513984	28706473623	9286189056	10423918383	9638510592	13969158792	12224173641	10158604288	11492392960	15100302840	16130541767	13388218368	13438550016	15334375424	12535959450	12641645729	4638900224	7121928192
2021-04-26	0	0	0	5640940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10286420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7631860	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-03	10496988392	0	0	0	9883916748	0	0	0	0	0	0	0	11115501	0	0	10319133	0	0	0	0	0	0	0	0	0	0	0	0	0	9622780	0	0	0	0	7432768	0	0	0	15927360	0	0	0	0	4446388	0	0	0	0	0	0	0	0	0	9058217	10120041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8925489	14799172	7499132	0	0	0
2021-06-07	0	0	0	0	0	0	0	8248426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-14	0	0	0	0	0	0	0	2660586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-21	5296873552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10741056244	0
2021-06-28	0	3052744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-07-05	0	0	0	0	0	0	0	1859107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-07-26	0	0	0	0	0	0	0	2345814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-02	0	0	0	0	0	0	0	212832	0	0	0	0	0	0	0	0	0	0	0	9695045878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-09	0	0	0	0	0	0	0	3092390	0	0	0	0	14445081851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6660554752
2021-08-16	0	5110028	475435701	493022161	476364797	0	0	61279189870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-23	29843653194	0	0	0	0	0	0	9237421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-09-06	309249316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-09-20	0	0	0	0	0	0	0	4017853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-09-27	29843653194	234275849	116383665	71157068	0	69397953	0	42505673	55446653	0	0	0	0	0	84728037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-04	0	0	0	0	0	0	0	1717553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-11	0	0	0	0	0	0	0	13483460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6702764	0	0	0	0	0	0	6570036	0	0	0	0	0	0	18083721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-18	0	0	0	0	0	0	0	46569392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-25	0	0	0	0	0	0	0	103122362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-01	0	0	0	0	0	0	0	25300394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-08	60623045	0	0	0	0	0	0	8822500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-15	0	0	0	0	0	0	0	8737164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15674855390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-29	0	0	0	0	0	0	0	112864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-12-06	84828052	0	0	0	0	0	0	22982037	0	0	0	0	47184804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25078816559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-12-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52334658498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25882234778	0	0	0
2022-01-03	0	0	0	1702043537	11280360989	0	0	30669627955	0	12110961	0	27726597166	17693928733	12972948125	13299466058	0	0	0	0	9695045878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-01-10	59687306388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
