week_start	sub-01/sub-01_ses-3_behavior+ecephys.nwb	sub-01/sub-01_ses-4_behavior+ecephys.nwb	sub-01/sub-01_ses-5_behavior+ecephys.nwb	sub-01/sub-01_ses-7_behavior+ecephys.nwb	sub-02/sub-02_ses-3_behavior+ecephys.nwb	sub-02/sub-02_ses-4_behavior+ecephys.nwb	sub-02/sub-02_ses-5_behavior+ecephys.nwb	sub-02/sub-02_ses-6_behavior+ecephys.nwb	sub-03/sub-03_ses-3_behavior+ecephys.nwb	sub-03/sub-03_ses-4_behavior+ecephys.nwb	sub-03/sub-03_ses-5_behavior+ecephys.nwb	sub-03/sub-03_ses-6_behavior+ecephys.nwb	sub-04/sub-04_ses-3_behavior+ecephys.nwb	sub-04/sub-04_ses-4_behavior+ecephys.nwb	sub-04/sub-04_ses-5_behavior+ecephys.nwb	sub-04/sub-04_ses-6_behavior+ecephys.nwb	sub-04/sub-04_ses-7_behavior+ecephys.nwb	sub-05/sub-05_ses-3_behavior+ecephys.nwb	sub-05/sub-05_ses-4_behavior+ecephys.nwb	sub-05/sub-05_ses-7_behavior+ecephys.nwb	sub-06/sub-06_ses-3_behavior+ecephys.nwb	sub-06/sub-06_ses-4_behavior+ecephys.nwb	sub-06/sub-06_ses-5_behavior+ecephys.nwb	sub-06/sub-06_ses-6_behavior+ecephys.nwb	sub-06/sub-06_ses-7_behavior+ecephys.nwb	sub-07/sub-07_ses-3_behavior+ecephys.nwb	sub-07/sub-07_ses-4_behavior+ecephys.nwb	sub-07/sub-07_ses-5_behavior+ecephys.nwb	sub-07/sub-07_ses-6_behavior+ecephys.nwb	sub-07/sub-07_ses-7_behavior+ecephys.nwb	sub-08/sub-08_ses-3_behavior+ecephys.nwb	sub-08/sub-08_ses-4_behavior+ecephys.nwb	sub-08/sub-08_ses-5_behavior+ecephys.nwb	sub-08/sub-08_ses-6_behavior+ecephys.nwb	sub-08/sub-08_ses-7_behavior+ecephys.nwb	sub-09/sub-09_ses-3_behavior+ecephys.nwb	sub-09/sub-09_ses-4_behavior+ecephys.nwb	sub-09/sub-09_ses-5_behavior+ecephys.nwb	sub-09/sub-09_ses-6_behavior+ecephys.nwb	sub-09/sub-09_ses-7_behavior+ecephys.nwb	sub-10/sub-10_ses-3_behavior+ecephys.nwb	sub-10/sub-10_ses-4_behavior+ecephys.nwb	sub-10/sub-10_ses-5_behavior+ecephys.nwb	sub-10/sub-10_ses-6_behavior+ecephys.nwb	sub-10/sub-10_ses-7_behavior+ecephys.nwb	sub-11/sub-11_ses-3_behavior+ecephys.nwb	sub-11/sub-11_ses-4_behavior+ecephys.nwb	sub-11/sub-11_ses-5_behavior+ecephys.nwb	sub-11/sub-11_ses-6_behavior+ecephys.nwb	sub-11/sub-11_ses-7_behavior+ecephys.nwb	sub-12/sub-12_ses-3_behavior+ecephys.nwb	sub-12/sub-12_ses-4_behavior+ecephys.nwb	sub-12/sub-12_ses-5_behavior+ecephys.nwb	sub-12/sub-12_ses-6_behavior+ecephys.nwb	sub-12/sub-12_ses-7_behavior+ecephys.nwb
2021-06-07	14820431813	27661633283	28203714954	16183631463	23008599792	10871635968	10701478324	10678697984	21238235235	22134581672	9663676416	21473635051	6192576049	9903459546	22573047078	21128038528	11083619428	18548103839	28755000802	27732356450	15180208465	22381143060	21377249084	21937674686	9769387974	17409703558	6283067392	18796438670	17123476283	8023502249	26231882592	34393178955	35864902920	34412018374	34411097414	65094755190	18516907626	35998646806	34054664246	35410688788	32460927750	30932121498	33209175246	12461002590	32706420688	10369984557	28058679577	28917734062	29401109018	10194776937	31738199506	32813293234	33498937952	32870647435	31808402828
2021-06-14	0	37804364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-21	6347830188	4339584768	3958548229	2286865136	928599480	4316592	4852026	3849921	9512427	8664171	6311980	4162664	1645291	5824473	1951949	3527885	8308043	3712490	3665717	7886362	10529515	6197346	11346561	5129473	2117908	6829492	4232293	8079426	6103731	4779660	10601121	10594646	4220548	10799351	6169935	1702726	1433627	2294181	2143596	1974893	8399052	6279429	2642993	7258125	10541542	5399662	3044921	9546570	6188973	4139445	13533634	8237760	9682077	14172187	8875506
2021-06-28	16136348111	227632694	16056764020	2597322551	16305436828	18610323731	0	16407772718	15374054791	15410802929	12882908477	12766259947	8423945777	13233736922	0	12991088768	0	17155594911	17170906865	16978351793	0	12885238804	0	0	12849759318	10021863235	10395219939	10409046599	0	10389089705	14919492016	14898053963	0	0	0	0	19741644394	0	19678132251	19584392586	19715930499	19723279309	0	0	19486355432	17160159566	16985717017	17130638679	17150028045	17065046889	19928317351	0	19949722928	19968968331	19611966150
2021-07-12	530038	1889310	433944	207536	276846	229120	80568	268424	468776	227864	202040	210768	178964	193272	228664	77896	267568	352930	196864	219248	444024	0	174120	217360	84592	411672	204496	0	203544	161056	170932	231928	231528	78752	268288	275110	308896	308504	308584	309616	444486	87944	303392	304376	303816	386778	246528	290216	289616	289656	488628	128376	86440	303464	303784
2021-07-26	0	995816	0	22051654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-02	6319908	2302392	1900400	1456709196	772826530	1136984	1217664	874974460	716604346	386832832	303040	561944	2916416	303248	615576	788320	530488	4517882	542168	735088	3442936	480824	691560	523744	393216	4576400	503248	533224	586032	693432	3413748	509440	719376	393480	353840	4224192	881520	703376	710224	841008	3933490	821904	732896	870544	620064	2562138	246528	129712	289616	85912	3556840	261200	259104	43184	303784
2021-08-09	0	0	0	0	0	0	0	0	0	0	0	8764893931	0	0	0	7949535360	0	11753331359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-23	0	210931118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20043726470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
