date	bytes_sent
2021-04-23	207733008367
2021-06-05	2906893048
2021-06-11	303013155
2021-06-18	65567632
2021-07-03	4080917
2021-07-19	3606049723
2021-10-06	190167361
2022-01-23	2672811531
2022-02-17	2994145183
2022-02-18	206734448
2022-03-08	3664770061
2022-03-14	1081345
2022-03-17	1219674976
2022-04-13	8957880840
2022-04-25	589640
2022-05-17	727536
2022-06-27	13703697
2022-07-12	71897681841
2022-07-13	86093046318
2022-07-14	38372514293
2022-07-15	13270380365
2022-07-31	2672811531
2022-08-01	68682182151
2022-08-02	5099272896
2022-08-03	11318031000
2022-08-07	5354422214
2022-08-08	57901276697
2022-08-09	6432305439
2022-08-10	7188708868
2022-08-11	13045085022
2022-08-12	19689022111
2022-08-13	10349890438
2022-08-24	13404871515
2022-08-25	115700403061
2022-08-26	34256810821
2022-08-27	13621014307
2022-08-28	22384846212
2022-08-29	24617629493
2022-08-30	134882354999
2022-08-31	48939132033
2022-09-01	3918478134
2022-09-06	2612318756
2022-09-10	7836956268
2022-09-11	7836956268
2022-11-04	863861048
2023-02-10	2558142447
2023-02-16	2672811531
2023-02-17	2672811531
2023-02-22	2614726263
2023-03-05	76749242
2023-03-10	200785043
2023-03-30	686632
2023-04-11	2672811531
2023-04-12	2614726263
2023-04-13	2963782803
2023-04-14	63103673085
2023-04-28	1306159378
2023-05-08	2672811531
2023-05-14	1306159378
2023-05-23	1455072
2023-05-25	1455072
2023-05-26	1455072
2023-05-27	727536
2023-05-28	727536
2023-05-29	727536
2023-05-30	876512
2023-05-31	727536
2023-06-01	727536
2023-06-02	655664
2023-06-03	727536
2023-06-04	727536
2023-06-05	727536
2023-06-06	727536
2023-06-07	727536
2023-06-08	727536
2023-06-09	727536
2023-06-10	727536
2023-06-11	727536
2023-06-12	727536
2023-06-13	727536
2023-06-14	727536
2023-06-15	727536
2023-06-16	727536
2023-06-17	1455072
2023-06-18	727536
2023-06-19	727536
2023-06-20	727536
2023-06-21	721200
2023-06-22	727536
2023-06-23	727536
2023-06-24	2910144
2023-06-25	496171860
2023-06-26	291157960
2023-06-27	727536
2023-06-28	727536
2023-06-29	727536
2023-06-30	727536
2023-07-01	137026711
2023-07-02	727536
2023-07-03	31133099
2023-07-04	727536
2023-07-05	727536
2023-07-06	727536
2023-07-07	727536
2023-07-08	727536
2023-07-09	727536
2023-07-10	727536
2023-07-11	727536
2023-07-12	727536
2023-07-13	727536
2023-07-14	15133804
2023-07-15	727536
2023-07-16	727536
2023-07-17	47919947
2023-07-18	379910684
2023-07-19	727536
2023-07-20	46139910
2023-07-21	727536
2023-07-22	727536
2023-07-23	727536
2023-07-24	727536
2023-07-25	1340913327
2023-07-26	727536
2023-07-27	727536
2023-07-28	727536
2023-07-29	2613046292
2023-07-30	727536
2023-07-31	727536
2023-08-01	727536
2023-08-02	727536
2023-08-03	727536
2023-08-04	727536
2023-08-05	727536
2023-08-06	727536
2023-08-07	727536
2023-08-08	727536
2023-08-09	727536
2023-08-10	727536
2023-08-11	727536
2023-08-12	727536
2023-08-13	727536
2023-08-14	727536
2023-08-15	727536
2023-08-16	727536
2023-08-17	727536
2023-08-18	727536
2023-08-19	207733735903
2023-08-20	727536
2023-08-21	727536
2023-08-22	727536
