week_start	sub-Rat08/sub-Rat08_ses-Rat08-20130708_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130709_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130710_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130711_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130712_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130713_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130715_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130716_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130717_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130718_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130719_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130720_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130722_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140324_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140325_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140326_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140328_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140329_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140402_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140403_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140404_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140405_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140407_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140624_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140626_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140701_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140702_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140704_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140705_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140708_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150313_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150315_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150316_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150325_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150326_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150327_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150328_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150331_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150401_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150403_ecephys+image.nwb
2021-04-19	47437578240	46603344887	51577850090	39678115840	46626028132	131752661406	6811549696	13186891776	40550804998	15037479248	6912212992	6996099072	8749318144	140725994110	32631685120	36722301097	16206589306	30518617218	33637855709	26891271994	53427044352	22775070720	21852323840	8321499136	6962544640	21029997071	9923723264	11172141900	10966254083	12038442927	9674882800	8287944704	8246001664	7074644237	8074503812	8781150042	9339248206	9529458688	9039049142	4110417920
2021-04-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8494592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-03	56430460	0	0	0	0	0	0	0	6105488	0	0	0	0	0	0	0	0	0	0	0	0	0	8328213	0	0	0	0	0	3849112	0	0	0	0	0	0	0	0	0	8826412	0
2021-05-24	49242088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-07	12840965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-07-19	0	0	0	0	0	0	191755316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-04	220408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-11	0	0	0	0	0	0	0	0	0	0	0	0	0	6801841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-15	0	0	0	0	0	253653940787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-01-17	0	0	0	0	0	0	0	0	0	10234101760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-02-14	0	0	0	11277888641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	1339464074	1252184298	1231908146	1224417318	1188679247	45310719	1595406690	1613849131	1604599881	1724216968	1334114767	1176368775	1228086379	1091849371	974401394	952833118	1414430477	1034483598	1123227462	1186794901	135043461	1193985430	62072647	255669260	242304250	197160855	155410625	113254848	274781385	127635521	295373347	187003804	313290409	302201308	279562839	125966698	187675259	269421909	220398283	113945885
2022-04-25	0	0	0	0	0	0	0	0	0	785313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-16	0	0	0	233568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-27	0	0	0	0	0	0	0	0	0	0	0	0	0	11680064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	47043442284	52028199040	39012837408	50866970812	43146971112	128266343573	7964929312	18236802115	13233029120	19055876020	7291783388	7040187303	6453534352	54081895559	33963258853	37498815190	17364886819	34046988889	34919266767	27922997164	25596679741	27227416085	19837323167	8654932188	7812894384	14193338024	11848908800	9200819020	9428571396	8388608000	6801784560	7130316800	8610821551	6277726477	7449116997	8762497545	8705466231	9751756800	8032092160	3203059682
2022-07-25	0	0	0	0	0	0	0	0	0	13317814608	0	6754974631	0	46833598464	0	0	0	0	0	0	0	0	0	0	8446661707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	0	0	0	0	0	0	0	0	0	0	0	0	6656144341	0	0	0	0	0	0	0	0	21575499776	21382561792	0	0	0	0	0	0	0	0	0	7478809850	0	7457472512	36214478682	8164843086	0	0	3900702720
2022-08-08	38024800401	30601641984	45789710570	41339060224	28523412068	126164664320	8589934592	11811160064	10737418240	0	12348030976	0	0	0	16106127360	34658703529	13958643712	37103674498	34174726621	38291390266	33285996544	0	0	8768238561	0	15359298063	8589934592	12505930572	8053063680	5368709120	14406057712	10000710534	0	10522362125	0	0	0	2147483648	8053063680	0
2022-08-22	27394756345	35145622668	65679037485	0	37795712204	94489280510	17135971204	18897856102	29297978904	57412150974	0	15932111783	0	169311630677	56145022427	63002882048	10487117766	24105932721	56693568306	30749015184	18897856102	32375537464	37795712204	0	6388779640	17208102370	22704891241	20022123340	21955330563	19252645807	0	0	18602104058	0	16077235844	16407075027	4259427181	19866066653	0	9410629602
2022-08-29	0	0	0	76214446998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38475791840	19664386950	0	0	0	0	0	0	0	0
2022-10-03	104189048130	1377117457	106456123626	96509496136	1627469192	0	18972431561	0	28898891523	35073974036	70260685	0	74209812	97974100287	0	0	40927817082	72000283778	162838733754	0	0	0	44605832742	0	17825125451	0	0	0	0	19252645807	19237895920	19664386950	0	0	0	0	0	0	16798511542	0
2022-11-14	0	0	5242880	0	0	5242880	5242880	5242880	5242880	0	10485760	12343704	5242880	0	0	0	5242880	13571093	5242880	5242880	0	0	0	15628377	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
