week_start	sub-001/sub-001.nwb
2021-04-19	100663296
2022-04-11	336856
2022-05-16	110808
2022-07-11	70413196
2022-07-25	218366752
2022-08-01	2528126336
2022-08-08	1310200512
2022-08-15	873467008
2022-08-22	655100256
2022-08-29	2183667520
2022-09-05	1528567264
2022-12-12	25251033
2023-01-02	26544662
2023-02-06	49871139
2023-04-03	588171000
2023-04-10	295444141
2023-04-17	653504068
2023-04-24	607211122
2023-05-01	1141724428
2023-05-08	750058060
2023-05-15	908201596
2023-05-22	777360662
2023-05-29	837250634
2023-06-05	669776894
2023-06-12	832086895
2023-06-19	86183824
2023-06-26	948242542
2023-07-03	858963380
2023-07-10	736650376
2023-07-17	793724049
2023-07-24	1352504427
2023-07-31	269445041
2023-08-07	495116064
2023-08-14	876275244
2023-08-21	857657204
2023-08-28	889889472
2023-09-04	859470728
2023-09-11	624780292
2023-09-18	699643112
2023-09-25	645957072
2023-10-02	839838500
2023-10-09	711195836
2023-10-16	550088712
2023-10-23	392603564
2023-10-30	870571076
2023-11-06	752150164
2023-11-13	408866004
2023-11-20	54535256
2023-11-27	300504
2023-12-04	8853552
2023-12-11	218366752
2024-01-01	436733504
2024-01-08	26213780
2024-01-22	218366752
2024-03-04	393386236
2024-03-11	727101864
2024-03-18	358342732
2024-03-25	264646036
2024-04-01	154127356
2024-04-08	512655888
2024-04-15	407474124
2024-04-22	378515600
2024-04-29	413128684
2024-05-06	607752580
2024-05-13	238488968
2024-05-20	421003184
2024-05-27	542493456
2024-06-03	464162676
2024-06-10	188033912
2024-07-08	7428600
2024-08-26	21990716
2024-09-09	46666432
2024-09-16	394016
2024-10-21	8428228
2024-12-02	109577792
2025-03-03	27264
2025-03-10	27264
2025-03-17	36352
2025-03-24	36352
2025-03-31	27264
2025-04-07	36352
2025-04-14	18176
2025-04-21	18176
2025-04-28	9088
2025-08-04	18176
2025-08-11	316115200
2025-08-18	9088
2025-08-25	18176
2025-09-01	18176
2025-09-22	18176
2025-09-29	357152
2025-10-06	16051752
2025-10-13	18176
2025-10-27	9088
2025-11-03	18176
2025-11-17	9088
2025-11-24	15595540
2025-12-08	1746934016
2025-12-15	536348224
2026-01-12	634128736
2026-02-16	4895236
2026-02-23	4247296
2026-03-23	357152
