week_start	sub-mgh191021520/ses-20210124/microscopy/sub-mgh191021520_ses-20210124_sample-150slab_SPIM.h5	sub-mgh191021520/ses-20210124/microscopy/sub-mgh191021520_ses-20210124_sample-150slab_SPIM.json
2021-05-10	2542027975111	641
2021-05-24	185662168	0
2021-06-07	139306332	0
2021-06-14	46435444	0
2022-01-24	49208437	0
2022-07-11	2600338907037	641
2022-08-08	2542027975111	641
2022-08-22	2542027975111	0
2022-08-29	0	641
2022-12-26	528049340	0
2024-07-22	13007344	641
2024-08-26	18581920	1282
2024-09-09	3545467039925	641
2024-10-14	95298704	641
2024-11-04	8892776	641
2025-01-20	0	641
2025-02-03	26611964	0
2025-05-12	113418060	0
2025-08-11	8207062513696	641
2025-08-18	4360027940016	0
2025-08-25	13490373829185	0
2025-09-01	0	641
2025-09-29	9893944	0
2025-12-15	83153264	2564
2025-12-29	11628326480926	0
2026-01-12	0	1923
2026-01-26	2542027975111	641
2026-02-23	2542027975111	0
2026-03-23	51100280	0
2026-04-13	6769128	0
2026-04-20	10153692	1923
2026-06-15	1128188	641
2026-06-22	2824515326562	1282
