week_start	PS_Stimsets-20190906.nwb
2021-05-17	22517626
2021-05-24	39294842
2021-06-14	196474210
2021-08-23	39294842
2021-09-06	39294842
2021-10-11	78589684
2021-10-18	78589684
2021-11-01	39294842
2021-11-08	314358736
2021-11-15	78589684
2021-11-22	117884526
2021-11-29	142371904
2021-12-20	78589684
2022-01-17	39294842
2022-02-14	39294842
2022-02-21	39294842
2022-02-28	117884526
2022-03-21	229854364
2022-04-04	130029138
2022-04-11	4150956
2022-05-09	39294842
2022-05-16	1495821
2022-07-11	57618164
2022-07-18	78589684
2022-07-25	39294842
2022-08-01	707307156
2022-08-08	864486524
2022-08-15	314358736
2022-08-22	117884526
2022-08-29	275063894
2022-09-05	314358736
2022-10-17	39294842
2023-05-08	39294842
2023-05-22	15407114
2023-05-29	19349874
2023-06-05	11626820
2023-06-12	17814561
2023-06-19	245477327
2023-06-26	76443035
2023-07-03	8500278
2023-07-10	13172256
2023-07-17	13129921
2023-07-24	10688628
2023-07-31	7718019
2023-08-07	15723143
2023-08-14	13663911
2023-08-21	11437767
2023-08-28	100022139
2023-09-04	11429558
2023-09-11	22351015
2023-09-18	18033246
2023-09-25	14357677
2023-10-02	2869557
2023-10-09	5557294
2023-10-23	41841217
2023-11-06	39294842
2023-11-13	477989577
2023-11-20	483986826
2023-11-27	41462377
2023-12-04	157179368
2023-12-11	2561234
2024-01-01	39294842
2024-01-22	28939644
2024-03-04	39294842
2024-03-11	32768000
2024-03-18	34985170
2024-03-25	201476728
2024-04-01	49680958
2024-04-08	234964908
2024-04-15	144411552
2024-04-22	156830976
2024-04-29	195749618
2024-05-06	205818866
2024-05-13	91047884
2024-05-20	126251996
2024-05-27	248999382
2024-06-03	215880482
2024-06-10	137191326
2024-07-08	53231282
2024-07-22	39294842
2024-08-05	39294842
2024-08-12	39294842
2024-08-26	59801318
2024-09-02	39294842
2024-09-09	531857982
2024-09-16	8760048
2024-09-23	39294842
2024-10-07	78589684
2024-11-04	78589684
2024-11-11	4114568
2024-11-18	126843666
2024-12-16	39294842
2025-02-24	39294842
2025-03-10	4778208
2025-04-07	39294842
2025-06-30	39294842
2025-07-14	39294842
2025-09-01	39294842
2025-09-29	12056442
2025-10-06	127684484
2025-11-03	7233676
2025-11-24	6570036
2025-12-15	88411556
2026-01-26	26214400
2026-02-16	10358492
2026-02-23	39294842
2026-03-02	39294842
2026-03-09	90240588
2026-03-23	597276
2026-04-06	663640
