week_start	sub-ROV40/sub-ROV40_ses-Day 1-obs_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 1-retrieval_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 2-obs_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 2-retrieval_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 3-obs_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 3-retrieval_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 1-obs_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 1-retrieval_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 2-obs_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 2-retrieval_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 3-obs_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 3-retrieval_ophys.nwb	sub-ROV43/sub-ROV43_ses-Day 1-obs_ophys.nwb	sub-ROV44/sub-ROV44_ses-Day 1-obs_ophys.nwb	sub-ROV45/sub-ROV45_ses-Day 1-obs_ophys.nwb	sub-ROV49/sub-ROV49_ses-Day 1-obs_ophys.nwb	sub-V110/sub-V110_ses-03032018_ecephys.nwb	sub-V111/sub-V111_ses-03032018_ecephys.nwb	sub-V111/sub-V111_ses-03052018_ecephys.nwb	sub-V111/sub-V111_ses-03062018_ecephys.nwb	sub-V116/sub-V116_ses-03082018_ecephys.nwb	sub-V116/sub-V116_ses-03092018_ecephys.nwb	sub-V116/sub-V116_ses-03102018_ecephys.nwb	sub-V116/sub-V116_ses-03122018_ecephys.nwb	sub-V118/sub-V118_ses-03182018_ecephys.nwb	sub-V118/sub-V118_ses-03192018_ecephys.nwb	sub-V118/sub-V118_ses-03212018_ecephys.nwb	sub-V118/sub-V118_ses-03222018_ecephys.nwb	sub-V85/sub-V85_ses-12102017-2_ecephys.nwb	sub-V85/sub-V85_ses-12102017_ecephys.nwb
2023-04-24	39652020	3013368	0	8125968	0	0	16777216	24385312	25165824	8388608	21876560	33707808	10485040	16669336	9554584	3814040	14269022208	7994343424	20031995904	19474937827	16032652953	27481900827	7156773742	17604476469	14864613376	12868124672	27803454408	2936012800	1474408685	17123543237
2023-05-01	55852176	31596296	57105552	112852248	43968160	40130336	40324768	82325056	69196944	31378208	21876560	84192832	27262256	33338672	9554584	12202648	372418205	15711275449	48751541988	33998652	0	2089021840	37074897238	43344369173	2310875356	30621795824	17720474052	5810410884	12282050230	2574767840
2023-05-08	0	16777216	0	0	0	0	0	0	25165824	0	0	0	0	0	0	12202648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9554584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-22	1444528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-29	791400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4389036	0
2023-06-05	970320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15525396	0	0	0	0	780515672
2023-06-12	28971520	0	28552776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419187503	0	29544108	0	0	0	0	0	0	0	5810410884	0	0
2023-06-19	89817368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	68564808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	905416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	949216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2356716	0	2718828	1619336	378748	1720900	0	2310600	2277248	2000088	2940904	0	0	0
2023-07-17	536328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	520344	0	0	0	0	0	0	0	0	0	0	0	40893384	0	0	12202648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	739928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-07	38245265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	889848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6339465	0
2023-08-21	686208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	1630304	0	0	0	0	0	0	0	0	0	0	0	27262256	0	0	24405296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-04	202476877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	997192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	1002880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	1300944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12202648	12970584	46461724	30021259	0	0	0	0	0	0	0	0	0	0	0
2023-10-02	133592	31596296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	112200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	28156840	62599436	0	0	0	0	16777216	0	17821256	0	0	0	0	0	0	0	0	15607456	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	24559196	0	0	37617416	0	40130336	5314384	0	34598472	0	21876560	42096416	27262256	16669336	18398164	0	84617644	12633787260	30285174751	0	0	0	11460129646	0	0	0	0	3103784960	4803574665	0
2023-10-30	38006281	0	0	0	0	0	0	0	0	0	0	0	0	0	19208872	0	61434677	0	0	0	47231268	35701860	0	4389036	106614620	2161764	19259352	0	0	38060148
2023-11-06	6419784	31596296	0	0	17331975	0	0	0	34598472	0	0	0	13631128	0	0	0	317697472	0	0	0	0	0	251658240	0	0	0	930127780	5810410884	0	0
2023-11-13	121517528	0	0	0	0	0	0	41162528	34598472	31378208	0	0	13631128	0	0	12202648	35018530513	147607848	30317460174	30506388	0	0	5233313680	0	0	0	48781441780	58760676	4873519093	13721600
2023-11-20	304953048	63198736	85658328	128121756	79553856	88649280	40324768	106716512	35648656	62762560	43753120	117747264	27262256	33338672	19115312	16022832	49765872858	43670285952	19376289791	53977978031	50773318349	102358939521	15738319726	51541578858	59193189710	69263100896	71852035016	15090817164	12942723739	88199110695
2023-11-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133075420	7772893709	39381752395	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	12428200	0	0	0	0	0	20162384	25433888	24112712	20892448	11390800	26367776	8388248	0	9554584	6959768	14901869	0	12785631	15464419	10411673	11306779	4436846	7274037	12405915	8619504	21433288	17028484	0	9734341
2023-12-11	28128080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12208792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	0	13637272	0	0	24417584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	23755144	30919776	130426428	40942500	136977228	82736604	36487956	34719240	127871616	36422448	6419784	44676456	84767352	115621620	0	88108260	351272960	0	0	0	0	0	0	0	0	0	0	0	530904308	524288000
