week_start	sub-P1/sub-P1_ses-20200101T021616.nwb	sub-P2/sub-P2_ses-20200102T002921.nwb	sub-P3/sub-P3_ses-20200103T022038.nwb	sub-P4/sub-P4_ses-20200104T031322.nwb	sub-P5/sub-P5_ses-20200105T045735.nwb
2021-08-09	10807304	8818688	8817320	10753496	10701512
2021-08-16	10807304	8818688	8817320	10753496	10701512
2021-11-15	5939109	0	0	0	0
2022-02-14	162109560	0	0	0	0
2022-04-11	22497856	18381072	9324488	22386464	11140432
2022-05-02	43229216	35274752	52903920	21506992	21403024
2022-05-16	0	0	0	211496	0
2022-07-11	10807304	8818688	8817320	10753496	10701512
2022-07-25	21614608	17637376	8817320	0	0
2022-08-01	0	273379328	282154240	10753496	0
2022-08-08	10807304	246923264	246884960	0	10701512
2022-08-15	0	114642944	114625160	0	0
2022-08-22	0	52912128	44086600	10753496	10701512
2022-08-29	10807304	114642944	0	0	139119656
2022-09-05	0	123461632	0	0	149821168
2022-10-03	0	0	8817320	0	0
2022-11-28	10807304	8818688	8817320	10753496	10701512
2022-12-26	10807304	0	0	0	0
2023-01-09	11112456	27066368	0	0	0
2023-01-23	22291488	0	0	0	0
2023-01-30	45730912	0	0	0	0
2023-02-13	10807304	8818688	0	0	0
2023-02-20	10807304	0	0	0	0
2023-04-10	0	8818688	0	10753496	0
2023-04-17	64843824	0	0	0	0
2023-04-24	55567344	15288709	0	0	0
2023-05-01	19894648	0	0	0	0
2023-05-08	0	8818688	0	0	10701512
2023-05-22	0	0	0	1691968	0
2023-05-29	21447161	0	0	1480472	0
2023-06-05	0	0	0	1480472	0
2023-06-12	0	0	0	1691968	0
2023-06-19	0	0	0	234192432	0
2023-06-26	0	0	0	89382592	0
2023-07-03	0	0	8817320	6991088	0
2023-07-10	0	0	0	1480472	0
2023-07-17	0	0	0	1480472	0
2023-07-24	0	17637376	0	1480472	21403024
2023-07-31	21614608	17637376	17634640	22987464	21403024
2023-08-07	0	0	0	1480472	0
2023-08-14	0	0	0	1480472	0
2023-08-21	0	0	0	1437616	0
2023-08-28	0	26456064	0	2114960	32104536
2023-09-04	66858450	26456064	17634640	23198960	55425495
2023-09-11	0	0	0	1480472	0
2023-09-18	0	0	0	1480472	0
2023-09-25	10807304	8818688	0	1691968	10701512
2023-10-02	0	0	0	422992	0
2023-10-09	0	0	0	422992	0
2023-10-16	0	8818688	0	422992	0
2023-10-23	0	17637376	0	10753496	21403024
2023-10-30	0	8818688	0	634488	10701512
2023-11-13	0	8818688	0	48834872	10701512
2023-11-20	0	0	0	64450528	0
2023-11-27	10807304	8818688	8817320	10964992	10701512
2023-12-04	5564424	8818688	8817320	11867216	5458632
2023-12-11	0	8818688	0	422992	10701512
2024-01-01	0	17637376	0	0	21403024
2024-01-22	9153236	17686800	5148992	13425644	18454320
2024-02-12	54679608	0	0	0	0
2024-02-19	94767020	0	0	0	0
2024-02-26	18638256	0	0	0	0
2024-03-04	0	0	0	22042464	0
2024-03-11	24505084	16633844	13777456	11387596	14490756
2024-03-18	46863648	36040356	30060756	35521848	35442108
2024-03-25	14293948	17342648	21783564	21698020	15013776
2024-04-01	6733448	6690432	6091788	6215092	6663692
2024-04-15	211710668	452216	6357244	5219632	6730056
2024-06-10	10807304	0	0	0	0
2024-07-08	40205252	16084260	8392392	6769752	7646864
