week_start	sub-1/sub-1.nwb	sub-1001658946/sub-1001658946_obj-17kkp88_icephys.nwb	sub-1001658946/sub-1001658946_obj-831bdx_icephys.nwb	sub-1001658946/sub-1001658946_obj-n1u30_icephys.nwb	sub-1001658946/sub-1001658946_obj-wnwvr6_icephys.nwb
2021-08-09	3177476	0	0	0	0
2021-08-16	1990108	0	0	0	0
2021-08-23	508440	0	0	0	0
2021-08-30	165624	0	0	0	0
2021-09-06	82812	0	0	0	0
2021-09-13	138020	0	0	0	0
2021-09-20	248436	0	0	0	0
2021-09-27	138020	0	0	0	0
2021-10-04	303632	0	0	0	0
2021-10-11	193228	0	0	0	0
2021-10-18	453232	0	0	0	0
2021-10-25	82812	0	0	0	0
2021-11-01	110416	84612997	45096414	41255100	41255641
2021-11-08	110416	4594301	4679651	6195920	3752905
2021-11-15	138020	0	0	0	0
2021-11-22	138020	0	0	0	0
2021-11-29	110416	0	0	0	0
2021-12-06	193228	0	0	0	0
2021-12-13	110416	0	0	0	0
2021-12-20	110416	0	0	0	0
2021-12-27	193228	0	0	0	0
2022-01-03	165624	0	0	0	0
2022-01-10	165624	0	0	0	0
2022-01-17	165624	0	0	0	0
2022-01-24	138020	0	0	0	0
2022-01-31	662496	0	0	0	0
2022-02-07	1077872	0	0	0	0
2022-02-14	2537732	0	0	0	0
2022-02-21	331248	0	0	0	0
2022-02-28	220832	0	0	0	0
2022-03-07	331248	0	0	0	0
2022-03-14	552080	0	0	0	0
2022-03-21	138020	0	0	0	0
2022-03-28	138020	0	0	0	0
2022-04-04	165624	0	0	0	0
2022-04-11	144709628	0	0	0	0
2022-04-18	63022992	0	0	0	0
2022-04-25	28742760	0	0	0	0
2022-05-02	35827816	0	0	0	0
2022-05-09	6915296	0	0	0	0
2022-05-16	303632	0	0	0	0
2022-05-23	414060	0	0	0	0
2022-05-30	17264124	0	0	0	0
2022-06-06	20338016	0	0	0	0
2022-06-13	23921860	0	0	0	0
2022-06-20	20060248	0	0	0	0
2022-06-27	28106164	0	0	0	0
2022-07-04	43118312	0	0	0	0
2022-07-11	232944204	54525952	56608988	36863204	66192148
2022-07-18	126064908	0	0	0	0
2022-07-25	50144556	0	0	36863204	0
2022-08-01	66034432	5242880	0	737264080	0
2022-08-08	26751444	0	41943040	663537672	50331648
2022-08-15	115823532	0	0	331768836	0
2022-08-22	82274272	37748736	41943040	36863204	0
2022-08-29	22668372	37748736	0	442358448	50331648
2022-09-05	33885012	0	0	442358448	0
2022-09-12	39931064	0	0	0	0
2022-09-19	152955888	0	0	0	0
2022-09-26	184356628	0	0	0	0
2022-10-03	103570724	0	0	0	0
2022-10-10	279028032	0	0	0	0
2022-10-17	65749856	0	0	0	0
2022-10-24	33031404	0	0	0	0
2022-10-31	38435416	0	0	0	0
2022-11-07	95353672	0	0	0	0
2022-11-14	30985420	27262976	31457280	9589129	31457280
2022-11-21	133420140	0	0	0	0
2022-11-28	91854612	0	0	0	0
2022-12-05	79590752	0	0	0	0
2022-12-12	38690504	0	0	53189339	62414873
2022-12-19	33083336	0	0	0	0
2022-12-26	31575468	0	0	0	0
2023-01-02	31109044	0	0	85542258	13670984
2023-01-09	32649220	0	0	0	0
2023-01-16	41624320	0	0	0	0
2023-01-23	48250944	0	0	0	0
2023-01-30	65832588	0	0	0	0
2023-02-06	54866764	10485760	0	6403657	42697734
2023-02-13	39212684	0	0	0	0
2023-02-20	42762804	0	0	0	0
2023-02-27	42964968	0	0	0	0
2023-03-06	45342180	0	0	0	0
2023-03-13	40846508	0	0	0	0
2023-03-20	53761460	0	0	0	0
2023-03-27	77861976	0	0	0	10020964
2023-04-03	39105824	0	0	155552526	97785064
2023-04-10	38146196	0	0	37859255	96855968
2023-04-17	42571984	0	0	80663097	106444159
2023-04-24	50311764	0	0	8030044	140091645
2023-05-01	21852672	0	0	179940827	69812224
2023-05-08	25857192	0	0	94833218	106245950
2023-05-15	30753180	0	0	123664265	142114285
2023-05-22	20390112	0	0	99609550	129736930
2023-05-29	36080496	0	0	24752834	273115000
2023-06-05	12872144	0	0	25582853	50135657
2023-06-12	29512616	0	0	64302964	41575639
2023-06-19	31843720	0	0	0	0
2023-06-26	80343312	0	0	231936607	21170116
2023-07-03	11479412	0	0	51796633	240433958
2023-07-10	72460024	0	0	65700360	62382160
2023-07-17	128217648	0	0	103691405	128014280
2023-07-24	93263932	0	0	219260784	215644659
2023-07-31	9757424	0	0	83384959	47151153
2023-08-07	47327260	0	0	62447696	31589264
2023-08-14	20653992	0	0	11414608	240768592
2023-08-21	18623500	5441848	0	57935772	94899692
2023-08-28	8758864	0	0	251613112	70278648
2023-09-04	8038164	0	0	315825448	0
2023-09-11	24627376	0	0	63178528	85078648
2023-09-18	45490508	0	0	133590732	82423260
2023-09-25	221183148	0	0	75022504	31986620
2023-10-02	21387900	0	0	87069568	28005608
2023-10-09	7299288	0	0	140889944	128081692
2023-10-16	8763240	0	0	27672960	71540392
2023-10-23	55957628	0	0	73726408	0
2023-10-30	9072012	6304580	0	96390884	51763920
2023-11-06	6028804	132728	0	126688876	0
2023-11-13	6666456	0	0	44862064	13339164
2023-11-20	7824156	0	0	0	0
2023-11-27	15528300	0	0	0	0
2023-12-04	21011236	0	0	0	0
2023-12-11	31585620	0	0	0	0
2023-12-18	144817720	0	0	0	0
2023-12-25	19466768	0	0	0	0
2024-01-01	50667160	0	0	36863204	0
2024-01-08	35911504	0	0	0	0
2024-01-15	26735896	0	0	28070316	10352784
2024-01-22	25803196	0	0	36863204	0
2024-01-29	217856776	0	0	0	0
2024-02-05	30144720	0	0	0	0
2024-02-12	114853288	0	0	0	0
2024-02-19	24579240	0	0	0	0
2024-02-26	14640131	0	0	0	0
2024-03-04	34021944	0	0	52759380	57602296
2024-03-11	47993884	0	0	98019628	127551608
2024-03-18	35001916	0	52324000	24090132	66761356
2024-03-25	87920660	44340940	0	181441040	52643020
2024-04-01	62191580	29579284	0	81627328	0
2024-04-08	41941232	48495244	54140520	222396348	47456700
2024-04-15	118062152	148073432	281724816	26472860	0
2024-04-22	228853256	132711160	148336112	354968088	0
2024-04-29	598305624	34358884	77681980	212538328	47466708
2024-05-06	121609584	175813916	33231524	247208148	194745416
2024-05-13	33974408	134125208	106132544	0	118745200
2024-05-20	253506512	186730836	94994712	79334772	14019312
2024-05-27	237842216	61104404	116873444	158822876	62231332
2024-06-03	189360448	0	163898516	143137812	219079884
2024-06-10	60243712	26562108	52101548	73195960	0
2024-06-17	220839752	0	0	0	0
2024-06-24	101082312	0	0	0	0
2024-07-01	117652784	0	0	0	0
2024-07-08	102363856	0	0	0	0
2024-07-15	53877704	0	0	0	0
2024-07-22	70399080	0	54485836	11879156	6901856
2024-07-29	181212664	15223821	93008	8592616	8137583
2024-08-05	159525128	0	0	0	0
2024-08-12	334463880	0	0	0	0
2024-08-19	299016512	0	0	0	0
2024-08-26	577951584	19378288	27872880	21634664	3450928
2024-09-02	788148408	512495560	482630520	612155076	496119944
2024-09-09	69584184	0	0	0	0
2024-09-16	329522080	0	0	0	0
2024-09-23	310447688	0	0	0	0
2024-09-30	225645216	0	0	0	0
2024-10-07	54490976	0	0	0	0
2024-10-14	110762536	6171852	0	0	0
2024-10-21	67659600	0	0	0	0
2024-10-28	102715696	0	0	0	0
2024-11-04	112696016	6769128	0	9954600	4446388
2024-11-11	176523632	0	0	0	0
2024-11-18	277411048	0	0	0	0
2024-11-25	234513672	0	0	0	0
2024-12-02	103217144	0	11680064	0	0
2024-12-09	71096640	0	0	0	0
2024-12-16	251630448	0	0	0	0
2024-12-23	92210936	0	0	0	0
2024-12-30	60320516	0	0	0	0
2025-01-06	187607936	0	0	0	0
2025-01-13	186934688	0	0	0	0
2025-01-20	156508816	0	0	0	0
2025-01-27	280881856	0	0	0	0
2025-02-03	212972168	0	0	0	0
2025-02-10	73582992	0	0	0	0
2025-02-17	289098880	0	0	0	0
2025-02-24	252394992	0	0	0	0
2025-03-03	146448256	0	0	0	0
2025-03-10	283409776	0	0	0	0
2025-03-17	134613760	0	0	0	0
2025-03-24	86429344	0	0	0	0
2025-03-31	84200740	0	0	0	0
2025-04-07	129801588	0	0	0	0
2025-04-14	126364688	0	0	0	0
2025-04-21	42877024	0	0	0	0
2025-04-28	120227456	0	0	0	0
2025-05-05	77696512	0	0	0	0
2025-05-12	156712880	0	0	0	0
2025-05-19	65517296	0	0	0	0
2025-05-26	71862384	0	0	0	0
2025-06-02	86784400	0	0	0	0
2025-06-09	108213936	0	0	0	0
2025-06-16	69639792	0	0	0	0
2025-06-23	71691792	0	0	0	0
2025-06-30	82498928	0	0	0	0
2025-07-07	75812656	0	0	0	0
2025-07-14	77183648	0	0	0	0
2025-07-21	460621712	0	0	0	0
2025-07-28	78722512	0	41943040	36863204	0
2025-08-04	79398624	0	0	0	50331648
2025-08-11	298312752	0	0	0	0
2025-08-18	139068464	0	0	0	0
2025-08-25	103234400	0	0	0	0
2025-09-01	127749552	0	0	0	0
2025-09-08	96551936	12674696	0	50002448	0
2025-09-15	162224048	89824468	54225304	94423576	85470164
2025-09-22	124333632	386008180	343781968	318356752	278798612
2025-09-29	201680528	0	0	0	0
2025-10-06	527505376	430118988	292897008	320818900	442583388
2025-10-13	103244464	238377364	206256568	214100576	282736508
2025-10-20	169265648	99456120	94313632	90043552	55147248
2025-10-27	147651648	457055348	501079508	475331244	602547936
2025-11-03	130342976	421511064	309418688	302433832	310015276
2025-11-10	157184344	207663416	183698584	157587860	232225112
2025-11-17	206066960	151343692	96547932	90047992	96439480
2025-11-24	192354864	142978320	113525288	101049248	86133804
2025-12-01	158262352	180660692	125823260	138203284	95121828
2025-12-08	243808272	250522720	113457480	67477944	108360312
2025-12-15	149021565	635919620	177127104	106629188	116257628
2025-12-22	241318064	0	0	0	0
