region	bytes_sent
GCP/us-east1	100284791974
GitHub	2153441656
CN/Shanghai	54234252805
AWS/us-east-2	3713723770
US/Pennsylvania	9166971352
US/New York	29389493986
US/Maryland	21975574302
GB/Scotland	10528828705
HK/Wong Tai Sin	1477728
HK/Sham Shui Po	7293475240
GCP/us-west1	95838828292
KR/Seoul	31320008698
GCP/asia-southeast1	55769935684
DE/Baden-Wurttemberg	12800508082
US/Wisconsin	1823368810
AWS/ap-southeast-2	1823368810
HK/Hong Kong	20380668128
US/Georgia	33948308518
GCP/europe-west4	78404858830
US/California	87749130308
AWS/af-south-1	1823368810
FR/Auvergne-Rhône-Alpes	1823368810
GCP/asia-east1	38290745010
GCP/us-east4	37991116768
US/Massachusetts	27382934218
GB/England	34435451956
GCP/us-central1	79847254951
GCP/us-west4	38810141707
CN/Beijing	20476540661
CN/Gansu	1823368810
US/Indiana	9116844050
AWS/us-east-1	10909155148
PT/Lisbon	5476120526
TW/Taiwan	17685066291
CN/Zhejiang	14755760041
US/North Carolina	7243746282
US/District of Columbia	7293475240
KR/Daejeon	1823368810
IT/Lazio	1823368810
US/Rhode Island	1477728
US/Virginia	69787848470
US/Michigan	10985274016
DE/State of Berlin	5469122318
TR/Istanbul	227103852
IT/Tuscany	1823368810
SE/Stockholm	492576
VPN	30575319358
US/Colorado	20943629444
CH/Vaud	10940212860
IL/Haifa	3689992088
AWS/us-west-2	7293475240
AU/New South Wales	3871916916
NL/South Holland	1823368810
BE/Brussels Capital	1823368810
FR/Provence-Alpes-Côte d'Azur	3646737620
CH/Geneva	5470106430
US/Tennessee	7293475240
AWS/ap-southeast-1	2004495578
DE/Bavaria	1823861386
US/Oregon	188664236
CA/Ontario	7308264104
NO/Oslo	447156852
US/Washington	7293475240
US/Illinois	5777002215
US/New Jersey	5499082058
AU/Victoria	1973912082
US/West Virginia	5470106430
TR/Ankara	1823368810
DE/Lower Saxony	1823368810
JP/Tokyo	13191598356
NL/Flevoland	1823861386
HU/Budapest	2913259491
CA/Quebec	9148113348
BE/Flanders	190749548
CN/Hainan	1418878133
IN/West Bengal	1823368810
CA/British Columbia	4447835612
IL/Central District	1896046627
FR/Île-de-France	748511952
GCP/us-west3	5369150220
VN/Ho Chi Minh	985152
AT/Vienna	1823861386
NL/North Holland	1823368810
IT/Trentino-Alto Adige	1823368810
HK/Sha Tin	1823368810
CH/Zurich	1823861386
IL/Tel Aviv	1823368810
US/Texas	1823368810
HK/Islands	492576
US/Connecticut	5484971966
US/Iowa	1823368810
CN/Guangdong	9235657723
AU/Queensland	1823368810
IN/Karnataka	1823368810
JP/Kanagawa	1823368810
US/Florida	1823368810
SG/Singapore	3647230196
JP/Chiba	3646737620
JP/Okinawa	1823368810
CN/Hubei	18211764
US/New Mexico	1823368810
IT/Lombardy	45539914
US/New Hampshire	1822876234
