week_start	sub-Indy/sub-Indy_desc-test_ecephys.nwb	sub-Indy/sub-Indy_desc-train_behavior+ecephys.nwb
2021-08-30	3604032	99093584
2021-09-13	4805376	149292504
2021-09-20	2402688	348349176
2021-09-27	12013440	447877512
2021-10-04	6006720	298585008
2021-10-11	10812096	276270717
2021-10-18	4805376	248820840
2021-10-25	1201344	99528336
2021-11-01	4805376	248820840
2021-11-08	2402688	99528336
2021-11-15	7208064	348349176
2021-11-22	6006720	298585008
2021-11-29	15617472	497641680
2021-12-06	18020160	597170016
2021-12-13	3604032	149292504
2021-12-20	2402688	49764168
2021-12-27	1201344	49764168
2022-01-03	0	49764168
2022-01-10	7208064	248820840
2022-01-17	2402688	149292504
2022-01-24	2402688	149292504
2022-01-31	3604032	99528336
2022-02-07	13214784	348349176
2022-02-14	1201344	99528336
2022-02-21	1201344	99528336
2022-02-28	1201344	99528336
2022-03-07	1201344	199056672
2022-03-14	10812096	398113344
2022-03-21	28832256	945519192
2022-03-28	16818816	597170016
2022-04-04	2402688	49764168
2022-04-11	11776242	454067924
2022-04-18	13214784	895755024
2022-04-25	16818816	597170016
2022-05-02	3604032	149292504
2022-05-09	6006720	248820840
2022-05-16	6198808	348349176
2022-05-23	3604032	99528336
2022-05-30	1201344	0
2022-06-06	3604032	49764168
2022-06-13	4805376	49764168
2022-06-20	1201344	49764168
2022-07-11	1201344	78556816
2022-07-25	6006720	99528336
2022-08-01	32436288	149292504
2022-08-08	26429568	149292504
2022-08-15	48053760	1443160872
2022-08-22	8409408	99528336
2022-08-29	4805376	447877512
2022-09-05	0	597170016
2022-09-12	3604032	398113344
2022-09-19	0	99528336
2022-10-17	6006720	125584569
2022-10-24	2402688	99528336
2022-10-31	9610752	597170016
2022-11-07	1201344	149292504
2022-11-14	2402688	0
2022-11-21	1201344	149292504
2022-11-28	6006720	99528336
2022-12-05	9610752	298585008
2022-12-12	6006720	214194620
2022-12-19	2402688	99528336
2023-01-02	1201344	65201278
2023-01-09	3604032	49764168
2023-01-16	4805376	248820840
2023-01-23	2402688	99528336
2023-01-30	3604032	199056672
2023-02-06	3604032	465756896
2023-02-13	3604032	178085152
2023-02-20	4805376	348349176
2023-02-27	6006720	99528336
2023-03-06	1201344	49764168
2023-03-13	3604032	199056672
2023-03-20	6006720	195747304
2023-03-27	1201344	0
2023-04-03	0	1151641180
2023-04-10	0	419409279
2023-04-17	1201344	1404212466
2023-04-24	1201344	1097921094
2023-05-01	0	1722233724
2023-05-08	1201344	1768227489
2023-05-15	1201344	1517446265
2023-05-22	2387288	1257582060
2023-05-29	944552	1402792072
2023-06-05	5866080	980104016
2023-06-12	2102712	1147857604
2023-06-19	6099032	49764168
2023-06-26	9148808	1163532147
2023-07-03	2211088	1324775799
2023-07-10	2245496	1015555320
2023-07-17	803112	1581656184
2023-07-24	5932600	1471830460
2023-07-31	3195680	181561196
2023-08-07	2347088	1832569700
2023-08-14	2252944	1739709628
2023-08-21	9476232	985004696
2023-08-28	4856496	1656490828
2023-09-04	16877048	1496907612
2023-09-11	794008	1185189708
2023-09-18	934120	1239611500
2023-09-25	29892960	2107551944
2023-10-02	1477808	1344389768
2023-10-09	0	1027684752
2023-10-16	3604032	1137715436
2023-10-23	3828872	516399660
2023-10-30	2552256	1222467784
2023-11-06	6290632	1865051904
2023-11-13	3662440	861717220
2023-11-20	2784832	49764168
2023-11-27	1201344	49764168
2023-12-04	7350848	128320984
2023-12-11	2770976	49764168
2023-12-18	2402688	49764168
2023-12-25	1201344	49764168
2024-01-01	4805376	149292504
2024-01-08	1201344	99528336
2024-01-15	4805376	666353496
2024-01-22	5644608	206741148
2024-01-29	6006720	149292504
2024-02-05	9610752	348349176
2024-02-12	1201344	0
2024-02-19	2402688	99528336
2024-02-26	0	49764168
2024-03-04	4805376	580398568
2024-03-11	3587456	1320835916
2024-03-18	30593088	680135656
2024-03-25	22463424	969450272
2024-04-01	8689152	319883112
2024-04-08	28832256	731943288
2024-04-15	36040320	1915024108
2024-04-22	85295424	992231620
2024-04-29	69677952	1014558912
2024-05-06	8409408	1902788160
2024-05-13	37241664	839747288
2024-05-20	63671232	655048532
2024-05-27	79288704	609053492
2024-06-03	64162982	1943751089
2024-06-10	33622529	676946737
2024-06-17	4805376	226992704
2024-06-24	3604032	1804343862
2024-07-01	2402688	731556371
2024-07-08	14417696	834996240
2024-07-15	2402688	149028035
2024-07-22	7208064	121030272
2024-07-29	8941792	207001890
2024-08-05	2402688	149292504
2024-08-12	4805376	149292504
2024-08-19	1201344	49764168
2024-08-26	6006720	56334204
2024-09-02	0	149292504
2024-09-09	24577664	673713792
2024-09-16	8824320	245578608
2024-09-23	12013440	555140592
2024-09-30	1201344	178085152
2024-10-07	1201344	99528336
2024-10-14	4805376	182142684
2024-10-21	3604032	227849320
2024-10-28	2402688	79304980
2024-11-04	3604032	101718348
2024-11-11	3604032	213258568
2024-11-18	13214784	345998024
2024-11-25	2402688	149292504
2024-12-02	2402688	99528336
2024-12-09	6006720	99528336
2024-12-16	3604032	149292504
2024-12-23	0	49764168
2024-12-30	1201344	49764168
2025-01-06	3604032	230641124
2025-01-13	0	51464864
2025-01-20	0	49764168
2025-01-27	1201344	99528336
2025-02-03	1733744	53865680
2025-02-10	1201344	149292504
2025-02-17	2402688	49764168
2025-02-24	1201344	0
2025-03-03	2662552	99528336
2025-03-17	1201344	49764168
2025-03-24	7208064	199056672
2025-03-31	4805376	298585008
2025-04-07	2402688	99528336
2025-04-14	3604032	99528336
2025-04-21	2402688	138806744
2025-04-28	1201344	149292504
2025-05-05	1201344	89042584
2025-05-12	4805376	149292504
2025-05-19	1201344	321748440
2025-05-26	0	99528336
2025-06-02	4805376	125714824
2025-06-09	8409408	348349176
2025-06-16	1201344	49764168
2025-06-23	3604032	185463720
2025-06-30	6006720	199056672
2025-07-07	2402688	174193648
2025-07-14	7520088	268695864
2025-07-21	1201344	49764168
2025-07-28	2402688	99528336
2025-08-04	3604032	58472744
2025-08-11	6006720	348349176
2025-08-18	1201344	1864442500
2025-08-25	3604032	248734456
2025-09-01	1201344	124481200
2025-09-08	3604032	98532628
2025-09-15	6204096	24451636
2025-09-22	23697408	178482840
2025-09-29	2040576	0
2025-10-06	20266304	71195076
2025-10-13	16291968	67408672
2025-10-20	3241920	57558440
2025-10-27	38870400	695355344
2025-11-03	19896000	222013456
2025-11-10	19336512	100189148
2025-11-17	13412160	160702200
2025-11-24	10087872	64194840
2025-12-01	9528384	127359872
2025-12-08	8047296	230709968
2025-12-15	19418880	282226456
2025-12-22	2402688	99528336
2025-12-29	2682432	55171668
2026-01-05	14893248	273920624
2026-01-12	4805376	199056672
2026-01-19	8047296	166013900
2026-01-26	10087872	158944596
2026-02-02	283885312	1611923648
2026-02-09	5644608	112034452
2026-02-16	4573120	66741836
2026-02-23	3241920	205889832
2026-03-02	2402688	1791944
2026-03-16	43549912	1255516476
2026-03-23	11296640	465038836
2026-03-30	7412864	49764168
2026-04-06	2812288	55005136
2026-04-13	6507340	2560000
2026-04-20	5924352	56929148
2026-04-27	2402688	0
