week_start	sub-Jenkins/sub-Jenkins_ses-medium_desc-test_ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-medium_desc-train_behavior+ecephys.nwb
2021-08-30	1391856	101770588
2021-09-06	2087784	76604764
2021-09-13	0	76604764
2021-09-20	1391856	76604764
2021-09-27	32012688	2987585796
2021-10-04	2087784	153209528
2021-10-11	2087784	229814292
2021-10-18	2783712	153209528
2021-10-25	1391856	229814292
2021-11-01	2783712	306419056
2021-11-08	4175568	459628584
2021-11-15	695928	0
2021-11-22	1391856	229814292
2021-11-29	1391856	383023820
2021-12-06	695928	229814292
2021-12-13	1391856	76604764
2021-12-20	6263352	1072466696
2021-12-27	3479640	229814292
2022-01-03	695928	331338269
2022-01-10	1391856	153209528
2022-01-17	1391856	0
2022-01-31	0	76604764
2022-02-07	2087784	383023820
2022-02-14	695928	76604764
2022-02-21	1391856	153209528
2022-02-28	5567424	536233348
2022-03-07	12526704	1072466696
2022-03-14	6263352	536233348
2022-03-21	695928	306419056
2022-03-28	4871496	612838112
2022-04-04	695928	229814292
2022-04-11	1229300	179535786
2022-04-18	2783712	76604764
2022-05-09	3479640	536233348
2022-05-16	3688120	612838112
2022-05-23	0	76604764
2022-06-06	695928	76604764
2022-07-04	695928	0
2022-07-11	0	70299192
2022-07-25	8351136	766047640
2022-08-01	14614488	229814292
2022-08-08	9047064	76604764
2022-08-15	3479640	0
2022-08-22	2087784	0
2022-08-29	0	766047640
2022-09-05	695928	612838112
2022-10-17	0	76604764
2022-10-31	1467630	218212779
2022-11-14	0	6636400
2022-11-21	695928	0
2022-11-28	695928	0
2022-12-05	695928	0
2022-12-12	0	215302710
2022-12-19	695928	76604764
2023-01-02	0	72700355
2023-02-06	0	77875809
2023-02-13	695928	99564088
2023-02-20	0	76604764
2023-03-06	0	76604764
2023-03-13	695928	153209528
2023-03-20	695928	14732808
2023-03-27	695928	0
2023-04-03	0	1537530872
2023-04-10	695928	814066662
2023-04-17	0	1840751496
2023-04-24	0	1692263453
2023-05-01	695928	2167190549
2023-05-08	2087784	1699090637
2023-05-15	0	1663928784
2023-05-22	1059560	3688035460
2023-05-29	529568	2535297807
2023-06-05	1374136	1326800791
2023-06-12	810848	1503497152
2023-06-19	3045384	0
2023-06-26	5706008	1193763404
2023-07-03	745640	3199235148
2023-07-10	1363768	775280816
2023-07-17	625440	1513427866
2023-07-24	816552	1843706197
2023-07-31	689392	313795139
2023-08-07	794336	1654360724
2023-08-14	1130256	1981488860
2023-08-21	833920	1522121392
2023-08-28	930456	1920943256
2023-09-04	1562472	2045194988
2023-09-11	1281856	1249251676
2023-09-18	7884960	3410312012
2023-09-25	26408064	3804932292
2023-10-02	328680	1374394300
2023-10-09	1434256	848058832
2023-10-16	151528	1372205116
2023-10-23	1448808	424240104
2023-10-30	145232	1545104044
2023-11-06	1557936	2210931572
2023-11-13	2133664	707565416
2023-11-20	1492592	76604764
2023-11-27	56952	0
2023-12-04	311312	109228052
2024-01-01	0	153209528
2024-01-15	0	37562024
2024-01-22	1678184	85035340
2024-02-12	695928	76604764
2024-02-19	695928	76604764
2024-02-26	695928	76604764
2024-03-04	1391856	901572336
2024-03-11	678584	1856262476
2024-03-18	695928	401025732
2024-03-25	34100472	323441096
2024-04-01	8146336	361227416
2024-04-08	57066096	185502940
2024-04-15	41059752	989567184
2024-04-22	64721304	670986352
2024-04-29	38971968	731300588
2024-05-06	32012688	1124015100
2024-05-13	12526704	570300188
2024-05-20	56370168	860898684
2024-05-27	32012688	1225393852
2024-06-03	62633520	575584160
2024-06-10	695928	668081164
2024-06-17	2087784	153209528
2024-06-24	1391856	76604764
2024-07-08	695928	78236344
2024-07-15	0	76604764
2024-07-22	2087784	153209528
2024-07-29	0	76604764
2024-08-05	695928	153209528
2024-08-12	0	76604764
2024-08-19	695928	0
2024-08-26	2087784	76604764
2024-09-02	695928	76604764
2024-09-09	2087784	193407712
2024-09-16	2087784	243504496
2024-09-23	1391856	302342184
2024-09-30	0	76604764
2024-10-07	695928	76604764
2024-10-14	695928	153209528
2024-10-28	1391856	121752248
2024-11-11	695928	0
2024-11-18	2783712	251741012
2024-12-09	0	76604764
2024-12-23	695928	0
2024-12-30	695928	76604764
2025-01-06	695928	76604764
2025-01-13	695928	0
2025-01-20	0	153209528
2025-02-10	2087784	383023820
2025-02-17	695928	0
2025-03-10	204800	0
2025-03-24	695928	76604764
2025-03-31	2087784	153209528
2025-04-07	695928	76604764
2025-04-14	0	18382828
2025-04-21	695928	153209528
2025-04-28	695928	76604764
2025-05-05	1391856	153209528
2025-05-12	695928	0
2025-05-26	695928	0
2025-06-09	695928	76604764
2025-06-16	1391856	76604764
2025-06-23	695928	96953600
2025-06-30	2087784	76604764
2025-07-14	1391856	201686328
2025-07-21	1391856	76604764
2025-07-28	1391856	0
2025-08-04	0	153209528
2025-08-11	1391856	4114568
2025-08-25	695928	0
2025-09-01	695928	0
2025-09-08	1391856	22630124
2025-09-15	2578912	247981184
2025-09-22	7203864	41026760
2025-09-29	491128	21568300
2025-10-06	12527096	24553668
2025-10-13	9005320	44992768
2025-10-20	2578912	166814148
2025-10-27	15431728	814401224
2025-11-03	8309392	38621824
2025-11-10	8104592	121913520
2025-11-17	7122336	21301832
2025-11-24	6140080	24570512
2025-12-01	2865240	22546916
2025-12-08	3070040	20090436
2025-12-15	8227864	106916268
2025-12-29	491128	4114568
2026-01-05	5648952	194038208
2026-01-12	2783712	76604764
2026-01-19	1187056	164590448
2026-01-26	2578912	59149276
2026-02-02	105112568	932656848
2026-02-09	2578912	1443164
2026-02-16	4461896	6202460
2026-02-23	1391856	163943652
2026-03-02	1187056	4446388
2026-03-16	1473384	8444060
2026-03-23	695928	231257456
