week_start	sub-Jenkins/sub-Jenkins_ses-small_desc-test_ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-small_desc-train_behavior+ecephys.nwb
2021-08-30	2757248	108441504
2021-09-06	1378624	29207528
2021-09-13	2067936	116830112
2021-09-20	0	87622584
2021-09-27	95125056	4468536135
2021-10-04	26883168	1022263480
2021-10-11	6203808	116830112
2021-10-18	15164864	642565616
2021-10-25	5514496	204452696
2021-11-01	6893120	350490336
2021-11-08	5514496	175245168
2021-11-15	689312	58415056
2021-11-22	1378624	116830112
2021-11-29	6893120	146037640
2021-12-06	2757248	58415056
2021-12-13	689312	58415056
2021-12-20	7582432	301963516
2021-12-27	2067936	146037640
2022-01-03	689312	87622584
2022-01-10	3446560	146037640
2022-01-17	2067936	87622584
2022-01-24	689312	29207528
2022-01-31	2067936	58415056
2022-02-07	17922112	905433368
2022-02-14	15164864	554943032
2022-02-21	15854176	525735504
2022-02-28	11028992	467320448
2022-03-07	25504544	963848424
2022-03-14	8271744	350490336
2022-03-21	2757248	116830112
2022-03-28	8961056	233660224
2022-04-04	11028992	659745586
2022-04-11	853418	122125154
2022-04-18	2067936	175245168
2022-04-25	2757248	116830112
2022-05-02	689312	58415056
2022-05-09	12407616	379697864
2022-05-16	5577744	350490336
2022-05-23	689312	29207528
2022-05-30	4825184	175245168
2022-06-06	689312	58415056
2022-06-13	689312	29207528
2022-06-20	1378624	58415056
2022-06-27	6203808	204452696
2022-07-04	3381024	127954378
2022-07-11	37912160	1380989824
2022-07-18	4135872	204452696
2022-07-25	8271744	233660224
2022-08-01	15854176	116830112
2022-08-08	11718304	87622584
2022-08-15	8961056	116830112
2022-08-22	5514496	116830112
2022-08-29	1378624	233660224
2022-09-05	0	233660224
2022-09-12	1378624	29207528
2022-09-26	689312	0
2022-10-03	2067936	116830112
2022-10-17	2757248	116830112
2022-10-24	689312	29207528
2022-10-31	2940363	112450613
2022-11-07	2067936	58415056
2022-11-14	2757248	233660224
2022-11-21	0	29207528
2022-11-28	689312	58415056
2022-12-05	689312	0
2022-12-12	689312	137303419
2023-01-02	0	77379486
2023-01-09	689312	29207528
2023-01-23	689312	0
2023-02-13	689312	113024198
2023-02-20	2757248	146037640
2023-02-27	0	29207528
2023-03-13	0	29207528
2023-03-20	5514496	292075280
2023-03-27	4135872	350490336
2023-04-03	3446560	175245168
2023-04-10	689312	0
2023-04-17	1378624	29207528
2023-04-24	0	15728640
2023-05-01	3446560	116830112
2023-05-08	1378624	116830112
2023-05-15	1378624	87622584
2023-05-22	1752280	33985612
2023-05-29	3007504	145258080
2023-06-05	734568	0
2023-06-12	1838656	87622584
2023-06-19	3810720	58415056
2023-06-26	7783992	29207528
2023-07-03	3050568	87622584
2023-07-10	11778112	408905392
2023-07-17	30039384	1334671489
2023-07-24	841512	58415056
2023-07-31	4952424	233660224
2023-08-07	18979768	993055952
2023-08-14	2509304	87622584
2023-08-21	18581696	876225840
2023-08-28	2688680	58415056
2023-09-04	2406472	0
2023-09-11	773488	0
2023-09-18	899984	0
2023-09-25	4661336	146037640
2023-10-02	4224152	146037640
2023-10-09	788664	146037640
2023-10-16	4825184	262867752
2023-10-23	7310080	175245168
2023-10-30	2131184	58415056
2023-11-06	4991264	220844356
2023-11-13	7847864	146037640
2023-11-20	3258808	116830112
2023-11-27	3534840	58415056
2023-12-04	0	47929296
2023-12-11	6412288	262867752
2023-12-18	2757248	146037640
2023-12-25	4135872	233660224
2024-01-01	46873216	1781659208
2024-01-08	1378624	79983356
2024-01-15	6203808	146037640
2024-01-22	27852192	1229835232
2024-01-29	37912160	1577206512
2024-02-05	17922112	934640896
2024-02-12	4135872	233660224
2024-02-19	6203808	292075280
2024-02-26	13065880	525349228
2024-03-04	3446560	87622584
2024-03-11	21835840	845034268
2024-03-18	55834272	1694036624
2024-03-25	65764352	2413843780
2024-04-01	37222848	327720116
2024-04-08	104086112	3473775376
2024-04-15	82717440	1299888660
2024-04-22	48736352	1921750464
2024-04-29	78581568	1717619000
2024-05-06	84785376	1382651388
2024-05-13	53077024	792933756
2024-05-20	26883168	438434772
2024-05-27	53077024	370041944
2024-06-03	53766336	707430124
2024-06-10	45494592	175245168
2024-06-17	5514496	87622584
2024-06-24	5514496	346472848
2024-07-01	1378624	75071640
2024-07-08	2067936	124594700
2024-07-15	1378624	58415056
2024-07-22	2757248	100032652
2024-07-29	3446560	29207528
2024-08-05	0	29207528
2024-08-12	1378624	29207528
2024-08-19	689312	47922176
2024-08-26	3446560	66511464
2024-09-02	2067936	204452696
2024-09-09	7582432	381009416
2024-09-16	689312	102652808
2024-09-23	3446560	337449080
2024-09-30	1378624	241491052
2024-10-07	5514496	116830112
2024-10-14	689312	0
2024-10-21	3446560	82379704
2024-10-28	0	29207528
2024-11-04	2757248	0
2024-11-11	5514496	388384924
2024-11-18	8961056	391925524
2024-11-25	1378624	116830112
2024-12-02	1627248	82728088
2024-12-09	2067936	58415056
2024-12-23	0	58415056
2024-12-30	689312	29207528
2025-01-06	2067936	29207528
2025-01-13	0	58415056
2025-01-20	2067936	58415056
2025-01-27	689312	0
2025-02-03	689312	29207528
2025-02-10	3446560	146037640
2025-02-17	84785376	3549905520
2025-02-24	15854176	584150560
2025-03-03	24125920	1139093592
2025-03-10	11718304	379697928
2025-03-17	4825184	262867752
2025-03-24	17232800	496527976
2025-03-31	5514496	204452696
2025-04-07	4135872	146037640
2025-04-14	689312	0
2025-04-21	1378624	29207552
2025-04-28	0	29207528
2025-05-05	2067936	116830112
2025-05-12	689312	103379360
2025-05-19	689312	93624344
2025-05-26	1378624	1613416
2025-06-02	18611424	847018312
2025-06-09	1378624	58415056
2025-06-16	3446560	58845248
2025-06-23	2067936	113655376
2025-06-30	5514496	87622584
2025-07-07	2067936	29207528
2025-07-14	2552448	65320096
2025-07-21	2067936	116830112
2025-07-28	689312	87622584
2025-08-04	4825184	146037640
2025-08-11	2552448	89182112
2025-08-18	689312	58415056
2025-08-25	689312	251432328
2025-09-01	2067936	332842526
2025-09-08	7582432	347614580
2025-09-15	16413600	1125594580
2025-09-22	14700288	172641976
2025-09-29	1378624	315367464
2025-10-06	17035008	237572096
2025-10-13	14700288	226717412
2025-10-20	8756256	441151436
2025-10-27	33816160	553958208
2025-11-03	167597664	6434168860
2025-11-10	140844384	5757260108
2025-11-17	10694304	264154404
2025-11-24	34820224	1304642144
2025-12-01	16693312	437109988
2025-12-08	35919136	1662963432
2025-12-15	126983232	4624305108
2025-12-22	55144960	2716300104
2025-12-29	7377632	151711736
2026-01-05	32827200	829634472
2026-01-12	37222848	1489583928
2026-01-19	42607456	1618094052
2026-01-26	9035968	319284912
2026-02-02	176877408	2141338328
2026-02-09	30404640	1384102008
2026-02-16	46183904	1481303840
2026-02-23	75209920	3434435792
2026-03-02	45494592	2044526960
2026-03-09	73756384	3185180080
2026-03-16	91268896	3404730560
2026-03-23	57902208	2344388568
2026-03-30	118561664	4353061276
2026-04-06	26193856	1052290208
2026-04-13	17232800	963848424
2026-04-20	689312	87622584
