week_start	sub-8675309/sub-8675309_ses-2000-01-01 00-00-00_ophys.nwb	sub-8675309/sub-8675309_ses-20211008T163543_ophys.nwb
2021-10-04	1048953376	129176336
2022-02-07	2097906752	0
2022-04-11	270816	759040
2022-05-16	0	208816
2022-07-11	537549900	79254116
2022-07-25	0	64588168
2022-08-01	0	2002233208
2022-08-08	524476688	1808468704
2022-08-15	0	839646184
2022-08-22	0	369196548
2022-08-29	6818196944	129176336
2022-09-05	7342673632	0
2022-12-05	16294704	22645128
2023-04-17	0	64588168
2023-05-08	524476688	0
2023-05-22	0	1670528
2023-05-29	0	1461712
2023-06-05	0	1461712
2023-06-12	0	1670528
2023-06-19	0	364271392
2023-06-26	0	241745968
2023-07-03	0	18863960
2023-07-10	0	1461712
2023-07-17	0	1461712
2023-07-24	1048953376	1461712
2023-07-31	0	1461712
2023-08-07	0	1461712
2023-08-14	0	1461712
2023-08-21	0	1461712
2023-08-28	1573430064	2088160
2023-09-04	0	1670528
2023-09-11	0	1461712
2023-09-18	0	1461712
2023-09-25	524476688	1670528
2023-10-02	0	626992
2023-10-23	1048953376	626448
2023-10-30	524476688	417632
2023-11-13	524476688	459007760
2023-11-20	0	477123944
2023-11-27	524476688	64588168
2023-12-04	5431568	45707888
2023-12-11	524476688	208816
2024-01-01	1048953376	0
2024-01-22	544263692	19154004
2024-03-04	0	85337632
2024-03-11	6794760	19373240
2024-03-18	13722248	24662216
2024-03-25	15805164	33995440
2024-04-01	7060216	9153044
2024-04-15	6993852	8622132
2024-07-08	18304404	79461588
2024-07-22	4114568	10419148
2024-08-26	0	30409716
2024-09-09	32589408	262263216
2024-09-16	23449956	76504224
2024-09-23	16294704	67935384
2024-10-07	101949964	64588168
2024-10-28	42369972	0
2024-11-04	7896488	8162772
2024-11-18	486208976	6584544
2025-03-03	0	277424
2025-03-10	0	277424
2025-03-17	0	277424
2025-03-24	0	277424
2025-03-31	240733604	135071952
2025-04-07	77153532	277424
2025-04-14	0	277424
2025-04-21	0	277424
2025-04-28	0	277424
2025-05-05	0	39632
2025-06-16	524476688	64588168
2025-07-28	0	79264
2025-08-04	0	118896
2025-08-11	524476688	64667432
2025-08-18	0	79264
2025-08-25	0	118896
2025-09-01	556132316	64707064
2025-09-08	0	79264
2025-09-15	8744948	79264
2025-09-22	22094644	118896
2025-09-29	0	6801460
2025-10-06	9408588	52546244
2025-10-13	4472020	118896
2025-10-20	5467480	79264
2025-10-27	31237776	118896
2025-11-03	63271920	79264
2025-11-10	55389704	118896
2025-11-17	32299600	79264
2025-11-24	31702324	39632
2025-12-01	32100508	0
2025-12-08	27429396	0
2025-12-15	1103178728	141121856
2025-12-29	4671112	0
2026-01-05	37567988	0
2026-01-19	1591251780	0
2026-01-26	26699392	64588168
2026-02-02	542165676	0
2026-02-09	18020808	0
2026-02-16	20635520	13641352
2026-02-23	24085564	6191284
2026-03-16	11981684	0
2026-03-23	10675212	1710648
2026-04-06	8771464	14915992
2026-04-13	4114568	66459260
2026-04-20	11848956	64667432
2026-04-27	17990352	7243176
2026-05-04	6064756	6044724
2026-05-11	0	67388356
2026-05-18	0	2620528
2026-05-25	4090960	4907928
2026-06-01	0	6684088
2026-06-08	934804	3529100
2026-06-15	4247296	0
2026-06-22	5640940	64588168
2026-06-29	31352736	20623900
2026-07-06	1085490546	190724426
2026-07-13	1352912	158528
2026-07-20	0	158528
2026-07-27	1021092	237792
