week_start	sub-P1/sub-P1_ses-2018-09-10_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-17a_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-17b_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-24_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-26_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-01_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-12_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-15_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-17_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-22_ecephys.nwb
2022-02-07	0	5679008	0	9032328	9735840	6830664	0	6101800	7986552	6322304
2022-02-14	31716792	17037024	4903432	9032328	9735840	20491992	0	12203600	15973104	12644608
2022-03-14	21144528	0	0	0	0	0	0	0	0	0
2022-03-21	10572264	0	0	0	0	0	0	0	0	0
2022-04-11	10644968	5752392	4988368	9103328	9742816	156320	0	5996384	7915696	6394960
2022-05-16	0	219416	0	0	0	0	0	0	0	0
2022-07-04	10572264	11358016	0	0	0	6830664	0	0	7986552	6322304
2022-07-11	31716792	5679008	4903432	0	9735840	6830664	0	6101800	7986552	0
2022-07-25	21144528	5679008	4903432	0	0	0	0	0	0	0
2022-08-01	10572264	136296192	107875504	9032328	8388608	6830664	0	6101800	7986552	0
2022-08-08	0	79506112	98068640	0	0	0	0	0	7986552	0
2022-08-15	0	51111072	44130888	0	0	0	0	0	0	0
2022-08-22	10572264	17037024	14710296	0	0	6830664	0	6101800	7986552	0
2022-08-29	0	45432064	0	0	0	0	0	48814400	0	0
2022-09-05	0	68148096	0	0	0	0	0	36610800	0	0
2022-09-12	10572264	5679008	4903432	0	9735840	6830664	10501336	12203600	7986552	12644608
2022-09-19	31716792	0	0	9032328	0	0	0	0	0	0
2022-10-03	21144528	0	9806864	9032328	19471680	13661328	10501336	6101800	15973104	6322304
2022-10-10	10572264	31178168	0	0	0	0	0	6101800	7986552	0
2022-10-17	0	5864528	0	0	0	0	0	0	0	0
2022-10-24	0	11358016	0	0	19471680	6830664	0	6101800	7986552	6322304
2022-10-31	0	0	0	0	0	6830664	10501336	6101800	7986552	0
2022-11-07	0	0	9806864	0	0	0	0	0	0	0
