week_start	sub-20210708001/sub-20210708001_icephys.nwb	sub-20210708002/sub-20210708002_icephys.nwb	sub-20210708003/sub-20210708003_icephys.nwb	sub-20210708004/sub-20210708004_icephys.nwb	sub-20210708005/sub-20210708005_icephys.nwb	sub-20210709001/sub-20210709001_icephys.nwb	sub-20210709002/sub-20210709002_icephys.nwb	sub-20210709003/sub-20210709003_icephys.nwb	sub-20210709004/sub-20210709004_icephys.nwb	sub-20210709005/sub-20210709005_icephys.nwb	sub-20210715001/sub-20210715001_icephys.nwb	sub-20210715002/sub-20210715002_icephys.nwb	sub-20210715003/sub-20210715003_icephys.nwb	sub-20210715004/sub-20210715004_icephys.nwb	sub-20210715005/sub-20210715005_icephys.nwb	sub-20210721001/sub-20210721001_icephys.nwb	sub-20210721002/sub-20210721002_icephys.nwb	sub-20210721003/sub-20210721003_icephys.nwb	sub-20210721004/sub-20210721004_icephys.nwb	sub-20210721005/sub-20210721005_icephys.nwb	sub-20210728001/sub-20210728001_icephys.nwb	sub-20210728002/sub-20210728002_icephys.nwb	sub-20210728003/sub-20210728003_icephys.nwb	sub-20210728004/sub-20210728004_icephys.nwb	sub-20210804001/sub-20210804001_icephys.nwb	sub-20210804002/sub-20210804002_icephys.nwb	sub-20210805001/sub-20210805001_icephys.nwb	sub-20210805002/sub-20210805002_icephys.nwb	sub-20210805003/sub-20210805003_icephys.nwb	sub-20210805004/sub-20210805004_icephys.nwb	sub-20210825001/sub-20210825001_icephys.nwb	sub-20210825002/sub-20210825002_icephys.nwb	sub-20210826001/sub-20210826001_icephys.nwb	sub-20210826002/sub-20210826002_icephys.nwb	sub-20210826003/sub-20210826003_icephys.nwb	sub-20210908001/sub-20210908001_icephys.nwb	sub-20210908002/sub-20210908002_icephys.nwb	sub-20210908003/sub-20210908003_icephys.nwb	sub-20210908004/sub-20210908004_icephys.nwb	sub-20210908005/sub-20210908005_icephys.nwb	sub-20210930001/sub-20210930001_icephys.nwb	sub-20210930002/sub-20210930002_icephys.nwb	sub-20210930003/sub-20210930003_icephys.nwb	sub-20210930004/sub-20210930004_icephys.nwb	sub-20210930005/sub-20210930005_icephys.nwb	sub-20210930006/sub-20210930006_icephys.nwb
2022-02-21	20304936	8388608	10208736	20155744	20470536	23661680	20790104	10418248	8388608	31768736	20304936	20418544	20155744	20304936	20304936	19838504	13721112	10582072	15352656	16777216	16278480	15881024	1870776	25165824	25165824	18589744	11177744	20365288	12134728	16777216	16777216	16777216	11976856	11976632	12239904	20186920	38437856	19936008	19838504	16777216	12239808	16777216	12239776	12188784	12188448	12188624
2022-04-11	3096792	2699032	1751696	2018168	3008336	2592416	2529432	1368912	2519048	3196296	2605784	2687176	3094744	3192208	2988592	2418136	1696736	1843704	2085280	2401096	2458560	3413272	1728112	2868568	2559944	3092496	3213512	2859536	3412976	2436000	5408456	3713128	2431360	2467968	3576512	2776416	4296248	2829096	2952624	2329224	2655944	2683800	2659400	2772768	3387568	3182680
2022-05-16	0	4313660	10208736	20155744	20470536	0	20790104	496528	36662432	0	0	20418544	0	0	0	19838504	13721112	10582072	15352656	20097312	0	0	10259384	0	34838864	0	19566352	20365288	20523336	0	0	20786640	0	20365240	0	20186920	30049248	19936008	0	0	20628416	0	0	20577392	0	20577232
2022-06-06	20304936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-27	0	0	0	0	13405528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	20304936	18605728	10208736	20155744	20470536	2690160	0	10418248	18331216	42565952	20304936	40837088	20155744	0	0	19838504	0	0	0	20097312	0	0	10259384	17418328	0	32985184	0	0	0	20365240	30952264	20786640	20365464	0	0	20186920	39126976	19936008	19838504	0	20628416	20523320	0	0	20577056	20577232
2022-07-25	0	0	0	0	16777216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10259384	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	20304936	18605728	204174720	20155744	0	23661680	0	10418248	18331216	0	48998480	20418544	20155744	0	20304936	19838504	0	0	0	40194624	8388608	20523424	235965832	0	34838864	26978352	0	20365288	0	0	0	0	0	0	45108320	20186920	30049248	19936008	19838504	20101376	20628416	0	20628384	32766176	32765504	0
2022-08-08	20304936	0	255218400	20155744	0	23661680	20790104	10418248	0	31768736	0	20418544	0	0	20304936	0	27442224	10582072	15352656	0	0	0	194928296	17418328	0	0	19566352	20365288	20523336	20365240	30952264	20786640	0	0	0	20186920	30049248	0	19838504	20101376	20628416	20523320	20628384	0	0	20577232
2022-08-15	0	0	61252416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102593840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
