week_start	sub-70bf8cbd-d312-4654-a4ea-3a21ea2f541b/sub-70bf8cbd-d312-4654-a4ea-3a21ea2f541b_ses-4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a_behavior+ecephys+image.nwb	sub-92130c1b-4fdb-4acc-86e0-1853d429c41a/sub-92130c1b-4fdb-4acc-86e0-1853d429c41a_ses-c7bd79c9-c47e-4ea5-aea3-74dda991b48e_behavior+ecephys+image.nwb	sub-9bebfe0b-082e-4d66-aca7-fae29317f708/sub-9bebfe0b-082e-4d66-aca7-fae29317f708_ses-4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b_behavior+ecephys+image.nwb	sub-c6e8125f-b6c7-4349-b74d-32e8bd606f63/sub-c6e8125f-b6c7-4349-b74d-32e8bd606f63_ses-aad23144-0e52-4eac-80c5-c4ee2decb198_behavior+ecephys+image.nwb
2021-11-01	306836839051	238966276096	384719321451	0
2021-11-08	0	0	550223	428450641984
2021-11-15	0	27308317	0	0
2022-04-11	6384231371	7606973002	7771653750	19409781262
2022-05-09	25582853	28038321	27441045	29410456726
2022-05-16	0	838544	0	0
2022-07-11	332141749692	247086011607	412325247163	241327338508
2022-07-25	0	0	597092728832	0
2022-08-01	301696286720	0	0	0
2022-08-08	0	267724013861	0	229662912600
2022-08-22	340161409836	0	455350996543	245672129326
2022-08-29	0	210524017459	0	0
2022-10-10	0	11357876	0	0
2022-11-14	0	0	10319133	6403657
2022-12-12	99614720	83520361	31457280	131072000
2023-01-02	71541260	20971520	41943040	36700160
2023-02-13	839262125	929612655	388481612139	533014397
2023-02-20	42173853	0	20746990294	0
2023-04-03	57671680	1159405174	1058098765	8660033
2023-04-10	13802829	0	403039731041	11911869
2023-04-17	6370944	0	22928293	0
2023-04-24	43965681	17918280	0	0
2023-05-01	10419148	5242880	11214633	10153692
2023-05-08	25981037	0	154603279612	10020964
2023-05-15	19974626	30161031	18680997	6702764
2023-05-22	8261849	21368269	0	0
2023-05-29	9622780	48674635	22297366	0
2023-06-05	16921882	18835065	0	0
2023-06-12	9490052	14691569	0	23624646
2023-06-19	0	2666614275	0	0
2023-06-26	21966484	1910421180	0	6337293
2023-07-03	22761914	13733728	10053677	16092801
2023-07-10	20378456	31000688	24679116	4875048
2023-07-17	0	15195213	6337293	26145595
2023-07-24	0	14264240	0	10684604
2023-07-31	312674217095	82977793	58001198	124995187
2023-08-07	20241020	60543408	36699292	6503672
2023-08-14	6437308	24521392	30660168	0
2023-08-21	13405528	12138996	10020964	0
2023-08-28	0	29864592	0	22231940
2023-09-04	33712912	5699024	0	104191480
2023-09-11	0	4512224	0	19511016
2023-09-18	11348244	13532316	0	9954600
2023-09-25	6636400	4318312	13405528	19511016
2023-10-02	1322872328	12828804	0	40548404
2023-10-09	0	10589236	27010148	0
2023-10-16	7897316	0	401551299746	0
2023-10-23	0	0	0	6304580
2023-10-30	10087328	4091856	10153692	20572840
2023-11-06	74167026288	12063664	0	20108292
2023-11-13	16458272	2339117832	7764588	0
2023-11-20	0	1441109413	0	0
2023-11-27	388133352088	427193193537	654944456111	716800
2023-12-04	305252268	210256165	315554155	50983000
2024-01-15	1582884964	0	524288000	524288000
2024-01-22	12874616	6370944	22550914	16627600
2024-03-04	0	336626250	5242880	0
2024-03-11	2190012	40176201	19643744	17073236
2024-03-18	183118960	23469597	142819375	12320432
2024-03-25	75587048	52378076	29088834	1373306876
2024-04-01	8722348	209083156	24813547	3162200
2024-04-08	288776192	369319936	0	590872196
2024-04-15	625829932	196837466	1119801962	60569780
2024-04-22	845303808	1080676645	0	1581573760
2024-04-29	401242688	822617822	1216343105	367521676
2024-05-06	54171396	0	224057707	904742024
2024-05-13	10502144	142508032	1144747436	566559836
2024-05-20	525062144	9490052	1500423808	36757504
2024-05-27	194269184	1745993728	255544268	455956668
2024-06-03	1012522672	570761216	147536961	1131219088
2024-06-10	17785552	0	6437308	504074240
2024-06-24	1151162204	0	0	0
2024-07-01	0	0	0	22762852
2024-07-08	422663720	24943417	6636400	11226536
2024-07-22	0	13007344	0	10020964
2024-08-05	14002804	427174674725	0	0
2024-08-19	0	12874616	7830952	9954600
2024-08-26	0	320356645	303624713146	0
2024-09-02	838815592977	0	694676994731	0
2024-09-09	242337708	358392344148	501999020	321185794420
2024-09-16	270785660	326727589	20117867	0
2024-09-23	2349865204	1995540190	2192169090	333558200
2024-09-30	173015040	0	373225835	87683160
2024-10-21	462538668	425214245	42924395	0
2024-11-04	0	5906396	0	0
2024-11-18	175411252	256725198	174751790	92326288
2025-02-03	20108292	29065776	30328348	32651088
2025-02-17	202705376	0	215135407584	0
2025-03-03	0	9704	0	0
2025-05-12	52428800	42008328	61918852	52428800
2025-06-23	274486194	1338493673	422127197	5259294
2025-07-07	11547336	0	0	0
2025-07-14	739005750	454726785	1115026789	4448611892
2025-07-21	0	0	51969091840	0
2025-07-28	0	0	17455812184	0
2025-08-04	0	412576200844	39182508228	0
2025-08-11	466348990456	20568493	401525884207	4595800
2025-08-18	0	193626450	0	0
2025-09-01	0	0	0	229191053400
2025-09-08	0	212493926400	21302844	0
2025-09-15	16547592	20568493	19917735	4595800
2025-09-22	33781780	90830581	47533694	18034696
2025-09-29	0	4180932	0	0
2025-10-06	12632116	2007156824	19718643	13505260
2025-10-13	26060600	57989095	35455446	13787400
2025-10-20	12632116	0	4114568	9772192
2025-10-27	57121456	115779098	84117328	48877644
2025-11-03	119442260	215767911	260390563	94121952
2025-11-10	107693328	119632557	103305059	62897132
2025-11-17	68735156	103837925	47998242	39802088
2025-11-24	49132316	95542425	57023746	35588160
2025-12-01	51855744	103506105	56103185	34758424
2025-12-08	51192104	67943695	392945047420	21535304
2025-12-15	508140432328	427270221497	654972649998	51913704
2025-12-22	281923289088	0	0	0
2025-12-29	12764844	20701221	4313660	0
2026-01-05	79708172	65820047	62598322	34011736
2026-01-12	14990266180	0	9888894048	0
2026-01-19	42100236	25280337	63535953	26379876
2026-01-26	50505508	55338882	91558631	205268749532
2026-02-02	17035096	267552047273	47666422	21668032
2026-02-09	25463324	53476343	50926793	30643856
2026-02-16	21680452	8692856	35322718	819200
2026-02-23	39312824	46897450	59288657	14908532
2026-03-02	0	0	15604075	0
2026-03-09	0	8573157376	8573157376	8577753176
2026-03-16	28250612	51153603	7034584	18034696
2026-03-23	17035096	18130149	26421407	5309120
2026-03-30	9954600	0	0	0
2026-04-06	0	8295500	4114568	0
