week_start	sub-YMV01/sub-YMV01_ses-YMV01-170818_ecephys.nwb	sub-YMV02/sub-YMV02_ses-YMV02-170815_ecephys.nwb	sub-YMV03/sub-YMV03_ses-YMV03-170818_ecephys.nwb	sub-YMV04/sub-YMV04_ses-YMV04-170907_ecephys.nwb	sub-YMV05/sub-YMV05_ses-YMV05-170912_ecephys.nwb	sub-YMV06/sub-YMV06_ses-YMV06-170913_ecephys.nwb	sub-YMV07/sub-YMV07_ses-YMV07-170914_ecephys.nwb	sub-YMV08/sub-YMV08_ses-YMV08-170922_ecephys.nwb	sub-YMV09/sub-YMV09_ses-YMV09-171204_ecephys.nwb	sub-YMV10/sub-YMV10_ses-YMV10-171213_ecephys.nwb	sub-YMV11/sub-YMV11_ses-YMV11-171208_ecephys.nwb	sub-YMV12/sub-YMV12_ses-YMV12-171211_ecephys.nwb	sub-YMV13/sub-YMV13_ses-YMV13-180127_ecephys.nwb	sub-YMV14/sub-YMV14_ses-YMV14-180128_ecephys.nwb	sub-YMV15/sub-YMV15_ses-YMV15-180205_ecephys.nwb	sub-YMV16/sub-YMV16_ses-YMV16-180206_ecephys.nwb	sub-YMV17/sub-YMV17_ses-YMV17-180207_ecephys.nwb	sub-YMV18/sub-YMV18_ses-YMV18-180208_ecephys.nwb	sub-YMV19/sub-YMV19_ses-YMV19-180209_ecephys.nwb
2021-11-08	9177287453	10611589120	16583713665	14563675734	24312392637	20896022528	88556978661	21767254140	40507482468	28985375215	71148115632	34590702698	46432116214	29699661861	34082914304	71685918888	42503153737	43584684889	51791265792
2021-11-22	213503917	15447354046	19226125185	20292568875	30662568893	30487702507	28678512353	19125911365	0	40528099823	0	45470727274	0	43003994149	0	41207131585	0	52721237566	0
2022-01-17	42852912	34987920	43063984	49059488	67117672	67682840	0	74122344	0	89043592	14600176	21435304	0	19249688	0	0	0	0	0
2022-04-11	11791108	63471232	29845744	45707048	695432	32224268	360052244	96573048	63196608	62917112	120394848	35247696	59653316	61907260	162555480	61177436	82951492	311691884	105276048
2022-05-16	305608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	11247312662	11420822206	13683338333	15252103043	22775070720	21464605113	51362538715	17623050657	41968096313	29379860383	34282867262	29296647254	32338083840	37842510878	32978401515	40528408544	48808196565	42362862257	32747104148
2022-08-01	0	0	13278602113	0	0	23760038891	0	0	0	29018929647	0	30631279722	0	32103202816	0	40270942429	45113933824	0	0
2022-08-08	10578184989	9004903102	0	13850117931	16642998272	0	41849209317	29610602620	43300888932	0	44579228504	0	34335743478	0	43581230491	0	0	44197053273	21474836480
2022-08-22	15410023197	15447354046	587009002	0	0	30487702507	60078459688	15588826494	15031875311	37795709945	34929859398	64368582143	33619606811	24106138047	48949939611	38779447927	41078768099	18897856102	57181122064
2022-11-14	5242880	5242880	5242880	16159165	0	12177325	15230193	0	5242880	0	5242880	0	5242880	7135269	5242880	0	0	0	0
