week_start	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3324um-1000um-20160217-160217-103121_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3324um-1144um-20160219-160219-130435_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3396um-1180um-20160220-160220-141839_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3396um-1180um-20160221-160221-135947_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3468um-1216um-20160222-160222-120902_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3468um-1216um-20160223-160223-121321_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3468um-1216um-20160225-160225-130701_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3468um-1252um-20160226-160226-124132_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3540um-1288um-20160227-160227-121226_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3540um-1288um-20160228-160228-135001_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3612um-1360um-20160304-160304-150220_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161011-972um-1224um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161014-1296um-1476um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161015-1368um-1476um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161016-1368um-1476um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161018-1552um-2304um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161019-1624um-2340um-161019-095311_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161020-1768um-2376um-161020-102642_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161021-1840um-2412um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161023-1872um-2448um-161023-123504_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161025-1944um-2232um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161026-1944um-2232um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161027-1944um-2232um-161027-194125_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161030-2052um-2232um-161030-111142_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161031-2088um-2232um-161031-104001_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161101-2088um-2232um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161104-2124um-2232um-merge_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170315-288um-0um-170315-191240_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170317-288um-0um-merge_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170318-288um-0um-170318-115923_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170320-432um-0um-merge_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170321-216um-0um-170321-120259_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170324-576um-144um-170324-123932_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170325-576um-360um-170325-125511_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170401-864um-936um-merge_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170412-1440um-1170um-170412-103153_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170125-0um-0um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170128-0um-72um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170201-72um-432um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170202-72um-576um-170202-092033_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170206-72um-1872um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170207-144um-1944um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170211-144um-1944um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170214-216um-1944um-170214-102804_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170215-216um-1944um-170215-140739_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170216-216um-1944um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170217-216um-1944um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170218-216um-1944um-170218-114724_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170221-324um-1944um-170221-101929_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170224-324um-2088um-170224-101710_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170305-468um-2088um-170305-135233_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170306-468um-2088um-170306-113628_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170308-612um-2088um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170429-0um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170430-0um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170501-216um-0um-170501-112210_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170502-288um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170504-396um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170505-396um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170506-468um-36um-170506-111835_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170507-468um-36um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170509-468um-36um-170509-103451_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170518-828um-864um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170519-864um-900um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170521-900um-936um-170521-125602_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170522-900um-936um-170522-151132_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170525-900um-936um-170525-150124_behavior+ecephys.nwb
2022-01-10	76626144064	74432118784	39871053824	66530616651	46012207520	28655484928	52095771767	72989278208	47529852928	33023502527	5158993920	4353687552	2977955840	2698198785	306078811	12198458084	4821732238	4481520706	5978653286	679545594	3968968310	4595766772	371130860	4621195250	5145511178	3523215360	3321888768	403018393	3294933694	5435817984	5150605312	6811549696	2451867319	3841982464	3988030757	3707764736	4004678093	3726068000	796917760	4538236928	5094784110	3623878656	1183841850	2986344448	2887543247	3657433088	2808805982	2264924160	2894069760	5100273664	2514564592	2977955840	4093640704	4034920448	385875968	81033953280	5127935260	5140263880	3305111552	1493172224	4118806528	65354524749	13177203466	4497330427	2666907832	964689920	1581851260
2022-01-17	139122490348	0	0	0	0	0	0	0	0	0	0	0	0	927480	2934808	0	0	0	0	3213800	0	0	3350784	0	0	0	0	3194696	0	0	0	0	7138664	0	0	0	0	0	1774616	0	0	0	3816152	4976353164	0	0	0	1228712	2669904	0	2949520	0	0	0	6277168	0	0	0	0	0	0	0	0	0	1278168	4973800	4740416
2022-01-24	125296	0	5447066213	0	0	0	0	0	0	15707123258	0	8279002951	5075895376	0	826172507	0	0	6956160066	7622820454	0	7064364662	0	631177708	6558963698	0	0	6405013348	746951321	0	9555229290	9957042647	10167847729	0	0	0	9155181457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322706361	0	0	0	7192353592	6775314097	8425215454	0	8689948037	6384767227	0	1873774719	1967727228
2022-02-21	0	0	84030931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-04	0	0	372291584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	19522095	10786384	186424887	51714603	4179478	52244327	55257536	62867714	61301088	37020185	2573874	39872697	62838554	25002811	12896525	63554608	17408517	30486852	344850809	55228289	271863292	257532986	9606362	219857210	188984572	41805141	18809806	21336118	39225471	40144634	54596502	123289642	19903809	26130484	32630664	44959312	11989601	9244786	17011007	15118103	18418687	21557955	22228887	17497500	27459939	35219050	35598240	23810408	3822323	25395350	13336869	37469694	17032702	39832209	8148698	63071976	132116048	67509614	48063405	11954429	102582476	46223051	80950736	33414750	42530862	13326390	19725464
2022-05-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44864
2022-07-11	81946741590	53588529808	42150283344	75282076298	77684504186	28853200123	50042271488	62178714296	42158061560	40334140620	5071229395	5070360391	2405419228	2945508722	469656667	4941601138	3330643050	3355443200	3260744294	650117120	3936340188	3016597200	484377068	3387883162	3208642560	4501711121	3181365468	287295708	4075074238	5697947868	6018826240	7721537661	2453950355	6241539931	3334471680	5699706045	3308853688	3075796881	2420851578	3027058250	4586223882	4508876800	2202009600	3077867861	3458710975	2867011493	3299783735	2447362268	2877884534	2916910401	2679495552	4257218560	4404839628	2998927360	832555228	90355902403	4739563520	5683281920	3705653468	3221118496	6237871802	69487245170	4285928837	4479144707	2834207448	1097828479	998324472
2022-07-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631177708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	0	0	0	0	50835657120	28043116544	0	0	51355058176	0	5855564243	0	0	0	0	0	3162505216	0	0	0	0	0	15148264992	2658260978	5766268170	0	0	14192075099	0	0	0	0	1562674871	5343543296	0	5397085073	0	0	2709520384	0	2578201710	0	0	0	0	0	0	3405774848	2575302656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1236240511	0
2022-08-08	79868649372	73551314944	40757283380	75161927680	0	0	56709506167	65250610819	0	30473365695	0	5905580032	2928411728	2684354560	826172507	3221225472	0	3221225472	4938465894	536870912	5177734431	5905580032	10730021036	0	0	4294967296	4831838208	12698172457	3689198270	4831838208	8102925230	3887566892	0	0	5296653605	0	1269991885	3221225472	0	2234090609	0	1640146031	4295491357	1610612736	2147483648	3787865930	1433074270	0	0	3758096384	4067465976	3221225472	3758096384	6137343247	785835449	87509958656	6846352014	2684354560	5581740856	4294967296	4831838208	51002736640	4831838208	2147483648	2918566072	0	1430856316
2022-08-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3787066248	0	0	0	0	6722561889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-22	74546293259	59138928766	18897856102	23486802430	45461914836	0	56896324386	0	67364513737	18897856102	8657359315	8279002951	0	0	0	0	0	6956160066	0	0	7064364662	7322064372	1262355416	6558963698	0	6058283724	0	1493902642	8521036478	0	0	11940630572	3424945847	0	0	0	0	0	0	0	0	7008855151	4832362269	0	0	5383593893	0	4444243276	0	7514087948	0	0	0	6674214159	0	63080721489	0	0	0	0	0	52961195291	0	6384767227	0	1873774719	1967727228
2022-08-29	0	0	0	0	0	0	0	149500110947	0	56693568306	0	0	0	0	9087897577	0	0	0	0	0	0	0	0	0	0	0	0	5975610568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5538343375	5383593893	0	0	0	0	0	0	0	0	0	0	0	0	7192353592	0	0	0	0	0	0	0	0
2022-09-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8261725070	0	0	0	0	0	0	0	0	0	0	0	0	5975610568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
