week_start	sub-2282/sub-2282_ses-20190914T145458_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T151231_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T162358_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T164312_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T170145_ecephys+ophys.nwb	sub-2610/sub-2610_ses-20201005T153308_ecephys+ophys.nwb	sub-2615/sub-2615_ses-20201007T162625_ecephys+ophys.nwb	sub-2748/sub-2748_ses-20200928T173432_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T154656_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T161323_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T163435_ecephys+ophys.nwb	sub-2765/sub-2765_ses-20200814T153629_ecephys+ophys.nwb	sub-3112/sub-3112_ecephys+ophys.nwb	sub-3112/sub-3112_ses-20210227T185041_ecephys+ophys.nwb	sub-3278/sub-3278_ses-20210614T151114_ecephys+ophys.nwb	sub-3443/sub-3443_ses-20210814T190234_ecephys+ophys.nwb	sub-3443/sub-3443_ses-20210814T193211_ecephys+ophys.nwb	sub-3445/sub-3445_ses-20210814T223214_ecephys+ophys.nwb	sub-3445/sub-3445_ses-20210814T223641_ecephys+ophys.nwb
2022-02-14	4986916764	4224046553	5774660078	4279324366	3791603813	4411376596	3687409022	2766084067	3211205730	2985471423	3130712534	3265539687	4178403253	4152174466	4938122253	4924079232	5523569687	4945560907	4939266354
2022-04-11	691413331	682506045	56728392	462055581	1027511854	785612573	1024115926	834221356	1021340627	1548210467	311006241	1089028113	445030669	2165687700	627459670	1761740384	1104452407	410057521	1970542447
2022-05-16	0	0	0	0	0	0	0	0	0	0	0	0	398240	0	0	0	0	0	0
2022-07-11	4982403516	4240603406	5791946935	4293990314	3805407029	4426042544	3704464074	2779290007	3225871678	3016595643	3146340291	3281798371	4196520129	4166840414	4955143654	4940537008	5538235635	4963312312	4951543198
2022-07-25	0	0	0	0	0	0	0	0	0	2985471423	0	0	0	0	0	0	0	0	0
2022-08-01	0	4224046553	0	0	3791603813	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-08	4966709395	0	5774660078	4279324366	0	4411376596	3687409022	2766084067	3211205730	0	3130712534	3265539687	4178403253	4152174466	4938122253	4924079232	5523569687	4945560907	4939266354
2022-08-22	8142144526	4224046553	11549320156	4279324366	3791603813	4497797384	3687409022	3016918203	3432275143	3193931676	3300899550	3265539687	4557116886	4152174466	4938122253	4924079232	0	4945560907	4939266354
2022-08-29	23302980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5523569687	0	0
2022-09-05	0	0	0	0	0	0	0	2766084067	0	0	0	0	0	0	0	0	0	26047401	0
