week_start	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170316T095515_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170316T183021_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170317T094453_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170317T144531_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170318T135856_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170318T185915_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170320T113440_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170321T173346_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170322T111919_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170316T095515_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170316T183021_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170317T094453_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170317T144531_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170318T135856_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170318T185915_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170320T113440_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170321T173346_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170322T111919_behavior+ecephys.nwb
2022-04-04	164341376	314981008	179086272	188788232	209415216	184083144	0	0	0	0	0	0	0	0	0	58411988	131398088	177315720
2022-04-11	288816	96702232	62946704	35023408	67368528	30831352	0	0	0	0	0	0	0	0	0	301256	36619936	36530032
2022-04-25	0	0	0	0	0	0	83447896	51692064	17201848	94696176	73007808	40648920	24734456	8836496	16967480	0	0	0
2022-05-02	0	0	0	0	0	0	143029640	59725280	85231968	184313240	170199792	80309760	113051224	110628336	63353312	0	0	0
2022-05-09	0	0	0	0	0	0	135948400	52546272	29008000	57234048	39559552	49688128	73760776	26343568	55076072	0	0	0
2022-05-16	0	0	0	0	0	0	0	0	117736	0	0	0	0	0	0	0	0	0
2022-05-30	0	0	0	0	0	0	0	1492721	0	0	0	0	0	0	0	0	0	0
2022-07-04	0	0	0	0	0	0	0	25503504	25506304	0	0	24275752	0	0	0	0	0	0
2022-07-11	10615088	38955668	34959104	6993168	45543968	39861648	5955056	55530976	51004592	55781920	71471548	30868184	27606016	4506384	26712848	30296048	8209672	37355552
2022-07-18	0	0	0	0	0	0	0	0	25506304	0	0	24275752	0	0	0	0	0	0
2022-07-25	0	0	0	0	0	0	0	0	0	0	21584440	16777216	0	0	0	0	0	0
2022-08-01	0	0	16777216	0	20773728	0	16777216	0	0	16777216	0	509790792	510148296	0	0	0	0	0
2022-08-08	31586608	0	0	27964688	0	0	0	50998992	0	27894968	0	412679768	364391640	50963824	0	0	0	29163536
2022-08-15	0	0	0	0	0	0	0	0	0	0	0	267033272	194342208	0	0	0	0	0
2022-08-22	31586608	0	27965312	0	0	30416584	13836425	50998992	25498288	27886952	189506973	364136280	72862296	50963824	26704832	30296048	0	0
2022-08-29	0	43956328	0	0	0	0	0	229531536	153037824	0	0	0	145756656	0	0	0	0	0
2022-09-05	0	0	0	0	0	0	0	255035040	0	0	0	0	194342208	0	0	0	0	0
2022-10-10	0	0	0	0	0	0	0	0	53553728	0	0	0	0	0	29480	0	0	0
2022-10-17	0	0	0	0	0	0	0	0	265362008	0	0	0	13807016	0	0	0	0	0
2022-10-24	0	0	0	0	0	0	131591744	30035488	60082176	0	0	0	13807016	0	0	0	0	0
2022-11-07	0	0	0	0	0	0	0	0	25506304	27894968	0	0	24292776	25485920	0	0	0	0
2022-11-21	0	0	0	0	0	0	26934728	25503504	0	0	0	0	0	25485920	0	0	0	0
2022-12-19	0	0	0	0	0	0	41202105	0	0	14135532	0	9954600	15561889	14831885	0	0	0	0
2023-01-02	0	0	0	0	0	0	27971957	0	14168245	28402854	0	15429161	26677390	14666444	26412872	0	0	0
2023-01-30	0	0	0	0	0	0	26934728	0	0	0	0	0	0	0	53425696	0	0	0
2023-02-06	0	0	0	0	0	0	16448968	15017744	15020544	17409208	17390136	13789992	13807016	15000160	16227088	0	0	0
2023-02-13	0	0	0	0	0	0	26934728	0	25506304	55789936	38361656	65328720	0	25485920	26712848	0	0	0
2023-02-20	0	0	0	0	0	0	145748035	66925749	125191520	63706626	156203741	193643586	91357051	99209490	94234066	0	0	0
2023-03-20	0	0	0	0	0	0	47905752	0	0	0	76723312	0	0	0	0	0	0	0
2023-03-27	0	0	0	0	0	0	0	0	15020544	0	0	0	0	0	0	0	0	0
2023-04-03	0	0	0	0	0	0	252077557	212459187	276531284	473526721	161524348	359777169	279880321	175858972	129804232	0	0	0
2023-04-10	0	0	0	0	0	0	120846030	162388018	130367857	0	453354501	24275752	24284760	333069770	0	0	0	0
2023-04-17	0	0	0	0	0	0	90417722	223839261	166138053	256421226	151703469	362938205	170947098	318803386	177551778	0	0	0
