region	bytes_sent
GitHub	4960573808
US/California	3189054506
AWS/us-east-2	2950565454
NL/North Holland	1422032790
AWS/us-east-1	1397033706
NO/Trøndelag	1310820568
SE/Stockholm	1125242289
GB/England	892649784
VPN	596440167
GCP/us-central1	506480400
HU/Budapest	465970212
US/Pennsylvania	398170648
US/New York	315425276
US/Indiana	292701741
NO/Oslo	271895032
PT/Lisbon	245298144
CH/Vaud	244968456
US/New Mexico	244968456
US/Maryland	225916876
CN/Shanghai	221066968
CA/Quebec	155131400
US/Georgia	140110856
US/Virginia	135054292
IR/Fars	122838548
HK/Hong Kong	113856896
IN/Maharashtra	99592560
VN/Ho Chi Minh	98350584
GCP/us-west4	77947336
PT/Viseu	77391472
VN/Kiên Giang Province	48568528
US/Rhode Island	45061632
AWS/ap-southeast-1	43202136
US/Washington	27894968
IL/Jerusalem	25503504
CA/British Columbia	24275752
IT/Lombardy	13272824
SE/Västra Götaland	266840
