week_start	sub-Fish03-GCaMP-vlgut-MBd-6dpf-RandomWave/sub-Fish03-GCaMP-vlgut-MBd-6dpf-RandomWave_ses-20210819T094801_behavior+ophys.nwb	sub-Fish06-GCaMP-vlgut-MBv-7dpf-RandomWave/sub-Fish06-GCaMP-vlgut-MBv-7dpf-RandomWave_ses-20210820T173047_behavior+ophys.nwb	sub-Fish08-GCaMP-vlgut-MBd-5dpf-RandomWave/sub-Fish08-GCaMP-vlgut-MBd-5dpf-RandomWave_ses-20210825T171649_behavior+ophys.nwb	sub-Fish10-GCaMP-vlgut-MBv-6dpf-RandomWave/sub-Fish10-GCaMP-vlgut-MBv-6dpf-RandomWave_ses-20210826T175647_behavior+ophys.nwb	sub-Fish14-GCaMP-vlgut-MBd-5dpf-RandomWave/sub-Fish14-GCaMP-vlgut-MBd-5dpf-RandomWave_ses-20210830T162840_behavior+ophys.nwb	sub-Fish18-GCaMP-vlgut-MBv-7dpf-RandomWave/sub-Fish18-GCaMP-vlgut-MBv-7dpf-RandomWave_ses-20210901T181919_behavior+ophys.nwb	sub-Fish24-GCaMP-vlgut-MBv-7dpf-RandomWave/sub-Fish24-GCaMP-vlgut-MBv-7dpf-RandomWave_ses-20210908T162505_behavior+ophys.nwb	sub-Fish35-GCaMP-vlgut-MBv-7dpf-RandomWave/sub-Fish35-GCaMP-vlgut-MBv-7dpf-RandomWave_ses-20210922T114356_behavior+ophys.nwb	sub-Fish36-GCaMP-vlgut-MBd-7dpf-RandomWave/sub-Fish36-GCaMP-vlgut-MBd-7dpf-RandomWave_ses-20210922T174638_behavior+ophys.nwb
2023-03-13	1585446912	3277984757	4527387508	2315255808	2332033024	2742463396	6492309640	2722892642	8298830922
2023-04-03	0	0	0	0	2492841432	0	0	0	0
2023-04-10	0	0	0	0	6077765540	0	0	0	0
2023-04-17	0	0	0	0	2806297212	0	0	0	0
2023-04-24	0	0	0	0	1821842988	0	0	0	0
2023-05-01	0	0	0	0	3597371820	0	0	0	0
2023-05-08	0	0	0	0	3657901212	0	0	0	0
2023-05-15	0	0	0	0	4187336868	0	0	0	0
2023-05-22	0	0	0	0	3010747680	0	0	15671216	0
2023-05-29	0	0	0	0	3040553820	0	0	13448008	0
2023-06-05	0	0	0	0	2535683664	0	0	14140640	0
2023-06-12	0	0	0	0	2974128708	0	0	16216712	0
2023-06-19	0	0	0	0	0	0	0	2135579142	0
2023-06-26	0	0	0	0	2949628716	0	0	4322623328	0
2023-07-03	0	0	0	0	2926045836	0	0	161157034	0
2023-07-10	0	0	0	0	2806821276	0	0	12822976	0
2023-07-17	0	0	0	0	3462752880	0	0	13338344	0
2023-07-24	897408384	0	0	0	4613335392	0	0	13096592	0
2023-07-31	0	0	0	42470512	282929052	0	79768956	13525208	0
2023-08-07	0	0	0	0	2438600808	0	0	14127408	0
2023-08-14	0	0	0	0	3145104588	0	0	13927304	0
2023-08-21	0	0	0	0	3360691416	0	0	14719304	0
2023-08-28	0	0	0	0	3418534980	0	0	16897608	0
2023-09-04	0	0	0	0	3150476244	0	0	17974640	0
2023-09-11	5285698944	0	0	0	2448820056	0	0	13756608	0
2023-09-18	0	0	0	0	2457008556	0	0	13371480	0
2023-09-25	0	0	0	0	1005744324	0	0	15404984	0
2023-10-02	0	0	0	0	2040050136	0	0	4163256	0
2023-10-09	0	0	0	0	2495527260	0	0	2258744	0
2023-10-16	0	0	0	0	1584704028	0	0	0	0
2023-10-23	0	0	0	0	20110956	0	0	4394984	0
2023-10-30	10571397888	4074902517	9816041192	7685693522	6107768204	3942034340	6433589384	3865019906	4879224357
2023-11-06	0	0	0	0	1857872388	0	0	0	0
2023-11-13	0	0	0	0	479780592	0	0	6199263756	0
2023-11-20	0	0	0	0	0	0	0	6066645719	0
2023-11-27	0	0	0	0	0	0	0	3952536	0
2023-12-04	373120384	850531317	876245876	345845801	885685148	544648100	834430020	1892420450	629145600
2024-01-22	47604116	43187272	65076704	23886416	47243632	110842188	79680580	87894968	99708855
2024-01-29	266921220	356721872	139995076	287364568	223046064	244812356	213038736	344630320	207477276
2024-02-26	8192000	0	0	0	0	0	27054804	0	0
2024-03-04	214735224	185584164	46510680	0	268648308	0	97410396	2146507522	0
2024-03-11	328366408	646538600	413024732	534220212	304902108	310788648	140973836	395153564	760588932
2024-03-18	29261860	405297996	22118400	27914808	348753352	33434032	30264820	30580996	44922184
2024-03-25	332784220	302256594	336828680	312306150	773512120	996749476	227681656	198442082	160772498
2024-04-01	90284576	48645476	79402368	112833625	128311328	67999076	219473260	74280960	296504869
2024-04-08	174284968	0	0	1087553741	1126236160	0	474585008	0	613441140
2024-04-15	941514368	804600573	718017396	841880994	536778000	766825104	0	353400088	260231168
2024-04-22	27381760	196267788	528036724	506793697	0	0	700102828	1190396102	604374064
2024-04-29	99542344	0	0	15446016	0	0	499875840	8843580	1548188502
2024-05-06	22543560	18264861	224808800	0	28299456	474099712	531461188	724175082	0
2024-05-13	0	0	0	0	0	253375816	839651728	120245608	0
2024-05-20	0	0	166687604	18784012	228757504	0	0	5279744	711417856
2024-05-27	0	0	0	1370476858	31236096	490984172	226652160	129582016	9236628
2024-06-03	553028992	0	424792096	5292032	158694308	54378532	8176708	0	0
2024-06-10	0	0	1173636840	0	0	0	0	0	816916628
2024-06-17	5285698944	0	0	0	0	0	0	0	0
2024-07-08	6014456016	871696281	868378420	785665018	998931356	1003137956	876373060	934606068	842200140
2024-07-22	10350264	10022724	4908020596	0	6878340	0	0	6616308	0
2024-07-29	0	0	0	0	4676287388	0	0	0	0
2024-08-05	0	0	0	0	4676287388	0	0	0	0
2024-08-26	0	10808820	12053472	20897052	20372988	24106944	5437164	340527970	12381012
2024-09-02	0	0	0	0	14730268332	0	7426392956	0	0
2024-09-09	721778176	0	0	3170370420	3921493540	0	0	0	0
2024-09-16	1804647168	2031688758	1679780056	1186473189	1895888696	1245290424	1876279604	1698698948	1365577253
2024-09-23	1412086528	514986997	1536848756	870133801	1252686748	1168550820	1154245700	1372193946	847449637
2024-09-30	0	0	0	0	0	0	0	95277304	0
2024-10-21	11332884	0	0	0	4454544	10153740	0	5175132	0
2024-11-25	0	0	0	0	10612296	11201868	0	0	0
2025-02-10	33474588	0	0	10612296	9498660	13363632	12577536	10219248	33736620
2025-03-03	136488	27264	165488	52144	186984	8736	9624	0	0
2025-03-10	0	307200	4389036	0	0	0	0	0	159272
2025-03-31	43971296	45401576	48133840	46066728	64158744	32915224	49381648	148726190	2230808
2025-04-07	0	0	0	0	0	44792740	0	0	0
2025-06-23	112660752	120472248	124472520	114259600	125297152	127330456	119076592	369898992	114778272
2025-07-14	114445472	123893600	117411232	127290888	122290112	112977360	129124800	115279040	111125056
2025-07-28	11201868	15525396	0	2762813481	20971520	0	2817754404	14346252	16966572
2025-08-04	4079836544	0	0	0	3575282588	0	0	2254438400	3987934757
2025-08-11	0	0	4069159796	0	0	2411724800	0	0	0
2025-08-18	0	3183612917	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	3883077157
2025-09-01	0	0	3702158196	0	0	0	0	0	0
2025-09-29	0	0	0	0	0	0	0	47735234	0
2025-10-06	0	0	0	0	0	0	0	2204294934	0
2025-11-24	19455876	15459888	48541428	22534752	21617640	17163096	9957216	49720572	48868968
2025-12-15	15066840	4083811605	9830911508	3849921625	8237867604	7902803968	3845672884	3873700546	9770764218
2025-12-29	0	0	0	0	0	0	2302436420	0	0
2026-01-05	3476905344	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	9395824376	0	0	0	7831064109
2026-01-19	0	2858554357	0	2505912361	0	0	1923074048	0	0
2026-01-26	0	0	3428843520	0	0	2563156900	0	2259422050	0
2026-02-02	0	0	0	0	0	0	0	0	2930769920
2026-02-16	16181176	5151004	13708424	14182832	6306020	9171820	15492992	13785996	12127956
2026-02-23	0	0	40641396	0	0	0	20480000	2343308130	0
2026-03-02	83150380	53275921	0	43968781	64885748	4331804	24607004	47264614	40345600
2026-03-16	20831544	0	0	0	9957216	0	7271388	0	0
2026-03-23	123147292	24530137	119261788	4389036	45525220	39618596	25725128	20480000	17477157
2026-03-30	4127004	0	0	0	0	0	0	0	0
2026-04-06	0	4127004	0	0	1126400	0	614400	307200	0
2026-04-13	5285698944	0	0	0	0	0	0	0	0
