week_start	sub-N1/sub-N1_ses-2019-02-12_ecephys.nwb	sub-N1/sub-N1_ses-2019-12-20_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-12_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-14_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-17_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-21_ecephys.nwb	sub-P1/sub-P1_ses-2016-04-27_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-04_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-11_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-16_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-20_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-23_ecephys.nwb
2023-04-10	0	0	0	0	0	0	0	0	0	0	1568016	0
2023-05-01	24707328	9391680	0	1704104	1904844	1529792	1651448	1517120	1575432	0	1568016	1459812
2023-05-08	0	0	0	0	0	0	0	1517120	0	0	0	0
2023-05-15	12353664	0	0	1704104	0	1529792	1651448	0	0	1608016	0	1459812
2023-05-22	24707328	9391680	1864800	1704104	5020136	1529792	1651448	0	3150864	1608016	0	1459812
2023-05-29	0	0	1864800	0	1170952	0	0	0	0	0	0	0
2023-06-05	12353664	0	0	0	1149024	0	0	0	0	0	0	0
2023-06-12	24707328	18783360	7459200	3408208	9017280	3059584	4954344	4551360	3150864	3216032	3136032	4379436
2023-06-19	0	0	0	0	7439924	0	0	0	0	0	0	0
2023-06-26	0	0	0	0	12576240	1529792	0	0	0	0	0	0
2023-07-03	0	0	0	0	1294552	0	0	0	0	0	0	0
2023-07-10	0	0	0	0	1272088	0	0	0	0	0	0	0
2023-07-17	0	0	0	0	1246400	0	0	0	0	0	0	0
2023-07-24	12353664	28175040	3729600	3408208	3229324	3059584	0	4551360	0	3216032	0	1459812
2023-07-31	12353664	9391680	0	0	3045148	1529792	1651448	1517120	0	0	1568016	0
2023-08-07	0	0	0	0	1333200	0	0	0	0	0	0	0
2023-08-14	61731616	45608024	0	0	1399752	0	0	0	0	0	0	0
2023-08-21	0	0	0	0	1179312	0	0	0	0	0	0	0
2023-08-28	0	18783360	0	0	1688592	0	0	3034240	0	0	0	0
2023-09-04	0	0	0	0	1335472	0	0	0	0	0	1568016	0
2023-09-11	0	0	0	0	1092512	0	0	0	0	0	0	0
2023-09-18	12353664	9391680	1864800	0	3135652	1529792	1651448	0	1575432	0	0	0
2023-09-25	0	9391680	0	0	1327648	0	0	0	0	0	0	0
2023-10-02	0	0	0	0	330656	0	0	0	0	0	0	0
2023-10-09	0	0	0	0	307240	0	0	0	0	0	0	0
2023-10-16	12353664	0	0	0	1904844	0	0	0	0	0	1568016	0
2023-10-23	0	18783360	0	0	243856	0	0	0	0	0	0	0
2023-10-30	12353664	9391680	1864800	0	2148700	1529792	1651448	1517120	3150864	1608016	0	0
2023-11-06	0	0	0	0	171752	0	0	0	0	0	0	0
2023-11-13	49414656	9391680	1864800	1704104	2426012	0	0	3034240	1575432	3216032	1568016	1459812
2023-11-20	12353664	9391680	1864800	1704104	4563804	1529792	1651448	3034240	1575432	1608016	1568016	1459812
2023-11-27	12353664	0	0	0	801824	0	0	0	0	0	0	0
2023-12-04	48136832	9391680	3729600	3408208	6225660	3059584	3302896	3034240	3150864	3216032	3136032	1459812
2023-12-11	0	0	0	0	243856	0	0	0	0	0	0	0
2024-01-01	0	9391680	0	0	0	0	0	1517120	0	0	0	0
2024-01-08	0	0	0	0	243856	0	0	0	0	0	0	0
2024-01-22	9552260	11823444	4387200	2077008	368844	3360576	1971696	3322560	543156	131016	2246448	2126636
2024-01-29	55523436	9391680	1864800	1704104	0	0	3302896	1517120	1575432	0	1568016	1459812
2024-02-19	0	0	0	0	0	1529792	0	0	0	0	0	0
2024-03-04	0	0	0	0	5714532	0	0	0	0	0	0	0
2024-03-11	300314924	6751308	4041912	372904	2035860	3360576	1971696	3306072	3612024	2089632	3119544	2903136
2024-03-18	0	0	0	0	0	0	0	0	3150864	0	0	0
2024-03-25	217769836	33731136	9981600	53573032	20154972	54144704	10869432	32724480	8570424	10129712	8857728	7965884
2024-04-01	49657544	120544480	37624800	3408208	4178532	3661568	0	3322560	3497496	3216032	1907232	2919624
2024-04-08	50272048	0	0	13632832	0	0	52846336	1517120	0	24120240	6272064	4379436
2024-04-15	6931940	141729612	37296000	372904	80372292	300992	41606448	288320	8223792	35376352	1568016	33706692
2024-04-22	245729508	183680196	0	28969768	102861576	0	31377512	27308160	20480616	36984368	0	0
2024-04-29	0	446770476	0	25561560	1904844	0	36331856	0	0	3216032	0	21897180
2024-05-06	223468412	0	39160800	0	22858128	29066048	34680408	28825280	0	25728256	6272064	0
2024-05-13	246706080	0	0	0	0	3059584	0	18205440	39385800	12864128	0	21897180
2024-05-20	125532308	0	33566400	0	0	30595840	0	0	11028024	35376352	0	64231728
2024-05-27	0	149550528	0	0	78098604	0	51194888	25791040	0	24120240	17248176	26276616
2024-06-03	417335976	166344612	1864800	1704104	0	64251264	1651448	30342400	26782344	3216032	26656272	1459812
2024-06-10	0	195633288	0	0	0	0	0	0	0	28944288	0	0
2024-06-24	12353664	9391680	0	0	0	0	1651448	0	0	0	0	0
2024-07-08	12779776	9739392	1864800	2097488	3809688	1529792	3643624	3371712	3546648	3216032	1956384	1459812
2024-07-22	23424516	37018620	3729600	6816416	0	3059584	3302896	1517120	1575432	1608016	3136032	2919624
2024-07-29	0	0	1864800	0	0	0	0	0	0	0	0	0
2024-08-12	12353664	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	12353664	9391680	1864800	1704104	0	1529792	1651448	0	1575432	1608016	1568016	0
2024-08-26	44343180	15721920	8785640	3408208	7619376	7648960	6605792	6068480	6301728	6432064	4704048	2919624
2024-09-02	37060992	0	0	0	0	0	0	0	0	0	0	0
2024-09-09	33686016	28175040	0	5112312	0	0	0	0	0	3216032	10976112	0
2024-09-16	15004808	16814256	3729600	4194976	4141668	1879936	3302896	3371712	3150864	3216032	3524400	2919624
2024-09-23	44171776	37566720	7459200	6816416	7619376	6119168	6605792	6068480	6301728	6432064	6272064	5839248
2024-09-30	12353664	9391680	1864800	1704104	1904844	1529792	1651448	1517120	1575432	1608016	1568016	1459812
2024-10-07	0	0	0	0	2273688	0	0	0	0	0	0	0
2024-10-14	96536	9391680	0	1433848	0	0	0	0	0	0	0	0
2024-10-21	22441896	18783360	3729600	3408208	1904844	1529792	1651448	1517120	1575432	1608016	1568016	2919624
2024-11-04	12353664	28175040	0	0	0	0	0	0	0	0	0	0
2024-11-18	32830320	17580180	3729600	5112312	7619376	6119168	6605792	4551360	4726296	4824048	4704048	4379436
2024-11-25	0	0	0	0	0	1529792	0	0	0	0	0	0
2024-12-02	3965056	0	0	0	1904844	0	0	0	0	0	1568016	0
2024-12-30	12353664	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	12353664	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	12353664	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	0	0	1864800	0	0	0	0	0	0	0	0	0
2025-04-21	12353664	18783360	3729600	3408208	3809688	3059584	3302896	3034240	3150864	3216032	3136032	2919624
