week_start	sub-18118024/sub-18118024_icephys.nwb	sub-18130014/sub-18130014_icephys.nwb	sub-18208024/sub-18208024_icephys.nwb	sub-19o22001/sub-19o22001_icephys.nwb	sub-19o22018/sub-19o22018_icephys.nwb	sub-19o23001/sub-19o23001_icephys.nwb	sub-19o23003/sub-19o23003_icephys.nwb	sub-19o23010/sub-19o23010_icephys.nwb	sub-19o23039/sub-19o23039_icephys.nwb	sub-19o23046/sub-19o23046_icephys.nwb	sub-2018-02-08-0001/sub-2018-02-08-0001_icephys.nwb
2022-07-11	0	0	0	1215857	1111341	0	1636622	0	1151202	0	0
2022-07-18	2499671	0	0	0	0	0	0	0	0	0	0
2022-07-25	0	914712	936638	0	0	0	0	0	0	0	0
2022-08-01	0	15550104	17796122	0	0	0	0	0	1151202	0	1035492
2022-08-08	2499671	12805968	15922846	1215857	0	1092017	1636622	1047147	0	0	0
2022-08-15	0	7317696	6556466	0	0	0	0	0	0	0	0
2022-08-22	0	914712	2809914	1215857	0	0	1636622	2094294	0	2248346	0
2022-08-29	0	0	7493104	0	0	0	0	0	0	0	7248444
2022-09-05	0	0	7493104	0	0	0	0	0	0	0	4141968
2022-09-19	4999342	0	0	0	0	0	0	0	0	0	0
2022-10-03	0	0	936638	1215857	1111341	1092017	0	1047147	0	0	1035492
2022-11-07	4999342	914712	936638	1215857	1111341	1092017	1636622	1047147	1151202	0	1035492
2022-11-14	7499013	914712	936638	3647571	1111341	0	0	0	0	0	0
2022-12-05	0	0	0	0	0	0	0	0	1151202	0	0
2022-12-19	0	0	0	0	0	0	0	0	0	1124173	1035492
2022-12-26	2499671	1829424	936638	1215857	1111341	2184034	3273244	2094294	2302404	2248346	2070984
2023-01-09	0	0	0	1215857	0	0	0	0	0	0	0
2023-02-27	4999342	914712	936638	1215857	1111341	2184034	0	1047147	2302404	2248346	1035492
2023-04-17	0	914712	0	0	1111341	0	0	0	0	0	0
2023-04-24	0	0	0	0	132728	0	0	0	0	0	0
2023-05-01	0	0	936638	0	1111341	0	0	0	0	0	0
2023-05-08	0	0	936638	0	0	0	0	0	0	0	0
2023-05-15	0	0	0	0	0	0	0	0	0	0	1035492
2023-05-22	0	0	1651232	0	0	0	0	0	0	0	0
2023-05-29	0	0	2476502	0	0	0	0	0	0	0	0
2023-06-05	0	0	1220728	0	0	0	0	0	0	0	0
2023-06-12	0	0	1667680	0	0	0	0	0	0	0	0
2023-06-19	0	0	4134796	0	0	0	0	0	0	0	0
2023-06-26	0	0	6347198	0	0	0	0	0	0	0	0
2023-07-03	0	0	1762160	0	0	0	0	0	0	0	0
2023-07-10	2499671	0	1733392	0	1111341	0	1636622	1047147	1151202	0	0
2023-07-17	0	0	1775240	0	0	0	0	0	0	0	0
2023-07-24	0	0	1608320	0	1111341	0	0	0	0	0	1035492
2023-07-31	0	914712	2735558	1215857	0	0	1636622	1047147	2302404	1124173	1035492
2023-08-07	0	0	4521201	0	0	0	0	0	0	0	0
2023-08-14	0	0	1626864	0	0	0	0	0	0	0	0
2023-08-21	0	0	1637984	0	0	0	0	0	0	0	0
2023-08-28	0	0	4269658	0	0	0	0	0	0	0	1035492
2023-09-04	0	0	1928792	0	0	0	0	0	0	1124173	1035492
2023-09-11	0	0	1450360	0	0	0	0	0	0	0	0
2023-09-18	0	0	1281512	0	0	0	0	0	0	0	0
2023-09-25	7354542	0	2390142	0	0	0	0	0	0	0	0
2023-10-02	0	0	519864	2431714	0	1092017	0	0	0	0	0
2023-10-09	0	0	646120	0	0	1092017	0	0	0	0	0
2023-10-23	0	0	2144004	0	0	0	0	0	0	0	2070984
2023-10-30	0	0	546360	1215857	0	0	0	1047147	1151202	0	3106476
2023-11-06	0	0	759712	0	0	0	0	0	0	0	0
2023-11-13	0	0	1873276	0	0	0	0	0	0	0	1035492
2023-11-20	0	0	2766582	0	0	0	0	0	0	0	0
2023-11-27	0	0	452976	0	0	0	0	0	0	0	0
2023-12-04	2499671	0	657768	1215857	1111341	2184034	1636622	1047147	1151202	1124173	1035492
2023-12-11	0	0	365216	0	0	0	0	0	0	0	1035492
2024-01-01	0	0	936638	0	0	0	0	0	0	0	2070984
2024-01-22	5027211	1931824	936638	1215857	4445364	4965344	3273244	4070537	3453606	1124173	2070984
2024-03-04	0	0	936638	0	0	0	0	0	0	0	0
2024-03-11	10118399	2804416	3707003	3647571	2222682	4533132	3273244	0	3631910	1302477	998704
2024-03-18	0	0	0	0	0	0	0	0	0	14614249	0
2024-03-25	40199536	1215024	3746552	4965828	27885925	3408779	54008526	28272969	2435132	2248346	24851808
2024-04-01	5204142	12805968	936638	36475710	2325082	2388834	1636622	2094294	20721636	1124173	2070984
2024-04-08	2499671	28356072	45895262	0	0	0	0	0	31082454	60705342	0
2024-04-15	77489801	17379528	0	0	17781456	14196221	34369062	50263056	0	0	16567872
2024-04-22	102691311	19539592	50578452	2534114	2325082	2388834	1636622	26178675	26477646	1124173	38313204
2024-04-29	44994078	14635392	9366380	0	0	15288238	0	0	35687262	46091093	0
2024-05-06	0	11891256	17796122	8510999	27783525	12012187	32732440	17801499	0	0	27958284
2024-05-13	2499671	19208952	38402158	51065994	0	0	0	25131528	0	16862595	0
2024-05-20	57492433	6402984	0	0	50010345	0	0	24084381	0	26980152	32100252
2024-05-27	0	0	25289226	59576993	15558774	0	88377588	17801499	20721636	0	0
2024-06-03	27496381	12805968	0	29180568	0	26208408	31095818	0	21872838	14614249	27958284
2024-06-10	52493091	0	0	0	31117548	0	0	0	0	0	0
2024-07-08	2761815	914712	0	2431714	2222682	2184034	3404316	0	1151202	1124173	2070984
2024-07-22	0	914712	936638	3647571	0	1092017	1636622	0	3453606	3372519	0
2024-08-26	2499671	1829424	1873276	0	1111341	2184034	1636622	1047147	0	1124173	0
2024-09-09	7499013	2744136	2809914	4863428	3334023	4368068	0	3141441	0	0	3106476
2024-09-16	2761815	914712	936638	1215857	1111341	1092017	3404316	0	1151202	1255245	2070984
2024-09-23	4999342	0	0	2431714	2222682	2184034	3273244	2094294	2302404	2248346	2070984
2024-09-30	2499671	0	0	1215857	1111341	1092017	1636622	1047147	1151202	1124173	1035492
2024-10-07	0	0	0	0	1111341	0	1636622	0	0	0	1035492
2024-10-21	4689683	914712	0	2431714	1111341	2184034	3273244	1047147	1151202	2248346	1035492
2024-11-04	5261486	914712	936638	0	0	0	0	0	0	0	0
2024-11-18	0	0	0	0	0	0	0	0	0	1124173	0
2024-11-25	2499671	0	0	0	0	0	0	0	0	0	0
2024-12-09	2761815	0	0	0	0	0	0	0	0	0	0
2025-01-27	2499671	914712	936638	0	0	0	0	0	0	0	0
2025-02-10	4999342	914712	0	0	0	0	0	0	1151202	0	0
2025-04-21	2499671	1829424	936638	1215857	1111341	1092017	1636622	1047147	1151202	1124173	1035492
2025-06-09	2499671	0	0	0	0	0	0	0	0	0	0
2025-06-23	2499671	0	936638	0	1111341	1092017	1636622	1047147	1151202	1124173	1035492
2025-07-28	0	0	0	0	0	0	1636622	0	0	0	1035492
2025-08-04	2922870	914712	0	0	0	0	0	0	1151202	0	0
2025-08-11	2499671	2034224	936638	2431714	2222682	2388834	1636622	1047147	2302404	1124173	2070984
2025-08-18	0	914712	0	0	1111341	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	1636622	0	0	0	0
2025-09-08	0	0	936638	0	0	0	0	0	0	1124173	0
2025-09-15	0	2034224	1873276	0	0	0	0	0	0	0	0
2025-09-22	0	21666552	17796122	0	0	15425021	0	0	20721636	19110941	0
2025-09-29	0	0	2809914	1215857	0	0	0	0	0	0	0
2025-10-06	30610452	13120056	11239656	5068228	15558774	7371302	19231642	11518617	12663222	12365903	12425904
2025-10-13	50707761	21666552	17796122	19057055	23338161	17609055	33348618	15707205	19570434	13490076	14496888
2025-10-20	15305226	7017384	3746552	6386485	4445364	4777668	12275554	6282882	8058414	3372519	6212952
2025-10-27	91521697	31837672	28099140	38920367	36674253	37334127	55853504	29320116	41443272	35973536	32100252
2025-11-03	48105690	19427528	15922846	22909426	24449502	30850042	41736528	24084381	17268030	21359287	19674348
2025-11-10	33110123	11495432	11239656	24227683	15558774	17813855	22300086	13612911	16116828	16862595	13461396
2025-11-17	30610452	5693072	6556466	9022999	6668046	12148970	10229332	9424323	10360818	10117557	11390412
2025-11-24	22964836	6307472	6556466	7704742	4445364	11944170	14321776	4188588	8058414	10117557	5177460
2025-12-01	25406310	8136896	9366380	7602342	14447433	13036187	13707376	8377176	11512020	11241730	12425904
2025-12-08	15202826	4983160	5619828	7602342	6668046	5869685	19436442	7330029	8058414	7869211	6212952
2025-12-15	35507394	12000544	12176294	16420541	11113410	17813855	16980620	9424323	10360818	10117557	10354920
2025-12-29	5101742	0	1873276	3749971	2222682	1296817	1841422	2094294	1151202	1124173	1035492
2026-01-05	28110781	7222184	6556466	8715799	11113410	12831387	12275554	11518617	10360818	13490076	11390412
2026-01-12	0	1829424	936638	3647571	0	0	0	1047147	0	0	3106476
2026-01-19	9893825	5187960	6556466	5068228	5556705	7371302	6956088	9424323	4604808	4496692	5177460
2026-01-26	15407626	6102672	6556466	3749971	7779387	8258519	12070754	7330029	10360818	10117557	6212952
2026-02-02	15407626	5187960	2809914	4863428	5556705	3480851	6956088	4188588	6907212	6745038	1035492
2026-02-09	7703813	4068448	4675648	7602342	4445364	2388834	6751288	4188588	5756010	5620865	4141968
2026-02-16	7601413	2648624	2385276	5477828	3743623	5357685	3887644	2094294	6165610	3169946	1547492
2026-02-23	26020710	7017384	4156152	5785028	5469364	6279285	6956088	4188588	3453606	4496692	2070984
2026-03-02	0	914712	1873276	0	0	0	0	0	0	0	1035492
2026-03-09	0	0	0	2534114	0	0	0	0	0	0	0
2026-03-16	5204142	2769936	4683190	3852371	2819958	2986110	7348564	2757106	6907212	3372519	6212952
2026-03-23	10903160	2023988	1533914	1318257	1111341	2388834	3870520	4188588	3453606	0	663640
2026-03-30	663640	0	0	0	0	1092017	307200	0	0	0	0
2026-04-06	0	730004	936638	0	0	0	0	0	0	0	0
