week_start	sub-1047717119/sub-1047717119_ses-1053917650_icephys.nwb	sub-1047717119/sub-1047717119_ses-1053917889_icephys.nwb	sub-1089230952/sub-1089230952_ses-1089231177_icephys.nwb	sub-1089230952/sub-1089230952_ses-1089232011_icephys.nwb	sub-1089233462/sub-1089233462_ses-1089235110_icephys.nwb	sub-1089233462/sub-1089233462_ses-1089235664_icephys.nwb	sub-681539651/sub-681539651_ses-PLACEHOLDER_obj-taag8t_icephys.nwb	sub-681539651/sub-681539651_ses-PLACEHOLDER_obj-v5bwie_icephys.nwb	sub-681561759/sub-681561759_ses-PLACEHOLDER_icephys.nwb	sub-701201569/sub-701201569_ses-PLACEHOLDER_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-10r9ed6_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-g7j7bb_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-xdlohj_icephys.nwb	sub-825455761/sub-825455761_ses-PLACEHOLDER_icephys.nwb	sub-847868497/sub-847868497_ses-847870147_icephys.nwb	sub-847868497/sub-847868497_ses-847870440_icephys.nwb	sub-847868497/sub-847868497_ses-847870571_icephys.nwb	sub-859638045/sub-859638045_ses-872843906_icephys.nwb	sub-893495139/sub-893495139_ses-901315954_icephys.nwb	sub-971847052/sub-971847052_ses-971847307_icephys.nwb	sub-971847052/sub-971847052_ses-971847789_icephys.nwb
2022-09-12	71389636	71430047	57495097	58147512	15020083	27458265	34319780	32568220	32194622	29799567	34512064	33835979	31954512	33022563	232373862	153924122	145059908	127601020	126751190	123956959	65662567
2022-10-03	285558544	260041052	114990194	116295024	30040166	54916530	68639560	65136440	160973110	59599134	69024128	67671958	63909024	66045126	464747724	307848244	290119816	255202040	253502380	247913918	131325134
2022-10-10	0	0	0	116295024	0	0	68639560	0	0	0	0	0	0	0	0	0	0	0	0	0	131325134
2022-10-24	71389636	65010263	57495097	58147512	15020083	27458265	34319780	32568220	32194622	29799567	34512064	33835979	31954512	33022563	232373862	153924122	145059908	127601020	126751190	123956959	65662567
2022-11-28	71389636	65010263	57495097	58147512	15020083	27458265	34319780	32568220	32194622	29799567	34512064	33835979	31954512	33022563	232373862	153924122	145059908	127601020	126751190	123956959	65662567
2022-12-26	71389636	65010263	57495097	58147512	15020083	27458265	34319780	32568220	32194622	29799567	34512064	33835979	31954512	33022563	232373862	153924122	145059908	127601020	126751190	123956959	65662567
2023-01-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65662567
2023-01-09	0	0	0	0	0	0	0	0	0	0	0	33835979	0	0	0	0	0	0	0	0	0
2023-01-16	71389636	65010263	57495097	58147512	15020083	27458265	34319780	32568220	32194622	29799567	34512064	33835979	31954512	33022563	232373862	153924122	145059908	127601020	126751190	123956959	65662567
2023-04-10	71389636	0	0	0	0	0	0	0	32194622	0	0	0	0	0	0	0	0	127601020	0	0	0
2023-05-08	0	0	0	0	0	27458265	0	0	0	29799567	0	0	0	0	0	0	0	0	0	0	0
2023-05-22	0	0	0	0	0	0	0	0	0	10910528	0	0	0	0	0	0	0	0	0	0	0
2023-05-29	0	0	0	0	0	0	0	0	0	9435528	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	0	0	0	0	0	0	0	0	0	9546712	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	0	0	0	0	0	0	0	0	0	11021712	0	0	0	0	0	0	0	0	0	0	0
2023-06-19	0	0	0	0	0	0	0	0	0	99874517	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	0	0	0	0	0	0	289961710	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	0	0	0	0	0	0	0	0	0	39346519	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	0	0	0	0	0	0	0	0	0	9029224	0	0	0	0	0	0	0	0	0	0	0
2023-07-17	0	0	0	0	0	0	0	0	0	9657896	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	0	0	0	0	0	27458265	0	0	0	39457463	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	0	0	0	0	0	0	0	0	0	9545960	0	0	0	0	0	0	0	0	0	0	0
2023-08-07	0	0	0	0	0	0	0	0	0	9546712	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	71389636	65010263	57495097	58147512	15020083	27458265	34319780	32568220	32194622	38900239	34512064	33835979	31954512	33022563	232373862	153924122	145059908	127601020	126751190	123956959	65662567
2023-08-21	214168908	65010263	0	0	0	0	0	0	0	9657144	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	0	0	0	82374795	0	0	0	101784229	0	0	0	0	0	0	0	0	0	0	0
2023-09-04	0	0	0	0	0	0	0	0	0	11022736	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	0	0	0	0	0	0	0	0	0	9529968	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	0	0	0	0	0	0	0	0	0	9546712	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	0	0	0	0	0	27458265	0	0	0	39346279	0	0	0	0	0	0	0	0	0	0	0
2023-10-02	0	0	0	0	0	0	0	0	0	4091960	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	0	0	0	0	0	0	0	0	0	2727632	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	71389636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	0	0	54916530	0	0	0	60962950	0	0	0	0	0	0	0	0	0	0	0
2023-10-30	0	0	0	0	0	27458265	0	0	0	62437950	0	0	0	0	0	0	0	0	126751190	0	0
2023-11-06	0	0	0	0	0	27458265	0	0	0	0	0	0	0	33022563	232373862	0	0	0	0	0	0
2023-11-13	0	0	0	0	0	27458265	0	0	0	3882196043	0	0	0	0	0	0	0	0	0	0	0
2023-11-20	0	0	0	0	0	0	0	0	0	3902677298	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	71389636	65010263	57495097	58147512	15020083	27458265	34319780	32568220	32194622	29799567	34512064	33835979	31954512	33022563	232373862	153924122	145059908	127601020	126751190	123956959	65662567
2023-12-04	71389636	59767383	52252217	58147512	15020083	22215385	34319780	32568220	32194622	59599134	34512064	33835979	31954512	33022563	143244902	132952602	145059908	127601020	126751190	123956959	65662567
2023-12-11	0	0	0	0	0	27458265	0	0	0	31163383	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	54916530	0	0	0	59599134	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	71286408	57190028	46857772	59169204	24614728	46659923	44495888	48714436	46408512	91801512	54133636	48866838	53309716	50594378	81906116	83030876	86140004	73539740	62201888	71307040	96735628
2024-03-04	0	0	0	0	0	0	0	0	0	119198268	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	212640712	228463998	178829634	216983036	141357190	104202115	189879316	206892896	195476910	182155821	185099300	178421272	184833900	184985297	239539530	220279234	227320832	286297840	217200824	269519602	270013301
