week_start	sub-17797/sub-17797_ses-4-scan-10_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-4-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-4-scan-9_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-2_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-5_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-9_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-6_behavior+image+ophys.nwb
2023-03-06	43683849049	38520890682	47126296054	41092168863	46316483812	40856408934	41612830642	50201406283	43851514607	37663002724	38808089174	112586934340	40554926494	45195247380	114254012798	37526306854	45669011874	50347900827	54702131132
2023-04-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477161986
2023-04-10	24631008	0	0	0	0	0	0	0	0	0	0	0	0	53038644803	0	0	0	31722655348	27251328
2023-04-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37077528
2023-04-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19390368
2023-05-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37929132
2023-05-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47755332
2023-05-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98130984
2023-05-22	0	6685376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55616292
2023-05-29	0	5586880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93152376
2023-06-05	0	4697240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27447852
2023-06-12	0	6764680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82605588
2023-06-19	0	294634924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	875316196	0	0	0	524288000	0	0	0	0	0	0	0	0	0	0	0	0	84308796
2023-07-03	0	39699098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29675124
2023-07-10	0	18411824	3196768	0	0	389151282	0	0	0	0	0	0	0	0	0	0	0	0	90007992
2023-07-17	143787307	5502520	0	0	0	11133755340	0	0	0	0	0	0	0	0	0	0	0	0	31312824
2023-07-24	8322169443	17285324112	22063855109	2617633114	4283441744	4794616338	4263448406	4795573227	2179751769	2752714010	5387813285	4081875156	3264133794	3770943530	1915733945	3516408186	2352334760	2231195683	2461083737
2023-07-31	4270908554	3252104694	2860336062	4080414496	3852710656	4577121085	3754081054	3874241660	3749225538	4681255001	3495396510	3732252064	3496558907	4607147749	3309962292	2605440982	2406579885	3588941873	4983697604
2023-08-07	38449317	4773024	0	0	0	69516752	0	0	0	0	0	0	0	0	0	0	0	0	127347552
2023-08-14	0	131296718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30264696
2023-08-21	0	6362422542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959265639	20110956
2023-08-28	70202407493	6927448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499960474	19062828
2023-09-04	0	5213968	41666395	51972135	0	411562720	0	0	0	0	0	3823807248	0	0	0	0	28509804	8875387083	20438496
2023-09-11	51620016	4601048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30592236
2023-09-18	0	3815592	0	0	0	53389020	0	0	0	0	0	363471906	0	0	0	0	0	0	32491968
2023-09-25	60697077857	65400672	27797113111	148421791	0	129717094	124826585	0	0	0	0	220200960	0	0	0	0	0	2314031781	64852920
2023-10-02	338172089	1987184	130620155	0	0	26530740	0	308558105	0	0	0	60152896	0	0	0	0	0	0	12643044
2023-10-09	0	819216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221323289	19979940
2023-10-16	58973752	874776	0	148421791	0	0	0	0	0	0	0	0	0	0	0	0	0	40247025162	1039722338
2023-10-23	115204444	0	0	0	0	0	0	0	0	44452407346	0	0	0	160718730	0	0	0	0	6419784
2023-10-30	16245984	71193601372	63644496595	17552762024	70745283897	56717529700	124826585	26585198376	70665700079	0	17282024828	0	27804163272	0	61782683908	0	8088381649	749207931	23713896
2023-11-06	36800353988	37130461144	59834023212	34916523712	39693765084	48345456302	0	0	117788736200	0	29377997348	29871833088	45933775800	36904671396	0	0	35682440705	0	60978411332
2023-11-13	0	794583114	0	148421791	0	0	0	340015385	0	0	0	6266290176	0	0	0	0	0	0	40156404
2023-11-20	165188354246	720857097	196007023302	106611964222	102143760299	93016467148	183500800	8937290009	0	20284827698	0	66460460066	70081778078	33677401994	87773582932	13952308578	98666140066	95861787007	34982601694
2023-11-27	6444645221	35949152814	0	496073022	1834297	0	631380875	0	199229440	295823410	188743680	0	0	0	0	199229440	0	0	0
2023-12-04	2369744128	145613706	0	0	0	110105980	0	115343360	138478319	138537010	135412011	148513826	141758878	144990090	120277802	10485760	51046609	202252804	85992414
2023-12-11	389150904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-18	82200532	0	0	0	0	0	0	0	0	0	0	0	0	0	19783416	0	0	0	0
2023-12-25	242158952	0	0	0	0	0	0	0	0	0	0	42187152	0	0	0	0	0	0	0
2024-01-01	121330700	0	0	0	0	19979940	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	31257692	0	0	0	0	0	0	271086130	0	0	0	0	0	0	0	0	0	246415360	0
2024-01-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66769588482	0
2024-01-22	2620320	8521018	14018399	9731091	25464930	21945594	23067926	16335410	25140034	24840380	21932690	10130466	16640530	23479416	25558518	22684362	10612296	6812832	9742994
2024-02-05	498073600	534507248	0	1048576000	0	1082198156	514913636	524288000	304087040	542695748	1013052744	443871604	403701760	0	0	0	0	530642276	0
2024-02-12	630630829	0	0	0	0	53415248	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	71354024	1585849658	0	0	540981874	186774562	0	507787545	0	0	0	1155146786	0	0	0	124894218	0	101126402	0
2024-02-26	15918444	0	0	0	0	31907584	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	0	274666622	0	0	0	65137392	0	0	0	0	0	0	10088232	0	0	0	0	0	0
2024-03-11	293932479	556642880	21552132	304352958	359826389	0	251553986	264686423	22045599	249012918	75078547	216893094	150444432	35367962	291617390	296156404	181673845	185593249	59897219
2024-03-18	2941499973	4776020596	3756119891	2890448031	1048576000	0	0	0	0	0	0	0	0	0	0	0	0	0	495094340
2024-03-25	1464972912	254971546	1074830785	53472037	571481090	7009356	50226942	55583158	67387591	21396186	45369045	56853954	99337952	43044510	39617356	78161082	31414441	49798110	34916814
2024-04-01	6288768	0	0	482774418	19350173	18520238	15320025	16584289	20867155	154921650	18201891	54815818	12427678	14348170	512000	6354276	12155089	8782082	0
2024-04-08	494766193	51302520	0	0	114914055	106173768	146478021	0	0	0	7795452	0	212251452	0	0	183743842	0	98357506	16835556
2024-04-15	462390610	0	950464753	0	1010005877	48970796	0	0	0	0	9132331	0	0	0	0	0	0	125829120	0
2024-04-22	284598017	275151266	222924676	351079583	204800000	725197670	313651200	273408000	194067923	741479780	456447332	271984364	506560704	226874326	170194276	290482802	215007594	234151018	225184666
2024-04-29	578512266	5251072	6354276	0	0	483015368	0	0	0	0	560662827	0	47255552	0	0	31502336	0	102321042	293943228
2024-05-06	0	0	0	0	0	75786540	12905076	178862361	0	0	0	247195716	0	0	566964224	0	51075269	0	179672392
2024-05-13	588135004	0	440975364	618872775	958270672	33355350	0	0	141750272	189622322	0	0	47243264	0	0	17883684	0	0	0
2024-05-20	0	0	0	141746176	0	0	158517170	185134689	0	241467392	0	0	0	0	0	25564888	288219136	121056952	0
2024-05-27	5103079650	524996608	267856256	70778335355	70778844025	70662259558	0	0	0	0	0	259579796	70081778078	0	70537399082	71229724002	0	160813210	0
2024-06-03	142841221	144057658	491901169	180426720	248151641	53389020	0	148186109	138478319	949342160	329640235	349214040	141758878	144990090	115034922	0	1088256209	140026114	0
2024-06-10	9620727821	70959637818	0	26989296	0	0	0	0	0	0	0	3870953481	729743360	0	0	47226880	0	0	0
2024-06-17	0	9075899	20887037180	0	23375633328	22579956636	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-24	0	28348564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-01	1622050795	4904220639	0	0	0	0	0	0	29990291	0	0	0	9951696556	0	0	0	0	0	0
2024-07-08	95377861554	4550724764	54333507	68598943	33027400	103840988	33289264	64627681	71889655	58783076	97794347	24903680	96077514	58545334	66076646	39845888	56098816	97980674	32634184
2024-07-15	9453668713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-22	4327852312	11987964	0	10022724	0	131016	3799464	5895720	10284756	655080	10022724	3733956	0	9891708	0	10677804	10743312	0	12839568
2024-07-29	17883684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	2435196218	953752315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9891708	0	0	0	0
2024-08-19	0	0	0	0	0	0	0	0	0	0	0	0	299045278	0	0	0	0	0	0
2024-08-26	4686218121	155652574	25155072	0	0	16966572	10088232	23386356	0	25286088	0	14542776	2161764	70562111370	4389036	0	0	47290899793	19652400
2024-09-02	0	0	6485292	0	0	40941365032	44957579324	0	51113881980	105381636015	0	0	0	36372977434	45775910460	0	48497731846	69699185719	0
2024-09-09	45567710382	47745648524	37807296778	36238355151	59304694328	0	0	54224334141	0	0	52470575299	57555188680	48560545030	0	0	44210152126	0	0	64631328428
2024-09-16	154578353	203954258	130620155	207121578	186432114	72351744	103723993	70123520	163051603	22407218	168373735	199631906	184820540	197418890	166368852	155756580	166583581	104990030	106493284
2024-09-23	362491599	487101672	391860465	445265373	386799531	373422642	249653170	197685810	138478319	138537010	354710102	216671266	283517756	434970270	360833406	204341286	310426227	101126402	85992414
2024-09-30	473262096	0	0	0	0	0	0	0	0	0	0	0	0	0	89128960	131028322	103475409	101126402	70263774
2024-10-07	0	0	0	0	0	102417676	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452	0	0	0	0	6092244
2024-10-21	120830533	154211398	24930432322	148024263	0	6943848	10022724	31457280	145094627	0	30554411	158733074	146147914	0	0	7860960	6747324	11529408	0
2024-10-28	377927777	0	8922434	0	0	68352284	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-04	0	6208291	2392040497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9591395522
2024-11-11	16573524	746988858	0	0	0	99990600965	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	2399444100	2838979760	2858567179	3683472299	2008097836	1964777216	1536855436	3391527540	4011901365	3902081460	3794957129	2352957826	1985341432	2437995352	2930459864	10088232	0	4258020	61469071
2024-11-25	0	4127004	0	0	0	59481264	0	6681816	0	0	0	0	0	0	0	0	0	0	55269856
2024-12-02	0	2904952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686092
2024-12-16	0	112531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-30	0	0	0	0	0	59939820	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-06	0	469348624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	70206209928	377435369	62421277435	1056416	70789894845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	9747246799	13410800872	6893483510	10240586364	7857903531	8113268428	4513117145	3684201010	2964390639	0	0	3079283746	4713550238	0	0	13298124	0	19848924	0
2025-01-27	4804418	734161514	1829875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	46511380	50036090	0	33343572	0	62142808	32164428	0	109818106	0	0	33671112	0	33278064	0	0	33736620	0	0
2025-02-10	19674418041	0	0	0	0	0	0	0	60212478	0	622649556	0	0	0	0	0	0	0	0
2025-02-17	389395297	178257920	0	0	0	0	0	0	473479068	0	0	0	0	0	0	0	0	0	0
2025-02-24	12315504	0	0	0	0	59038974	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	531478264	33760	11824	22432	42568	8808	48672	60096	28456	22056	42760	87728	8904	46032	21672	42784	34768	33688	22208
2025-03-10	4061496	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	488414
2025-03-17	0	0	0	0	0	60323448	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-24	431724789	0	0	492795686	0	0	0	0	0	0	0	0	0	0	0	71229724002	0	0	0
2025-03-31	568055115	2146943750	148673559	163559742	10743097	36215388	18050321	9242905	15903004	15790414	13840071	13612066	9560478	12945574	9194282	17555098	4127004	9433152	7451614
2025-04-07	0	61564218	0	0	0	24283128	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	427344723	71663152918	63110352103	71311342291	71295096721	88333456	0	70694222105	0	52897223216	0	66460460066	70081778078	0	70537399082	71229724002	12656411976	66769588482	91939980
