week_start	sub-Jaq/sub-Jaq_ses-jaq-01_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-02_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-03_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-01_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-02_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-05_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-06_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-01_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-02_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-03_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-04_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-05_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-01_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-01_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-03_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-04_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-05_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-06_behavior+ecephys.nwb
2023-02-20	80545893056	129800491980	182741881850	77818339177	167003386052	157985535244	76944950051	0	0	80879671648	81337335748	191138318128	107820479120	79386358676	262019295932	291444801836	95176861912	94158064140	196466506732	84103962004	101645440160	59912165628
2023-02-27	0	0	0	0	0	0	0	97880255752	105837875935	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-03-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181181844	0	0
2023-03-27	953673824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54154400	0
2023-04-10	0	0	0	77818339177	0	0	0	0	0	0	0	0	107820479120	0	0	0	0	0	0	0	0	0
2023-04-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16239595828	23508606404	33587841080	16319441916	16087625432	27119776508
2023-05-08	0	0	0	77818339177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-15	0	0	0	0	0	0	300927424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4239168
2023-05-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4945696
2023-06-05	228891143	554272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5116952
2023-06-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54052380
2023-06-19	155869248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152708844
2023-06-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475698080
2023-07-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53907484
2023-07-10	51956416	54940620	69456890	50700137	59601092	59503884	52871971	53357832	57529055	55433568	56967108	72042288	58323600	56341396	53553852	50774316	55290072	52958180	73464812	55352724	54154400	53907484
2023-07-17	15728640	199010200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4945696
2023-07-24	0	144069580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5122272
2023-07-31	31969304	144069580	0	0	0	0	0	0	0	0	0	0	0	0	70092984	0	0	0	0	0	0	4945696
2023-08-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4239168
2023-08-14	80545893056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4940376
2023-08-21	29413092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4945696
2023-08-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6539424
2023-09-04	93004187050	0	0	0	0	0	0	0	0	0	44640964	0	0	0	0	0	652083676	0	0	0	0	4945696
2023-09-11	0	0	0	0	168216820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4945696
