week_start	sub-JDS-NFN-AM2/sub-JDS-NFN-AM2_behavior+ecephys.nwb	sub-JDS-NFN-JS17/sub-JDS-NFN-JS17_behavior+ecephys.nwb	sub-JDS-NFN-JS21/sub-JDS-NFN-JS21_behavior+ecephys.nwb	sub-JDS-NFN-JS34/sub-JDS-NFN-JS34_behavior+ecephys.nwb	sub-JDS-NFN-ZT2/sub-JDS-NFN-ZT2_behavior+ecephys.nwb
2023-03-13	3053453312	3430940672	4580179968	3898734296	8715144280
2023-03-27	0	0	8254008	0	0
2023-04-03	0	0	1292538348	0	0
2023-04-10	0	0	776924880	0	0
2023-04-17	0	0	1617458028	0	0
2023-04-24	0	26923788	1757383116	0	0
2023-05-01	0	0	3409887924	0	0
2023-05-08	0	0	2567979108	0	0
2023-05-15	0	0	2668730412	0	0
2023-05-22	0	0	2592151560	0	3100784
2023-05-29	0	0	2658838704	0	4360240
2023-06-05	0	0	2135888340	0	4723192
2023-06-12	0	0	1698884472	0	3749504
2023-06-19	0	0	0	0	64904296
2023-06-26	5051486864	0	6874662184	5559678680	14288205256
2023-07-03	0	0	2040639708	0	24998744
2023-07-10	0	0	2355536664	0	3414488
2023-07-17	0	0	2505287952	0	4072080
2023-07-24	0	0	2108899044	0	3976936
2023-07-31	0	0	187418388	0	4053872
2023-08-07	0	0	1767078300	0	3042136
2023-08-14	0	0	2402243868	0	4305896
2023-08-21	0	0	2085643704	0	3578168
2023-08-28	0	0	2067104940	0	4249872
2023-09-04	0	0	2564441676	0	3817968
2023-09-11	0	0	1396827084	0	4042424
2023-09-18	0	0	1790923212	0	4207808
2023-09-25	11207096	0	866736348	0	4218648
2023-10-02	0	0	2403291996	0	1242744
2023-10-09	0	0	2255964504	0	2614224
2023-10-16	0	0	1968580908	0	1858344
2023-10-23	0	0	458490492	5385310112	9462349824
2023-10-30	0	0	2095273380	0	1339520
2023-11-06	12476453772	5660321616	1709627784	5559678680	639152
2023-11-13	0	0	943118676	0	68841856
2023-11-20	0	0	0	0	425113308
2023-12-04	0	0	0	0	30854256
2023-12-11	11791440	0	0	0	1354344
2024-01-22	18860908	8109124	1654888	9306928	4623364
2024-02-12	36487956	75465216	25024056	45659076	75072168
