week_start	sub-001-F/sub-001-F_ses-08-05-2022-cell09-F_image.nwb	sub-001-R/sub-001-R_ses-08-05-2022-cell09-R_image.nwb	sub-002-F/sub-002-F_ses-08-05-2022-cell12-F_image.nwb	sub-002-R/sub-002-R_ses-08-05-2022-cell12-R_image.nwb	sub-003-F/sub-003-F_ses-08-05-2022-cell19-F_image.nwb	sub-003-R/sub-003-R_ses-08-05-2022-cell19-R_image.nwb	sub-004-F/sub-004-F_ses-08-05-2022-cell23-F_image.nwb	sub-004-R/sub-004-R_ses-08-05-2022-cell23-R_image.nwb	sub-005-F/sub-005-F_ses-08-05-2022-cell08-F_image.nwb	sub-005-R/sub-005-R_ses-08-05-2022-cell08-R_image.nwb	sub-006-F/sub-006-F_ses-08-05-2022-cell13-F_image.nwb	sub-006-R/sub-006-R_ses-08-05-2022-cell13-R_image.nwb	sub-007-F/sub-007-F_ses-08-05-2022-cell16-F_image.nwb	sub-007-R/sub-007-R_ses-08-05-2022-cell16-R_image.nwb	sub-008-F/sub-008-F_ses-08-05-2022-cell22-F_image.nwb	sub-008-R/sub-008-R_ses-08-05-2022-cell22-R_image.nwb	sub-009-F/sub-009-F_ses-08-05-2022-cell24-F_image.nwb	sub-009-R/sub-009-R_ses-08-05-2022-cell24-R_image.nwb
2023-03-13	17141257552	166311993	294231316	142545593	117440512	117440512	142863262	117440512	117440512	134217728	159550963	134740157	134217728	139703258	125657375	201252992	157717107	141592745
2023-04-03	0	0	176475786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-17	655080	3733956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-24	1278650520	0	0	0	0	0	0	6520	0	0	0	0	0	0	0	29638929	0	0
2023-05-08	0	0	0	0	0	0	0	0	0	0	0	0	145962114	0	0	0	174494323	0
2023-05-22	4454544	0	0	0	0	0	0	0	0	0	0	501192	0	0	0	0	0	0
2023-05-29	0	0	0	0	0	0	0	0	0	0	0	501848	0	0	0	0	0	0
2023-06-05	0	0	0	0	0	0	0	0	0	0	0	248072	0	0	0	0	0	0
2023-06-12	0	0	0	0	0	0	0	0	0	0	0	336408	0	0	0	0	0	0
2023-06-19	0	0	0	0	0	0	0	184018358	0	0	0	18310882	0	0	0	0	0	0
2023-06-26	0	0	0	0	0	0	0	0	0	0	0	44897953	0	0	0	0	0	0
2023-07-03	0	0	0	0	0	0	0	0	0	0	0	9304493	0	0	0	0	0	0
2023-07-10	0	0	0	0	0	0	0	0	0	0	0	596544	0	0	0	0	0	0
2023-07-17	0	0	0	0	0	0	0	0	0	0	0	602408	0	0	0	0	0	0
2023-07-24	0	0	0	0	0	0	0	0	0	0	0	729704	0	0	0	0	0	0
2023-07-31	0	0	0	0	0	0	0	0	0	0	0	355808	0	0	0	0	0	0
2023-08-07	0	0	0	0	0	0	0	0	0	0	0	260296	0	0	0	0	0	0
2023-08-14	0	0	0	0	0	0	0	0	0	0	0	520592	0	0	0	0	0	0
2023-08-21	0	0	0	0	0	0	0	0	0	0	0	311640	0	0	0	0	0	0
2023-08-28	0	0	0	0	0	0	0	0	0	0	0	501848	347288706	0	0	0	348988646	0
2023-09-04	0	0	0	0	0	0	0	0	0	0	0	583504	0	0	0	0	0	0
2023-09-11	0	0	0	0	0	0	0	0	0	0	0	406336	0	0	0	0	0	0
2023-09-18	0	0	0	0	0	0	0	0	0	0	0	571280	0	0	0	0	0	0
2023-09-25	0	0	0	0	0	0	0	0	0	0	0	310984	173644353	0	0	0	174494323	0
2023-10-02	6616308	0	0	0	0	0	0	75952	0	0	0	412200	0	0	0	0	0	18032699
2023-10-16	0	0	0	0	0	0	0	0	0	0	0	31784	64592449	0	0	0	0	0
2023-10-23	0	0	0	0	0	0	0	0	0	0	0	70088	0	0	0	0	174494323	0
2023-10-30	123944104	0	0	0	0	0	0	108786395	125654122	58720256	0	114256	173644353	0	0	0	224825971	0
2023-11-06	0	183089209	176475786	0	0	0	176417694	0	0	175834802	176328179	176797453	0	173257690	175989023	175531946	174494323	0
2023-11-13	0	0	0	0	0	0	0	0	0	0	0	6520	173644353	0	0	0	174494323	0
2023-11-20	0	0	0	0	0	0	0	0	0	0	0	452797	0	0	0	0	0	0
2023-11-27	0	0	0	0	0	0	0	0	0	0	0	82472	0	0	0	0	0	0
2023-12-04	0	0	0	0	0	0	0	0	0	0	0	8986989	0	0	0	0	0	0
2023-12-11	0	0	0	0	0	0	0	0	0	0	0	44824	173644353	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	0	173644353	0	0	0	348988646	0
2024-01-22	784720	6972970	3529062	484025	5841029	7991976	8383116	6903843	6774552	3436970	3156315	905594	3190902	7751662	7353763	131016	178293787	9427373
2024-02-12	0	8319516	0	0	0	0	6419784	0	0	10022724	0	6354276	0	0	0	11856948	0	7860960
2024-03-04	0	0	0	0	0	0	0	0	0	0	0	26733111	0	0	0	0	0	0
2024-03-11	10218560	538625	6869970	5830212	5185949	589786	2882352	12053472	10219248	11463900	5699196	5365897	588353	12162416	8581548	13136498	5065391	2161764
2024-03-18	34480220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7759786	0	0
2024-03-25	20109580	72496143	13928094	14488167	37643377	95216880	20305572	13323627	61308860	7105418	16912995	7980458	19379654	14062148	28135181	855892	13515923	21076239
2024-04-01	392360	6761885	6616308	6838301	469373	6354276	392094	6903843	6826446	6777878	10219248	5764704	37170433	6965566	6829699	45989876	414323	44863204
2024-04-08	0	0	72822074	0	0	0	25090766	13923687	0	30096954	5881331	0	0	22902634	0	0	18604272	0
2024-04-15	14625960	6812832	3078876	18670833	43693836	79754046	12577694	37934707	4651068	56815038	21099043	225353209	14088601	15152090	61637310	0	14135923	4716576
2024-04-22	57847556	45480496	22290000	0	28299456	92903948	0	0	0	0	23891935	10677804	0	8450532	0	0	0	0
2024-04-29	17090297	178233	0	65244144	0	0	0	0	0	425984	0	438272	0	0	29788236	0	49440751	40976771
2024-05-06	0	30515302	16573524	243996590	0	108152726	229626004	0	73928494	0	0	0	0	0	0	62384872	46577994	0
2024-05-13	41208436	0	0	0	34392357	0	0	9433152	0	0	23302363	0	37447902	8450532	60298811	0	0	0
2024-05-20	0	0	19848924	0	27251328	78429890	0	0	5866602	31935274	0	0	20873525	0	14971371	0	0	0
2024-05-27	0	0	22974974	23372114	0	30786950	0	0	0	51657220	42581999	0	0	0	0	28099200	0	0
2024-06-03	0	0	0	127068257	13138632	0	18342240	84040950	0	0	12184488	0	0	0	0	0	12281787	0
2024-06-10	954002268	31181808	0	0	11660424	28758012	0	0	0	0	0	0	0	11745204	0	0	0	0
2024-06-24	0	0	0	0	0	0	0	0	7795452	0	0	0	0	0	0	0	0	0
2024-07-08	17382568	23112333	17417198	6812832	26303693	25681946	0	17167067	14111850	24967794	22446571	16182817	0	17544154	6747324	9856938	22841275	23297493
2024-07-22	9957216	12643044	10022724	0	9957216	11725932	0	14149728	0	9695184	191853575	11463900	0	8974596	10481280	0	0	12053472
2024-07-29	0	0	176475786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	0	0	176417694	0	0	0	0	0	0	0	0	0	0	0
2024-08-12	0	0	0	9957216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	0	0	0	0	0	0	7860960	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	6616308	23124324	13298124	11463900	12249996	9957216	25482612	14542776	0	10415772	12446520	0	11856948	0	0	12184488	14149728	0
2024-09-02	96074532	0	0	0	164154309	0	0	0	0	0	0	0	578300147	0	0	0	0	0
2024-09-09	19298640	0	26110878	0	0	0	50588574	0	0	0	0	26733111	0	0	0	83886080	20166489	116616241
2024-09-16	7205880	22457253	0	23070749	0	0	0	17167067	14111850	24050682	6354276	12841909	6747324	6878340	7009356	16604262	6354276	0
2024-09-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452
2024-10-07	0	0	0	0	0	0	0	0	0	0	0	0	0	96521956	0	101304040	0	0
2024-10-21	6616308	7402404	0	0	0	14084220	6354276	10022724	0	0	7664436	7598928	0	0	0	0	0	0
2024-11-11	0	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	0	0	0	7664436	7860960	10022724	6616308	7860960	10808820	16180476	8319516	8385024	8122992	0	0	9957216	8319516	8254008
2024-12-02	0	0	0	0	100663296	0	0	0	0	0	0	0	109051904	0	0	0	0	0
2025-03-10	0	0	0	0	0	204800	0	0	0	0	0	0	4782084	0	0	0	0	0
2025-05-05	182664360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	182664360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	52428800	0	0	17690586	0	0	0	0	0	19396797	0	0	0	0	0	0
2025-08-04	0	0	0	71242425	0	0	123988894	52428800	157286400	0	0	0	0	0	0	157286400	122065523	104857600
