week_start	sub-SST-tdTomato-1/sub-SST-tdTomato-1_ophys.nwb	sub-SST-tdTomato-1a/sub-SST-tdTomato-1a_ophys.nwb	sub-rbp4-jRGECO1a-21/sub-rbp4-jRGECO1a-21_ophys.nwb	sub-wt-vpm-556-857-7/sub-wt-vpm-556-857-7_ophys.nwb
2023-02-27	2384661728	1696795872	251658240	165466192
2023-03-06	3408071904	0	0	0
2023-03-27	0	3408071904	364703792	232575056
2023-04-03	0	0	475522572	0
2023-04-10	0	0	569154260	0
2023-04-17	0	0	656259144	0
2023-04-24	0	0	597826008	0
2023-05-01	0	0	868505064	0
2023-05-08	0	0	1339266308	0
2023-05-15	0	0	966636048	0
2023-05-22	0	0	972531768	505856
2023-05-29	0	0	1084419432	546240
2023-06-05	0	0	652721712	453120
2023-06-12	0	0	665823312	779528
2023-06-19	0	0	0	22235704
2023-06-26	0	0	409162968	36253160
2023-07-03	4097067411	2917286062	1973787439	794538153
2023-07-10	0	0	769784508	721880
2023-07-17	0	0	641192304	751120
2023-07-24	0	0	843612024	523408
2023-07-31	0	0	618940340	699992
2023-08-07	0	0	632479740	645208
2023-08-14	0	0	900472968	671312
2023-08-21	0	0	755765796	606056
2023-08-28	0	0	1408398004	930568
2023-09-04	0	0	1255067772	612040
2023-09-11	0	0	538737792	693064
2023-09-18	0	0	595729752	733840
2023-09-25	3408071904	0	583741788	781696
2023-10-02	0	0	667919568	489136
2023-10-09	0	0	801686904	0
2023-10-16	0	0	694581324	0
2023-10-23	0	0	795570664	86464
2023-10-30	6000151776	0	985916156	400390584
2023-11-06	3408071904	3408071904	650952996	292560
2023-11-13	0	0	434645580	95712
2023-11-20	0	0	0	6956440
2023-11-27	0	0	0	146280
2023-12-04	0	0	0	7320592
2023-12-11	0	0	352519304	443600
2024-01-01	0	0	352519304	0
2024-01-08	3408071904	0	0	0
2024-01-22	12003000	5935992	356880996	663712
2024-02-12	84832860	44676456	32622984	25679136
2024-03-04	80181792	72779388	98589540	84608868
2024-03-11	185730216	198089724	41404824	173527956
2024-03-18	187047344	87125640	0	0
2024-03-25	13403904	70513516	174071020	88993784
2024-04-01	47296776	24958548	31678528	331856
2024-04-08	307976292	150313912	0	40240700
2024-04-15	146835148	142599132	0	134519712
2024-04-22	82900204	226838196	46772712	147990992
2024-04-29	211280664	39457820	169452048	146536896
2024-05-06	225998372	87868232	23864780	229436468
2024-05-13	37446504	0	102209316	274806888
2024-05-20	70458852	96501568	181164648	20569512
2024-05-27	59291580	172004444	156763928	29883936
2024-06-03	158458908	160954560	26177428	90815280
2024-06-10	47370568	0	84072968	0
2024-07-08	6750760	6685252	8451832	6616308
2024-07-22	10022724	12184488	361362884	12708552
2024-08-26	131016	9629676	2751336	8909088
2024-09-02	3075264360	0	0	0
2024-09-09	16328352	2844020616	84359912	42787296
2024-09-16	12517648	5442784	14285976	7131216
2024-09-23	5442784	5442784	6489224	14992176
2024-10-21	10219248	0	11856948	0
2024-10-28	0	65077016	0	0
2024-11-04	984226240	0	60685732	0
2024-11-18	4389148	13494648	169933084	240513704
2024-12-02	0	0	260244616	0
2025-02-10	0	32688492	0	0
2025-03-10	4571838778	0	0	0
2025-03-31	4560324	4127004	4492708	25818436
2025-04-07	0	0	45736480	0
2025-04-28	3437288472	0	352519304	0
2025-07-21	0	0	314572800	0
2025-07-28	1747906448	2044723200	0	285003856
2025-09-01	0	2778926304	0	0
2025-10-06	0	0	0	21331584
2025-12-15	3412133400	3420780456	530973200	465150112
2025-12-29	2317552864	0	0	164417616
2026-01-12	0	0	715524368	0
2026-01-26	0	2207452384	0	0
2026-02-16	11603192	0	204800	11341160
2026-02-23	20381264	204800	8729116	409600
2026-03-02	3602940	0	0	0
2026-03-09	0	0	365704	0
2026-03-16	25417104	0	11398392	0
2026-03-23	655080	62044352	4192512	204800
2026-03-30	0	507104	365704	4127004
2026-04-20	12774060	0	0	0
