week_start	sub-2021-12-03-w00-NP1/sub-2021-12-03-w00-NP1_ses-20211203_ophys.nwb	sub-2022-01-22-w04-NP1/sub-2022-01-22-w04-NP1_ses-20220122_ophys.nwb	sub-2022-02-11-w03-NP1/sub-2022-02-11-w03-NP1_ses-20220211_ophys.nwb	sub-2022-02-12-w00-NP1/sub-2022-02-12-w00-NP1_ses-20220212_ophys.nwb	sub-2022-02-12-w01-NP1/sub-2022-02-12-w01-NP1_ses-20220212_ophys.nwb	sub-2022-02-22-w04-NP1/sub-2022-02-22-w04-NP1_ses-20220222_ophys.nwb	sub-2022-03-05-w00-NP1/sub-2022-03-05-w00-NP1_ses-20220305_ophys.nwb	sub-2022-04-01-w00-NP1/sub-2022-04-01-w00-NP1_ses-20220401_ophys.nwb	sub-2022-04-26-w00-NP1/sub-2022-04-26-w00-NP1_ses-20220426_ophys.nwb	sub-2022-04-26-w01-NP1/sub-2022-04-26-w01-NP1_ses-20220426_ophys.nwb
2024-03-04	401034864	399002028	439492668	439916292	440645712	439848696	439784052	439951272	16724151134	16883368984
2024-03-11	849298412	509815684	697368644	561724438	556334938	391545648	411959172	345162632	15856085798	16433105060
2024-03-18	232356684	17591684	32069364	37098932	37965256	29758556	36900368	31021316	293929914	340846444
2024-03-25	28060836	26355540	43623696	41820048	33247332	38018496	28979256	41199948	157387638	178485840
2024-04-01	1776520	596680	7226172	4419520	7370324	7039144	6973924	7488220	47025382	54189132
2024-04-08	662216484	566539086	713407616	714955160	704819084	566686800	431197828	479804858	589176388	810651288
2024-04-15	23090504	14768900	23402016	22757220	15494664	19610748	21838884	18141132	144220530	160798680
2024-04-22	827343752	631641580	689063564	703198744	690242880	693762112	693894568	698627812	902012818	1248498428
2024-04-29	124887836	124887140	136397740	139814348	136410876	136407236	139813940	136397756	176458982	251520808
2024-05-06	8429720	2729828	6964140	6974332	6977276	8283796	7039432	7095172	48466558	54189132
2024-05-13	402643948	396877156	439885716	440833404	439532076	438604044	439587528	441261432	16723679814	16875852116
2024-05-20	394148720	394147328	432528528	432548912	432554800	432547520	432548096	432528560	16675671812	16825986512
2024-06-03	0	0	0	0	0	0	0	11398392	13822188	0
2024-06-10	0	0	9891708	0	9957216	0	0	0	0	9760692
2024-06-17	197074360	197073664	216264264	216274456	216277400	216273760	216274048	216264280	8337835906	8412993256
2024-07-08	429399940	206317512	22878384	17627644	9769628	14548072	12386596	14342068	60583532	73001992
2024-07-22	10022724	2161764	12184488	12315504	131016	12315504	11594916	11398392	12184488	12512028
2024-08-26	0	12315504	24762528	216274456	0	0	0	0	9498660	7795452
2024-09-02	278438880	0	0	865097824	0	232838324	233886740	0	0	16825986512
2024-09-09	90704760	0	0	0	24929480	0	0	0	2435877080	0
2024-09-16	23342168	16462436	16700844	16721228	22884868	17440424	17047952	16962908	109561654	118367728
2024-09-23	260008324	264853828	298974260	285469604	285412928	286974200	285271856	289173032	407791806	558954140
2024-09-30	525652864	317768292	352662004	350717148	355439612	352943028	350454300	355609896	8514360396	8659404440
2024-10-07	923939296	514841956	802271520	586238892	569817280	599284960	783002396	569777920	25188197984	36329472496
2024-10-14	0	0	0	216274456	0	0	0	0	0	0
2024-10-21	10153740	8385024	22338228	11725932	10022724	12905076	7860960	10677804	6747324	7598928
2024-11-18	2751336	2161764	7271388	10219248	7205880	7860960	9040104	7860960	1637700	8843580
2024-11-25	197074360	197073664	432528528	216274456	216277400	216273760	216274048	216264280	8337835906	8412993256
2024-12-02	394148720	197073664	216264264	432548912	216277400	216273760	216274048	216264280	8337835906	8412993256
2024-12-09	394148720	394147328	432528528	648823368	648832200	216273760	432548096	432528560	8337835906	8412993256
2025-01-27	197074360	197073664	216264264	216274456	216277400	216273760	216274048	216264280	8337835906	8412993256
2025-02-03	796116776	401637732	471123768	440208808	440286092	442040248	440207176	440037088	16763499316	16929910232
2025-02-10	340438524	334015260	368903356	367775172	367920908	367902708	369083292	369165468	8765667782	8931267212
2025-02-17	197074360	197073664	216264264	216274456	216277400	216273760	216274048	216264280	8337835906	8412993256
2025-02-24	8909088	6485292	4127004	6223260	5895720	9826200	9629676	6092244	7271388	4127004
2025-03-10	197074360	197073664	216264264	216274456	216277400	216273760	216274048	216264280	8337835906	8412993256
2025-03-17	0	0	139693432	0	0	0	0	0	0	0
2025-04-14	197074360	197073664	216264264	216274456	216277400	216273760	216274048	216264280	8337835906	8412993256
2025-06-16	5416352	4891592	4736868	4747060	5012036	4942888	5139700	4802392	8172435432	8329909748
2025-06-30	0	0	0	0	0	0	0	0	16675671812	16942732928
2025-07-07	10235080	11347324	10603896	10034708	10433644	14487860	14226404	10538420	1170689486	103030736
2025-07-21	0	0	7160664	0	0	0	0	0	0	0
2025-07-28	197074360	197073664	0	216274456	0	0	0	216264280	0	0
2025-08-04	0	0	216264264	0	0	0	0	0	8337835906	0
2025-08-11	0	0	0	0	0	0	216274048	0	0	0
2025-08-18	0	0	0	0	216277400	216273760	0	0	0	8412993256
2025-08-25	0	0	0	0	0	0	0	0	8337835906	0
2025-09-08	394148720	197073664	0	0	0	0	0	216264280	0	8412993256
2025-09-15	270639844	213319648	232575756	233106428	227279160	231795572	216274048	216264280	8337835906	8412993256
2025-09-29	197074360	0	6571092	0	0	0	0	0	0	0
2025-10-06	0	0	29208168	0	0	0	0	0	0	0
2025-11-24	488873288	80312808	70748640	103699164	91449168	75727248	84046764	86798100	74810136	43955868
2025-12-15	609892860	411572456	448250448	661793952	450635008	446828264	448663064	449953688	8356440178	8428780684
2025-12-22	0	0	0	0	0	0	0	0	0	8412993256
2025-12-29	4957796	11158852	5457456	5533156	5470592	221609696	7366972	8929396	0	0
2026-01-05	0	0	0	0	0	0	216274048	0	0	0
2026-01-12	591223080	0	648792792	648823368	0	0	0	0	0	11895337844
2026-01-19	0	591220992	0	0	216277400	0	0	0	17894021858	0
2026-01-26	0	0	216264264	0	0	0	0	216264280	8337835906	0
2026-02-02	0	197073664	0	0	0	0	0	0	0	0
2026-02-16	211895720	212353580	229471956	232357020	227839912	235304184	229998324	232288848	8395392902	8426865100
2026-02-23	0	4695068	15283936	5402140	0	4811872	0	0	45125650	0
2026-03-02	0	80603512	432528528	0	4881020	0	4877668	0	0	0
2026-03-09	4433732	0	0	0	0	0	0	4671376	0	51961860
