week_start	sub-525/sub-525_ecephys.nwb	sub-525/sub-525_ses-20230412T102003.nwb
2023-04-17	3228940	16144700
2023-05-08	9686820	3228940
2023-05-22	0	512360
2023-05-29	0	404744
2023-06-05	0	347976
2023-06-12	0	416840
2023-06-19	0	7052344
2023-06-26	0	13260248
2023-07-03	3228940	3691644
2023-07-10	0	681544
2023-07-17	0	300592
2023-07-24	0	266216
2023-07-31	9908778	287952
2023-08-07	0	400656
2023-08-14	0	13432608
2023-08-21	0	313288
2023-08-28	0	10450724
2023-09-04	0	357728
2023-09-11	0	440608
2023-09-18	0	497688
2023-09-25	0	253576
2023-10-02	0	256808
2023-10-09	0	47072
2023-10-16	3228940	3376332
2023-10-23	5390704	6501720
2023-10-30	0	94144
2023-11-06	0	12640
2023-11-13	3228940	3335124
2023-11-20	0	2430060
2023-11-27	0	69120
2023-12-04	0	3392204
2024-01-22	0	3228940
2024-02-05	3228940	0
2024-02-12	3228940	3228940
2024-02-19	6457880	3228940
2024-02-26	6457880	0
2024-03-04	0	6457880
2024-03-11	2933104	3228940
2024-03-18	0	41976220
2024-03-25	73198444	149006744
2024-04-01	67807740	3228940
2024-04-08	219567920	106555020
2024-04-15	21535404	275231240
2024-04-22	164675940	192669224
2024-04-29	242170500	35518340
2024-05-06	174362760	106555020
2024-05-13	50595864	80723500
2024-05-20	196965340	103326080
2024-05-27	216338980	64578800
2024-06-03	116241840	129157600
2024-06-10	32289400	41976220
2024-06-24	3228940	3228940
2024-07-08	869644	869644
2024-07-22	21535404	6457880
2024-07-29	0	6457880
2024-09-09	3228940	0
2024-09-16	0	3228940
2024-09-23	6457880	9686820
2024-10-21	0	3228940
2024-11-11	3228940	0
2024-11-18	6260348	7129992
2024-12-30	0	1638400
2025-01-27	3228940	0
2025-02-24	6457880	0
2025-06-23	997080	664720
2025-07-14	0	332360
2025-07-28	6457880	3228940
2025-08-04	3228940	3228940
2025-08-18	22602580	3658112
2025-09-22	39477440	36669464
2025-09-29	3228940	0
2025-10-06	30043280	30519372
2025-10-13	29537960	30043280
2025-10-20	0	4717080
2025-10-27	51382560	61322040
2025-11-03	31278760	36669464
2025-11-10	26814340	28302480
2025-11-17	18615660	14824864
2025-11-24	18615660	12222784
2025-12-01	7693360	16060344
2025-12-08	14151240	9434160
2025-12-15	28555140	14572204
2025-12-29	1488140	0
2026-01-05	11174960	13898580
2026-01-19	6205220	6457880
2026-01-26	15639380	9855124
2026-02-02	6205220	12663100
2026-02-23	9434160	3228940
2026-03-16	6457880	0
2026-03-23	0	204800
