week_start	sub-Replay-Plaid-warm-01-nachet/sub-Replay-Plaid-warm-01-nachet_ses-20230213T141400_behavior.nwb	sub-Replay-Plaid-warm-02-nachet/sub-Replay-Plaid-warm-02-nachet_ses-20230214T110300_behavior.nwb	sub-Replay-Plaid-warm-03-nachet/sub-Replay-Plaid-warm-03-nachet_ses-20230214T125400_behavior.nwb	sub-Replay-Plaid-warm-04-nachet/sub-Replay-Plaid-warm-04-nachet_ses-20230214T144600_behavior.nwb	sub-Replay-Plaid-warm-05-nachet/sub-Replay-Plaid-warm-05-nachet_ses-20230228T102000_behavior.nwb	sub-Replay-Plaid-warm-06-nachet/sub-Replay-Plaid-warm-06-nachet_ses-20230228T120800_behavior.nwb	sub-Replay-Plaid-warm-07-nachet/sub-Replay-Plaid-warm-07-nachet_ses-20230228T145500_behavior.nwb	sub-Replay-Plaid-warm-08-nachet/sub-Replay-Plaid-warm-08-nachet_ses-20230228T164700_behavior.nwb	sub-Replay-Plaid-warm-09-nachet/sub-Replay-Plaid-warm-09-nachet_ses-20230301T115600_behavior.nwb	sub-Replay-Plaid-warm-11-nachet/sub-Replay-Plaid-warm-11-nachet_ses-20230307T123600_behavior.nwb	sub-Replay-Plaid-warm-12-nachet/sub-Replay-Plaid-warm-12-nachet_ses-20230307T152300_behavior.nwb	sub-Replay-Plaid-warm-13-nachet/sub-Replay-Plaid-warm-13-nachet_ses-20230307T171300_behavior.nwb	sub-Replay-Plaid-warm-14-nachet/sub-Replay-Plaid-warm-14-nachet_ses-20230308T113300_behavior.nwb	sub-Replay-Plaid-warm-15-nachet/sub-Replay-Plaid-warm-15-nachet_ses-20230308T143100_behavior.nwb	sub-Replay-Plaid-warm-16-nachet/sub-Replay-Plaid-warm-16-nachet_ses-20230308T163200_behavior.nwb	sub-Replay-Plaid-warm-17-nachet/sub-Replay-Plaid-warm-17-nachet_ses-20230314T104200_behavior.nwb	sub-Replay-Plaid-warm-18-nachet/sub-Replay-Plaid-warm-18-nachet_ses-20230314T141400_behavior.nwb	sub-Replay-Plaid-warm-19-nachet/sub-Replay-Plaid-warm-19-nachet_ses-20230314T165500_behavior.nwb	sub-Replay-Plaid-warm-20-nachet/sub-Replay-Plaid-warm-20-nachet_ses-20230315T124100_behavior.nwb	sub-Replay-Plaid-warm-21-nachet/sub-Replay-Plaid-warm-21-nachet_ses-20230315T143100_behavior.nwb	sub-Replay-Plaid-warm-22-nachet/sub-Replay-Plaid-warm-22-nachet_ses-20230315T170400_behavior.nwb	sub-Replay-Plaid-warm-23-nachet/sub-Replay-Plaid-warm-23-nachet_ses-20230327T131300_behavior.nwb	sub-Replay-Plaid-warm-24-nachet/sub-Replay-Plaid-warm-24-nachet_ses-20230327T150500_behavior.nwb	sub-Replay-Plaid-warm-25-nachet/sub-Replay-Plaid-warm-25-nachet_ses-20230327T165300_behavior.nwb	sub-Replay-Plaid-warm-27-nachet/sub-Replay-Plaid-warm-27-nachet_ses-20230328T123900_behavior.nwb	sub-Replay-Plaid-warm-28-nachet/sub-Replay-Plaid-warm-28-nachet_ses-20230328T161500_behavior.nwb	sub-Replay-Plaid-warm-29-nachet/sub-Replay-Plaid-warm-29-nachet_ses-20230404T125700_behavior.nwb	sub-Replay-Plaid-warm-30-nachet/sub-Replay-Plaid-warm-30-nachet_ses-20230404T150000_behavior.nwb	sub-Replay-Plaid-warm-32-nachet/sub-Replay-Plaid-warm-32-nachet_ses-20230411T122100_behavior.nwb	sub-Replay-Plaid-warm-33-nachet/sub-Replay-Plaid-warm-33-nachet_ses-20230411T150800_behavior.nwb	sub-Replay-Plaid-warm-34-nachet/sub-Replay-Plaid-warm-34-nachet_ses-20230411T165700_behavior.nwb	sub-Replay-Plaid-warm-35-nachet/sub-Replay-Plaid-warm-35-nachet_ses-20230412T114800_behavior.nwb	sub-Replay-Plaid-warm-36-nachet/sub-Replay-Plaid-warm-36-nachet_ses-20230412T133900_behavior.nwb	sub-Replay-Plaid-warm-37-nachet/sub-Replay-Plaid-warm-37-nachet_ses-20230412T153000_behavior.nwb	sub-Replay-warm-26-nachet/sub-Replay-warm-26-nachet_ses-20230328T103700_behavior.nwb	sub-Replay-warm-31-nachet/sub-Replay-warm-31-nachet_ses-20230404T170700_behavior.nwb
2024-10-14	0	8950990	0	5267890	0	4127004	4520052	6419784	4258020	6643374	10631545	9976625	6417541	5537724	4947677	0	0	7336896	14373324	0	0	14134977	7494307	0	0	0	0	6429481	10219248	0	4127004	0	0	0	10702763	2161764
2024-10-21	0	0	12249996	0	0	6616308	0	0	0	6812832	0	0	0	11529408	0	0	0	0	0	0	10022724	0	0	11856948	7205880	0	11332884	7074864	0	12249996	7664436	12512028	0	0	0	0
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	34882041	0	0	0	0	0	0	35544448	0	0	0	35150499	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	6878340	6485292	7860960	0	10153740	6354276	5895720	0	6419784	0	7467912	0	10219248	0	0	7860960	6616308	0	9957216	8385024	0	0	10022724	6747324	8122992	0	0	0	0	0	16508016	4323528	10153740	0	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	9867055	0	1652568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35396393	0	0	0	0	0	0	16777216	0
2025-02-03	6074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	0	672178	0	409600	0	0	0	0	0	4061496	0	0	0	1024000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2161764	0
2025-03-31	364980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	30076949	54069148	36079961	36099314	24067435	33715	24066576	6042479	18023990	6032365	18030978	18046671	18048023	18049206	18024903	24040113	12029580	18041847	12041673	18031581	18024221	12046806	6014406	12054613	18034834	30046026	18027533	6026493	30066982	6027212	18029921	12033176	24045877	18049778	36039038	24045123
2025-07-14	18050809	6016154	18040542	12024156	6053707	18048499	34361	6023348	30052899	12036605	18029680	12032159	18027559	12026801	24033604	24054667	18054808	12017856	18030875	12027090	12021747	18035672	18047482	6048613	12020190	18033309	30079406	12030258	18048093	18018146	12034080	12053159	24032626	6017486	12036238	24068232
2025-07-28	0	35232690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35544448	0	0	0	0	0	0	0	34899796	0	0	0	0	0	0	0	0	0
2025-08-04	0	0	0	0	0	0	0	0	0	0	0	0	0	35159996	0	0	0	0	0	0	35449794	0	35150499	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	35129730	0	0	35283378	0	0	0	0	0	0	0	0	0	0	34701021	0	0	0	0	0	0	0	0	0	35132394	0	0	0	0	0	0	0	0	35163808	0	70460606
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35390451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	34949780	0	0	34882041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	35454019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35215714	0	0	0	0	0	0	0	0	0	0	0	35230303
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35622053	0	0	0	0	0	0	0
2025-10-06	0	24914472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	15721920	43748730	35173203	39410382	35032879	48686635	99110984	45002003	0	61158070	18473256	48245673	42459261	83880148	45444333	44168523	0	80848540	50283748	10088232	52285350	9040104	49562259	55064638	8122992	4192512	41974660	78059694	35622053	6223260	80915480	80931150	10219248	10350264	21163564	45973615
2025-12-22	0	0	0	0	14061359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	31457280	0	70566756	59579998	0	45692760	0	0	0	0	0	84788623	0	0	0	0	0	96147584	0	0	10485760	0	0	0	0	0	95703419	0	0	0	20971520	0	0	70691846	35230303
