week_start	sub-21-07-19-b-act/sub-21-07-19-b-act_ses-20210914-m1_ophys.nwb	sub-21-09-01-b-act/sub-21-09-01-b-act_ses-20210901-m1_ophys.nwb	sub-21-09-20-b-act/sub-21-09-20-b-act_ses-20210920-m1_ophys.nwb	sub-21-10-08-b-act/sub-21-10-08-b-act_ses-20211008-m1_ophys.nwb	sub-BPN-M4/sub-BPN-M4_ses-20210524-m1_obj-1c8nyxo_ophys.nwb	sub-BPN-M4/sub-BPN-M4_ses-20210524-m1_obj-uvnt3v_ophys.nwb	sub-BPN-M6/sub-BPN-M6_ses-20210526-m1_ophys.nwb	sub-BPN-M6/sub-BPN-M6_ses-zstack-up-94min_ophys.nwb	sub-BPN-M7/sub-BPN-M7_ses-20210527-m1_obj-ertj5n_ophys.nwb	sub-BPN-M7/sub-BPN-M7_ses-20210527-m1_obj-wuc3ag_ophys.nwb	sub-BPN-OLD-M2/sub-BPN-OLD-M2_ses-20210511-m1_obj-1dyu8zg_ophys.nwb	sub-BPN-OLD-M2/sub-BPN-OLD-M2_ses-20210511-m1_obj-z4hlsa_ophys.nwb	sub-BPN-OLD-M3/sub-BPN-OLD-M3_ses-20210513-m1_obj-1ph4cqe_ophys.nwb	sub-BPN-OLD-M3/sub-BPN-OLD-M3_ses-20210513-m1_obj-1u1mjbm_ophys.nwb
2023-04-24	3172546444	259490631	310043427	335480050	2125635118	214349472	16777216	33554432	25165824	33554432	25165824	1266089828	277324575	25165824
2023-05-01	0	712446894	0	0	0	0	0	0	0	0	0	1894032804	0	0
2023-05-08	0	0	0	0	130127560	0	0	0	249140727	0	0	1754435256	0	0
2023-05-15	1613568760	0	0	0	0	0	0	0	0	0	0	1368986184	0	0
2023-05-22	0	0	0	0	473592	0	0	0	0	0	269647242	1458404604	0	0
2023-05-29	816027352	1904688858	190496103	744247298	130301428	105426672	242127040	318400310	224104007	301305107	211175042	1545869996	193567599	189863417
2023-06-05	2161764	0	0	0	11768124	0	0	0	0	0	0	1003779084	0	0
2023-06-12	0	0	0	0	1381936	0	0	0	0	0	0	1074855264	0	0
2023-06-19	0	0	0	0	68763784	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	0	159145228	0	0	0	0	0	0	1361714796	0	0
2023-07-03	0	0	0	0	24614572	0	0	0	0	0	0	1352150628	0	0
2023-07-10	215714548	0	0	0	1169656	0	0	0	0	0	0	1210063776	0	0
2023-07-17	75252336	0	0	0	1489216	0	0	0	0	0	0	1093459536	0	0
2023-07-24	0	0	0	0	1274928	0	0	0	0	0	0	1357522284	0	0
2023-07-31	0	0	0	0	1616240	0	0	0	249269831	0	0	244475856	0	240195065
2023-08-07	0	0	0	0	923624	0	0	0	0	0	0	1160015664	0	0
2023-08-14	0	0	0	0	891472	0	0	0	0	0	0	1447726800	0	0
2023-08-21	0	0	0	0	1487144	0	0	0	0	0	0	1171610580	0	0
2023-08-28	0	0	0	0	1853176	0	0	0	498539662	0	0	975807168	0	720585195
2023-09-04	0	0	0	0	1359656	0	0	0	0	0	0	1403312376	0	0
2023-09-11	0	0	0	0	1098872	0	0	0	0	0	0	713316612	0	0
2023-09-18	0	0	0	0	1744272	0	0	0	0	0	0	928706916	0	0
2023-09-25	0	0	0	0	1197800	0	0	0	249269831	0	0	692223036	0	240195065
2023-10-02	0	0	0	0	153224	0	0	0	0	0	0	1095162744	0	0
2023-10-09	0	0	0	0	0	0	0	0	0	0	0	844856676	0	0
2023-10-16	0	0	0	0	137371844	0	0	0	0	0	0	864640092	0	0
2023-10-23	0	251658240	0	0	196600	0	0	0	249269831	0	0	98065476	0	240195065
2023-10-30	0	417172903	593149287	0	322599620	331919088	149852352	0	498539662	0	0	674077320	0	0
2023-11-06	0	0	0	0	163480	0	0	0	0	0	0	577190988	0	0
2023-11-13	908302040	417172903	0	0	1068937068	0	0	0	249269831	0	0	500153580	252287855	240195065
2023-11-20	0	0	0	0	367985476	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	0	0	524024	0	0	0	0	0	0	0	0	0
2023-12-11	65482160	31457280	32864974	47751172	67383848	66149856	73212288	33187638	317893333	46501139	33965698	32770344	32086895	35722745
2024-01-01	0	0	0	0	0	0	0	0	498539662	0	0	0	0	240195065
2024-01-15	908302040	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	6565540	5310636	6419784	8914452	13201772	5437164	7310176	7879834	3640462	9551754	0	10784988	6878340	1705465
2024-02-12	9105612	18538764	23451864	13887696	23779404	10743312	13101600	61446504	8254008	46908208	89247730	38191164	0	10485760
2024-03-04	28823520	70552116	0	0	51655208	9564168	0	0	47100252	0	0	0	90073500	0
2024-03-11	0	8647056	140842200	51292764	44938488	3112688	49415020	129378300	284501244	62581355	210608220	49524048	2943855	142283376
2024-03-18	0	0	0	0	57843564	23910420	171961040	0	37077528	0	0	0	0	0
2024-03-25	193379332	94489060	825106422	505519104	302841016	434810064	242336128	173765034	249884834	492058629	112945702	95309396	286614328	349180421
2024-04-01	186894040	6616308	316771687	7271388	193334692	209278216	127522340	405295226	121372231	0	117203722	88824104	105343855	105334265
2024-04-08	63312024	104923456	86802327	0	0	0	0	188044498	0	21552132	49223630	60987048	0	0
2024-04-15	112448904	127161939	322077835	6354276	364719960	204020300	0	0	407550899	6419784	0	95243888	361807492	241181192
2024-04-22	346339660	225981976	93851424	364494240	174801612	0	0	189281990	0	0	0	0	0	0
2024-04-29	81076932	0	0	0	0	290310040	0	247415518	164336612	0	0	298453912	0	172333703
2024-05-06	0	0	166868388	61882134	312907928	0	161313352	46683470	0	76681608	138593154	0	62137719	0
2024-05-13	274420120	186507732	0	0	0	0	306584648	167090714	0	0	0	53978592	61007766	0
2024-05-20	118423624	0	38787072	176008804	184175056	208764000	115872792	0	0	0	29609616	0	0	0
2024-05-27	78293144	0	100452144	0	0	0	315186172	0	73980867	23779404	202644234	209707004	88828848	197679992
2024-06-03	0	119829840	130761192	187014009	82163404	0	46878696	37290832	163339875	0	0	184104708	60754986	0
2024-06-10	177663624	0	0	0	0	0	0	0	0	0	61428904	29282076	0	0
2024-06-24	18276732	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	187537112	123178407	0	0	152374736	145796848	280001416	6878340	250351890	161582355	382912718	89393448	112169143	246614849
2024-07-22	4323528	24827532	11463900	10481280	332138556	9760692	34391700	12315504	269446295	10022724	6354276	231538988	7336896	10612296
2024-07-29	0	0	0	0	0	331919088	0	0	0	0	0	0	0	0
2024-08-05	7795452	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	17490636	366246171	22731276	11070852	343931908	40942500	24434484	18997320	10088232	710335950	12184488	23386356	3340908	30657744
2024-09-02	0	0	278576487	0	965763660	0	162435264	0	0	1082502037	0	0	252287855	0
2024-09-09	0	47185920	0	0	0	181237468	0	0	345804679	61544998	59954054	417410116	54317645	0
2024-09-16	32741080	145916403	333806286	194897146	38867056	33074928	159522668	161769270	163450930	168526203	113803516	89393448	112431175	6681816
2024-09-23	65482160	31457280	32864974	47751172	67383848	72700656	73212288	0	58137742	0	0	0	0	0
2024-10-07	0	0	0	0	0	0	0	13691172	0	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	0	100714468	0	0	94360192	96915004	0	0
2024-10-21	21421116	14870316	12249996	12774060	16180476	12315504	10219248	18014700	0	12512028	10612296	22076196	15656412	11594916
2024-10-28	0	0	0	0	0	0	0	0	0	0	0	5699196	0	0
2024-11-11	0	0	0	0	0	0	0	0	6681816	0	0	0	0	0
2024-11-18	28325704	0	5879203	22796784	8188500	14588344	28402804	8177404	7476650	14055527	31827882	19858308	19561875	10231898
2024-12-02	478150656	167772160	0	0	150994944	0	0	0	0	325657046	0	0	0	0
2025-01-13	0	0	20241972	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	9498660	0	867687	4585560	21305464	0	0	1525558	8450532	6919195	4389036	1476904	9040104	0
2025-04-07	0	150625912	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-21	0	417172903	593149287	0	0	0	267292864	368731958	0	0	269895298	226756904	252287855	240195065
2025-07-21	0	0	0	0	0	0	0	0	0	250030470	0	0	0	0
2025-07-28	0	198937047	209715200	647778306	164763924	157286400	209715200	263745254	91854327	262144000	0	226627800	199729951	0
2025-08-04	0	0	0	0	164634820	104857600	52428800	211445558	0	0	0	0	0	52428800
2025-08-11	558183776	0	262144000	3144384	0	0	0	0	144412231	0	314572800	0	0	240195065
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	209715200	0
2025-08-25	0	0	262144000	209715200	7477524	174503584	0	159016758	0	0	0	0	0	0
2025-09-01	0	364744103	0	0	0	0	0	0	0	0	112608898	104857600	0	0
2025-09-08	0	0	0	0	0	0	109877360	0	196711927	0	0	226756904	0	0
2025-09-22	0	0	0	0	38417896	29939304	0	0	0	0	0	0	0	0
2025-09-29	0	0	0	0	1538324	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	153887168	0	0	0	0	0	24741030	27721780	0	0
2025-10-13	0	0	0	0	0	0	0	0	0	0	53478048	64715916	0	0
2025-10-20	0	0	0	0	0	0	0	0	0	0	22675176	8557716	0	0
2025-10-27	0	0	0	0	0	0	0	0	0	0	71406246	84022892	0	0
2025-11-03	0	0	0	0	0	0	0	0	0	0	55862034	39298812	0	0
2025-11-10	0	0	0	0	0	0	0	0	0	0	55831632	44110676	0	0
2025-11-17	0	0	0	0	0	0	0	0	0	0	27064212	33546044	0	0
2025-11-24	0	0	0	0	0	0	0	0	0	0	23723304	27590764	0	0
2025-12-01	0	0	0	0	0	0	0	0	0	0	19591596	18681676	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	21919482	18026596	0	0
2025-12-15	927888932	627012399	597276291	542920706	206112584	341483256	283276816	8778072	266498435	315225640	569475128	268687972	14018712	488775154
2025-12-22	466616320	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	330301440	0	0	246415360	146800640	0	0	0	0	0	0	129965481
2026-01-05	393216000	0	0	0	0	0	0	0	0	0	39384420	19205740	0	0
2026-01-12	908302040	712446894	20971520	0	52428800	985271504	0	0	259626487	813022050	164789642	0	0	0
2026-01-19	0	0	0	471794930	0	0	534585728	0	0	0	20241972	10648024	0	125829120
2026-01-26	0	0	0	519045120	0	0	0	206073574	293938238	0	112690622	229578924	257401631	0
2026-02-02	0	238914983	251658240	0	117578004	127317664	125606000	159016758	0	0	4821894	4127004	0	0
2026-02-09	0	0	0	0	0	0	0	0	0	0	10556196	8385024	0	0
2026-02-16	9363856	716800	10022724	1433600	4127004	7991984	11594916	9732232	9568656	8970808	4127004	2953808	0	0
2026-02-23	9949640	14338676	4843804	1433600	5236852	0	0	0	0	7484114	15792132	17073756	0	4127004
2026-03-02	3930480	0	0	1323012	8909088	1474288	0	10500154	0	0	0	0	5842059	6160009
2026-03-09	0	0	0	0	0	0	0	0	8254008	0	0	0	0	0
2026-03-16	8385024	0	4978608	0	8909088	0	24434484	0	0	12577536	1607298	8254008	0	0
2026-03-23	0	0	5629900	0	0	0	0	0	0	0	0	5603908	0	0
2026-03-30	0	0	0	6223260	0	0	0	0	18407748	0	0	0	0	0
2026-04-06	1048128	0	0	0	0	9171120	0	0	0	0	0	0	0	0
