week_start	sub-Fig3-Bi10-08/sub-Fig3-Bi10-08_ses-BPAE-bipolar-10pulses_image.nwb	sub-Fig3-Bi15-07/sub-Fig3-Bi15-07_ses-BPAE-bipolar-15pulses_image.nwb	sub-Fig3-Bi15-09/sub-Fig3-Bi15-09_ses-BPAE-bipolar-15pulses_image.nwb	sub-Fig3-Bi15-13/sub-Fig3-Bi15-13_ses-BPAE-bipolar-15pulses_image.nwb	sub-Fig3-Bi5-06/sub-Fig3-Bi5-06_ses-BPAE-bipolar-5pulses_image.nwb	sub-Fig3-Bi5-10/sub-Fig3-Bi5-10_ses-BPAE-bipolar-5pulses_image.nwb	sub-Fig3-Bi5-12/sub-Fig3-Bi5-12_ses-BPAE-bipolar-5pulses_image.nwb	sub-Fig3-Bi5-13/sub-Fig3-Bi5-13_ses-BPAE-bipolar-5pulses_image.nwb	sub-Fig3-Bi5-18/sub-Fig3-Bi5-18_ses-BPAE-bipolar-5pulses_image.nwb	sub-Fig3-Uni10-02/sub-Fig3-Uni10-02_ses-BPAE-unipolar-10pulses_image.nwb	sub-Fig3-Uni10-04/sub-Fig3-Uni10-04_ses-BPAE-unipolar-10pulses_image.nwb	sub-Fig3-Uni10-08/sub-Fig3-Uni10-08_ses-BPAE-unipolar-10pulses_image.nwb	sub-Fig3-Uni10-14/sub-Fig3-Uni10-14_ses-BPAE-unipolar-10pulses_image.nwb	sub-Fig3-Uni15-01/sub-Fig3-Uni15-01_ses-BPAE-unipolar-15pulses_image.nwb	sub-Fig3-Uni15-05/sub-Fig3-Uni15-05_ses-BPAE-unipolar-15pulses_image.nwb	sub-Fig3-Uni15-09/sub-Fig3-Uni15-09_ses-BPAE-unipolar-15pulses_image.nwb	sub-Fig3-Uni5-03/sub-Fig3-Uni5-03_ses-BPAE-unipolar-5pulses_image.nwb	sub-Fig3-Uni5-06/sub-Fig3-Uni5-06_ses-BPAE-unipolar-5pulses_image.nwb	sub-Fig3-Uni5-07/sub-Fig3-Uni5-07_ses-BPAE-unipolar-5pulses_image.nwb
2023-05-15	737800872	444596224	726442361	419430400	763363328	629445319	906909009	923883135	1027141427	932018674	955793629	889743377	534364525	938484876	627148318	929665992	738197504	1131405751	402653184
2023-05-22	0	0	0	0	400632	0	0	0	0	0	0	31784	0	9891708	0	0	0	0	0
2023-05-29	0	0	0	0	342768	0	0	0	0	0	0	0	0	24063784	0	0	0	0	0
2023-06-05	0	0	0	0	304464	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	0	0	0	0	235032	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-19	0	0	0	0	211559616	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	0	244059418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	0	0	0	0	14858518	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	0	0	0	0	603064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-17	0	0	0	0	552536	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	0	0	0	0	349288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	0	0	0	0	297944	0	0	0	0	0	0	0	0	0	0	0	0	1022353847	0
2023-08-07	0	0	0	0	494672	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	0	0	0	0	266816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	0	0	0	0	203248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	0	0	526456	1032098503	0	0	0	0	0	0	0	0	0	0	0	2044707694	0
2023-09-04	0	0	0	0	266816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	0	0	0	0	266160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	0	0	0	0	418720	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	0	0	0	0	418720	1032098503	0	0	0	0	0	0	0	13578024	0	0	0	0	0
2023-10-02	0	0	0	0	114256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	0	0	0	0	114256	0	0	0	0	0	0	0	0	0	0	0	0	678420919	0
2023-10-23	0	0	0	0	0	3096295509	1039265891	0	0	0	0	0	0	0	0	0	0	2044707694	0
2023-10-30	0	0	0	0	120776	0	0	0	0	0	0	0	0	0	0	0	0	1022353847	0
2023-11-06	0	0	0	0	107736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	0	0	226576344	0	0	0	0	0	0	0	0	0	0	0	0	1022353847	0
2023-11-20	0	0	0	1057048623	184535134	1032098503	0	1016157823	0	0	0	1049126929	1054458221	0	1054967326	1047106504	0	1022353847	1035590084
2023-11-27	0	0	0	0	8540868	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	0	0	196728	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	47156100	45895948	43819385	45172783	46049638	1078535566	65265862	46225023	44625715	47020530	46678237	42493969	42582381	45035304	43091486	45716424	46572485	47178167	44685764
2024-01-01	0	0	0	0	0	2064197006	0	0	0	0	0	0	0	0	0	0	0	1022353847	0
2024-01-22	11368712	10392040	6731974	2544787	12975648	1042240806	7312798	14411760	4036883	7653480	4504029	7046534	7099945	5236496	9389830	4088316	5062738	1033303005	6745868
2024-02-12	6354276	46969236	0	0	16311492	0	0	0	0	10350264	8974596	26765329	7664436	0	0	0	0	8385024	0
2024-03-04	9695184	0	0	0	143391794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	3733956	9302136	5633688	30882030	5088378	6024275	12967511	7467912	5633688	0	2154717	27969798	6453841	2232104	2161764	7140372	4374569	9348527	2161764
2024-03-18	0	0	0	0	0	0	0	0	12839568	0	0	0	0	0	0	0	0	0	0
2024-03-25	228938048	23085440	39717603	9773397	15815138	16797530	16141226	14622991	23649518	14477268	75589392	44425437	22093701	106162200	8203110	15515028	16087419	10963845	10659740
2024-04-01	8151244	1782028	1753465	36628456	6747324	0	3498182	55026720	6419784	12236942	8164901	1779729	1786221	1822504	18480002	8571180	1803205	8152831	0
2024-04-08	0	35043772	0	0	35993442	0	23057143	0	0	109333626	0	0	0	0	0	0	30973864	47996496	33671112
2024-04-15	44048476	42854392	35955065	57558415	47813512	97249641	57352291	62765855	235899622	27358340	62531025	23485729	160036228	0	33998652	20087220	0	72899652	0
2024-04-22	47823192	0	7926468	0	0	0	0	0	32295444	0	0	62651194	55196810	78812116	47187048	64203992	41400589	59206415	104278552
2024-04-29	0	0	0	62338249	0	50113620	0	0	45266028	553454802	69845384	0	0	0	56224884	20978724	0	0	101539584
2024-05-06	0	0	0	0	457103538	0	39641282	596629311	0	0	53842923	20897052	0	41009716	0	29937156	0	19717908	0
2024-05-13	42907172	86425672	0	53628978	0	0	0	0	0	26995632	0	0	417921593	0	0	0	40981084	0	0
2024-05-20	0	0	81490466	0	0	0	43297442	547837325	0	0	44156105	50836901	0	0	61904854	0	0	0	8843580
2024-05-27	0	33080036	0	0	0	0	0	52961771	0	0	0	81836501	0	37925156	0	81094492	78283357	531643276	639070268
2024-06-03	0	76937604	292553894	7795452	94489982	46789721	29544108	49614189	69808032	0	0	0	9695184	0	104228718	15459888	0	0	0
2024-06-10	0	0	0	99702281	0	0	28690831	0	0	0	0	0	12381012	0	0	0	0	0	0
2024-07-08	101173024	8668756	9213633	6747324	2795878	6354276	6943848	110671684	11326130	2193906	2244829	2254865	8631989	9118608	10844078	6354276	2794437	9164319	3118290824
2024-07-22	13298124	0	9695184	0	9105612	12708552	0	0	0	10612296	0	12249996	12446520	11725932	0	0	0	0	10219248
2024-07-29	0	13691172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	1047439718	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	0	0	0	0	0	0	0	0	0	0	0	0	1054458221	0	0	0	0	0	0
2024-08-26	19193844	10022724	15721920	7926468	67258304	0	15918444	10088232	17490636	13101600	20110956	16835556	1067297789	0	7926468	20045448	14608284	10088232	22141704
2024-09-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7860960	2094213008	0	2044707694	0
2024-09-09	0	0	646750585	0	0	44939349	730971912	44303229	0	0	0	0	811517396	8335144	29659738	0	0	0	799308304
2024-09-16	9076744	8668756	2793849	6943848	6681816	0	2224227	8801139	0	2193906	6616308	2254865	9090545	8856576	2197022	6851588	5807805	6616308	6550800
2024-10-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99404308
2024-10-14	11922456	9629676	12381012	2161764	0	12381012	0	6157752	6354276	0	10022724	9957216	12446520	11529408	0	12381012	6616308	13429140	9236628
2024-10-21	0	0	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0	0	0	0
2024-11-11	0	0	0	0	4127004	0	0	0	0	4127004	0	0	0	4323528	9826200	4061496	4127004	0	0
2024-11-18	0	0	0	0	5568180	0	6812832	10022724	4585560	7664436	8319516	10219248	0	0	7402404	10284756	0	10153740	8254008
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16442508	0	0	0	0
2024-12-02	819363008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687865856	636477879	0
2025-02-03	22116512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1022353847	0
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0
2025-03-31	1053789060	0	0	0	0	0	0	1016157823	0	0	0	1049126929	0	0	0	0	0	0	0
2025-06-16	1053789060	1073500428	1045209465	1057048623	1047439718	1032098503	1039265891	0	1035530035	1032681970	1048068317	1049126929	1054458221	1041182504	0	1047106504	1037476805	1022353847	1035590084
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838860800	0
2025-07-28	0	0	0	838860800	0	0	0	0	563670835	0	0	0	0	0	0	0	0	0	0
2025-08-04	0	0	0	0	0	0	0	0	0	0	0	786432000	0	0	0	0	0	0	616159684
2025-08-11	844073860	0	0	0	786432000	612668103	629145600	0	0	0	785924317	0	734003200	0	0	0	367001600	0	0
2025-08-18	0	0	992780665	0	0	0	0	0	0	0	0	0	0	0	0	417960904	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	0	0	0	0	582599021	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	649156223	0	0	0	0	0	726609704	0	0	0	0	825874884
2025-09-08	0	1073500428	0	1004619823	0	0	0	0	878243635	681574400	0	0	0	0	471859200	0	0	0	0
2025-09-22	21767904	51726800	80472587	52802361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	0	0	5857922	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	9919960	55487380	36068910	49937610	8691374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	18033948	51740112	47729334	55291665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	5858464	25404844	9387399	19516488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	0	18617584	14103975	17931591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	55636780	78717148	80245561	88040769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	60886424	57321604	46851732	31565064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	32755240	40026440	30304206	26787876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	21234836	31994528	27910912	30290106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	35945884	37668152	29729885	40557261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	23826904	27094740	21491128	30897279	0	0	0	0	0	0	0	0	0	0	0	0	0	629137847	0
2025-12-15	1880809008	1112216708	1098260198	1092644877	2121934240	1037863207	2082593278	16639032	4127004	1032681970	2107666042	1064717833	2117694514	1056380360	8778072	2100763808	1045730813	2060298598	1035590084
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800691144	712418245	0	0
2026-01-05	23490360	38284348	40457946	43946076	0	0	0	0	0	0	639123677	729311249	0	0	0	0	0	0	0
2026-01-12	945199100	0	0	0	0	0	0	0	0	0	1069882481	0	0	1041182504	0	683015576	1047962565	2055193454	0
2026-01-19	15965944	22810096	722653244	21595143	806267238	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-26	19372360	619605688	15595408	22975707	0	612668103	739246080	791674880	715714355	0	0	0	729399661	608174080	0	0	0	0	700045764
2026-02-02	11716928	11517148	15988456	530932374	0	0	0	0	0	644708850	0	0	0	0	634388480	0	0	0	0
2026-02-09	11183860	16364740	12350510	14096925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	10190268	18691368	10385270	10668479	4733128	409600	8663608	7484464	8458808	4331804	0	0	0	0	0	0	0	0	0
2026-02-23	15909440	13796616	24111448	16276290	0	0	0	334583423	0	4127004	0	0	0	779038504	0	0	0	0	0
2026-03-02	0	0	0	6205659	6119954	0	0	0	4127004	0	9933617	4389036	0	6015016	6434394	1807304	0	0	0
2026-03-09	0	5909032	0	0	0	4127004	0	4258020	0	0	0	0	0	0	0	0	5995717	0	0
2026-03-16	32155424	17124212	18820551	5449869	0	0	0	0	0	0	10546788	0	0	0	0	3144384	0	7860960	0
2026-03-23	9040104	15641656	1753465	7186530	4397312	0	0	0	0	0	0	0	0	0	11922456	0	0	0	0
2026-03-30	0	7467912	0	4258020	0	0	0	63608268	48410412	0	917112	0	0	0	917112	0	0	0	0
2026-04-06	0	9957216	0	0	0	0	0	0	0	0	1048128	0	0	0	0	0	0	0	0
2026-04-13	0	0	9105612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	0	2437108	10072981	5371656	0	0	0	0	0	0	0	11791440	0	0	1048128	0	0	15918444	0
