week_start	sub-Fig4-5-Bi100us-09/sub-Fig4-5-Bi100us-09_ses-BPAE-5xBipolar-100us_image.nwb	sub-Fig4-5-Bi100us-11/sub-Fig4-5-Bi100us-11_ses-BPAE-5xBipolar-100us_image.nwb	sub-Fig4-5-Bi100us-13/sub-Fig4-5-Bi100us-13_ses-BPAE-5xBipolar-100us_image.nwb	sub-Fig4-5-Bi1200ns-02/sub-Fig4-5-Bi1200ns-02_ses-BPAE-5xBipolar-1200ns_image.nwb	sub-Fig4-5-Bi1200ns-03/sub-Fig4-5-Bi1200ns-03_ses-BPAE-5xBipolar-1200ns_image.nwb	sub-Fig4-5-Bi1200ns-14/sub-Fig4-5-Bi1200ns-14_ses-BPAE-5xBipolar-1200ns_image.nwb	sub-Fig4-5-Bi300ns-04/sub-Fig4-5-Bi300ns-04_ses-BPAE-5xBipolar-300ns_image.nwb	sub-Fig4-5-Bi300ns-08/sub-Fig4-5-Bi300ns-08_ses-BPAE-5xBipolar-300ns_image.nwb	sub-Fig4-5-Bi300ns-15/sub-Fig4-5-Bi300ns-15_ses-BPAE-5xBipolar-300ns_image.nwb	sub-Fig4-5-Bi500us-08/sub-Fig4-5-Bi500us-08_ses-BPAE-5xBipolar-500us_image.nwb	sub-Fig4-5-Bi500us-10/sub-Fig4-5-Bi500us-10_ses-BPAE-5xBipolar-500us_image.nwb	sub-Fig4-5-Bi50us-06/sub-Fig4-5-Bi50us-06_ses-BPAE-5xBipolar-50us_image.nwb	sub-Fig4-5-Bi50us-08/sub-Fig4-5-Bi50us-08_ses-BPAE-5xBipolar-50us_image.nwb	sub-Fig4-5-Uni100us-08/sub-Fig4-5-Uni100us-08_ses-BPAE-5xUnipolar-100us_image.nwb	sub-Fig4-5-Uni100us-10/sub-Fig4-5-Uni100us-10_ses-BPAE-5xUnipolar-100us_image.nwb	sub-Fig4-5-Uni100us-12/sub-Fig4-5-Uni100us-12_ses-BPAE-5xUnipolar-100us_image.nwb	sub-Fig4-5-Uni1200ns-01/sub-Fig4-5-Uni1200ns-01_ses-BPAE-5xUnipolar-1200ns_image.nwb	sub-Fig4-5-Uni1200ns-15/sub-Fig4-5-Uni1200ns-15_ses-BPAE-5xUnipolar-1200ns_image.nwb	sub-Fig4-5-Uni300ns-01/sub-Fig4-5-Uni300ns-01_ses-BPAE-5xUnipolar-300ns_image.nwb	sub-Fig4-5-Uni300ns-09/sub-Fig4-5-Uni300ns-09_ses-BPAE-5xUnipolar-300ns_image.nwb	sub-Fig4-5-Uni300ns-16/sub-Fig4-5-Uni300ns-16_ses-BPAE-5xUnipolar-300ns_image.nwb	sub-Fig4-5-Uni500us-07/sub-Fig4-5-Uni500us-07_ses-BPAE-5xUnipolar-500us_image.nwb	sub-Fig4-5-Uni500us-09/sub-Fig4-5-Uni500us-09_ses-BPAE-5xUnipolar-500us_image.nwb	sub-Fig4-5-Uni50us-03/sub-Fig4-5-Uni50us-03_ses-BPAE-5xUnipolar-50us_obj-o92bhj_image.nwb	sub-Fig4-5-Uni50us-03/sub-Fig4-5-Uni50us-03_ses-BPAE-5xUnipolar-50us_obj-wlwhic_image.nwb	sub-Fig4-5-Uni50us-05/sub-Fig4-5-Uni50us-05_ses-BPAE-5xUnipolar-50us_image.nwb
2023-05-15	1865870123	1881747900	1871663171	1048668495	1882019718	1046806626	1010856797	1013643377	1017896937	1894627769	1885049880	1876425314	1868943367	1889877729	1884444251	1888604620	1084175888	1077490511	989266010	1023164148	1024947134	1896579006	1889351194	1868438895	1868438895	1863792481
2023-05-22	2485964867	0	0	571280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-29	0	0	0	457024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	0	0	0	342768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	0	0	0	457024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-19	0	0	0	189799196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	315492299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	0	0	0	16071408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	0	0	0	571280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-17	0	0	0	799792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	0	0	0	457024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	0	0	0	342768	0	0	1010856797	1013643377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-07	0	0	0	571280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	0	0	0	342768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	0	0	0	342768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	0	571280	0	0	3032570391	3040930131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-04	0	0	0	342768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	0	0	0	228512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	0	0	0	457024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	0	0	0	571280	0	0	1010856797	1013643377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-02	0	0	0	114256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	0	0	0	114256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	0	0	0	114256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	114256	1882019718	0	2021713594	2027286754	0	0	0	0	0	0	0	0	0	0	0	1023164148	0	0	0	0	0	0
2023-10-30	0	0	1871663171	114256	0	0	1010856797	1013643377	0	0	0	0	0	0	0	1888604620	0	0	0	0	0	0	0	0	0	0
2023-11-06	0	0	0	114256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	0	226462088	0	0	1010856797	1013643377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-20	1865870123	1881747900	1871663171	1282298642	1882019718	1046806626	1010856797	1013643377	1017896937	1894627769	1885049880	1876425314	1868943367	1889877729	1884444251	1888604620	1084175888	1077490511	989266010	1023164148	1024947134	1896579006	1889351194	1868438895	1868438895	1863792481
2023-11-27	0	0	0	8575715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	0	114256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	25619243	25768380	26169411	47506927	26040198	45416546	1057023674	1057353954	42721257	22919609	23827480	25688674	23449607	23412449	23221851	22139340	46085648	44643151	45547610	42745588	44528574	24870846	22885914	22945135	22945135	23541601
2024-01-01	0	0	0	0	0	0	2021713594	2027286754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	0	0	0	114256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	12157746	7452724	9646446	10093250	13408696	13274080	1011866023	1045090767	6526486	10224506	11761104	13876936	13273870	7066350	6734530	13471300	10574776	4227254	13814512	10341788	11343272	7156904	12286196	9358446	5362458	9412634
2024-03-04	0	0	0	110285470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	8822283	16099448	6616767	11573647	14491874	18142670	10405297	7900881	12803633	7953925	16779708	14201930	7382351	13023909	9517091	8954996	13615880	7756291	11010482	10715296	8137162	9531754	7347070	5424639	9355119	3224461
2024-03-25	23297637	16764168	22183761	16198029	19867914	18283446	20996643	19722507	25849215	24098979	22629240	15919206	19763937	18935943	18831261	21861552	21588288	12017349	20404254	22139016	23903274	15927390	19289874	21489729	21555237	18254931
2024-04-01	7765879	9802404	8180683	8674743	7343226	8103394	9095137	11159729	8136013	10828001	7412064	11049270	7112043	9740233	7150527	7112496	9292352	6167547	8242594	11943396	9103230	7099682	7347070	7119571	7119571	7285957
2024-04-15	63840399	63076632	60832235	62177199	64736882	65012966	62491405	63458913	59000197	64552509	64088920	65007194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-22	0	0	0	0	0	0	0	0	0	0	0	0	66339923	66237117	59841359	63956560	67671716	60644347	62002594	62518332	63055966	63980638	66644246	56276759	59748683	59080717
2024-06-03	0	12118980	0	0	0	0	0	12643044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-10	0	0	0	0	23779404	0	0	0	0	0	9629676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7860960	0	0
2024-07-08	7266419	6301864	7226791	9657559	7294158	12971606	8612033	9497649	9360381	9939617	8161268	7335850	7652547	7091325	8473031	12435084	8530804	8726623	8582562	8598616	8612102	9269694	10692018	10489207	9244555	5255181
2024-07-22	12053472	10088232	11725932	10022724	12643044	6943848	10088232	12315504	10022724	10088232	10022724	10088232	12315504	12184488	11267376	11856948	12184488	10808820	12118980	10088232	10743312	12184488	7074864	11725932	12249996	9171120
2024-08-19	8057484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	20241972	13560156	12708552	67716911	19979940	16770048	15787428	16966572	1035453081	19521384	17818176	22010688	1885451383	21290100	26530740	15983952	19979940	8778072	14935824	1035348636	18669780	19652400	10808820	20045448	13494648	12905076
2024-09-02	0	13691172	2314107363	0	3764039436	0	0	0	1017896937	0	0	0	1868943367	0	0	2334611332	0	0	0	1023164148	0	3793158012	0	0	0	3727584962
2024-09-09	2349021036	0	0	1066281187	0	0	0	1043309541	0	2341158545	0	0	0	2338570269	2333595347	0	1111436436	0	0	0	203897824	0	2342760310	32135245	2350811992	0
