week_start	sub-Fig6-5xBi-0,83MHz-08/sub-Fig6-5xBi-0,83MHz-08_ses-BPAE-5xBipolar-0,83MHz_image.nwb	sub-Fig6-5xBi-0,83MHz-11/sub-Fig6-5xBi-0,83MHz-11_ses-BPAE-5xBipolar-0,83MHz_image.nwb	sub-Fig6-5xBi-0,83MHz-13/sub-Fig6-5xBi-0,83MHz-13_ses-BPAE-5xBipolar-0,83MHz_image.nwb	sub-Fig6-5xBi-100kHz-006/sub-Fig6-5xBi-100kHz-006_ses-BPAE-5xBipolar-100kHz_image.nwb	sub-Fig6-5xBi-100kHz-06/sub-Fig6-5xBi-100kHz-06_ses-BPAE-5xBipolar-100kHz_image.nwb	sub-Fig6-5xBi-100kHz-11/sub-Fig6-5xBi-100kHz-11_ses-BPAE-5xBipolar-100kHz_image.nwb	sub-Fig6-5xBi-10kHz-03/sub-Fig6-5xBi-10kHz-03_ses-BPAE-5xBipolar-10kHz_image.nwb	sub-Fig6-5xBi-10kHz-09/sub-Fig6-5xBi-10kHz-09_ses-BPAE-5xBipolar-10kHz_image.nwb	sub-Fig6-5xBi-10kHz-10/sub-Fig6-5xBi-10kHz-10_ses-BPAE-5xBipolar-10kHz_image.nwb	sub-Fig6-5xUni-0,83MHz-02/sub-Fig6-5xUni-0,83MHz-02_ses-BPAE-5xUnipolar-0,83MHz_image.nwb	sub-Fig6-5xUni-0,83MHz-10/sub-Fig6-5xUni-0,83MHz-10_ses-BPAE-5xUnipolar-0,83MHz_image.nwb	sub-Fig6-5xUni-100kHz-005/sub-Fig6-5xUni-100kHz-005_ses-BPAE-5xUnipolar-100kHz_image.nwb	sub-Fig6-5xUni-100kHz-05/sub-Fig6-5xUni-100kHz-05_ses-BPAE-5xUnipolar-100kHz_image.nwb	sub-Fig6-5xUni-100kHz-12/sub-Fig6-5xUni-100kHz-12_ses-BPAE-5xUnipolar-100kHz_image.nwb	sub-Fig6-5xUni-10kHz-01/sub-Fig6-5xUni-10kHz-01_ses-BPAE-5xUnipolar-10kHz_image.nwb	sub-Fig6-5xUni-10kHz-04/sub-Fig6-5xUni-10kHz-04_ses-BPAE-5xUnipolar-10kHz_image.nwb	sub-Fig6-5xUni-10kHz-09/sub-Fig6-5xUni-10kHz-09_ses-BPAE-5xUnipolar-10kHz_image.nwb
2023-05-15	635691614	1110214090	620756992	528482304	1330284195	612368384	599147703	1162059087	506289304	947912704	1346172748	956301312	1958242584	201326592	1880744253	1060591774	629145600
2023-05-22	0	0	0	368032	0	0	0	0	0	0	0	0	589244460	0	0	0	0
2023-05-29	0	0	0	381072	0	0	0	0	0	0	0	0	480108132	0	0	0	0
2023-06-05	0	0	0	228512	0	0	0	0	0	0	0	0	403398264	0	0	0	0
2023-06-12	0	0	0	51344	0	0	0	0	0	0	0	0	378636240	0	0	0	0
2023-06-19	0	0	0	87027070	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	181447490	0	0	0	0	0	0	0	0	346799352	0	0	0	0
2023-07-03	0	0	0	51880	0	0	0	0	0	0	0	0	520395552	0	0	0	0
2023-07-10	0	0	0	311640	0	0	0	0	0	0	0	0	388658964	0	0	0	0
2023-07-17	0	0	0	362328	0	0	0	0	0	0	0	0	477225780	0	0	0	0
2023-07-24	0	0	0	221992	0	0	0	0	0	0	0	0	404315376	0	0	0	0
2023-07-31	0	0	0	386936	0	1028448664	0	0	0	0	0	0	229081476	0	0	0	0
2023-08-07	0	0	0	374552	0	0	0	0	0	0	0	0	394751208	0	0	0	0
2023-08-14	0	0	0	133816	0	0	0	0	0	0	0	0	502118820	0	0	0	0
2023-08-21	0	0	0	146040	0	0	0	0	0	0	0	0	455542632	0	0	0	0
2023-08-28	0	0	3083011623	393456	0	0	0	0	0	0	0	0	371364852	0	0	0	0
2023-09-04	0	0	0	228512	0	0	0	0	0	0	0	0	414600132	0	0	0	0
2023-09-11	0	0	0	183688	0	0	0	0	0	0	0	0	273037344	0	0	0	0
2023-09-18	0	0	0	228512	0	0	0	0	0	0	0	0	473360808	0	0	0	0
2023-09-25	0	0	0	481632	0	1028448664	0	0	0	0	0	0	392654952	0	0	0	0
2023-10-02	0	0	0	0	0	0	0	0	0	0	0	0	333763260	0	0	0	0
2023-10-09	0	0	0	0	0	0	0	0	0	0	0	0	280832796	0	0	0	0
2023-10-16	0	0	0	31784	0	0	0	0	0	0	0	0	324330108	0	0	0	0
2023-10-23	0	0	2055341082	159080	0	1028448664	0	0	0	1277024329	0	0	79919760	0	0	0	0
2023-10-30	0	0	0	164944	0	1028448664	0	0	0	0	0	0	304219152	0	0	0	0
2023-11-06	0	0	0	82472	0	0	0	0	0	0	0	0	296358192	0	0	0	0
2023-11-13	0	0	1027670541	221992	0	0	0	0	0	0	0	0	182243256	0	0	0	0
2023-11-20	2087971308	0	1027670541	227363760	1858766499	0	1035355319	1883479375	0	1889392713	0	1058545931	1882964932	1046083579	1880744253	1060591774	0
2023-11-27	0	0	0	9317299	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	0	221992	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	0	22840778	1027670541	190208	23758499	42787224	44450999	22256975	43867288	22927433	26015564	46670091	21742532	44693499	24764733	43473054	46553912
2024-01-01	0	0	0	0	0	1028448664	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	7790080	3518602	1039455091	4323528	6775550	1034591156	8322182	7303058	653616	635026	5791152	5274222	6236652	5073086	4893105	12592170	7315360
2024-02-12	524288000	9040104	8254008	8909088	9040104	0	0	25857675	6419784	22600260	0	8843580	9105612	0	9564168	8909088	472575308
2024-03-04	0	0	0	135173969	22600260	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	0	25351596	4296305	2161764	285248527	26173332	8493595	30174343	5764704	27316836	6016708	0	19259352	14271451	27321669	3757566	0
2024-03-18	0	22141704	0	0	59808804	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-25	5275362	8724560	7031089	101115299	21545865	12922624	16102482	7041743	83845892	14889891	14964724	16395430	61410940	23646849	9029775	9905824	24704900
2024-04-01	1758454	42318168	8079217	7074864	7269299	43562820	64828461	7696823	0	12708552	7056560	0	750532	6607015	7271388	0	6354276
2024-04-08	37405068	0	0	0	550378342	0	0	171583970	0	38843195	408116240	0	0	0	42511782	55763360	0
2024-04-15	55464074	61211182	61330458	22775099	85889481	39014400	37122527	82989969	156155848	59773621	231921904	341624849	0	0	0	0	0
2024-04-22	0	0	12204911	0	56190707	0	0	0	125577644	0	0	0	144140652	41662636	66018893	65816316	23314588
2024-04-29	0	0	0	41062326	60379569	20108228	0	0	30921228	51751320	15197952	0	0	0	32425005	0	0
2024-05-06	240567422	0	70440503	0	0	62315596	28869839	0	0	0	5437260	35374320	0	38322180	0	0	38369212
2024-05-13	0	30145678	0	71235979	0	0	0	152435503	253738284	0	13101600	0	91712200	0	0	149902428	0
2024-05-20	28626996	0	95571363	0	44625330	46145816	0	0	0	0	0	629798950	0	0	0	49489066	14411760
2024-05-27	0	97706104	0	0	0	0	58962406	31197366	0	59301013	0	0	8909088	0	134101365	0	0
2024-06-03	0	0	26529493	14692416	32622911	0	59173378	0	23187188	0	0	0	43104264	161891214	0	0	0
2024-06-10	112310012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30872892
2024-07-08	0	951754	2163213	2153755	951971	8771212	8993139	8491167	2186392	8833805	8841716	9695184	1804168	0	0	6812832	7074864
2024-07-22	9957216	8057484	0	9957216	0	6616308	0	0	0	0	10088232	1058545931	0	0	10022724	0	11529408
2024-07-29	1043985654	0	0	0	0	0	0	0	0	1889392713	0	0	1882964932	0	0	0	0
2024-08-26	0	13691172	8122992	64662106	0	18669780	10022724	11987964	0	18080208	6419784	0	0	5502672	0	25417104	1056523300
2024-09-02	0	1873577418	0	0	0	0	0	1883479375	0	3836530325	0	0	3501385240	0	1532728101	0	0
2024-09-09	0	0	0	0	1352297038	9891708	0	1569176370	0	0	0	605601348	6013892	0	0	0	0
2024-09-16	6943848	4389036	7074864	0	0	9229768	9058647	6681816	2186392	907337	849740	2236683	7911440	0	7591445	8932698	0
2024-09-23	0	0	0	0	0	0	0	0	0	0	0	0	9957216	0	0	4061496	0
2024-10-14	0	0	0	10088232	0	9957216	0	8843580	0	0	10612296	11725932	10153740	0	12643044	0	13036092
2024-11-04	0	0	0	0	0	0	0	0	0	95932384	0	0	0	182562632	0	93508588	0
2024-11-11	0	0	0	9957216	4127004	0	0	8843580	7860960	0	0	0	0	8843580	200577332	0	0
2024-11-18	0	0	8843580	17883684	10219248	7860960	10153740	0	10022724	7402404	10219248	10153740	8254008	2161764	7860960	0	6550800
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696254464
2025-03-10	0	2161764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	1019701846	0	971300123	0	629145600	0	1726192975	0	0	1593636684	0	0	0	0	0	0
2025-08-04	0	0	0	0	1124763299	0	0	0	0	1574819913	0	0	0	629145600	0	681574400	0
2025-08-11	0	0	0	0	0	0	0	0	720198808	0	0	681574400	834388932	0	1677721600	0	419430400
2025-08-25	0	0	0	0	1229620899	0	0	0	0	0	0	0	0	731510779	0	0	0
2025-09-08	786432000	0	765526541	0	0	0	629145600	0	0	0	0	0	0	0	0	0	0
2025-09-22	38895164	49363512	55397108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	0	5903927	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	42266858	44980474	37579241	4307510	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	55906720	34886244	48519077	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	24065896	10362260	17555835	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	21783378	9439150	11769398	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	46015012	55223714	49414147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	27517296	46302630	42535807	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	20155940	20206454	26792463	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	17308310	47582800	43562511	10808820	11987964	0	0	10612296	0	0	20372988	0	9695184	9957216	22731276	8057484	0
2025-12-01	17046278	19485866	32622366	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	20286956	13197098	14302477	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	2114667786	3779557774	1062869761	2060690462	1862827995	2060958824	2078964646	3775147250	2080417544	4494828234	3816418968	0	1900193536	1061871007	3776096790	1060591774	2092346072
2025-12-22	0	924616138	0	0	0	0	0	0	0	0	0	0	1038861252	0	0	0	592445440
2026-01-05	38074346	34421690	30504377	0	0	0	0	0	0	0	0	0	0	0	1095761920	0	0
2026-01-12	0	0	0	0	0	0	2060224878	2133277407	0	1314635248	0	0	3755444104	0	0	0	2074916464
2026-01-19	10929574	1887143572	16420466	0	0	0	0	0	0	0	0	686301451	0	0	0	662132894	0
2026-01-26	15877396	12536020	25656785	723517440	1150977699	676331520	0	1217633615	639631360	0	1064105804	0	0	0	0	0	0
2026-02-02	544765698	6824828	518535760	0	0	0	529530880	0	0	0	0	0	0	540016640	0	0	0
2026-02-09	18376962	14096216	7642394	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	10208986	4632238	26757273	14551052	8270560	10555064	7795452	409600	10751588	0	0	16377000	0	0	0	0	0
2026-02-23	18725026	12339496	13756371	0	0	0	0	0	5952920	5189933	0	4127004	955332	0	987453	1775774	4323528
2026-03-02	4520052	988618	0	4127004	5050303	1786264	6315279	9015259	0	0	907084	0	0	1808379	0	0	0
2026-03-09	0	0	5917453	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	12032948	18544762	9673142	0	0	0	0	0	0	12184488	0	0	11267376	0	15656412	0	16835556
2026-03-23	4593836	0	6166028	0	0	0	0	0	0	1121912	5306148	0	0	0	0	0	0
