week_start	sub-fCamk1/sub-fCamk1_ses-fCamk1-200827-sess9-no-raw-data_behavior+ecephys+image+ogen.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200827-sess9_behavior+ecephys+image+ogen.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200901-sess12-no-raw-data_behavior+ecephys+image+ogen.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200901-sess12_behavior+ecephys+image+ogen.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200902-sess13-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200902-sess13_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200904-sess15-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200904-sess15_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200908-sess16-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200908-sess16_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200909-sess17-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200909-sess17_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200910-sess18-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200910-sess18_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200911-sess19-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk1/sub-fCamk1_ses-fCamk1-200911-sess19_behavior+ecephys+image.nwb	sub-fCamk2/sub-fCamk2_ses-fCamk2-201012-sess1-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk2/sub-fCamk2_ses-fCamk2-201012-sess1_behavior+ecephys+image.nwb	sub-fCamk2/sub-fCamk2_ses-fCamk2-201013-sess2-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk2/sub-fCamk2_ses-fCamk2-201013-sess2_behavior+ecephys+image.nwb	sub-fCamk2/sub-fCamk2_ses-fCamk2-201014-sess3-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk2/sub-fCamk2_ses-fCamk2-201014-sess3_behavior+ecephys+image.nwb	sub-fCamk2/sub-fCamk2_ses-fCamk2-201015-sess4-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk2/sub-fCamk2_ses-fCamk2-201015-sess4_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201028-sess10-cleanned-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201028-sess10-cleanned_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201029-sess11-cleanned-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201029-sess11-cleanned_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201030-sess12-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201030-sess12_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201102-sess13-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201102-sess13_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201103-sess14-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201103-sess14_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201105-sess16-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201105-sess16_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201106-sess17-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201106-sess17_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201109-sess18-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201109-sess18_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201110-sess19-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201110-sess19_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201111-sess20-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201113-sess22-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk3/sub-fCamk3_ses-fCamk3-201113-sess22_behavior+ecephys+image.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210406-sess10-no-raw-data_behavior+ecephys.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210406-sess10_behavior+ecephys.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210407-sess11-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210407-sess11_behavior+ecephys+image.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210408-sess12-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210408-sess12_behavior+ecephys+image.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210412-sess14-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210412-sess14_behavior+ecephys+image.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210414-sess16-no-raw-data_behavior+ecephys+image.nwb	sub-fCamk5/sub-fCamk5_ses-fCamk5-210414-sess16_behavior+ecephys+image.nwb
2023-06-26	0	16764423735	0	14747669620	0	2443237700	0	965355561	0	535066544	0	1332411271	0	1323562819	0	1054396666	0	13782585743	0	17801874437	0	12272843716	0	18907922432	32973723077	0	36673492241	0	34871443456	0	42437967872	0	38199807003	0	40239179203	0	41691793813	0	19693021	0	33411825664	0	26088570880	0	0	35268823679	0	33948696576	0	29903798937	0	32912889064	0	30921434631	0	37127979008
2023-07-03	33554432	0	16777216	0	16777216	854421392	21572184	0	15954147	0	16777216	0	27103882	1134664068	16777216	0	8388608	0	8388608	0	5784179	0	7161344	0	20844100768	39033837	0	40122294	0	41943040	0	40204146	0	34998267	0	42453892	0	26133000	0	28259292	0	37785404	0	30716842	27302647	0	44614132	0	16777216	0	26240840	0	14945632	0	16777216	0
2023-07-10	652410286	44553667	0	22680988168	0	1110144	0	1208625193	0	0	0	0	0	1033126668	0	1532547322	0	0	0	16783065	0	21122825156	0	27428730	0	0	48904417682	0	25288455	0	24241753	0	32743854319	0	22095299	0	0	0	28081629	0	48774762738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-17	311118372	177420510	0	0	0	2892992	0	0	0	0	0	0	0	1594333704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	0	0	0	0	0	1409536	0	0	0	0	0	0	0	1387917996	0	0	126497220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	18599296	0	0	0	0	784144	0	0	0	0	0	0	0	293606856	18008280	0	118064072	0	0	0	0	0	0	0	0	0	0	0	879982720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-07	12839568	55039427	0	0	0	1972008	0	0	0	0	0	0	0	944297820	0	0	118064072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	0	15721920	0	0	0	1045952	0	0	0	0	0	0	0	1307801712	0	0	126497220	0	0	0	0	40720094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	10415772	0	0	0	0	1241760	0	0	0	0	0	0	0	1842281484	0	0	168662960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	0	0	0	1620184	0	0	0	0	0	0	0	563106768	36016560	0	202395552	0	0	0	0	0	7161344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-04	0	0	0	0	0	1216160	0	0	0	0	0	0	0	843284484	0	0	101197776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	0	0	0	0	0	911720	0	0	0	0	0	0	0	756486384	0	0	138384748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	0	0	0	0	0	1290176	0	0	0	0	0	0	0	1131323160	0	0	118064072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	0	0	0	0	0	1751024	0	0	0	0	0	0	0	659403528	18008280	0	160229812	0	0	0	0	0	7161344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-02	0	0	0	0	0	0	0	0	0	0	0	0	0	722487732	0	0	278293884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	0	0	0	0	0	721328	0	0	0	0	0	0	0	994673472	0	0	101197776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	6336648	0	0	0	0	912944	0	0	0	0	0	0	0	743974356	0	0	118064072	0	0	0	0	0	0	18000021370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	0	0	691040	0	0	0	0	0	0	0	118897020	36016560	0	210949620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-30	0	0	0	0	0	811352	14980396	0	0	0	0	0	0	939646752	0	0	328892772	0	0	0	5784179	0	0	0	0	0	0	31733686	0	0	0	0	33697038336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19011897	0	34091940	28665567588	0	0	0	0
2023-11-06	0	0	0	0	0	370120	0	0	0	0	0	0	0	531728436	0	0	413442104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	0	0	0	224171460	0	0	0	0	0	0	0	817998396	18008280	0	435003648	0	0	0	0	0	7161344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
