week_start	sub-1001372857/sub-1001372857_ses-1002962014_icephys.nwb	sub-1129830310/sub-1129830310_ses-1129918522_icephys.nwb	sub-569800644/sub-569800644_ses-569817501_icephys.nwb	sub-591270122/sub-591270122_ses-591419661_icephys.nwb	sub-595536280/sub-595536280_ses-595699633_icephys.nwb	sub-595536280/sub-595536280_ses-595707931_icephys.nwb	sub-611526465/sub-611526465_ses-611894345_icephys.nwb	sub-653027578/sub-653027578_ses-653037324_icephys.nwb	sub-653718968/sub-653718968_ses-654144504_icephys.nwb	sub-665691251/sub-665691251_ses-665700181_icephys.nwb	sub-731978186/sub-731978186_ses-732044941_icephys.nwb	sub-846404050/sub-846404050_ses-1042056967_icephys.nwb	sub-846404050/sub-846404050_ses-847887213_icephys.nwb	sub-846404050/sub-846404050_ses-847931011_icephys.nwb
2023-06-26	8388608	16777216	0	8388608	8388608	8388608	8388608	30573403	16777216	38224909	5826342	1796104	8388608	8388608
2023-07-17	39897036	0	15669529	0	19050609	0	0	47350619	0	0	0	0	0	0
2023-07-24	39897036	37677563	0	13293504	19050609	15233101	21846604	0	0	55002125	14214950	0	0	22414761
2023-08-07	39897036	37677563	15669529	18536384	0	15233101	21846604	47350619	0	0	14214950	0	20068904	22414761
2023-08-14	0	0	0	6354276	0	15233101	21846604	0	0	0	0	18573320	20068904	0
2023-08-28	39897036	0	15669529	0	19050609	0	0	47350619	0	55002125	42644850	18573320	0	0
2023-09-25	0	0	15669529	18536384	19050609	0	0	0	0	55002125	28429900	18573320	20068904	22414761
2023-10-16	0	0	0	5242880	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	0	0	15233101	0	0	0	0	0	0	0	0
2023-11-13	0	0	0	0	0	0	0	0	0	0	14214950	10184712	0	0
2023-11-20	0	0	15669529	18536384	0	0	21846604	47350619	0	55002125	14214950	18573320	0	22414761
2023-11-27	0	37677563	15669529	18536384	0	15233101	21846604	47350619	0	0	0	0	20068904	0
2023-12-11	39897036	0	0	0	0	0	0	0	0	0	0	18573320	20068904	22414761
2024-01-01	0	0	0	0	0	0	0	0	0	0	14214950	0	0	0
2024-01-22	22591436	20366075	9758945	13120548	0	0	13757004	0	0	0	14214950	0	0	0
2024-01-29	0	0	0	0	17966577	0	2751336	0	10099458	25721201	4389036	16391504	17512884	6354276
2024-03-11	115920216	119916796	22138969	153748233	245914179	44658014	76316768	37530759	23660445	49267040	15546150	16730120	50394908	70495956
2024-03-18	65061496	80609106	6354276	23770148	22634609	28859094	36217684	78101938	22462230	82271539	38331284	0	10238504	28039761
2024-03-25	78458260	128774088	142401923	58590116	59472811	55273393	50457084	112068324	60392467	71903601	43010268	181854556	31137560	42796725
2024-04-01	0	33888763	5568180	5324800	26326485	0	22256204	0	20441858	17728525	15955750	0	20132216	30939777
