week_start	sub-01/sub-01_ses-20140827T193800_behavior+ecephys.nwb	sub-02/sub-02_ses-20171011T152100_behavior+ecephys.nwb	sub-03/sub-03_ses-20170113T105000_behavior+ecephys.nwb	sub-03/sub-03_ses-20170113T111800_behavior+ecephys.nwb	sub-04/sub-04_ses-20170118T161000_behavior+ecephys.nwb	sub-05/sub-05_ses-20180704T132100_behavior+ecephys.nwb	sub-06/sub-06_ses-20171027T113600_behavior+ecephys.nwb	sub-07/sub-07_ses-20181027T183600_behavior+ecephys.nwb	sub-08/sub-08_ses-20190116T110300_behavior+ecephys.nwb	sub-08/sub-08_ses-20190116T125000_behavior+ecephys.nwb	sub-09/sub-09_ses-20150305T112000_behavior+ecephys.nwb	sub-10/sub-10_ses-20160303T114400_behavior+ecephys.nwb	sub-11/sub-11_ses-20190515T195800_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-16z48k1_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-1h9ryn9_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-cpvbt2_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-p4v231_behavior+ecephys.nwb	sub-13/sub-13_ses-20160213T110700_behavior+ecephys.nwb
2023-09-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2239758336	0	0	0
2023-09-25	0	0	0	0	0	0	0	0	0	0	0	0	0	718656	0	0	0	0
2023-10-09	2217343848	0	1070900619	7994604	3783262208	1186568984	1107296256	2019893311	1614931490	1345856269	914358272	1019631050	0	135368	0	0	3347059737	1993345726
2023-10-16	3272911284	1697685	0	2773993	13763074	31400051	20678622	26542726	0	15459888	0	0	539976	200414	12259220	432842	12970584	0
2023-10-23	2692294944	0	4615521056	662586	2461996395	2472558443	1558172197	1787203718	1986677777	999109261	746834785	1686933051	443989	92938	1496148723	0	3261959961	1159065399
2023-10-30	0	819080	0	0	0	0	0	0	0	0	0	0	539976	328984	0	0	0	0
2023-11-13	4389036	0	0	0	0	0	0	0	0	0	0	0	0	69008	0	0	0	0
2023-11-20	0	0	2631181707	0	8355720850	0	0	0	0	0	0	0	0	389288	0	0	5477766169	0
2023-11-27	0	0	0	0	0	0	0	0	0	0	0	0	0	1150664	0	0	0	0
2023-12-04	0	0	0	0	0	990620336	0	570476516	0	0	0	0	0	798320	0	0	0	0
2023-12-11	0	0	0	0	0	14084220	0	0	0	0	0	0	0	136456	0	718656	0	0
2024-01-01	0	1638160	0	0	0	0	0	0	0	0	0	0	0	0	0	1437312	0	0
2024-01-15	0	0	25613628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	19674264	5733560	15111506	6047770	131016	16593168	17562524	25836541	2673732	0	28793154	5467766	3239856	4619136	17999187	2166176	8292509	14149728
2024-01-29	0	0	0	0	0	1480170264	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-12	0	0	0	1332434	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	63608268	0	43412819	0	547608848	17556144	64132332	0	8319516	37012020	185977212	335597484	0	0	567654296	0	205302072	320923692
2024-02-26	25548120	0	0	0	0	1480170264	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	614400	0	229146984	0	0	0	0	0	0	34391700	0	0	539976	1437312	0	0	0	178771332
2024-03-11	250407336	1638160	131016	2657932	250356145	21617640	27840900	6387667	218993244	14093749	232094844	175626948	1073016	1539712	190628280	718656	227771316	6026736
2024-03-18	26672688	1638160	21531290	4715336	9342724	30015732	16922226	15387378	18514572	3057178	3197097	16538618	2159904	2463168	25702124	2360768	28545975	10193072
2024-03-25	9596964	30305960	8757230	3690102	13167108	0	3296562	16238982	2673732	3057178	52094189	239083054	0	2977024	4242507	2977024	7833953	232159420
2024-04-01	7419516	819080	7457491	1332434	6288768	0	6354276	543854592	7625634	6419784	0	0	11339496	11498496	0	1539712	0	0
2024-04-08	0	0	0	45302756	92430336	0	242986112	0	88321778	29043870	0	0	0	0	105804854	0	95375053	0
2024-04-15	314350068	17200680	96671018	0	0	0	26457080	78438400	23981718	19653389	24425595	45579364	1079952	0	61030400	0	294983833	95744000
2024-04-22	0	0	0	0	0	0	55183146	0	0	0	0	106289562	0	0	299743218	2874624	0	196170598
2024-04-29	0	27029640	0	0	0	116138532	0	0	0	561043745	0	0	0	4311936	0	0	104878998	0
2024-05-06	205870964	0	410166951	0	236783144	0	0	0	0	22820610	0	0	0	2155968	136963443	6467904	0	172431794
2024-05-13	0	0	0	17321642	0	0	60742856	230618238	136252478	0	6214371	34195176	12959424	0	0	0	0	0
2024-05-20	28364964	0	0	33310850	0	0	418045242	0	0	0	0	0	0	21559680	0	8623872	62662896	0
2024-05-27	0	0	359237027	0	0	0	232599118	6755953163	0	6890253	0	371812210	2699880	0	0	0	0	100125946
2024-06-03	200276132	0	0	0	817090652	220646224	0	38895616	0	229360780	0	158127448	0	5030592	0	15810432	0	0
2024-06-10	0	0	0	0	89743812	0	0	0	0	0	0	0	18899160	0	0	0	15590904	0
2024-07-01	0	0	0	0	0	0	0	0	0	0	0	0	539976	0	0	0	0	0
2024-07-08	4829414	2170656	1484171	2402724	1715858	8163228	9171120	0	0	1319693	0	6051274	1079952	1437312	7735649	718656	0	7009356
2024-07-22	12970584	1638160	0	0	0	0	0	0	0	12315504	6616308	10022724	539976	131016	9498660	718656	0	0
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	0	1437312	0	0	0	0
2024-08-05	3741374532	0	0	0	0	0	0	0	0	0	1792860899	0	0	0	0	0	0	0
2024-08-12	3722180688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10088232
2024-08-19	3775401856	819080	0	0	8355720850	0	2774705254	0	3267487266	3359122189	0	2571523530	539976	718656	5477766169	718656	0	0
