week_start	sub-CS41/sub-CS41_ses-P41CSR1_behavior+ecephys.nwb	sub-CS41/sub-CS41_ses-P41CSR2_behavior+ecephys.nwb	sub-CS42/sub-CS42_ses-P42CSR1_behavior+ecephys.nwb	sub-CS42/sub-CS42_ses-P42CSR2_behavior+ecephys.nwb	sub-CS43/sub-CS43_ses-P43CSR1_behavior+ecephys.nwb	sub-CS43/sub-CS43_ses-P43CSR2_behavior+ecephys.nwb	sub-CS44/sub-CS44_ses-P44CSR1_behavior+ecephys.nwb	sub-CS47/sub-CS47_ses-P47CSR1_behavior+ecephys.nwb	sub-CS47/sub-CS47_ses-P47CSR2_behavior+ecephys.nwb	sub-CS48/sub-CS48_ses-P48CSR1_behavior+ecephys.nwb	sub-CS48/sub-CS48_ses-P48CSR2_behavior+ecephys.nwb	sub-CS49/sub-CS49_ses-P49CSR1_behavior+ecephys.nwb	sub-CS49/sub-CS49_ses-P49CSR2_behavior+ecephys.nwb	sub-CS51/sub-CS51_ses-P51CSR1_behavior+ecephys.nwb	sub-CS51/sub-CS51_ses-P51CSR2_behavior+ecephys.nwb	sub-CS53/sub-CS53_ses-P53CSR1_behavior+ecephys.nwb	sub-CS53/sub-CS53_ses-P53CSR2_behavior+ecephys.nwb	sub-CS54/sub-CS54_ses-P54CSR1_behavior+ecephys.nwb	sub-CS54/sub-CS54_ses-P54CSR2_behavior+ecephys.nwb	sub-CS55/sub-CS55_ses-P55CSR1_behavior+ecephys.nwb	sub-CS55/sub-CS55_ses-P55CSR2_behavior+ecephys.nwb	sub-CS56/sub-CS56_ses-P56CSR1_behavior+ecephys.nwb	sub-CS56/sub-CS56_ses-P56CSR2_behavior+ecephys.nwb	sub-CS57/sub-CS57_ses-P57CSR1_behavior+ecephys.nwb	sub-CS57/sub-CS57_ses-P57CSR2_behavior+ecephys.nwb	sub-CS58/sub-CS58_ses-P58CSR1_behavior+ecephys.nwb	sub-CS60/sub-CS60_ses-P60CSR1_behavior+ecephys.nwb	sub-CS62/sub-CS62_ses-P62CSR1_behavior+ecephys.nwb	sub-CS62/sub-CS62_ses-P62CSR2_behavior+ecephys.nwb
2023-09-25	715587707	820660167	645922816	611551448	1041402352	902102404	1678537408	835543050	1526934786	696254464	1481659088	612061248	1431522350	1118852439	1530392780	924794257	1689042910	2018577170	1807122115	1025392332	1462958242	1819374962	2366169166	826222188	465594938	1646400755	385347697	221046828	674024168
2023-10-02	33491122	380875856	379434680	0	452930677	395942696	0	0	0	0	0	0	0	0	2369620884	0	35247372	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	0	0	0	848376	0	0	0	0	0	0	0	0	0	0	2709410880	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	1858640798	803882951	0	894307064	1016236528	847632004	994457952	927817738	897685121	1013020690	988293480	1257984064	0	1244681559	3587012556	0	882270191	1132988695	0	924729036	811170897	1139766698	1187278887	910108268	935356986	815928563	913830001	548202540	492201332
2023-10-23	929320399	1607765902	2739055266	1523680	0	0	0	2783453214	1795370242	0	988293480	1257984064	0	3734044677	362324748	0	1764540382	3398966085	1127644867	924729036	1622341794	1139766698	1187278887	0	935356986	0	0	1644607620	0
2023-10-30	4881127627	1751154750	2014757228	1066191892	1168337940	992789568	796917760	1855635476	1795370242	2026041380	1976586960	2515968128	946447895	2489363118	4672798656	1033846161	882270191	2265977390	2255289734	2589637732	1622341794	2279533396	1187278887	1820216536	1870713972	1631857126	1827660002	1096405080	984402664
2023-11-06	2021849898	1241648423	34195176	928941148	1046501224	864729592	994457952	927817738	897685121	1013020690	988293480	1257984064	946447895	1244681559	3873479040	1033846161	882270191	1132988695	1127644867	924729036	0	1139766698	0	910108268	935356986	815928563	913830001	548202540	492201332
2023-11-13	962341888	803882951	913018422	340870304	1016236528	0	38335288	927817738	897685121	1013020690	988293480	1257984064	946447895	1244681559	1423619856	1033846161	882270191	1132988695	1127644867	924729036	811170897	0	1187278887	910108268	935356986	815928563	913830001	1096405080	0
2023-11-20	0	0	0	350751332	0	0	0	0	0	0	0	26646984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	0	0	0	15701276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	99076768	0	0	4019688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	27545039	27936711	32214582	30802776	30575088	32762812	35010912	31285258	32609921	32602130	28846440	0	28943895	28333399	5242880	0	0	0	0	0	0	0	39088167	0	0	29496563	33026161	577359960	30827892
2023-12-18	0	0	0	0	0	0	0	0	0	0	0	0	0	1027005948	1227348888	0	0	0	0	0	0	0	152822000	910108268	56991960	0	0	0	0
2024-01-01	0	2411648853	0	894307064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096405080	0
2024-01-22	94665478	1659644736	33740248	70197808	27938064	9511144	31246048	33086956	23329707	34225900	7782764	19319512	19894077	11201641	19206528	11894449	22247805	12691206	19788819	19869592	16860561	19003328	56639631	13058536	15197856	30635140	47227503	594239024	32486012
2024-01-29	1058301487	110868208	1826036844	1090849396	0	893298548	0	959822478	0	1013020690	988293480	1257984064	946447895	0	1227348888	1033846161	882270191	1132988695	0	924729036	811170897	2262756180	1187278887	931653232	958532482	24958548	0	0	984402664
