week_start	sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-13/sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-13_ses-BPAE-5xBipolar-0,83MHz_image.nwb	sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-15/sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-15_ses-600ns-4kV-0-8MHz paired pulse trains_image.nwb	sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-20/sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-20_ses-600ns-4kV-0-8MHz paired pulse trains_image.nwb	sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-05/sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-05_ses-600ns-4kV-0-8MHz single pulse trains_image.nwb	sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-06/sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-06_ses-600ns-4kV-0-8MHz single pulse trains_image.nwb	sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-10/sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-10_ses-600ns-4kV-0-8MHz single pulse trains_image.nwb	sub-600ns-5kV-1HzBP-8-9-21-BPAE-13/sub-600ns-5kV-1HzBP-8-9-21-BPAE-13_ses-600ns-5kV-1Hz paired pulse trains_image.nwb	sub-600ns-5kV-1HzBP-8-9-21-BPAE-15/sub-600ns-5kV-1HzBP-8-9-21-BPAE-15_ses-600ns-5kV-1Hz paired pulse trains_image.nwb	sub-600ns-5kV-1HzBP-8-9-21-BPAE-8/sub-600ns-5kV-1HzBP-8-9-21-BPAE-8_ses-600ns-5kV-1Hz paired pulse trains_image.nwb	sub-600ns-5kV-1HzUP-7-31-21-BPAE-03/sub-600ns-5kV-1HzUP-7-31-21-BPAE-03_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-7-31-21-BPAE-10/sub-600ns-5kV-1HzUP-7-31-21-BPAE-10_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-7-31-21-BPAE-18/sub-600ns-5kV-1HzUP-7-31-21-BPAE-18_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-7-31-21-BPAE-5/sub-600ns-5kV-1HzUP-7-31-21-BPAE-5_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-8-9-21-BPAE-10/sub-600ns-5kV-1HzUP-8-9-21-BPAE-10_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-8-9-21-BPAE-14/sub-600ns-5kV-1HzUP-8-9-21-BPAE-14_ses-600ns-5kV-1Hz single pulse trains_image.nwb
2023-10-09	1062510248	1050224264	1062796928	1936416446	1937377133	1940321181	1044720117	1050030775	1045517294	1045946044	1040653224	1045946044	1042268029	1035878738	1041969715
2023-10-23	0	0	0	0	0	0	0	0	0	0	1040653224	0	0	0	1041969715
2023-10-30	0	1050224264	122592	0	0	0	0	0	0	0	1040653224	0	0	0	1041969715
2023-11-06	0	0	1062919520	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	266029800	0	0	0	0	0	0	0	1040653224	0	0	0	1041969715
2023-11-20	1059889928	1050224264	1338649232	1936416446	1937377133	1940321181	1044720117	1050030775	1045517294	1045946044	1040653224	1045946044	1042268029	1035878738	1041969715
2023-11-27	0	0	9617556	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	574656	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	48014088	48834184	51043680	28008126	28968813	26669981	48572917	48640695	49370094	49798844	1090402128	49798844	51363709	50217298	1093035110
2024-01-01	0	0	0	0	0	0	0	0	0	0	2081306448	0	0	0	2083939430
2024-01-22	41931924	43485700	53678212	51766766	43331599	43607503	36261467	40944557	49601954	45215952	1096185756	57138408	25384596	15772590	1068503491
2024-02-26	0	0	0	0	0	0	0	0	0	1045946044	0	0	0	0	0
2024-03-04	0	0	121305984	0	0	0	0	0	0	9957216	0	0	0	0	0
2024-03-11	5840160	7961860	5974084	9637994	10557301	3362761	12507365	10396967	17136410	10015188	7005184	12504492	5765553	7493778	8787807
2024-03-18	33906728	33680964	36538680	30002832	29291024	29925956	33062188	34381288	33432652	33116204	37176004	37636256	35114984	34297940	33905876
2024-03-25	28017612	31762392	25864572	22076322	26013387	21658371	25222443	26162637	25221882	26261952	27243300	25606872	24911439	25707078	29196117
2024-04-01	8509436	9583008	11132664	7271430	10024961	7743521	12425305	8284159	8210770	9081524	9474148	8229920	11251673	8197814	8247191
2024-04-15	64010236	62909280	62531288	60450834	57810969	61426649	60888133	62490651	63518834	59894364	64724980	61990620	62780613	63505878	63403899
2024-05-27	0	0	0	0	23779404	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	7795452	0	0	0	0	0
2024-06-10	0	0	0	0	0	0	0	20700528	0	0	0	0	0	0	37274052
2024-07-01	0	0	0	101042008	0	0	0	0	0	119253232	101500564	0	0	101238532	0
2024-07-08	10000240	10426616	9171716	7689110	8059833	11395641	9641397	9381635	10110698	9491152	11668484	9229120	8893581	12267726	8726395
2024-07-15	11987964	11922456	10088232	10088232	9629676	5306148	11529408	12249996	11332884	10088232	10153740	9302136	12249996	10088232	12381012
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	101959120	0	0	0
