week_start	sub-ground0-1/sub-ground0-1_image.nwb	sub-ground0-10/sub-ground0-10_image.nwb	sub-ground0-2/sub-ground0-2_image.nwb	sub-ground0-3/sub-ground0-3_image.nwb	sub-ground0-4/sub-ground0-4_image.nwb	sub-ground2204-12/sub-ground2204-12_image.nwb	sub-ground2204-13/sub-ground2204-13_image.nwb	sub-ground2204-14/sub-ground2204-14_image.nwb	sub-ground2204-15/sub-ground2204-15_image.nwb	sub-ground2204-16/sub-ground2204-16_image.nwb
2023-10-02	94265772	75497472	80979696	55132181	75497472	72424462	66522405	51320085	75497472	67915483
2023-10-09	0	122592	0	0	0	0	0	0	0	0
2023-10-16	0	31784	0	0	0	0	0	0	0	0
2023-10-23	64412241	0	0	0	0	0	0	0	0	101469915
2023-10-30	0	90808	0	0	0	0	0	0	101403100	0
2023-11-13	0	80793632	0	0	0	0	0	0	101403100	0
2023-11-20	106355281	80502464	106145520	0	0	0	100076837	101651733	0	101469915
2023-11-27	0	850273	0	0	0	0	0	0	0	0
2023-12-04	0	361256	0	0	0	0	0	0	0	0
2023-12-11	0	0	0	0	0	0	0	0	0	101469915
2024-01-01	0	0	0	0	0	0	0	0	202806200	101469915
2024-01-22	32567593	39155862	10294908	28136456	22755219	12480858	8955509	30991132	121806160	127566300
2024-03-04	0	28981058	0	0	0	0	0	0	0	0
2024-03-11	5714321	6378069	4108552	0	2161764	10153740	2865433	7402404	9775728	2161764
2024-03-18	947362	14720343	15273516	7624071	40708779	7490804	13722842	7488675	28001988	19930566
2024-03-25	7301638	605089	1142240	16516397	167692529	6824278	441637	13792358	18881340	6820899
2024-04-01	7221005	6943848	6681816	10489661	181312967	0	6795913	6732409	6681816	0
2024-04-08	0	0	0	0	229486195	0	0	0	0	0
2024-04-15	6208081	0	14093396	6147193	388326230	13603018	0	2554812	0	2751336
2024-04-22	0	0	0	0	299094342	0	0	0	0	0
2024-04-29	0	0	0	0	360314618	0	0	0	0	0
2024-05-06	0	0	0	0	266569113	0	0	0	0	0
2024-05-13	0	0	0	0	187716982	0	0	0	0	0
2024-05-20	0	0	0	0	238429657	0	0	0	0	0
2024-05-27	0	0	0	0	282157903	0	0	0	0	0
2024-06-03	0	0	0	0	110970552	0	0	0	0	0
2024-06-10	0	0	0	0	89130277	0	0	0	0	0
2024-07-08	13750029	12718285	6681816	11416953	10088232	6419784	15399901	6419784	9914844	6419784
2024-07-15	0	0	0	0	7336896	0	0	10088232	0	0
2024-08-26	12184488	5371656	10415772	0	9629676	6419784	9957216	12315504	10546788	12446520
2024-09-02	0	0	0	0	0	0	0	20971520	0	0
2024-09-09	0	0	100624928	0	152061781	0	0	0	0	0
2024-09-16	13494648	13111333	0	5062677	4651068	5053454	12190009	14290313	16334628	17840547
2024-10-28	0	0	9498660	4585560	8385024	0	7205880	8385024	0	0
2024-12-02	25165824	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	4061496	0	4061496	0
2025-07-28	0	0	0	0	11398392	0	0	0	0	0
2025-08-04	52428800	0	53716720	0	0	0	0	0	0	0
2025-08-11	0	0	0	606229	0	0	0	52428800	0	0
