week_start	sub-swil10/sub-swil10_ses-20210717T170731_ecephys.nwb	sub-swil105/sub-swil105_ses-20220415T160508_ecephys.nwb	sub-swil112/sub-swil112_ecephys.nwb	sub-swil12/sub-swil12_ses-20220602T183004_ecephys.nwb	sub-swil13/sub-swil13_ses-20220714T171703_ecephys.nwb	sub-swil18/sub-swil18_ses-20220908T163938_ecephys.nwb	sub-swil19/sub-swil19_ses-20220901T160502_ecephys.nwb	sub-swil20/sub-swil20_ses-20220922T163606_ecephys.nwb	sub-swil8/sub-swil8_ses-20210715T191215_ecephys.nwb
2023-11-06	229219594872	285317593316	0	0	0	0	0	280618240956	145589088751
2023-11-13	105538576	0	403727708336	237434972237	289429648936	425100567776	271437857632	201520	0
2023-11-20	28987064	0	0	0	0	0	0	195458848	0
2023-11-27	0	0	0	0	0	0	0	1406920	0
2023-12-04	0	0	0	0	0	0	0	42185568	0
2023-12-11	0	0	0	0	0	0	0	242528	0
2024-01-15	37659949120	490654907637	680863914633	257119628797	263555182292	95664472026	463598299904	108133320960	258626579027
2024-01-22	35034428	33304992	1331200	34219716	26188048	7092116	1536000	36602132	19405932
2024-01-29	11398392	0	0	0	0	0	0	0	0
2024-02-26	0	0	0	0	0	0	0	0	217479058091
2024-03-04	0	0	0	0	0	0	0	73400320	0
2024-03-11	5437164	1433600	4279060	0	1433600	4978608	7169688	4389036	4022216
2024-03-18	29031120	26564544	22110000	9823812	9073908	18983568	3993600	15739172	13036092
2024-03-25	22323776	10923984	28333260	1331200	14068368	4096000	8013016	11039848	13840140
2024-04-01	0	11513556	7648584	8340556	1228800	0	7685476	8402276	1843200
2024-04-15	23244800	7913416	17859968	13912236	2751336	0	6354276	7140372	2751336
2024-04-22	0	0	0	9433152	0	0	0	0	0
2024-07-08	1232655389	47631596	27653448	0	44880372	49861948	17039360	33741772	37609096
2024-07-22	0	0	24631008	0	12249996	10088232	0	0	9957216
2024-08-26	20438496	0	10350264	11332884	13691172	0	0	24499992	8516040
2024-09-02	315370798072	0	0	338076893133	398022247588	0	381387326112	0	210234686238
2024-09-09	0	416037473337	575928344357	0	0	569172300217	0	405471273986	0
2024-09-16	19005440	17039360	21233664	14155776	17301504	28899388	0	6419784	0
2024-09-23	31457280	26214400	26214400	27667965	26214400	26214400	26214400	31457280	26214400
2024-10-14	96587464	0	99521084	0	0	94642113	98683720	96849496	0
2024-10-21	41943040	41943040	41943040	38153725	36700160	41943040	36700160	41943040	36700160
2024-10-28	0	0	0	0	8450532	7860960	7860960	7664436	10939836
2025-02-03	24172452	44938488	0	66228588	31181808	11856948	44348916	32229936	0
2025-05-12	40366368	0	52424320	41943040	31457280	52428800	41943040	41943040	52428800
2025-06-23	3626817	3858583	4732125	2801846	3572814	3415202	3415720	3703732	3324313
2025-07-14	3671755	2858856	3434408	3538902	3501733	2107620	2545352	4082075	4299214
2025-07-28	16573524	0	143662068436	18604272	15001332	0	0	0	469159851676
2025-08-04	305804560896	0	483435001992	0	0	0	0	0	496812048036
2025-08-11	158648842304	0	413087953621	376980824065	468129571820	0	0	0	225150428076
2025-08-18	0	0	0	0	0	660156667274	259360493864	0	0
2025-08-25	0	0	497551034888	0	0	0	0	0	0
2025-09-08	0	335647976365	0	0	0	0	0	280441651200	0
2025-10-06	0	0	0	0	0	0	0	27973708	0
2025-12-15	18407748	8319516	0	10939836	9564168	0	6157752	4127004	10088232
2025-12-22	383253821504	0	702390072021	416134082045	519442290904	719108363685	463570669864	470368234099	0
2025-12-29	0	0	702390072021	0	519442290904	0	743871226448	0	0
2026-01-05	209583079424	0	0	0	315568947200	0	0	0	145021569127
2026-01-12	0	0	0	283330140933	0	0	0	0	0
2026-01-19	0	0	0	244905410560	0	395044902309	0	0	0
2026-01-26	0	263960133632	0	0	0	0	0	0	0
2026-02-02	0	0	278910730240	0	0	0	0	199002008179	0
2026-02-16	13691172	11030172	4127004	6419784	7492740	0	4389036	13396736	12054172
2026-02-23	5003436	5384420	14371080	0	0	0	0	0	6072604
2026-03-02	6568052	4127004	0	0	0	0	5990544	0	0
2026-03-09	0	0	0	0	5298572	0	0	0	1945600
2026-03-16	9695184	0	0	8712564	4520052	0	15263364	2150400	0
2026-03-23	4127004	0	0	0	0	0	0	0	8778072
2026-04-06	1048128	0	0	0	0	0	0	0	0
