week_start	sub-2308918-01/sub-2308918-01_ses-20230918T095400_ophys.nwb	sub-2308918-03/sub-2308918-03_ses-20230918T132100_ophys.nwb	sub-2308918-04/sub-2308918-04_ses-20230918T172100_ophys.nwb	sub-230928-02/sub-230928-02_ses-20230928T111400_ophys.nwb	sub-230928-03/sub-230928-03_ses-20230928T142700_ophys.nwb	sub-230928-04/sub-230928-04_ses-20230928T160000_ophys.nwb	sub-231013-01/sub-231013-01_ses-20231013T093000_ophys.nwb	sub-231013-02/sub-231013-02_ses-20231013T111100_ophys.nwb	sub-231013-03/sub-231013-03_ses-20231013T132800_ophys.nwb
2024-03-18	3482338108	3370710148	3504469320	4473613784	7658799104	3733607322	5094209736	3770835932	3012887880
2024-03-25	112300884	112621971	48332274	71691816	91998836	66997686	94037340	68890478	80749040
2024-04-01	37470576	6878340	9579459	2799656	1441176	0	131260168	6419784	9046700
2024-04-08	28120100	12390400	9018099519	41171552	1125787784	3547000134	318344488	19759914	2715958444
2024-04-15	40239780	7577600	25415843	72765188	8497568	24918164	1779130476	24318472	9289484932
2024-04-22	71459056	63040574	63009134	67552940	60286028	55302290	614044232	102787694	111158744
2024-04-29	115144572	120208664	109375309	122775316	129438892	102323702	793008092	142034670	115056136
2024-05-06	17386644348	0	1165119	9006706116	8795851168	676762	18039585548	6354276	9246677648
2024-05-13	17444328484	9009839950	9025735071	9029928828	8809639264	8905681612	502670804	17239894	41773196
2024-05-20	8689817496	8977318659	8998438719	9000351840	0	0	390704932	9365258734	0
2024-05-27	0	0	0	0	0	0	428348124	0	0
2024-06-03	0	0	0	0	0	0	510887948	0	0
2024-06-10	17582599284	9140425415	8998438719	9000351840	194026532	8888894362	8772990504	0	9245623624
2024-06-17	234473640	0	197301932	0	0	8888894362	0	9365258734	9265734580
2024-06-24	36326760	19038124	29052999	20615792	29780560	23708716	23717108	26350192	33038324
2024-07-08	14956824780	38060148	3622719	21452716	29216568	5306148	19856444	6851338	32754000
