week_start	sub-Temp-pref-F26-B18-5dpf-01-unsorted-nac/sub-Temp-pref-F26-B18-5dpf-01-unsorted-nac_ses-20231017T131300_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-02-unsorted-nac/sub-Temp-pref-F26-B18-5dpf-02-unsorted-nac_ses-20231017T134400_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-03-unsorted-nac/sub-Temp-pref-F26-B18-5dpf-03-unsorted-nac_ses-20231017T141600_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-04-unsorted-nac/sub-Temp-pref-F26-B18-5dpf-04-unsorted-nac_ses-20231017T144700_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-05-unsorted-nac/sub-Temp-pref-F26-B18-5dpf-05-unsorted-nac_ses-20231017T151900_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-06-unsorted-nac/sub-Temp-pref-F26-B18-5dpf-06-unsorted-nac_ses-20231017T155200_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-17-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-17-unsorted-nac-#2024-7-17_ses-20240717T111900_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-18-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-18-unsorted-nac-#2024-7-17_ses-20240717T115200_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-19-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-19-unsorted-nac-#2024-7-17_ses-20240717T122500_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-20-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-20-unsorted-nac-#2024-7-17_ses-20240717T125700_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-21-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-21-unsorted-nac-#2024-7-17_ses-20240717T132900_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-22-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-22-unsorted-nac-#2024-7-17_ses-20240717T140300_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-23-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-23-unsorted-nac-#2024-7-17_ses-20240717T143900_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-24-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-24-unsorted-nac-#2024-7-17_ses-20240717T151100_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-25-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-25-unsorted-nac-#2024-7-17_ses-20240717T154300_behavior.nwb	sub-Temp-pref-F26-B18-5dpf-26-unsorted-nac-#2024-7-17/sub-Temp-pref-F26-B18-5dpf-26-unsorted-nac-#2024-7-17_ses-20240717T161600_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-07-unsorted-nac/sub-Temp-pref-F26-B18-6dpf-07-unsorted-nac_ses-20231018T115300_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-08-unsorted-nac/sub-Temp-pref-F26-B18-6dpf-08-unsorted-nac_ses-20231018T123400_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-09-unsorted-nac/sub-Temp-pref-F26-B18-6dpf-09-unsorted-nac_ses-20231018T134800_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-10-unsorted-nac/sub-Temp-pref-F26-B18-6dpf-10-unsorted-nac_ses-20231018T141900_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-11-unsorted-nac/sub-Temp-pref-F26-B18-6dpf-11-unsorted-nac_ses-20231018T145300_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-12-unsorted-nac/sub-Temp-pref-F26-B18-6dpf-12-unsorted-nac_ses-20231018T152400_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-13-unsorted-nac/sub-Temp-pref-F26-B18-6dpf-13-unsorted-nac_ses-20231018T155600_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-14-unsorted-nac/sub-Temp-pref-F26-B18-6dpf-14-unsorted-nac_ses-20231018T162800_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-27-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-27-unsorted-nac-#2024-7-18_ses-20240718T095900_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-28-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-28-unsorted-nac-#2024-7-18_ses-20240718T112500_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-29-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-29-unsorted-nac-#2024-7-18_ses-20240718T120400_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-30-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-30-unsorted-nac-#2024-7-18_ses-20240718T123600_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-31-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-31-unsorted-nac-#2024-7-18_ses-20240718T130700_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-32-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-32-unsorted-nac-#2024-7-18_ses-20240718T133800_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-33-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-33-unsorted-nac-#2024-7-18_ses-20240718T144400_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-34-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-34-unsorted-nac-#2024-7-18_ses-20240718T153400_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-35-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-35-unsorted-nac-#2024-7-18_ses-20240718T165700_behavior.nwb	sub-Temp-pref-F26-B18-6dpf-36-unsorted-nac-#2024-7-18/sub-Temp-pref-F26-B18-6dpf-36-unsorted-nac-#2024-7-18_ses-20240718T172800_behavior.nwb	sub-Temp-pref-F26-B18-7dpf-15-unsorted-nac/sub-Temp-pref-F26-B18-7dpf-15-unsorted-nac_ses-20231027T153800_behavior.nwb	sub-Temp-pref-F26-B18-7dpf-16-unsorted-nac/sub-Temp-pref-F26-B18-7dpf-16-unsorted-nac_ses-20231027T161300_behavior.nwb
2025-02-17	9996983	8975986	9828743	0	0	9572350	8388608	9422222	8388608	9812645	8388608	9765861	1226888	9661586	9747506	9679472	9638035	0	0	9704988	0	9596049	9705788	0	9732508	9819172	9732300	9521669	9738492	9816917	9806478	19014678	9742118	8672887	0	9321737
2025-03-10	23099433	4651068	8122679	6614504	2573423	0	4532793	7847454	9272662	6927325	4389036	7863553	4323528	9069774	0	8039308	2560147	8758881	10686954	4127004	9213025	5532817	7606844	4127004	3703196	8047768	12349932	5327365	3578108	7849045	7904170	12851270	4454544	4389036	7965792	7484769
2025-03-17	10614396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-21	9996983	8975986	9828743	9434484	8340591	9572350	9775673	9422222	9929926	9812645	9596352	9765861	9615496	9661586	9747506	9679472	9638035	9678289	9904050	9704988	9673541	9596049	9705788	9726134	9732508	9819172	9732300	9521669	9738492	9816917	9806478	19014678	9742118	8672887	9474884	9321737
2025-06-23	255054	276090	292560	250304	238539	329694	280886	271538	287805	175545	276084	271511	271377	226526	245571	261667	271315	287358	237945	292195	280664	234076	238440	334660	291840	170846	266930	271220	306285	149704	233876	216703	250497	191966	308524	280850
2025-07-14	250340	276090	238770	159098	292300	261793	271434	213014	229307	229317	271339	217725	271377	191458	212861	238269	222277	249982	291645	280592	275808	255155	296879	308840	312847	330098	253020	250165	308550	234024	308698	174609	213057	213049	271132	238698
2025-07-28	0	8975986	0	0	0	0	0	0	9929926	0	9596352	0	9615496	0	9747506	0	9638035	9678289	0	0	0	0	0	0	9732508	9819172	0	0	9738492	0	9806478	0	0	0	0	0
2025-08-04	0	0	0	9434484	0	0	0	0	0	0	0	0	0	9661586	0	0	0	0	0	0	0	0	9705788	0	0	0	0	0	0	0	0	19014678	9742118	0	0	0
2025-08-11	0	0	0	0	0	0	0	0	0	0	0	9765861	0	0	0	9679472	0	0	0	9704988	0	0	0	0	0	0	0	9521669	0	9816917	0	0	0	0	0	0
2025-08-18	0	0	0	0	0	0	0	9422222	0	0	0	0	0	0	0	0	0	0	0	0	9673541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	9572350	0	0	9929926	0	0	0	0	0	0	0	0	9678289	0	0	0	0	9705788	0	9732508	0	0	0	0	0	0	0	9742118	0	0	0
2025-09-01	0	0	0	9434484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9816917	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	9812645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	8059862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	11856210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9732300	0	0	0	0	0	0	0	0	0
2025-12-15	18382007	31315604	22733819	34589556	8340591	5764704	13968185	12446520	19859852	0	20274156	13892865	23357996	27708196	15459888	9679472	10808820	16377000	22612602	21365412	29718989	14608284	11660424	14346252	25126888	11725932	18182832	21837173	17992500	6550800	15898722	37422426	9742118	16114968	17466860	0
2025-12-22	0	0	0	0	0	0	9775673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	9996983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9679472	9638035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	9596352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	8975986	0	0	16681182	19144700	19551346	0	19859852	0	0	0	28846488	0	0	0	0	0	19808100	29114964	0	0	0	0	0	0	29196900	0	0	0	0	29500438	0	0	0	0
2026-01-19	19993966	0	0	0	0	0	0	9422222	0	0	0	0	0	0	0	0	0	0	0	0	9673541	0	0	0	0	0	0	0	0	0	0	19014678	0	0	0	0
2026-01-26	0	0	0	9434484	0	9572350	0	0	9929926	9812645	0	9765861	0	0	0	0	0	9678289	0	9704988	0	0	0	0	9732508	0	0	9521669	9738492	0	0	0	0	8672887	0	0
2026-02-16	18726099	819200	19964686	9434484	8364684	19144700	0	0	0	0	0	0	0	0	0	0	17327299	18153649	10518450	9506936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	0	0	5733920	3013368	0	6529877	0	0	0	0	0	1321096	0	1350706	0	0	4192512	0	5639992	0	0	0	0	0	0	1847500	0	0	2341717	5696314	0	0	4127004	0	0
2026-03-02	0	0	6173347	0	0	6895786	0	1435022	4127004	0	6399512	5962897	0	5698990	0	0	5601655	0	4127004	0	2505541	9044357	6144516	1534134	5565112	6163776	0	5866273	1956092	0	0	0	0	0	6499396	0
2026-03-09	4651068	0	0	0	0	0	0	0	0	5952449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2835478	0	0	0	0
2026-03-16	9040104	8975986	19327403	0	16681182	0	0	0	0	0	7729944	0	0	0	3995988	0	9638035	0	0	0	0	9596049	0	0	0	18669780	0	0	0	0	0	0	0	0	0	0
2026-03-23	2087355	4536604	4192512	0	4368696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8516040	9742118	0	0	0
2026-03-30	0	0	0	9434484	8340591	2554813	0	0	0	9812645	9596352	0	0	0	0	0	0	9678290	9904051	19409978	0	8909089	0	0	0	0	0	0	0	0	0	1098466	0	0	0	0
2026-04-06	13822189	2493792	0	0	0	0	0	4192512	0	4127004	9596352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1736312	0	0	0	0	0	0	0
2026-04-13	1	0	0	851604	0	0	0	0	9929926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19484236	0	0	0
