week_start	sub-IBL-ecephys/sub-IBL-ecephys_ses-3e7ae7c0_desc-18000000-frames-13653-by-384-chunking.nwb	sub-R6/sub-R6_behavior+ophys.nwb	sub-mock/sub-mock_ses-ecephys1.nwb	sub-npI3/sub-npI3_behavior+ecephys.nwb
2024-02-12	17530511300	0	54764880	0
2024-02-19	16630624156	0	82829080	0
2024-02-26	318325048	0	197784	0
2024-03-04	3389017596	0	791136	0
2024-03-11	2833049996	0	4538728	0
2024-03-18	779050408	0	1186704	0
2024-03-25	147239212	0	593352	0
2024-04-01	16554619048	0	11988200	0
2024-04-08	222015052	0	0	0
2024-04-15	7719880612	0	11639536	0
2024-04-22	1419217824	0	10102592	0
2024-04-29	4000231760	0	73735672	0
2024-05-06	188217044	0	0	0
2024-05-13	11212956208	0	52689928	0
2024-05-20	18439029564	0	69248760	0
2024-05-27	2590016136	0	10996128	0
2024-06-03	143395456	0	0	0
2024-06-10	22849755416	0	0	0
2024-06-17	10643475588	0	0	0
2024-07-08	6943848	0	0	0
2024-07-22	10022724	0	197784	0
2024-07-29	7249403176	0	0	0
2024-08-26	25613628	0	791136	0
2024-09-09	3358445856	0	0	0
2024-09-16	10268568	0	0	0
2024-09-23	10402608	0	0	0
2024-10-07	10612296	0	197784	0
2024-10-28	10022724	0	0	0
2024-11-04	796649520	0	10598984	0
2024-11-25	0	0	197784	0
2025-02-10	13101600	0	0	0
2025-03-31	0	0	641832	0
2025-04-21	20831544	0	0	0
2025-05-12	10485760	0	0	0
2025-05-19	10415772	0	0	0
2025-05-26	16311492	0	0	0
2025-06-02	10612296	0	0	0
2025-06-09	10022724	0	0	0
2025-06-16	8319516	0	0	0
2025-06-23	10350264	0	0	0
2025-06-30	36553464	0	0	0
2025-07-14	17949192	0	0	0
2025-07-28	0	0	197784	0
2025-08-04	6079406572	0	76027728	0
2025-08-11	4613354848	0	58699360	0
2025-08-18	14791608372	0	30919024	198254403492
2025-08-25	47493300	0	1384488	78086624100
2025-09-01	9498660	0	0	448610100123
2025-09-08	9663669248	0	197784	1546644098360
2025-09-15	0	0	0	1496064175411
2025-09-22	242413548	0	0	935171578842
2025-09-29	1385813020	0	395568	11502525392
2025-10-06	13924048932	0	791136	6122346112
2025-10-13	1074509848	0	988920	6054083416
2025-10-20	21621864284	47594711676	395568	91125261794
2025-10-27	19826318572	34895846404	395568	80101171919
2025-11-03	2200678108	344840410370	2966760	811039634206
2025-11-10	8608585320	384819428564	2966760	794378237497
2025-11-17	2320450352	109751011527	1780056	221096987063
2025-11-24	36254240	0	1582272	0
2025-12-01	17757528	127110919546	1384488	213495299703
2025-12-08	86997140	285601810385	1186704	529149345992
2025-12-15	280868120	1783112288	2571192	1004777224
2025-12-22	1211596920	0	0	91396483192
2025-12-29	831053772	34702429172	0	139576453240
2026-01-05	717582312	0	9746912	0
2026-01-12	741156916	21483716896	395568	0
2026-01-19	8824984	489377624	791136	16108537084
2026-01-26	17780984	18570280960	1582272	0
2026-02-02	6345624176	0	791136	0
2026-02-09	8890492	0	593352	0
2026-02-16	77980488	10563340	300184	645240
2026-02-23	68411764	588327280	1193720	164766132
2026-03-02	383592716	0	197784	2134898944
2026-03-09	6681816	0	0	3446134944
2026-03-16	89901572	0	395568	0
2026-03-23	107985432	0	791136	0
2026-03-30	4960339740	0	0	0
2026-04-06	6218757756	921600	0	8385024
2026-04-13	2308349736	0	0	0
2026-04-20	41804660	0	0	0
