week_start	icephys_DS_11_21_24/sub-1214579789_ses-1214621812_icephys_DirectoryStore.nwb.zarr	sub-R6_ses-20200206T210000_behavior+ophys_DirectoryStore_rechunked.nwb.zarr	sub-npI3_ses-20190421_behavior+ecephys_rechunk.nwb.zarr
2024-11-18	13791459834	18353381802	0
2024-11-25	0	81511245	0
2024-12-16	712200518	1677386	0
2025-01-06	0	179	0
2025-05-26	7071203713	176411237	0
2025-06-23	1427949	9879090909	0
2025-06-30	0	8188500	0
2025-07-07	0	13298124	0
2025-07-14	0	21552132	0
2025-08-11	0	405078258	0
2025-08-25	59179208	98977862	559392514
2025-09-01	53664444	2929766	3349699
2025-09-08	235943669	2896441703	16898136117
2025-09-15	353906791	3572527542	22826410932
2025-09-22	226390641	2392648540	15440474223
2025-09-29	9471631	0	71359492852
2025-10-06	0	18577242680	0
2025-10-20	57802475	467891	374757
2025-10-27	9071885	36656425994	116284769268
2025-11-03	348471484	83756930140	294677812696
2025-11-10	523455895	64502682753	237846680633
2025-11-17	211199969	4152429910	2147480939
2025-11-24	10358780	311030698	127161226
2025-12-01	224004260	4153358966	2337520979
2025-12-08	111654235	1361137935	703596178
2026-01-05	0	0	49936
2026-01-26	20	0	49936
2026-02-02	136	24	976089
2026-02-09	74	0	0
2026-02-16	0	54	30
2026-02-23	0	30	449
2026-03-02	0	260291	438791
2026-03-09	0	0	49936
2026-03-16	0	0	179
2026-03-23	0	0	347
