week_start	derivatives/annotations/sub-I46/micr/sub-I46_sample-somatosensory_chunk-01_label-tissue_mask.ome.zarr	derivatives/annotations/sub-I46/micr/sub-I46_sample-somatosensory_chunk-02_label-vessels_mask.ome.zarr	derivatives/predictions/sub-I46/micr/sub-I46_sample-somatosensory_chunk-01_label-vessels_mask.ome.zarr	derivatives/predictions/sub-I46/micr/sub-I46_sample-somatosensory_chunk-01_label-vessels_probseg.ome.zarr	derivatives/predictions/sub-I46/micr/sub-I46_sample-somatosensory_chunk-02_label-vessels_mask.ome.zarr	derivatives/predictions/sub-I46/micr/sub-I46_sample-somatosensory_chunk-02_label-vessels_probseg.ome.zarr	derivatives/weights/epoch=117-val_loss=0.00306.ckpt	sub-I46/micr/sub-I46_sample-somatosensory_chunk-01_OCT.ome.zarr	sub-I46/micr/sub-I46_sample-somatosensory_chunk-02_OCT.ome.zarr
2024-10-21	5312726	487481	39640858	1665706335	8082	5226	0	7779370462	297829375
2024-10-28	15244778	874416	25511138	877936100	820494	7111140	0	2143698534	142605588
2024-11-04	2490390	0	1467141	8195	0	0	0	224093650	24
2024-11-11	2500971	7425	5989804	3235078	5590	1592	0	777353451	22456085
2024-11-18	36907283	0	0	0	1010	0	0	2121006370	0
2024-11-25	2031717	0	826239	8491	0	0	0	116912279	0
2024-12-02	1100692	691000	746392	72819677	0	0	0	86373400	24
2024-12-09	1891719	0	968931	6906	0	0	0	148153651	4071
2024-12-30	1065670	0	586573	7547	0	0	0	72564054	0
2025-02-03	1350598	0	714240	7700	0	0	0	107492874	0
2025-02-10	2685874	0	1018472	8491	0	0	0	139990881	0
2025-03-03	745805	0	1375236	10990	0	0	0	229060588	0
2025-03-10	0	0	0	0	1583178	0	0	1798044487	89013940
2025-03-17	0	0	0	3333029917	1847412	0	0	6024957120	0
2025-03-24	1496563	0	861667	68008399	4071	0	0	113025378	0
2025-03-31	769127	0	368643	7624	0	0	0	47450444	0
2025-04-21	0	0	0	0	0	0	0	2238572328	0
2025-04-28	1570532	1656884	0	68346204	0	0	0	1104561951	69022882
2025-05-05	259432	29142	0	58035584	0	0	0	402031400	3929905
2025-05-12	9112	99954	0	343352448	0	0	0	569574171	0
2025-06-02	538091	0	406977	7302	0	0	0	58396417	0
2025-06-09	7700	46197	0	71359581	0	0	0	81620117	0
2025-06-23	10543	3899	8076	10470	2969	10828	0	17632	9555
2025-06-30	17448	115106	0	287393168	0	0	0	273887056	0
2025-07-14	26638	285630	0	225420556	0	0	0	260613758	0
2025-07-28	0	0	0	0	0	0	0	7240811	0
2025-08-11	0	0	0	0	0	0	0	39003097	3929908
2025-08-18	5669	13214	0	78651728	0	0	0	218869214	0
2025-08-25	0	0	0	0	0	0	0	5752442	0
2025-09-01	659845	0	3845247	79930980	0	0	0	583984712	9081325
2025-09-15	470188	0	6453016	33651	0	0	0	928043312	0
2025-09-22	15937811	891331	21521663	3558684274	949520	9807676	0	2851995433	72994968
2025-09-29	13689	40784	0	3719139579	713254	0	149736607	59308727	67868280
2025-10-06	6436	911680	23328036	157850705	0	9854075	0	3012346220	0
2025-10-13	18800196	0	347004	8343	0	0	0	47872159	0
2025-11-03	4294987	0	3609228	85324588	0	0	0	478997386	0
2025-11-10	1881	0	332424	7552	0	0	0	262380392	0
2025-11-17	302505	0	140921	8020	0	0	0	4352650	0
2025-12-15	0	0	0	0	0	0	12446520	0	0
2026-02-02	0	0	0	0	0	0	36700160	0	0
2026-02-16	0	0	0	0	0	0	0	226719643	0
2026-03-09	1531321	0	909204	8491	0	0	0	30394768	0
2026-03-16	0	0	0	0	0	0	0	54930675	0
2026-03-23	1269506	0	651082	7227	0	0	0	84996070	0
2026-04-06	321414	0	163638	1851977	0	0	0	162597467	0
