week_start	sub-1285385365/sub-1285385365_ses-1286066775_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286071081_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286077594_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286107771_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286123944_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286154486_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286159992_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286976010_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286997623_icephys.nwb	sub-1285385365/sub-1285385365_ses-1286999898_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287006375_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287015914_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287023589_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287026189_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287231585_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287240637_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287248305_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287283647_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287302746_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287567647_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287576165_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287579307_icephys.nwb	sub-1285385365/sub-1285385365_ses-1287579350_icephys.nwb	sub-1287219494/sub-1287219494_ses-1288765330_icephys.nwb	sub-1287219494/sub-1287219494_ses-1288767933_icephys.nwb	sub-1287219494/sub-1287219494_ses-1288777466_icephys.nwb	sub-1287219494/sub-1287219494_ses-1288810920_icephys.nwb	sub-1287219494/sub-1287219494_ses-1288824357_icephys.nwb	sub-1287219494/sub-1287219494_ses-1288864879_icephys.nwb	sub-1287219494/sub-1287219494_ses-1289260879_icephys.nwb	sub-1287219494/sub-1287219494_ses-1289277812_icephys.nwb	sub-1287219494/sub-1287219494_ses-1289281093_icephys.nwb	sub-1287219494/sub-1287219494_ses-1289301077_icephys.nwb	sub-1287219494/sub-1287219494_ses-1289417226_icephys.nwb	sub-1288510508/sub-1288510508_ses-1289971395_icephys.nwb	sub-1288510508/sub-1288510508_ses-1289975615_icephys.nwb	sub-1288510508/sub-1288510508_ses-1289985626_icephys.nwb	sub-1288510508/sub-1288510508_ses-1289986312_icephys.nwb	sub-1288510508/sub-1288510508_ses-1289989193_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290193016_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290197477_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290265479_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290273375_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290281816_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290504786_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290506819_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290507879_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290518509_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290525105_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290614120_icephys.nwb	sub-1288510508/sub-1288510508_ses-1290620463_icephys.nwb
2023-12-18	41943040	8388608	33554432	47717479	53960915	33554432	59643794	50331648	50331648	18611437	46038094	33554432	42162322	39142283	36100126	55807258	92052831	65133061	59136691	70430852	40847228	39754078	41008760	128881577	36295856	41943040	39704253	43549536	41296939	47193577	37532260	61066245	66663352	50563413	51759973	33554432	39712240	32823711	34137159	38626649	33554432	41183814	82058414	53189448	95219558	51710735	51385288	58720256	62156726	51690324	67503006
2024-01-01	54886508	44119986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41212319	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	54886508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	83456200	55636668	56446782	45028661	42433554	81282016	173424266	75150162	29188841	50911918	48507802	47200321	52474380	45425577	34581784	32522850	62275282	64780391	42583398	32945654	20647672	28682486	55155952	30229804	48416276	6550800	40823167	6026736	31487470	44538618	43367712	72916306	25844500	2161764	22219285	4782084	19488468	47370071	26861042	25534878	27918116	16730638	29621422	19184456	32029460	35626731	5502672	38352448	0	6419784	18043806
2024-01-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10702632	30539337	28538069	24178129	5371656	17557919	26659411	18752857	26613144	17418822	36373934	6092244	25499694	7140372	31232912	44336816	30412726	24379828	6943848
2024-02-05	54886508	0	0	56106087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49459343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	109773016	44119986	54104775	56106087	181805689	58479337	76421010	66825639	60403301	52165869	62815310	46309235	58939538	55919499	52877342	64195866	117218655	73521669	67525299	98129986	49235836	48142686	57785976	80912328	44684464	49459343	48092861	60326752	49685547	63970793	54309476	77843461	83440568	67340629	68537189	34822253	48100848	41212319	59302983	47015257	47368640	49572422	90447022	61578056	103608166	60099343	59773896	81965584	62156726	51690324	67503006
2024-03-11	149703600	70421424	136075764	101253712	202391203	157276615	171604200	148314108	126660477	147481938	98692568	107556588	107605188	126479476	120578284	104277044	81765884	106990212	107900736	152643298	151494808	147253150	60508888	106021920	92159340	93661536	150414006	218235644	86042268	169258140	154154120	123194692	123864060	81301852	105742472	223878413	98685404	77998713	173386482	151528788	95389284	125406936	105495880	105411720	156752700	122380392	99911848	76812392	92821008	109498876	132818046
2024-03-18	119280852	149167962	183718070	141359735	190471662	154324757	122144106	171063898	142922849	133166313	101013622	114909239	190855978	171863014	158866494	171040324	259987031	171910385	113733184	168490018	132655448	97412046	167620452	185585528	163604968	138363207	121787840	130841024	110584928	132048220	124291740	159212314	118035792	114236777	172900551	104733108	88993020	76370689	94134468	105079476	149307696	143066682	163514536	96409576	166024998	255581255	99556040	65744724	35947802	32435212	99972612
2024-03-25	62216924	74697232	97813243	68283150	109003106	106750339	187760602	117576273	60529835	59292166	144265702	114460752	105969754	121852084	74309846	161244798	308680916	98824073	104477904	171714634	58911056	102360474	57721428	75225548	66699596	77027114	65011248	56246192	89881600	141748428	87663900	119877444	97027100	105093715	89842211	65440171	67436976	87744340	62042831	64592634	101895508	107126444	115380266	44838928	164055970	476552610	41085064	70227184	90551130	44807848	65698084
2024-04-01	13107308	33777586	27890375	31769816	36818420	16404301	49746348	36725515	28013485	36979253	38790248	6419784	53571876	29555554	37895526	6354276	129170427	103931407	17349299	58234184	94330792	87581372	106262816	137729016	76299792	89176522	80832951	96064352	90597605	95407593	91146028	115626082	161506120	102975829	132631486	66373182	65788896	54632195	92890183	89186298	77140620	67799622	154034622	119764600	143119408	370140490	68483372	86813176	113663852	96898032	130813088
2024-04-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994079940	0	0	0	0	0
2024-04-15	6878340	31336088	54250226	44227687	66499955	2620320	51026904	10403239	47162285	44093809	54028496	23237819	58660460	78968598	24858684	42891436	80548379	56622607	19306263	40242570	6485292	39429476	58098652	21472584	41036128	39717179	34336122	22336352	47260858	23812041	57530732	57308617	82891816	67844362	0	38886837	0	0	0	0	0	0	0	0	0	1091784125	0	0	0	0	0
2024-04-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24672685	0	7009356	40427211	40550400	41588057	48631532	30116422	62156800	66575068	98672332	1866382312	57592080	64501340	66511958	37860372	23536102
2024-04-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1478015029	0	0	0	0	0
2024-05-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1761508328	0	0	0	0	0
2024-05-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13625664	0	0	0	0	0	0	0	0	0	0	821422609	0	0	0	0	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747010274	0	0	0	0	0
2024-05-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12643044	0	0	0	0	0	981248758	0	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	11529408	0	0	0	0	0	0	0	7795452	0	0	0	0	0	13756680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526026093	0	0	0	0	0
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12315504	0	0	0	0	0	0	396274330	0	0	7795452	0	0
2024-07-08	6485292	6485292	32540547	56692803	67589659	62474317	20584338	32877991	36152181	44102225	38532256	24114280	47752812	35010631	25218238	73366818	29662559	61319506	57497367	90875284	52837264	23461888	0	70033296	49585636	0	38980417	28607328	0	33423360	0	0	81550240	67897358	0	0	0	0	0	0	0	0	0	0	0	60099343	0	0	0	0	0
2024-07-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60208092	0	0	7205880	0	0	14155776	0	51881816	83266814	0	0	50459696	42116418	25294320	24828319	53142599	52412438	46320064	31847976	84286638	24679132	31187946	65273747	29624368	76414976	54680190	48675668	37288026
2024-07-22	10808820	10219248	0	0	0	0	10022724	10088232	11987964	13953204	0	11856948	9498660	10088232	8974596	0	11791440	12708552	0	12249996	12381012	12446520	12577536	12118980	0	0	8450532	0	2161764	11922456	12708552	0	12184488	11725932	10743312	12446520	10088232	0	0	12118980	12249996	0	7860960	0	13691172	0	10022724	0	0	12643044	0
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117218655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62156726	0	0
2024-08-26	0	12970584	10022724	27251328	53691267	12184488	6157752	17032080	10415772	19979940	62815310	20045448	5306148	0	9629676	8057484	14673792	23648388	18145716	4585560	17949192	8319516	26072184	11529408	9891708	4389036	8057484	18931812	0	10219248	2030748	10874328	9433152	18080208	0	8516040	10743312	6616308	16114968	20438496	59225588	9760692	15590904	12118980	16835556	9498660	89580036	7336896	21486624	0	9891708
2024-09-02	0	44119986	0	0	58008075	58479337	76421010	0	74928157	0	251261240	0	77338326	55919499	0	0	0	0	67525299	0	0	48142686	74678080	0	0	92979772	0	0	0	191912379	0	0	83440568	0	0	0	0	0	0	0	0	49572422	0	0	43038756	0	59773896	0	0	0	0
2024-09-09	67829976	0	0	0	0	58479337	0	0	0	0	0	0	0	34947979	0	0	0	0	0	0	0	0	0	0	98261048	0	48926545	20971520	0	0	0	0	0	92945297	0	0	36094908	0	0	0	0	0	0	0	0	18156303	0	0	0	0	0
2024-09-16	22249580	49949806	51848590	32505856	36438016	56120041	68949906	48868775	52907386	4127004	38073700	35688483	61472286	28587935	32296294	20155674	31627799	21483341	19290803	56973378	0	50237038	63745524	22544384	24630448	21669055	6943848	65960048	19658448	61349353	28095076	54051345	81681256	73431921	37729277	35172570	21883648	11141120	13820999	0	53067388	57497770	68809664	58170184	98103142	58526423	22680520	26518768	41971638	55095452	0
2024-09-23	0	38877106	54104775	50863207	0	0	0	56339879	0	36437229	57572430	41066355	0	50676619	47634462	58952986	0	57793029	57039539	82401346	98471672	0	0	0	39441584	49459343	37607101	60326752	44442667	58727913	49066596	86291753	72954808	0	63294309	0	37615088	0	0	0	0	0	79961262	56335176	93122406	0	54531016	71479824	56913846	46447444	105116332
2024-10-07	0	0	0	0	0	0	76421010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60326752	0	0	0	0	0	0	0	0	48100848	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0
2024-10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11660424	0	0	0	0
2024-10-21	0	10022724	0	7074864	0	0	8319516	0	6419784	12446520	0	0	10088232	0	0	0	12577536	7860960	13298124	0	0	10022724	7860960	11594916	0	0	0	9498660	6616308	0	10022724	12577536	7860960	9171120	10022724	0	8843580	0	0	9105612	10153740	10022724	10415772	10022724	6878340	0	10939836	0	8385024	13167108	9367644
2024-10-28	54886508	0	0	0	0	58479337	71178130	0	0	0	0	41066355	53696658	50676619	47634462	58952986	0	0	57039539	82401346	49235836	0	52543096	70426568	39441584	49459343	37607101	0	0	117455826	49066596	0	0	67340629	63294309	0	37615088	35969439	54060103	47015257	42125760	0	79961262	56335176	93122406	54856463	0	71479824	0	46447444	62260126
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10022724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	0	0	0	6485292	0	0	0	39828864	0	0	0	0	0	0	0	19390368	0	0	0	0	0	0	0	0	0	0	8057484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	54886508	44119986	54104775	0	62349523	0	76421010	0	60403301	52165869	62815310	0	58939538	55919499	52877342	64195866	117218655	73521669	67525299	0	0	0	0	80912328	44684464	49459343	48092861	0	0	63970793	54309476	77843461	83440568	0	68537189	0	0	41212319	59302983	47015257	0	49572422	90447022	0	0	60099343	59773896	81965584	62156726	51690324	0
