week_start	sub-jlh31/sub-jlh31_ses-jlh31-2023-01-24-14-30-23_ecephys.nwb	sub-jlh32/sub-jlh32_ses-jlh32-2023-02-18-16-07-58_ecephys.nwb	sub-jlh33/sub-jlh33_ses-jlh33-2023-02-22-15-24-35_ecephys.nwb	sub-jlh34/sub-jlh34_ses-jlh34-2023-05-15-16-03-21_ecephys.nwb	sub-jlh39/sub-jlh39_ses-jlh39-2023-08-16-11-52-30_ecephys.nwb	sub-jlh40/sub-jlh40_ses-jlh40-2023-08-21-16-01-34_ecephys.nwb	sub-jlh41/sub-jlh41_ses-jlh41-2023-09-18-14-52-47_ecephys.nwb	sub-jlh48/sub-jlh48_ses-jlh48-2024-11-05-13-08-08_ecephys.nwb	sub-jlh48/sub-jlh48_ses-jlh49v1-2024-07-11-16-18-42_ecephys.nwb	sub-jlh53/sub-jlh53_ses-jlh53concat-2024-09-03-16-08-54_ecephys.nwb
2024-04-22	0	0	0	0	0	0	201806360	0	0	0
2024-04-29	0	0	0	0	0	0	79395696	0	0	0
2024-05-06	0	0	0	0	0	0	400843344	0	0	0
2024-06-24	0	0	0	0	0	0	200421672	0	0	0
2024-07-01	0	0	0	0	0	0	200421672	0	0	0
2024-07-08	0	0	0	0	0	0	13900784	0	0	0
2024-07-22	0	0	0	0	0	0	12249996	0	0	0
2024-08-05	0	0	0	0	0	0	200421672	0	0	0
2024-09-16	0	0	0	0	0	0	12001052	0	0	0
2024-09-23	0	0	0	0	0	0	11677992	0	0	0
2024-10-28	0	0	0	0	0	0	53621032	0	0	0
2024-11-04	0	0	0	0	0	0	7860960	0	0	0
2024-11-18	0	0	0	0	0	0	105993268	0	0	0
2024-12-02	0	0	0	0	0	0	1023481536	0	0	0
2025-01-20	0	0	0	0	0	0	200421672	0	0	0
2025-02-24	0	0	0	0	0	0	6223260	0	0	0
2025-03-03	0	0	0	0	0	0	21552	0	0	0
2025-07-28	0	0	0	0	0	0	200421672	0	0	0
2025-09-08	0	0	0	0	0	0	200421672	0	0	0
2025-10-06	0	0	0	0	0	0	5278276	0	0	0
2025-10-13	0	0	0	0	0	0	15965844	0	0	0
2025-10-20	0	0	0	0	0	0	5474800	0	0	0
2025-10-27	0	0	0	0	0	0	5278276	0	0	0
2025-11-03	0	0	0	0	0	0	75730088	0	0	0
2025-11-10	0	0	0	0	0	0	59305688	0	0	0
2025-11-17	0	0	0	0	0	0	39502744	0	0	0
2025-11-24	0	0	0	0	0	0	38585632	0	0	0
2025-12-01	0	0	0	0	0	0	37799536	0	0	0
2025-12-08	0	0	0	0	0	0	32259228	0	0	0
2025-12-15	0	0	0	0	0	0	462001364	0	0	0
2026-01-05	0	0	0	0	0	0	49011168	0	0	0
2026-01-19	0	0	0	0	0	0	21768184	0	0	0
2026-01-26	0	0	0	0	0	0	115863491	0	0	0
2026-02-02	0	0	0	0	0	0	221534776	0	0	0
2026-02-09	0	0	0	0	0	0	21768184	0	0	0
2026-02-16	0	0	0	0	0	0	23560240	0	0	0
2026-02-23	0	0	0	0	0	0	26980952	0	0	0
2026-03-16	0	0	0	0	0	0	24922332	0	0	0
2026-03-23	0	0	0	0	0	0	4595324	0	0	0
2026-04-06	0	0	0	0	0	0	917112	0	0	0
2026-04-13	0	0	0	0	0	0	9891708	0	0	0
2026-04-20	0	0	0	0	0	0	21440644	0	0	0
2026-04-27	0	0	0	0	0	0	209920332	0	0	0
2026-05-04	0	0	0	0	0	0	200421672	0	0	0
2026-05-18	656597976	294649648	160321624	305122072	190981848	346078548	200458680	396230684	443900404	749017892
2026-05-25	641682916	381926248	117583384	225653708	156114212	206962172	454650944	198687164	322019688	209654536
2026-06-01	382418036	18407748	1466004	0	0	0	0	76805944	18800796	0
2026-06-08	1032412	95481052	1187420	70964200	1121912	0	106789036	0	0	0
2026-06-15	650152628	743018044	268778724	491588540	76208224	202687216	276974956	191080568	0	0
2026-06-22	300529192	143093264	114782392	112187976	156072832	168902780	49110664	267935456	319307968	208745000
2026-06-29	212248096	236023292	56727840	110758864	152416448	167371268	200421672	189860032	210295272	409972432
2026-07-06	464557731	315405730	143470786	320756602	172233216	352050424	820965356	473536872	335102236	345146544
2026-07-13	212248096	141664152	164333132	110758864	96305036	167371268	248533164	189860032	210295272	204986216
