week_start	sub-2022-06-14-01-SWF702/sub-2022-06-14-01-SWF702_ses-20220614_behavior+image+ophys.nwb	sub-2022-06-14-07-SWF702/sub-2022-06-14-07-SWF702_ses-20220614_behavior+image+ophys.nwb	sub-2022-06-14-13-SWF702/sub-2022-06-14-13-SWF702_ses-20220614_behavior+image+ophys.nwb	sub-2022-06-28-01-SWF702/sub-2022-06-28-01-SWF702_ses-20220628_behavior+image+ophys.nwb	sub-2022-06-28-07-SWF702/sub-2022-06-28-07-SWF702_ses-20220628_behavior+image+ophys.nwb	sub-2022-07-15-06-SWF702/sub-2022-07-15-06-SWF702_ses-20220715_behavior+image+ophys.nwb	sub-2022-07-15-12-SWF702/sub-2022-07-15-12-SWF702_ses-20220715_behavior+image+ophys.nwb	sub-2022-07-20-01-SWF702/sub-2022-07-20-01-SWF702_ses-20220720_behavior+image+ophys.nwb	sub-2022-07-26-01-SWF702/sub-2022-07-26-01-SWF702_ses-20220726_behavior+image+ophys.nwb	sub-2022-08-02-01-SWF702/sub-2022-08-02-01-SWF702_ses-20220802_behavior+image+ophys.nwb	sub-2022-12-21-06-SWF702/sub-2022-12-21-06-SWF702_ses-20221221_behavior+image+ophys.nwb	sub-2023-01-05-01-SWF702/sub-2023-01-05-01-SWF702_ses-20230105_behavior+image+ophys.nwb	sub-2023-01-05-18-SWF702/sub-2023-01-05-18-SWF702_ses-20230105_behavior+image+ophys.nwb	sub-2023-01-06-01-SWF702/sub-2023-01-06-01-SWF702_ses-20230106_behavior+image+ophys.nwb	sub-2023-01-06-08-SWF702/sub-2023-01-06-08-SWF702_ses-20230106_behavior+image+ophys.nwb	sub-2023-01-09-08-SWF702/sub-2023-01-09-08-SWF702_ses-20230109_behavior+image+ophys.nwb	sub-2023-01-09-15-SWF702/sub-2023-01-09-15-SWF702_ses-20230109_behavior+image+ophys.nwb	sub-2023-01-09-22-SWF702/sub-2023-01-09-22-SWF702_ses-20230109_behavior+image+ophys.nwb	sub-2023-01-09-28-SWF702/sub-2023-01-09-28-SWF702_ses-20230109_behavior+image+ophys.nwb	sub-2023-01-10-07-SWF702/sub-2023-01-10-07-SWF702_ses-20230110_behavior+image+ophys.nwb	sub-2023-01-10-14-SWF702/sub-2023-01-10-14-SWF702_ses-20230110_behavior+image+ophys.nwb	sub-2023-01-13-07-SWF702/sub-2023-01-13-07-SWF702_ses-20230113_behavior+image+ophys.nwb	sub-2023-01-16-01-SWF702/sub-2023-01-16-01-SWF702_ses-20230116_behavior+image+ophys.nwb	sub-2023-01-16-08-SWF702/sub-2023-01-16-08-SWF702_ses-20230116_behavior+image+ophys.nwb	sub-2023-01-16-15-SWF702/sub-2023-01-16-15-SWF702_ses-20230116_behavior+image+ophys.nwb	sub-2023-01-16-22-SWF702/sub-2023-01-16-22-SWF702_ses-20230116_behavior+image+ophys.nwb	sub-2023-01-17-01-SWF702/sub-2023-01-17-01-SWF702_ses-20230117_behavior+image+ophys.nwb	sub-2023-01-17-07-SWF702/sub-2023-01-17-07-SWF702_ses-20230117_behavior+image+ophys.nwb	sub-2023-01-17-14-SWF702/sub-2023-01-17-14-SWF702_ses-20230117_behavior+image+ophys.nwb	sub-2023-01-18-01-SWF702/sub-2023-01-18-01-SWF702_ses-20230118_behavior+image+ophys.nwb	sub-2023-01-19-08-SWF702/sub-2023-01-19-08-SWF702_ses-20230119_behavior+image+ophys.nwb	sub-2023-01-19-15-SWF702/sub-2023-01-19-15-SWF702_ses-20230119_behavior+image+ophys.nwb	sub-2023-01-19-22-SWF702/sub-2023-01-19-22-SWF702_ses-20230119_behavior+image+ophys.nwb	sub-2023-01-23-01-SWF702/sub-2023-01-23-01-SWF702_ses-20230123_behavior+image+ophys.nwb	sub-2023-01-23-08-SWF702/sub-2023-01-23-08-SWF702_ses-20230123_behavior+image+ophys.nwb	sub-2023-01-23-15-SWF702/sub-2023-01-23-15-SWF702_ses-20230123_behavior+image+ophys.nwb	sub-2023-01-23-21-SWF702/sub-2023-01-23-21-SWF702_ses-20230123_behavior+image+ophys.nwb	sub-2023-03-07-01-SWF702/sub-2023-03-07-01-SWF702_ses-20230307_behavior+image+ophys.nwb
2024-06-24	15053055914	20670240754	19921607050	20359193455	18247430032	15580177194	19211290532	15178054992	17038106485	22174748948	20675763885	15856629794	20533712119	18669860164	20280656692	19619011417	19751626161	16283351012	20249430634	15229117192	16042066597	14633199958	16962356963	13987270338	18722360182	18526668156	18607550751	20875049077	20815803416	15766475720	16884554629	15752625178	17505649630	17903625459	20363183264	17020312690	15595301213	20406590118
2024-07-01	213779080	149546600	735745036	113881576	98814736	783238336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14149728	0	0
2024-07-08	0	4694633	4227739	104055376	9191459	6577701	0	3314604	10584291	0	0	2292780	3458549	8134318	26741323706	9580903	10951157	8618696	4391229	5947776	106610188	6223260	27569895	9958586	2591017	9379260	6223260	2161764	12788020444	4562076	0	4332189	8358239	7790853	5528592	3480605	5240640	0
2024-07-22	29822680776	80613915123	12118980	53923757886	26850309791	26746446581	7924909524	11594916	7304552748	7097199420	6675352392	5692498836	9040104	12774060	0	0	0	14084220	7598928	13756680	14084220	10219248	0	0	0	2161764	0	2161764	12249996	9302136	10284756	0	10022724	0	0	11267376	10022724	26552384217
2024-08-05	0	0	0	0	0	0	0	0	100583452	0	0	0	100255912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	26967312882	0	17466011	0	0	0	0	0	26655362087	0	26693956259	0	0	0	0	0	23815840809	0	0	0	0	0	0	14620140722	0	0	0	0	0	0	0	0	0	26373384337	0	0	0	0
2024-09-02	130793535120	24430940877	180761438	12406305699	25318897835	24762463926	25637038816	12993602916	45289433051	26557418342	6945308914	127911547	1152557	8272630	6419784	1272583	12202579957	0	6419784	10612296	1812501	6616308	0	47143349236	26657127993	0	16443953894	4177059	11443596	45616640168	9997682	7336896	9236628	26882593163	0	6419784	0	8450129
2024-09-09	27149022828	130405246	49120187574	12978114286	25639183	51161214	81028146	47018912	87630776	26308547370	68243470	2545083592	16838736439	21252545268	24976572992	2539021697	67940626	27171976976	19232127023	23095601624	11511727843	21480129572	61276798	78622562	25212282319	24140555992	12056578031	23527867176	387976716	75149440	25931693111	2239851242	18944807555	13822188	25942914952	3353462328	10999694679	23800201692
2024-09-16	12282711602	16169415872	21091718593	13492054537	12502419859	12050002012	11331096734	15301233904	11928638037	13470253010	12119503416	6649248220	5821992649	11569237626	12386771232	13405712955	9993288716	34850256	36181242	39944336	73261276	62670186	28420441	34562292	31383055	27588944	66163395	28279598	48108344	34018200	67025275	69612855	74894000	45675351	61045708	58045515	25470470	50222329
2024-09-23	22300596	17946070	44375872	14793102	7729971	8723249	12292720	11487224	12333227	23132188	13474334	10640807	10050281	8416092	23386824	10682307	14586697	18645908	14217373	17198824	25457818	14911476	10902415	15126756	10284517	10963544	16519370	19828394	15576524	22700524	19950822	23751173	4096375	11713785	11647092	19694282	18600987	16828574
2024-09-30	55851660126	27519629441	27880005710	54691076265	53718712226	54146115488	53089434480	26510710712	26694271117	37134406	26726382589	12504543617	26552112879	26756564664	26781899978	26764762484	26861035163	26840885688	53564307860	26704407600	26600529287	53189319446	26649331777	40813106	26684115436	26688635192	53460597556	53169353475	53326236176	26564072952	37469218	52801054250	33598194	26414491532	26358738692	52705007064	33397503	53045125501
2024-10-07	78294376920	69052807	27115907265	48811480	26917785347	26800482407	26602974356	85235224	68873415	26644112394	26766311192	60253029	26594916649	26797019856	26817419826	26811134780	26916449948	83926820	26838019318	26777077764	26689094378	26690937478	26693313608	118735352	26736703652	26748189400	26816179862	26656853284	26730670616	26606600436	2720886073	26463180494	85458261	26460713125	48164356	26389612236	87815948	26576392583
2024-10-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15001332	0	0	0	0	0	0	0	0
2024-10-28	38493095032	6616308	9105612	2161764	5502672	14935824	7729944	0	9695184	0	8254008	4389036	0	0	8647056	10088232	0	10284756	0	8254008	7860960	7860960	7860960	7860960	0	4389036	8319516	2161764	6747324	7860960	9236628	0	7860960	2751336	6550800	4585560	0	0
