week_start	sub-10p-x4-600ns-200ms-3-2kV-YP-(dish04)/sub-10p-x4-600ns-200ms-3-2kV-YP-(dish04)_ses-10p-x4-600ns-200ms-3-2kV-YP_image.nwb	sub-10p-x4-600ns-200ms-3-2kV-YP-(dish11)/sub-10p-x4-600ns-200ms-3-2kV-YP-(dish11)_ses-10p-x4-600ns-200ms-3-2kV-YP_image.nwb	sub-10p-x4-600ns-200ms-3-2kV-YP-(dish18)/sub-10p-x4-600ns-200ms-3-2kV-YP-(dish18)_ses-10p-x4-600ns-200ms-3-2kV-YP_image.nwb	sub-1p-x4-600ns-200ms-3-2kV-YP-(dish23)/sub-1p-x4-600ns-200ms-3-2kV-YP-(dish23)_ses-1p-x4-600ns-200ms-3-2kV-YP_image.nwb	sub-1p-x4-600ns-200ms-3-2kV-YP-(dish24)/sub-1p-x4-600ns-200ms-3-2kV-YP-(dish24)_ses-1p-x4-600ns-200ms-3-2kV-YP_image.nwb	sub-1p-x4-600ns-200ms-3-2kV-YP-(dish25)/sub-1p-x4-600ns-200ms-3-2kV-YP-(dish25)_ses-1p-x4-600ns-200ms-3-2kV-YP_image.nwb	sub-5p-x4-600ns-200ms-3-2kV-YP-(dish09)/sub-5p-x4-600ns-200ms-3-2kV-YP-(dish09)_ses-5p-x4-600ns-200ms-3-2kV-YP_image.nwb	sub-5p-x4-600ns-200ms-3-2kV-YP-(dish20)/sub-5p-x4-600ns-200ms-3-2kV-YP-(dish20)_ses-5p-x4-600ns-200ms-3-2kV-YP_image.nwb	sub-5p-x4-600ns-200ms-3-2kV-YP-(dish22)/sub-5p-x4-600ns-200ms-3-2kV-YP-(dish22)_ses-5p-x4-600ns-200ms-3-2kV-YP_image.nwb
2024-01-22	200746796	129690580	200962088	130749095	100470546	294682048	98946776	88713071	102698496
2024-01-29	0	3537432	4520052	7321448	2489304	4258020	3078876	4651068	0
2024-02-05	17056908	0	0	0	0	0	0	0	0
2024-03-04	0	0	0	49757751	0	0	0	0	0
2024-03-11	1459716	1474304	8168660	6288768	8909088	0	3579996	7428613	0
2024-03-18	16473300	98699244	16554684	1205437	12535530	8914680	3640296	11149479	13189106
2024-03-25	15873464	228166648	8983872	10612296	10022724	22338228	15200924	6943848	15254662
2024-04-01	8002240	192724668	1282044	7271388	0	1247448	11005344	8018185	0
2024-04-08	0	205135664	0	0	0	0	0	0	0
2024-04-15	9680332	396348628	19251200	9499837	23696614	4192512	19148800	20235201	0
2024-04-22	0	762892316	0	0	0	0	0	0	0
2024-04-29	0	958494544	0	0	0	0	0	0	0
2024-05-06	0	301414968	0	0	0	0	0	0	0
2024-05-13	0	616624752	0	0	0	0	0	0	0
2024-05-20	0	273767984	0	0	0	0	0	0	0
2024-05-27	0	281929748	0	0	0	0	0	0	0
2024-06-03	0	178908408	0	0	0	0	0	0	0
2024-06-10	0	77544420	0	0	0	0	0	0	0
2024-07-08	2751336	4802980	0	1512637	5510618	0	3809316	1487809	4617930
2024-07-22	0	0	420507644	0	0	0	0	0	0
2024-08-26	14346252	421416704	17032080	414910494	0	0	6092244	10153740	10022724
2024-09-02	0	0	0	420287677	0	0	406922232	0	0
2024-09-09	0	0	153690176	0	0	0	0	0	121207790
2024-09-16	4389036	9171120	1994748	0	8392970	0	0	0	1539054
2024-09-30	0	0	0	0	0	0	100714468	0	0
2024-10-28	0	7860960	0	7926468	0	7336896	0	7860960	10219248
2024-12-02	0	0	0	184549376	0	0	0	192937984	0
2025-02-03	11987964	0	0	0	0	0	0	0	0
2025-06-16	418534916	421416704	420507644	378344637	384638086	370706648	406922232	412529601	393837550
2025-07-28	0	157286400	209715200	52428800	0	0	0	0	0
2025-08-04	0	0	0	0	0	104857600	0	52428800	0
2025-08-11	313677316	0	0	0	0	0	104857600	0	0
2025-08-18	0	0	0	0	262144000	0	0	0	131693550
2025-09-01	0	0	0	0	0	0	262144000	0	0
2025-09-08	0	0	231689496	0	21748656	0	0	0	0
2025-09-22	2919432	9830712	10563840	0	0	0	0	0	0
2025-09-29	0	0	26661756	0	0	0	0	0	0
2025-10-06	22608912	8254008	17789472	11928521	0	0	0	0	0
2025-10-13	11491092	21841236	28908780	0	0	0	0	0	0
2025-10-20	8506152	10433820	7239984	0	0	0	0	0	0
2025-10-27	5717736	1576704	10432824	0	0	0	0	0	0
2025-11-03	56634756	32209548	42520092	0	0	0	0	0	0
2025-11-10	41540724	23133348	35949540	0	0	0	0	0	0
2025-11-17	11238948	32046948	21930828	0	0	0	0	0	0
2025-11-24	7046436	15796452	13414788	0	0	0	0	0	0
2025-12-01	20662212	23731944	26567544	0	0	0	0	0	0
2025-12-08	10303296	21238128	13545804	0	0	0	0	0	0
2025-12-15	41708820	872334568	35083584	766515474	397674178	374833652	823867188	830954922	393837550
2025-12-22	0	217915804	0	157286400	0	0	0	146800640	0
2025-12-29	0	0	0	0	0	255363288	0	0	0
2026-01-05	25669248	1576704	26499336	0	0	0	0	0	0
2026-01-12	439506436	431902464	841015288	756689274	758790412	0	0	10485760	0
2026-01-19	8647056	16844580	1589244	0	164437126	0	0	0	141557760
2026-01-26	179509832	5703708	12022068	0	0	0	113320952	0	0
2026-02-02	11763012	13241640	203356444	0	0	0	0	0	0
2026-02-09	7046436	7280412	1589244	0	0	0	0	0	0
2026-02-16	4528328	4192512	10506608	7746496	4528328	10415772	204800	9737245	0
2026-02-23	55391340	11407416	5978280	0	42907740	23058816	0	0	0
2026-03-02	0	0	19521384	1410237	1457286	0	1418232	0	0
2026-03-16	7701516	0	5716248	9040104	0	0	0	0	0
2026-03-23	2049288	0	0	204800	0	0	0	0	0
