week_start	code/Containerfile	code/Makefile	code/dependencies_reposit.txt	code/read_metadata.py	code/reposit.py	code/reposit_bep032.py	code/requirements.txt	code/requred_metadata.txt	participants.json	participants.tsv	sub-M388/ses-20231120114021/ephys/probes.tsv	sub-M388/sessions.tsv	sub-M388/sub-M388_ecephys.nwb	sub-M481/sessions.tsv	sub-M483/ses-20240122121030/ephys/channels.tsv	sub-M483/ses-20240122121030/ephys/contacts.tsv	sub-M483/sessions.tsv
2024-01-22	0	0	0	0	0	0	0	0	0	0	0	0	16507676646	0	0	0	0
2024-01-29	0	0	0	0	0	0	0	0	0	0	0	0	11332884	0	0	0	0
2024-02-12	0	0	0	0	0	0	0	0	0	0	0	0	18669523374	0	0	0	0
2024-03-04	0	0	0	0	0	0	0	0	0	0	0	0	188532024	0	0	0	0
2024-03-11	0	0	0	0	0	0	0	0	0	0	0	0	477097076	0	0	0	0
2024-03-18	0	0	0	0	0	0	0	0	0	0	0	0	149315188	0	0	0	0
2024-03-25	0	2202	20	0	0	0	0	0	363	0	0	0	380179458	69	15825	8100	69
2024-04-01	2484	2202	0	0	0	0	0	0	0	0	0	0	144938704	0	0	0	0
2024-04-08	0	0	0	0	0	0	0	0	0	0	0	0	747836806	0	0	0	0
2024-04-15	0	0	0	0	0	0	0	0	0	0	0	0	1305374292	0	0	0	0
2024-04-22	0	0	0	0	0	0	0	0	0	0	0	0	557329439	0	0	0	0
2024-04-29	0	0	0	0	0	0	0	0	0	0	0	0	750695364	0	0	0	0
2024-05-06	0	0	0	0	0	0	0	0	0	0	0	0	395835540	0	0	0	0
2024-05-13	0	0	0	0	0	0	0	0	0	0	0	0	613181804	0	0	0	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	449562609	0	0	0	0
2024-05-27	0	0	0	0	0	0	0	0	0	0	0	0	469555008	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	339036467	0	0	0	0
2024-06-10	2484	0	0	0	0	0	0	0	0	0	0	0	144939226	0	0	0	0
2024-07-01	0	0	0	0	0	0	0	0	0	0	0	0	790615101	0	0	0	0
2024-07-08	0	0	0	0	0	0	0	0	0	205	0	0	48005591	0	0	0	0
2024-07-15	0	0	0	0	0	0	0	0	363	410	0	0	0	0	0	0	0
