week_start	sub-F120/sub-F120_ses-F120_image.nwb	sub-F134/sub-F134_ses-F134_image.nwb	sub-F136/sub-F136_ses-F136_image.nwb	sub-FB2311/sub-FB2311_ses-FB2311-baseline_image.nwb	sub-FB2311/sub-FB2311_ses-FB2311-whisker_image.nwb	sub-FB2312/sub-FB2312_ses-FB2312-baseline-awake_image.nwb	sub-FB2312/sub-FB2312_ses-FB2312-baseline-iso_image.nwb	sub-FB2314/sub-FB2314_ses-FB2314-baseline-awake_image.nwb	sub-FB2314/sub-FB2314_ses-FB2314-baseline-iso_image.nwb	sub-FB2315/sub-FB2315_ses-FB2315-baseline-awake_image.nwb	sub-FB2315/sub-FB2315_ses-FB2315-baseline-iso_image.nwb	sub-FB2316/sub-FB2316_ses-FB2316-baseline_image.nwb	sub-FB2316/sub-FB2316_ses-FB2316-whisker_image.nwb	sub-FB2317/sub-FB2317_ses-FB2317-baseline_image.nwb	sub-FB2317/sub-FB2317_ses-FB2317-whisker_image.nwb	sub-FB2318/sub-FB2318_ses-FB2318-baseline_image.nwb	sub-FB2318/sub-FB2318_ses-FB2318-whisker_image.nwb	sub-FB2319/sub-FB2319_ses-FB2319-baseline_image.nwb	sub-FB2319/sub-FB2319_ses-FB2319-whisker_image.nwb	sub-FB2320/sub-FB2320_ses-FB2320-baseline_image.nwb	sub-FB2320/sub-FB2320_ses-FB2320-whisker_image.nwb	sub-FB2328/sub-FB2328_ses-FB2328_image.nwb	sub-FB2352/sub-FB2352_ses-FB2352_image.nwb	sub-FB2353/sub-FB2353_ses-FB2353_image.nwb	sub-FB2354/sub-FB2354_ses-FB2354_image.nwb	sub-FB2355/sub-FB2355_ses-FB2355_image.nwb	sub-FB2356/sub-FB2356_ses-FB2356_image.nwb	sub-FB2357/sub-FB2357_ses-FB2357_image.nwb	sub-FB2358/sub-FB2358_ses-FB2358_image.nwb	sub-FB2359/sub-FB2359_ses-FB2359-Hypercapnia_image.nwb	sub-FB2359/sub-FB2359_ses-FB2359-Hyperoxia_image.nwb	sub-FB2360/sub-FB2360_ses-FB2360-Hypercapnia_image.nwb	sub-FB2360/sub-FB2360_ses-FB2360-Hyperoxia_image.nwb	sub-FB2361/sub-FB2361_ses-FB2361_image.nwb	sub-FB2362/sub-FB2362_ses-FB2362_image.nwb	sub-FB2364/sub-FB2364_ses-FB2364_image.nwb	sub-FB237/sub-FB237_ses-FB237_image.nwb	sub-FB238/sub-FB238_ses-FB238_image.nwb	sub-FB239/sub-FB239_ses-FB239_image.nwb	sub-FB2411/sub-FB2411_ses-FB2411_image.nwb	sub-ID01-Geriatric/sub-ID01-Geriatric_ses-ID01-20201204_image.nwb	sub-ID02-Geriatric/sub-ID02-Geriatric_ses-ID02-20201204_image.nwb	sub-ID03-Geriatric/sub-ID03-Geriatric_ses-ID03-20201204_image.nwb	sub-ID13/sub-ID13_ses-ID13-20200917_image.nwb	sub-ID14/sub-ID14_ses-ID14-20200929_image.nwb	sub-ID18/sub-ID18_ses-ID18-20201008_image.nwb	sub-ID20/sub-ID20_ses-ID20-20201013_image.nwb	sub-ID23/sub-ID23_ses-ID23-20201013_image.nwb	sub-ID25/sub-ID25_ses-ID25-20201020_image.nwb	sub-ID26/sub-ID26_ses-ID26-20201020_image.nwb	sub-ID400/sub-ID400_ses-M400-01-baseline-awake_image.nwb	sub-ID400/sub-ID400_ses-M400-03-baseline-iso_image.nwb	sub-ID401/sub-ID401_ses-M401-01-baseline-awake_image.nwb	sub-ID401/sub-ID401_ses-M401-03-baseline-iso_image.nwb	sub-ID402/sub-ID402_ses-M402-01-baseline-awake_image.nwb	sub-ID402/sub-ID402_ses-M402-03-baseline-iso_image.nwb	sub-ID403/sub-ID403_ses-M403-01-baseline-awake_image.nwb	sub-ID403/sub-ID403_ses-M403-03-baseline-iso_image.nwb	sub-M189/sub-M189_ses-M189_image.nwb	sub-M441/sub-M441_ses-M441_image.nwb	sub-M442/sub-M442_ses-M442_image.nwb	sub-M443/sub-M443_ses-M443_image.nwb	sub-M444/sub-M444_ses-M444_image.nwb	sub-leica191115-A1/sub-leica191115-A1_ses-leica191115-A1-KX_image.nwb	sub-leica191115-A1/sub-leica191115-A1_ses-leica191115-A1-awake_image.nwb	sub-leica191118-A2/sub-leica191118-A2_ses-leica191118-A2-KX_image.nwb	sub-leica191118-A2/sub-leica191118-A2_ses-leica191118-A2-awake_image.nwb	sub-nm190819/sub-nm190819_ses-nm190819_image.nwb	sub-nm190823/sub-nm190823_ses-nm190823_image.nwb	sub-nm190906/sub-nm190906_ses-nm190906_image.nwb	sub-nm190910/sub-nm190910_ses-nm190910-01001_image.nwb	sub-nm190910/sub-nm190910_ses-nm190910-01002_image.nwb	sub-nm190911-A1/sub-nm190911-A1_ses-nm190911_image.nwb	sub-nm190912-A1/sub-nm190912-A1_ses-nm190912_image.nwb	sub-nm200109-A3/sub-nm200109-A3_ses-nm200109-A3-KX_image.nwb	sub-nm200109-A3/sub-nm200109-A3_ses-nm200109-A3-awake_image.nwb	sub-nm200113-A1/sub-nm200113-A1_ses-nm200113-A1-KX_image.nwb	sub-nm200113-A1/sub-nm200113-A1_ses-nm200113-A1-awake_image.nwb	sub-nm200330-A2/sub-nm200330-A2_ses-nm200330-A2-KX_image.nwb	sub-nm200330-A2/sub-nm200330-A2_ses-nm200330-A2-awake_image.nwb	sub-nm200416-A1/sub-nm200416-A1_ses-nm200416-A1-KX_image.nwb	sub-nm200416-A1/sub-nm200416-A1_ses-nm200416-A1-awake_image.nwb	sub-nm200417-A2/sub-nm200417-A2_ses-nm200417-A2-KX_image.nwb	sub-nm200417-A2/sub-nm200417-A2_ses-nm200417-A2-awake_image.nwb	sub-nm200420-A1/sub-nm200420-A1_ses-nm200420-A1_image.nwb	sub-nm200423-A2/sub-nm200423-A2_ses-nm200423-A2-KX_image.nwb	sub-nm200423-A2/sub-nm200423-A2_ses-nm200423-A2-awake_image.nwb
2024-02-12	560472483	480445780	566122834	378297686	364966018	384234684	556228401	386033632	360710144	569171654	402116118	445588982	357238000	371637670	533532928	402728514	566360264	1026235526	355506376	570435358	360844709	1134250052	476345276	706614626	699297035	710211252	672490076	619085333	727354231	439683154	628486362	434042866	316601756	1866251423	1788935268	819333251	426756700	379873123	270665742	36845330	304263400	300216280	339208550	196676280	310919387	364567185	376896306	368833908	358321856	468940538	125104258	169219758	142976268	149347006	150949470	70450013	170851234	125150236	312300880	242459860	241875699	308995906	299254936	301989888	264149498	179411355	283243848	70364937	1149054	202146957	150626835	176849538	230536330	91225820	585764414	600951312	882381108	528482304	662493456	838860800	1029429937	1147401488	1239569736	1072671706	5055478	1188001875	430067006
2024-02-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9957216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	0	0	0	58436950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174777584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	7870995	8057484	7408078	6157752	4255874	8246398	5306148	8254008	16863342	2035555	7465797	9085838	7208794	5437164	4667576	8833157	6878340	0	2161764	8369922	2161764	5895720	6190180	12503877	2387155	8844216	131016	9677209	2161764	9906237	2048218	5502672	4896093	8536607	3908970	13980883	3035482	833194	9464438	15435910	9400216	14119884	4171463	7598928	9846611	4238874	4198219	5468042	6550800	9462853	2417994	4651068	7331032	4638488	0	4670017	11890893	4648100	6393340	418106360	3275400	4913100	3799464	6134342	5633688	12354674	11160582	3537432	0	2161764	2161764	7140372	6354276	3074144	11856948	15077156	4847592	0	5781754	2576674	5633688	6592950	10568780	5044116	2700278	2605690	11927302
2024-03-18	35842911	16935032	26946484	18710217	4188220	9614456	17131622	27948108	25893510	10425386	20892822	13258576	23130152	15902550	32574508	29054283	23337046	43875632	25326012	15182754	30424244	11424068	27021072	13601211	10866554	30134952	40503228	16650615	21436580	30781368	15215326	10622373	24596994	21699908	10547766	34371400	15744868	21187772	42053200	35260856	25514820	23028972	28018736	25600152	24954273	34315116	26738678	35794494	18790596	26393618	27692478	33175464	23904556	16326680	17946658	28318405	35903148	16365128	8017216	106325684	26968233	37109766	27555748	16222574	20193788	23765898	24310626	11930502	3016942	37069371	35321790	11910576	39197672	24223764	23320062	16800996	21104928	24546637	30184830	15066918	22120458	14669226	14172188	13739933	1077028	22177952	26540432
2024-03-25	11483970	18441716	15738942	23063938	14997040	19891602	14052746	10600392	8412810	3411223	12833223	17451088	7732858	21454836	23288356	23758558	10677804	16860946	22910744	20539308	27403743	15878612	24335244	26776470	14440627	17295384	16913920	17323670	8405267	15095898	13267556	19541538	22042182	17335246	18343218	19407897	15198690	8086172	23152674	12988136	16835192	13696992	23802814	18577944	21199906	19352076	7741358	20338358	14823244	10737206	15716118	14530412	9689320	11307724	16114968	4754474	32232318	2486336	2004304	426563372	10401730	13379235	19390368	27377622	17680392	12223658	6861276	8958124	2859344	18183950	9878524	11845068	10219248	15979220	16703754	20590144	440504	23741883	23337898	8232224	8232762	13012734	13866172	18963826	3238792	5196750	21950026
2024-04-01	2040783	8467516	3543106	0	2094110	8377414	1982257	8444580	6943848	2035555	8382909	2404022	2033662	6731430	0	6354276	8393123	8856275	8442004	11448798	8719697	6891178	4520052	6354276	0	8516676	6426212	0	0	7351425	8861050	2040825	8761065	2247839	6398274	2189443	0	6354276	6354276	7967998	0	2000904	2009699	8555220	0	8431386	8390731	8088362	9058540	7759645	2417994	4114640	4448680	8568968	2553545	8993545	8615493	2486336	6354276	351739228	6354276	10857693	0	9868298	7705852	3209892	3561654	8213018	587818	9976333	6354276	2751336	10100176	1960508	0	3482240	6354276	6616308	475606	414910	5211722	4365678	7096856	6419784	538514	4585560	6092244
2024-04-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595030304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	6136783	11187848	0	6096555	6747324	12604430	12432533	8937640	6547582	17700274	18800066	6500022	6129662	6503902	13545660	6354276	9737787	6532491	5109624	6504694	11636553	6074078	8748492	17223953	17588511	2947860	6812832	13536705	8530807	13543681	14423754	19369441	6354276	13025655	0	8516040	10341374	15492076	4485830	1417198	6093812	12975244	6105699	2161764	14018712	11806798	6354276	12708426	9879140	6090941	0	7979612	7724080	7205880	3274133	0	0	12577536	6100304	856402176	12474003	12660913	6308428	0	10195156	10651466	9850422	8213018	0	13729406	9590330	2161764	16061404	8380292	3406154	10426088	4536504	10097561	4030990	8686870	4525638	11016490	0	4472301	2700278	0	3411262
2024-04-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588607244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781961400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534265632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322561232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453430356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484737100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738946168	0	0	0	0	7860960	7860960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27644376	0	0	0
2024-06-10	0	0	0	0	0	0	0	0	23779404	0	11529408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9498660	0	0	0	0	0	0	0	0	7860960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15721920	7860960	0	0	0	0	292006032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22207212	0	0	0	21617640	0	23779404	0
2024-06-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11201868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-24	22215084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12249996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	7705551	0	0	10801543	14188403	14476291	6812832	7009356	0	14271603	4454544	6550800	6878340	8162782	14537088	15222637	14078399	6419784	7650712	6419784	21008965	14095398	11234764	19820018	20472291	19449044	6157752	10651237	0	7787897	17360334	7853049	14810745	14070247	7727254	13371523	6550800	6208341	0	8205622	14594168	13983084	18692099	8263108	21520878	14687527	0	14649790	0	0	3081546	3013368	0	0	6354276	3081749	0	9616688	6747324	7140372	6812832	14240878	0	6354276	11195066	6616308	8032974	2104923	1175636	11041265	10311077	4661569	4155668	0	11345330	14451140	13053076	12005905	10983506	12163366	12733295	5731354	0	12575373	2554812	5764704	7050808
2024-07-22	0	0	10022724	0	10677804	0	8450532	12249996	0	12577536	12577536	0	10546788	0	10022724	11070852	13953204	10088232	10546788	11987964	0	9891708	0	10022724	0	11594916	12381012	11529408	10022724	10743312	12184488	8843580	0	11725932	4389036	25155072	12184488	7009356	0	6878340	0	0	12839568	10022724	0	0	0	12249996	6419784	10088232	8843580	12512028	0	0	12315504	0	11987964	0	12249996	0	10022724	12053472	10022724	10219248	10022724	14084220	12381012	0	587818	0	9957216	10022724	10350264	13691172	10022724	0	12315504	10088232	0	1389728742	0	10022724	0	11070852	2893714	0	0
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620680569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585154914	0	0	0	9957216	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-12	0	0	0	1573098486	0	0	0	19652400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4604918078	0	0	0	0	0	0	0	0	12577536	0	0	0	12184488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9629676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	20110956	21748656	11922456	40415863	0	20438496	20241972	24434484	16966572	21421116	20176464	742596678	9695184	12708552	21683148	23124324	0	14084220	6419784	8254008	8450532	20372988	24368976	1011880897	19193844	0	3864972	22338228	21748656	11922456	12118980	14542776	9891708	19390368	14084220	33409080	11922456	0	22076196	8974596	15066840	0	0	9957216	18800796	25089564	0	19717908	452736288	0	16901064	14542776	14739300	19783416	0	88271773	19390368	12774060	10022724	21028068	445163947	18997320	24106944	400247331	24041436	34260684	18735288	21617640	1175636	13429140	13822188	15656412	11463900	208401150	14149728	22338228	29740632	19259352	24499992	18669780	16442508	26727264	21879672	3624385066	2893714	0	11856948
