week_start	sub-interlum-4/sub-interlum-4_ses-20190515T120000_ecephys+ophys.nwb	sub-interlum-6/sub-interlum-6_ses-20190605T120000_ecephys.nwb	sub-interlum-8/sub-interlum-8_ses-20190821T120000_ecephys+ophys.nwb	sub-interlum-ctrl-2/sub-interlum-ctrl-2_ses-20190709T120000_ecephys+ophys.nwb	sub-interlum-ctrl-4/sub-interlum-ctrl-4_ses-20190731T120000_ecephys+ophys.nwb	sub-interlum-ctrl-5/sub-interlum-ctrl-5_ses-20190907T120000_ecephys+ophys.nwb
2024-03-18	330032364	13163564	14719080	87558552	14130824	9264328
2024-03-25	10005276	389504	17616528	14431692	8169596	711136
2024-04-01	0	5502672	670176	609504	711136	0
2024-04-15	2742612	0	6419784	6354276	5755252	5961228
2024-04-22	0	0	12249996	0	0	0
2024-04-29	12712136	0	0	42711216	0	28431144
2024-07-01	0	0	125214460	118794676	98749228	0
2024-07-08	17828293696	442752	0	7009356	7197212	6419784
2024-07-15	258745752	0	0	0	0	0
2024-07-22	10088232	10022724	12774060	0	10022724	0
2024-07-29	495682536	0	0	0	0	0
2024-08-05	7867912716	0	0	12381012	0	0
2024-08-12	104114076	0	0	0	0	0
2024-08-26	48748884	0	7789808	0	0	0
2024-09-02	4847592	0	0	0	5469098140	0
2024-09-09	5533030064	3559872680	4124431760	0	0	0
2024-09-16	1436896536	0	0	4928220	711920	711920
2024-09-23	231415420	6472064	13032688	13901024	11066608	14998768
2024-10-14	212580832	0	0	0	0	0
2024-10-28	50378308	6472064	20893648	13901024	18993076	14998768
2024-11-04	2161764	9957216	0	0	0	0
2024-11-18	168155476	0	10808820	4782084	56941808	61527368
2024-12-02	50714124	0	0	0	0	0
2024-12-09	8516040	0	5968944368	0	0	0
2024-12-16	1689745628	0	0	0	0	0
2025-02-10	0	0	11332884	32098920	0	0
2025-03-10	0	0	0	0	0	355568
2025-04-28	148408416	0	0	0	0	0
2025-05-12	0	0	0	10485760	0	0
2025-05-19	46587120	0	0	0	0	0
2025-05-26	2161764	0	0	0	0	0
2025-07-14	118552704	0	0	0	0	0
2025-07-28	0	0	0	0	3837439116	0
2025-08-11	0	0	5242880000	0	0	0
2025-08-18	0	0	0	7621319904	0	0
2025-08-25	0	0	3145728000	0	0	0
2025-09-01	0	0	0	0	0	2988441600
2025-09-08	3165969648	2936012800	0	0	0	6044310768
2025-10-06	0	0	9481324	0	0	0
2025-11-03	917112	0	0	0	0	0
2025-12-08	3085741088	0	0	0	0	0
2025-12-15	11307158400	5699196	5891543580	10022724	7457652696	7522077860
2025-12-22	4354064820	0	0	0	3145728000	0
2025-12-29	50845140	0	0	0	0	0
2026-01-12	0	0	0	1522975676	7440227568	0
2026-01-19	0	0	0	7212375264	0	0
2026-01-26	91086024	2968699264	2610954240	0	0	3497000960
2026-02-02	2691283424	0	0	0	0	0
2026-02-09	58509800	0	0	0	0	0
2026-02-16	63733300	7136828	0	4728232	4482572	10284756
2026-02-23	11270428	4389036	0	4127004	0	0
2026-03-02	183597860	0	0	0	0	6541348
2026-03-09	176663608	0	3487020	0	0	0
2026-03-16	55037652	0	0	0	0	0
2026-03-23	376048	0	0	4192512	4192512	0
2026-03-30	114398832	389504	0	0	0	0
2026-04-06	851604	0	0	0	0	0
