week_start	sub-A1808/sub-A1808_behavior+ecephys+ogen.nwb	sub-A1813/sub-A1813_behavior+ecephys+ogen.nwb	sub-A1815/sub-A1815_behavior+ecephys+ogen.nwb	sub-A1821/sub-A1821_behavior+ecephys+ogen.nwb	sub-A1824/sub-A1824_behavior+ecephys+ogen.nwb	sub-A3701/sub-A3701_behavior+ecephys.nwb	sub-A3702/sub-A3702_behavior+ecephys.nwb	sub-A3703/sub-A3703_behavior+ecephys.nwb	sub-A3705/sub-A3705_behavior+ecephys.nwb	sub-A3706/sub-A3706_behavior+ecephys.nwb	sub-A3707/sub-A3707_behavior+ecephys.nwb	sub-A3708/sub-A3708_behavior+ecephys.nwb	sub-A3709/sub-A3709_behavior+ecephys.nwb	sub-A3710/sub-A3710_behavior+ecephys.nwb	sub-A3711/sub-A3711_behavior+ecephys.nwb	sub-A3712/sub-A3712_behavior+ecephys.nwb	sub-A3713/sub-A3713_behavior+ecephys.nwb	sub-A3716/sub-A3716_behavior+ecephys.nwb	sub-A3717/sub-A3717_behavior+ecephys.nwb	sub-A3723/sub-A3723_behavior+ecephys.nwb	sub-A3728/sub-A3728_behavior+ecephys.nwb	sub-A3730/sub-A3730_behavior+ecephys.nwb	sub-A5505/sub-A5505_behavior+ecephys.nwb	sub-A5506/sub-A5506_behavior+ecephys.nwb	sub-A5507/sub-A5507_behavior+ecephys.nwb	sub-A5508/sub-A5508_behavior+ecephys.nwb	sub-A5801/sub-A5801_behavior+ecephys.nwb	sub-A6211/sub-A6211_behavior+ecephys+ogen.nwb	sub-A6215/sub-A6215_behavior+ecephys+ogen.nwb	sub-A6216/sub-A6216_behavior+ecephys+ogen.nwb	sub-A9701/sub-A9701_behavior+ecephys+ogen.nwb
2024-03-11	0	0	0	0	0	0	3452982545	0	985741337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-18	0	0	0	0	0	0	2044397479	2715496548	5640973608	0	6022732408	0	4987368619	4920658060	6375079645	0	4476566270	3171202361	2780752880	6524495270	2009477875	1399008791	4274286781	2650902170	5321066780	2921640615	0	0	0	0	0
2024-03-25	6383372760	0	1304050994	764860984	907601418	0	4538057152	1901041107	3771568884	0	1818198792	0	20127666	2056472388	1674645088	1271327292	1870528064	1974755065	13287384	1922806857	2831788468	4997909454	1771895830	19723239	1969995752	1809487340	768594777	712107504	1590096609	719874576	1141565408
2024-04-01	46949080	0	1598481974	1838072456	1496665108	0	8837725	382898217	1874685756	0	1458880	0	2145759756	7883664	1664982511	5830212	1527937	4758687	5764704	5764704	6354276	8388713	7763906	2756667	6354276	1794428324	9231021	3508958704	6812832	1754955928	1486275664
2024-04-08	52603721	0	50755918	221489374	0	0	7795452	1633063979	7205880	0	99455680	0	63115866	59716716	104508911	86128531	2751336	0	6419784	0	2751336	0	7205880	36343867	66305825	27159654	0	6616308	30688243	51377172	50931076
2024-04-15	65575436	0	18739200	24869036	34918400	0	51374405	562377369	61525848	0	20480000	0	74410584	81612800	6681816	19427139	21644493	4323528	23492836	26461568	31405675	25858433	75057258	47007076	68051113	40960000	59579417	59345614	56286555	82005748	0
2024-04-22	0	0	0	0	0	0	0	995868036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19293264
2024-04-29	19903682	0	0	0	0	0	0	878920752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-06	242248551	0	0	0	0	0	0	1058945748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	7344455709	0	33	0	2990066708	0	0	1119434388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55336223	0	0	0
2024-05-20	203925456	0	0	0	0	0	0	1193477952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	2568030807	940372540	864895996	747621942	603730289	1201513591	995712817	2244913016	941062096	1455236342	1074541344	1291845632	1289671802	1236866468	2806675748	1110608314	904999369	602170038	599169864	574852098	853276144	1332456421	1211845488	1219658171	1180890317	1256285654	480652730	1761258365	1747875015	1404343476	1046289724
2024-06-03	1612936472	3715496648	0	1837525925	1496267621	2313816221	2007197177	1962096436	0	1817319089	1802574224	2158050961	2145963722	2041579680	1658628651	1842596003	1844523465	3933489550	0	0	0	0	0	0	1939471561	1797282114	0	0	1755670467	1751403798	0
2024-06-10	1626423076	0	1599805366	3675051850	0	2313816221	2007197177	2463917916	0	0	1802574224	2158050961	0	2033784228	1658628651	0	1844523465	1958949323	0	1910688213	0	1659612133	0	1752465851	1939471561	0	0	0	9498660	0	0
2024-06-17	0	0	0	0	0	0	0	0	0	0	12512028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-24	18873541465	0	0	0	0	11594916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3156350337	0	0	0	0	0	3373444838
2024-07-01	649050160	0	0	0	0	0	21400448	0	0	1296202828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	132816480	8057908	7671262	0	5191261	0	1795577	1079793456	5895720	161349360	6943848	1523345	6280286	0	1878571	7061419	1520073	1782163	0	6668705	6333127	11509053	0	5306148	7336745	7169158	8391633	6006585	5895720	1985814	9046632
2024-07-15	1751518104	0	0	0	0	2313816221	0	0	0	1817319089	0	2158050961	0	0	0	0	1844523465	0	1947291044	0	1409002179	1193912168	1748970246	1752465851	1939471561	0	0	0	0	0	1481511776
2024-07-22	32885016	0	23582880	14477268	0	0	10022724	1086724324	9957216	10546788	48541428	10088232	865311696	0	0	6616308	20438496	23975928	6616308	14084220	12249996	0	50048112	12512028	0	10415772	0	707183548	553575452	22927800	12184488
2024-07-29	144375592	0	0	0	0	0	0	0	1892110336	0	0	0	0	0	0	19154004	0	0	0	1910688213	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	951465600	0	0	0	0	0	0	0	0	0	0	0	0	2191360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-12	73016976	1857748324	0	1837525925	0	0	0	0	9891708	1817319089	1802574224	0	2138102762	0	0	1842596003	0	0	1947291044	0	1409002179	1659612133	0	0	1939471561	1785163134	0	0	1747875015	0	0
2024-08-26	34647672	0	0	1837525925	28261221	0	0	975977605	0	0	0	0	0	0	1658628651	0	3689046930	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-09-02	11550192	0	0	0	1496409880	1955803342	0	1951955210	1868265424	0	6629831952	0	0	0	4639578393	0	0	1695889704	1107214620	0	0	3319224266	0	0	0	0	0	3505739514	0	0	1292768096
2024-09-09	1604971280	1397522468	0	0	1415135160	0	1626897706	81051840	0	1371389297	13036092	1450719655	0	2285321184	0	1392019796	1270542217	0	0	0	0	1521431277	0	0	0	1279262720	1319606295	0	7795452	1269335060	0
2024-09-16	197995704	2555236	11405218	4716576	9252757	0	0	0	1538000	1971889	6878340	6943848	8704082	13239528	0	8306071	8529429	8857027	0	4716576	8691415	4389036	1780486	6354276	6354276	9003382	1775325	10199097	4913100	11046492	6943848
2024-09-23	51615016	44888748	50334442	49703845	38746981	55246337	52779841	39923760	48197728	45225649	40966544	47198829	35707882	46732708	49064491	44288163	52240121	50995079	44125604	44222933	30124739	34319333	39791366	38044091	41549001	39284094	37426909	45064305	22967495	0	39719776
2024-09-30	0	0	0	0	0	0	0	0	0	0	8843580	0	0	0	0	12839568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-07	0	0	0	0	0	0	0	0	101500564	0	15656412	0	0	0	0	0	0	0	0	0	0	0	10677804	0	0	97439068	0	0	0	0	11791440
2024-10-14	128132051	0	0	0	0	0	0	0	0	0	0	0	99993880	0	0	97570084	0	0	0	0	93312064	0	0	0	0	0	0	0	0	0	89709124
2024-10-21	95997892	0	0	0	0	2313816221	0	13363632	0	0	0	0	93377572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96194416	0	202870112	100779976
2024-10-28	1694937560	80412004	1693128736	101999389	70204261	0	72574457	102838320	0	0	270676768	7729944	161983660	107087976	120586240	129547671	106767417	108212683	117193904	73055413	98519590	160189182	72949614	75855647	103738493	120511228	95825338	82157513	59667655	94190682	118030956
2024-11-04	0	0	8254008	6288768	6812832	0	7860960	10088232	0	0	1802574224	0	1506684	10219248	4389036	0	6223260	0	0	10284756	10219248	0	6616308	0	0	10284756	7795452	7860960	4978608	0	0
2024-11-11	6782116656	0	0	8254008	0	0	0	4061496	0	7598928	2635697316	0	0	0	16311492	0	0	0	13298124	0	6550800	0	0	4127004	0	0	0	0	0	0	0
2024-11-18	1718156196	53604056	1647126664	1851544637	1537372050	114096510	113360062	144659124	4127004	4127004	99096052	56833041	7074864	62068132	215297942	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0
2024-11-25	3225857712	1857748324	1599805366	1837525925	1496267621	2313816221	2011258673	1072771120	1868265424	1817319089	1802574224	0	0	2033784228	1658628651	0	0	1958949323	1947291044	0	1417452711	1700816665	0	1752465851	1939471561	1785163134	21159084	1752869757	1747875015	1751403798	0
2024-12-02	0	1857748324	0	0	0	2313816221	108771952	657210501	0	0	0	0	0	0	0	0	0	0	0	17294112	0	0	0	0	0	0	0	1433600	0	2035204962	0
2024-12-09	0	9311130892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1752465851	1939471561	0	0	0	0	0	0
2024-12-30	0	1857748324	0	1837525925	1496267621	0	0	0	0	0	0	0	2138102762	2033784228	0	0	1844523465	0	0	0	0	0	0	0	0	0	0	0	1747875015	0	0
2025-01-06	1612928856	1857748324	0	3675051850	0	2313816221	0	1072771120	1868265424	1817319089	0	0	0	2033784228	1658628651	0	1844523465	0	1947291044	1910688213	1409002179	0	0	1752465851	1939471561	0	965416669	1752869757	1747875015	1751403798	1481511776
2025-01-13	0	0	0	0	20045448	0	0	0	25613628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	157025464	1857748324	1599805366	0	1496267621	0	2007197177	1072771120	0	0	4024	0	0	0	0	0	0	0	0	0	0	1659612133	1748970246	1752465851	1939471561	1785163134	965416669	1752869757	1747875015	0	0
2025-02-10	8792032	218227656	0	173194988	158652212	1680000	0	167299268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-17	179811296	0	226678188	274200160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	78539812	4192512	0	4127004	8909088	0	2007197177	1076898124	0	0	1812072884	8254008	2147535914	8843580	0	1846788515	1852711965	1963076327	1956855212	9498660	2823769062	1659612133	1760368638	1752465851	1951852573	1794727302	12577536	1761647829	0	3502807596	1481511776
2025-03-03	1638704872	0	0	0	0	0	2007197177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	4127004	0	0	307200	0	0	0	0	0	0	0	0	0	0	4716576	307200	0	0	0	307200	307200	0	0	0	0
2025-03-31	1647440820	1346043236	1628479966	1624906869	906978368	0	0	2077578188	1868265424	315758257	1101844756	2048664349	2578688662	0	1658628651	1853211883	0	988458572	1961026220	1298319829	1424782439	1672888753	1760092270	1284960124	983170249	1800277562	986124365	0	668177616	1768024910	880734724
2025-04-07	8778072	1437505756	1250863708	0	1105840744	0	168674936	597531320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7991976	0	0	0	22207212	0	0	0	0
2025-04-14	3225857712	3715496648	4799416098	7350103700	5985070484	6477155442	2007197177	1963201052	3736530848	1817319089	1802574224	5947291338	2138102762	6037894380	5074233516	3685192006	3097656876	5546133034	4879155336	2512753578	1409002179	1659612133	1748970246	1752465851	0	1785163134	965416669	1466605644	2390635527	1875635638	1481511776
2025-04-21	1612928856	1857748324	0	0	0	2313816221	0	0	0	1817319089	1802574224	2158050961	0	4067568456	1658628651	0	1844523465	1958949323	0	1910688213	1409002179	3303109885	0	0	1939471561	1785163134	0	2608682793	3944717370	2770585622	1481511776
2025-05-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2183989811	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1748970246	0	0	0	0	0	0	0	0
2025-05-19	0	0	0	3675051850	0	0	0	0	0	0	0	0	0	0	0	0	0	1958949323	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	201326592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	1425859668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	1627363536	12122944	11532864	17327872	6252352	15818080	11875152	7269456	16366176	7685072	4860400	8732304	3010256	26947984	7771616	11528736	5787152	5795968	5770128	23164560	14414720	16831120	11534240	14421440	8699112	11584832	7743168	9379656	14713360	18805392	15697000
2025-07-14	11547744	12122944	17299296	21659840	267918850	11863560	19791920	7269456	16366176	15370144	9720800	14553840	3010256	19248560	7771616	14410920	11574304	5795968	8655192	15443040	8648832	10098672	14417800	14421440	11598816	14481040	5807376	18759312	5885344	6268464	12557600
2025-07-21	0	0	0	893807525	0	0	0	713833605	0	0	1016142224	0	0	0	0	0	1658718685	0	0	0	0	0	1820216676	0	0	0	0	0	0	0	0
2025-07-28	0	1258291200	1021765174	37274052	0	0	906192065	0	838860800	1188173489	0	0	0	0	0	0	140500224	0	0	0	1094429379	0	0	0	1357182196	998731134	912987605	0	2131022370	1382844704	0
2025-08-04	0	0	0	1206765092	39161815	0	0	576716800	1448835024	0	0	0	1048576000	1509495916	0	0	1110519937	1258291200	629145600	2667942490	0	0	0	0	0	0	0	2065875014	0	0	0
2025-08-11	1560500056	0	0	0	1181694821	1468006400	1168336377	0	0	0	0	0	1194393186	1457067428	2163823286	0	0	367001600	1632718244	0	832276075	734003200	0	1595179067	0	0	703272669	0	0	1153433600	1283711564
2025-08-18	808	0	1403960284	0	12923781	0	0	0	0	0	649138880	838860800	0	0	0	0	0	0	0	0	0	1835008000	0	0	1415183145	0	0	0	0	0	0
2025-08-25	931354456	809172324	0	0	0	0	0	1072771120	0	0	0	0	1258291200	1101004800	0	0	1792094337	0	0	0	0	0	0	0	471465161	0	32	0	734003200	1768435878	0
2025-09-01	1159409208	1323676336	784950162	1057629493	1054987217	687776256	521464193	393293872	1256527032	1544545769	0	0	1752226794	1809596372	1610699295	1318307731	1874657145	666063440	1511092744	680540365	1555509550	2574382398	1762723342	3325329851	1939471561	713899862	524288000	935160873	0	1069829398	1481511776
2025-09-08	1298402552	0	0	0	1285318154	0	0	0	0	0	1468006400	0	0	0	0	1370736803	1844523465	0	0	0	0	0	0	0	0	1520435200	786432000	0	0	0	0
2025-09-22	102782052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	130326843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	1612928856	1857748324	1599805366	0	1496267621	2313816221	0	1072771120	1868265424	1817319089	1802574224	2158050961	2138102762	2033784228	1658628651	1842596003	0	0	1947291044	3821376426	1409002179	0	0	1752465851	0	0	965416669	1752869757	1747875015	1751403798	0
2025-11-17	1881818936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	57749004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	207890928	0	0	954568794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	531285760	0	0	1255566245	0	0	0	0	0	0	0	0	0	0	0	0	932262345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	1169849316	14608284	10153740	0	1510548365	2321087609	2014075517	2931974240	9891708	1835857853	2493657888	29740632	2148387518	2054026200	1665113943	3689319010	1844523465	8188500	9957216	1200484024	1428392547	1668259189	3484827692	15263364	4127004	10481280	965416669	1752869757	1759993995	1765225986	17883684
2025-12-22	13832643078	0	0	0	1061108581	0	1331691520	0	2687955396	0	0	0	32	0	940354091	0	0	0	0	0	0	988523493	0	0	3959856146	0	0	0	0	0	3067737808
2025-12-29	1668908784	0	2433423286	1837525925	0	796368608	0	1072771120	1868265424	0	0	0	0	0	0	1842596003	0	3136709126	1947291044	1910688213	0	1659612133	1748970246	1752465851	1939471561	0	965416669	1163919360	1747875015	0	1481511776
2026-01-05	1328178944	0	0	1837525925	0	1321205760	0	0	0	0	0	0	0	0	0	0	0	1321205760	1234259364	0	0	0	0	0	0	0	0	0	0	0	854589440
2026-01-12	1992309464	1857748324	1599805366	5519833069	1506753381	0	4024880114	6156731935	7473062244	1817319089	5407722672	2158050961	0	2033784228	4192818262	0	2993337457	1958949323	5239018996	9521982777	1409002179	1659612133	5146718174	5267883313	1939471561	1785163134	965416669	1752869757	1747875015	1751403798	20971520
2026-01-19	5918845164	0	0	1048576000	0	0	0	606154800	0	0	0	1537375522	0	1147737508	0	0	0	0	0	0	884714179	1680583653	0	823132160	1153039145	0	0	2070331900	0	1001390080	907018240
2026-01-26	2811205312	990904320	827778614	0	0	0	1026778305	0	0	1121976320	912261120	0	2594242146	1189680236	0	914606243	817889280	0	1111490560	849346560	0	0	0	0	1163919360	1960837120	435885789	0	1868878370	0	0
2026-02-02	3260968776	0	0	0	576716800	0	0	0	0	0	0	0	0	0	0	925091731	0	0	0	0	749731840	1025223373	0	924090811	0	0	471859200	0	0	844385558	0
2026-02-09	7403071904	0	0	0	0	0	0	0	0	1817319089	0	0	2138102762	0	0	0	0	1958949323	0	1910688213	1409002179	1659612133	1748970246	0	1939471561	1785163134	965416669	1752869757	1747875015	0	1481511776
2026-02-16	11230378224	3728528952	3207471692	3690803086	4489622063	2315249821	4015111154	1184687456	15575052	1828189629	0	2158050961	2138102762	2033784228	1658628651	1842596003	1844523465	1958949323	1813642536	0	0	0	0	0	0	0	1702275341	0	0	0	0
2026-02-23	3938210116	11828980	8925640	9437640	13036092	0	0	0	0	0	1460624	0	10923022	6704832	0	0	1630665	1368523	0	0	4257158	0	0	4323528	5371365	0	6807489	0	3081415	0	6863828
2026-03-02	2449198232	0	2130706432	4454544	0	0	14280744	1359920	9105612	0	2136294060	4454544	0	6704832	0	2263203	0	0	4520052	6713957	0	4127004	5604358	0	0	0	4651068	1624957	2133787847	4323528	2135801544
2026-03-09	2314003400	2102458412	238110498	0	1636676143	2488537402	280637931	1359920	464973728	359243083	406015152	287554483	331575208	396646032	232565291	614656815	2198128420	326006572	532090768	195583359	1638269074	233372679	250446098	2102729757	2518607202	301278070	95825338	2128610542	1926877980	2175576986	92148576
2026-03-16	2177154552	1857748324	0	10219248	9105612	8778072	10677804	1082859352	1868265424	0	26727264	0	0	0	24893040	0	7074864	21879672	1956265640	28626996	0	16901064	1771439490	0	9957244	0	0	28102932	0	0	23189832
2026-03-23	137008856	15197856	4258020	0	307200	2443421	0	3864972	0	0	0	7173753	0	0	0	9367644	8188500	0	4585560	0	0	0	9433152	0	14149728	59481264	0	1170582233	0	0	0
2026-03-30	1449093100	5895721	888669834	307200	1515785421	4127004	289479857	0	0	0	0	2158050961	0	53258004	1658628651	9302136	1844523465	259301172	0	0	0	1659612133	1758403398	0	0	0	0	101635128	0	0	0
2026-04-06	218522888	90696204	9931190	136227454	123193821	132778141	31119033	142221620	134374796	173151921	851604	156052417	12036658	62192456	184747094	8647056	65418130	10546788	0	103924017	0	45685733	61810222	21421116	60021961	0	4978608	48032785	9695184	0	0
2026-04-13	51967976	0	0	0	0	0	0	8319516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
